title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Shrek,https://www.palomitacas.com/pelicula/ficha/p808,808,8.0,8.0,11 de septiembre - 2021,2021-09-11
Pitch Black,https://www.palomitacas.com/pelicula/ficha/p2787,2787,7.0,7.0,11 de septiembre - 2021,2021-09-11
El bosque,https://www.palomitacas.com/pelicula/ficha/p6947,6947,,,,
Matrix Resurrections,https://www.palomitacas.com/pelicula/ficha/p624860,624860,,,,
ドラゴンボール超：スーパーヒーロー,https://www.palomitacas.com/pelicula/ficha/p610150,610150,,,,
El profesional (Léon),https://www.palomitacas.com/pelicula/ficha/p101,101,6.0,6.0,01 de agosto - 2021,2021-08-01
Ghost in the Shell 2.0,https://www.palomitacas.com/pelicula/ficha/p14092,14092,,,,
La misión,https://www.palomitacas.com/pelicula/ficha/p11416,11416,6.0,6.0,24 de julio - 2021,2021-07-24
District 9,https://www.palomitacas.com/pelicula/ficha/p17654,17654,6.0,6.0,24 de julio - 2021,2021-07-24
Prisioneros,https://www.palomitacas.com/pelicula/ficha/p146233,146233,8.0,8.0,24 de julio - 2021,2021-07-24
킹덤: 아신전,https://www.palomitacas.com/pelicula/ficha/p845222,845222,7.0,7.0,24 de julio - 2021,2021-07-24
Spotlight,https://www.palomitacas.com/pelicula/ficha/p314365,314365,9.0,9.0,17 de julio - 2021,2021-07-17
La delgada línea roja,https://www.palomitacas.com/pelicula/ficha/p8741,8741,,,,
Elegidos para la gloria,https://www.palomitacas.com/pelicula/ficha/p9549,9549,,,,
El intendente Sansho,https://www.palomitacas.com/pelicula/ficha/p20532,20532,,,,
David Attenborough: A Life on Our Planet,https://www.palomitacas.com/pelicula/ficha/p664280,664280,,,,
The Throne,https://www.palomitacas.com/pelicula/ficha/p315439,315439,,,,
Hope,https://www.palomitacas.com/pelicula/ficha/p255709,255709,,,,
Console Wars,https://www.palomitacas.com/pelicula/ficha/p344031,344031,,,,
A Bittersweet Life,https://www.palomitacas.com/pelicula/ficha/p11344,11344,,,,
An elephant sitting still,https://www.palomitacas.com/pelicula/ficha/p499556,499556,,,,
Moffie,https://www.palomitacas.com/pelicula/ficha/p618228,618228,,,,
Chinatown,https://www.palomitacas.com/pelicula/ficha/p829,829,,,,
Un lugar en el mundo,https://www.palomitacas.com/pelicula/ficha/p32635,32635,,,,
Matria (C),https://www.palomitacas.com/pelicula/ficha/p500487,500487,,,,
Moulin Rouge,https://www.palomitacas.com/pelicula/ficha/p824,824,,,,
El rostro del Fuhrer,https://www.palomitacas.com/pelicula/ficha/p33600,33600,,,,
El tesoro,https://www.palomitacas.com/pelicula/ficha/p568435,568435,,,,
Google y el cerebro mundial,https://www.palomitacas.com/pelicula/ficha/p157005,157005,,,,
La leyenda del indomable,https://www.palomitacas.com/pelicula/ficha/p903,903,,,,
The Fighter,https://www.palomitacas.com/pelicula/ficha/p45317,45317,,,,
"My Country, My Country",https://www.palomitacas.com/pelicula/ficha/p50100,50100,,,,
The Oath,https://www.palomitacas.com/pelicula/ficha/p52918,52918,,,,
Lecciones en la oscuridad,https://www.palomitacas.com/pelicula/ficha/p53200,53200,,,,
La Isla de las flores,https://www.palomitacas.com/pelicula/ficha/p45318,45318,,,,
Colectiv,https://www.palomitacas.com/pelicula/ficha/p618363,618363,,,,
"Ni d'Ève, ni d'Adam. Une histoire intersexe",https://www.palomitacas.com/pelicula/ficha/p544339,544339,,,,
