title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Una Navidad muy Jonas Brothers,https://www.palomitacas.com/pelicula/ficha/p1425122,1425122,4.5,4.5,04 de enero - 2026,2026-01-04
Una amistad para siempre,https://www.palomitacas.com/pelicula/ficha/p583833,583833,6.5,6.5,04 de enero - 2026,2026-01-04
Solitaria es la noche: Los crímenes de la familia Bansal,https://www.palomitacas.com/pelicula/ficha/p1415974,1415974,6.5,6.5,04 de enero - 2026,2026-01-04
"Mystery, Alaska",https://www.palomitacas.com/pelicula/ficha/p15198,15198,6.5,6.5,04 de enero - 2026,2026-01-04
Sigue mi voz,https://www.palomitacas.com/pelicula/ficha/p1144443,1144443,5.5,5.5,03 de enero - 2026,2026-01-03
The Tiger,https://www.palomitacas.com/pelicula/ficha/p1252037,1252037,6.5,6.5,03 de enero - 2026,2026-01-03
Lo que aprendí de mi pingüino,https://www.palomitacas.com/pelicula/ficha/p1086497,1086497,7.5,7.5,03 de enero - 2026,2026-01-03
La joven Jane Austen,https://www.palomitacas.com/pelicula/ficha/p2977,2977,7.0,7.0,02 de enero - 2026,2026-01-02
El encanto del champán,https://www.palomitacas.com/pelicula/ficha/p1323475,1323475,5.5,5.5,31 de diciembre - 2025,2025-12-31
Eternity,https://www.palomitacas.com/pelicula/ficha/p1259102,1259102,6.5,6.5,31 de diciembre - 2025,2025-12-31
Los indeseables,https://www.palomitacas.com/pelicula/ficha/p978035,978035,6.5,6.5,30 de diciembre - 2025,2025-12-30
"Ella, él y Asta",https://www.palomitacas.com/pelicula/ficha/p14588,14588,6.5,6.5,30 de diciembre - 2025,2025-12-30
Predators,https://www.palomitacas.com/pelicula/ficha/p34851,34851,5.5,5.5,29 de diciembre - 2025,2025-12-29
Depredador 2,https://www.palomitacas.com/pelicula/ficha/p169,169,6.0,6.0,29 de diciembre - 2025,2025-12-29
Dragonheart 4: Corazón de fuego,https://www.palomitacas.com/pelicula/ficha/p451644,451644,5.0,5.0,29 de diciembre - 2025,2025-12-29
Dragonheart 3: La maldición del brujo,https://www.palomitacas.com/pelicula/ficha/p300803,300803,5.5,5.5,28 de diciembre - 2025,2025-12-28
Dragonheart 2: Un nuevo comienzo,https://www.palomitacas.com/pelicula/ficha/p10473,10473,4.0,4.0,28 de diciembre - 2025,2025-12-28
Un dulce desastre de Navidad,https://www.palomitacas.com/pelicula/ficha/p1028552,1028552,5.5,5.5,28 de diciembre - 2025,2025-12-28
Dos padres por desigual,https://www.palomitacas.com/pelicula/ficha/p419680,419680,6.5,6.5,28 de diciembre - 2025,2025-12-28
रात अकेली है,https://www.palomitacas.com/pelicula/ficha/p589615,589615,6.5,6.5,28 de diciembre - 2025,2025-12-28
El Talento,https://www.palomitacas.com/pelicula/ficha/p1351046,1351046,7.0,7.0,28 de diciembre - 2025,2025-12-28
"Jo, ¡qué noche!",https://www.palomitacas.com/pelicula/ficha/p10843,10843,7.0,7.0,27 de diciembre - 2025,2025-12-27
Los amigos de Peter,https://www.palomitacas.com/pelicula/ficha/p11790,11790,7.5,7.5,27 de diciembre - 2025,2025-12-27
El Intermediario,https://www.palomitacas.com/pelicula/ficha/p1088166,1088166,7.0,7.0,27 de diciembre - 2025,2025-12-27
Springsteen: Deliver Me from Nowhere,https://www.palomitacas.com/pelicula/ficha/p1230368,1230368,8.0,8.0,27 de diciembre - 2025,2025-12-27
"Adiós, June",https://www.palomitacas.com/pelicula/ficha/p1435092,1435092,6.5,6.5,26 de diciembre - 2025,2025-12-26
La gran familia,https://www.palomitacas.com/pelicula/ficha/p161791,161791,6.5,6.5,26 de diciembre - 2025,2025-12-26
Todo lo que deseo para Navidad,https://www.palomitacas.com/pelicula/ficha/p1361253,1361253,4.5,4.5,26 de diciembre - 2025,2025-12-26
Sisu: Camino a la venganza,https://www.palomitacas.com/pelicula/ficha/p1223601,1223601,6.0,6.0,26 de diciembre - 2025,2025-12-26
Blind River,https://www.palomitacas.com/pelicula/ficha/p1406831,1406831,5.0,5.0,25 de diciembre - 2025,2025-12-25
La Navidad en sus manos 2,https://www.palomitacas.com/pelicula/ficha/p1196207,1196207,5.5,5.5,25 de diciembre - 2025,2025-12-25
Un cowboy por Navidad,https://www.palomitacas.com/pelicula/ficha/p1383280,1383280,4.0,4.0,24 de diciembre - 2025,2025-12-24
Sin cobertura,https://www.palomitacas.com/pelicula/ficha/p1370124,1370124,5.5,5.5,21 de diciembre - 2025,2025-12-21
Sorpresa de Navidad: Vecinos inesperados,https://www.palomitacas.com/pelicula/ficha/p1154268,1154268,4.5,4.5,21 de diciembre - 2025,2025-12-21
Oh. What. Fun.,https://www.palomitacas.com/pelicula/ficha/p1261825,1261825,5.5,5.5,21 de diciembre - 2025,2025-12-21
Ahora los padres son ellos,https://www.palomitacas.com/pelicula/ficha/p39451,39451,6.5,6.5,21 de diciembre - 2025,2025-12-21
Navidad en Baltimore,https://www.palomitacas.com/pelicula/ficha/p1421990,1421990,7.0,7.0,20 de diciembre - 2025,2025-12-20
El león en invierno,https://www.palomitacas.com/pelicula/ficha/p18988,18988,7.0,7.0,20 de diciembre - 2025,2025-12-20
El secreto de Papá Noel,https://www.palomitacas.com/pelicula/ficha/p1441563,1441563,5.5,5.5,20 de diciembre - 2025,2025-12-20
Un robo muy navideño,https://www.palomitacas.com/pelicula/ficha/p1218762,1218762,6.0,6.0,20 de diciembre - 2025,2025-12-20
대홍수,https://www.palomitacas.com/pelicula/ficha/p982843,982843,6.0,6.0,20 de diciembre - 2025,2025-12-20
Indomables,https://www.palomitacas.com/pelicula/ficha/p1092506,1092506,6.5,6.5,20 de diciembre - 2025,2025-12-20
Il Nibbio,https://www.palomitacas.com/pelicula/ficha/p1192174,1192174,6.5,6.5,20 de diciembre - 2025,2025-12-20
The Mastermind,https://www.palomitacas.com/pelicula/ficha/p1352624,1352624,6.0,6.0,19 de diciembre - 2025,2025-12-19
El secreto de mi éxito,https://www.palomitacas.com/pelicula/ficha/p10021,10021,5.5,5.5,19 de diciembre - 2025,2025-12-19
Verbo,https://www.palomitacas.com/pelicula/ficha/p79754,79754,5.5,5.5,14 de diciembre - 2025,2025-12-14
Sorpresa de Navidad,https://www.palomitacas.com/pelicula/ficha/p1028556,1028556,5.0,5.0,14 de diciembre - 2025,2025-12-14
El primer asesinato,https://www.palomitacas.com/pelicula/ficha/p1387190,1387190,6.5,6.5,14 de diciembre - 2025,2025-12-14
Submarino,https://www.palomitacas.com/pelicula/ficha/p46789,46789,7.0,7.0,13 de diciembre - 2025,2025-12-13
Nuestra historia de Navidad,https://www.palomitacas.com/pelicula/ficha/p1360780,1360780,5.0,5.0,13 de diciembre - 2025,2025-12-13
Merv,https://www.palomitacas.com/pelicula/ficha/p1255775,1255775,6.0,6.0,13 de diciembre - 2025,2025-12-13
The Running Man,https://www.palomitacas.com/pelicula/ficha/p798645,798645,7.0,7.0,13 de diciembre - 2025,2025-12-13
Jay Kelly,https://www.palomitacas.com/pelicula/ficha/p1069905,1069905,7.0,7.0,13 de diciembre - 2025,2025-12-13
El regreso de Ulises,https://www.palomitacas.com/pelicula/ficha/p975511,975511,7.0,7.0,12 de diciembre - 2025,2025-12-12
¡En bicicleta!,https://www.palomitacas.com/pelicula/ficha/p1321412,1321412,6.5,6.5,12 de diciembre - 2025,2025-12-12
Navidad bajo las luces,https://www.palomitacas.com/pelicula/ficha/p1361248,1361248,4.0,4.0,08 de diciembre - 2025,2025-12-08
Tierras perdidas,https://www.palomitacas.com/pelicula/ficha/p324544,324544,5.5,5.5,08 de diciembre - 2025,2025-12-08
Un Romance En Navidad,https://www.palomitacas.com/pelicula/ficha/p51592,51592,5.5,5.5,08 de diciembre - 2025,2025-12-08
"13 días, 13 noches",https://www.palomitacas.com/pelicula/ficha/p1254135,1254135,7.5,7.5,07 de diciembre - 2025,2025-12-07
Breve historia de una familia,https://www.palomitacas.com/pelicula/ficha/p1135176,1135176,6.5,6.5,07 de diciembre - 2025,2025-12-07
TRON: Ares,https://www.palomitacas.com/pelicula/ficha/p533533,533533,7.0,7.0,07 de diciembre - 2025,2025-12-07
Los desenredos del amor,https://www.palomitacas.com/pelicula/ficha/p1355666,1355666,6.5,6.5,07 de diciembre - 2025,2025-12-07
"Dios mío, ¿pero qué te hemos hecho?",https://www.palomitacas.com/pelicula/ficha/p262391,262391,7.0,7.0,06 de diciembre - 2025,2025-12-06
UPS! Ya es Navidad,https://www.palomitacas.com/pelicula/ficha/p1197662,1197662,5.5,5.5,06 de diciembre - 2025,2025-12-06
Trol 2,https://www.palomitacas.com/pelicula/ficha/p1180831,1180831,5.5,5.5,06 de diciembre - 2025,2025-12-06
"Bon voyage, Marie",https://www.palomitacas.com/pelicula/ficha/p1003504,1003504,6.5,6.5,06 de diciembre - 2025,2025-12-06
El último suspiro,https://www.palomitacas.com/pelicula/ficha/p1271981,1271981,6.0,6.0,05 de diciembre - 2025,2025-12-05
"Dos mundos, un deseo",https://www.palomitacas.com/pelicula/ficha/p1522377,1522377,6.0,6.0,30 de noviembre - 2025,2025-11-30
El hombre del corazón de hierro,https://www.palomitacas.com/pelicula/ficha/p339259,339259,6.5,6.5,30 de noviembre - 2025,2025-11-30
Blue Moon,https://www.palomitacas.com/pelicula/ficha/p1299655,1299655,7.0,7.0,30 de noviembre - 2025,2025-11-30
La educación de Polly McClusky,https://www.palomitacas.com/pelicula/ficha/p1196573,1196573,6.5,6.5,30 de noviembre - 2025,2025-11-30
El hijo de mil hombres,https://www.palomitacas.com/pelicula/ficha/p1299209,1299209,7.0,7.0,29 de noviembre - 2025,2025-11-29
