title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Frantz,https://www.palomitacas.com/pelicula/ficha/p377263,377263,,,,
Las ocho montañas,https://www.palomitacas.com/pelicula/ficha/p803700,803700,,,,
"13 días, 13 noches",https://www.palomitacas.com/pelicula/ficha/p1254135,1254135,,,,
Sueños de trenes,https://www.palomitacas.com/pelicula/ficha/p1241983,1241983,,,,
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,,,,
Jay Kelly,https://www.palomitacas.com/pelicula/ficha/p1069905,1069905,,,,
Thunderbolts*,https://www.palomitacas.com/pelicula/ficha/p986056,986056,,,,
Tomates verdes fritos,https://www.palomitacas.com/pelicula/ficha/p1633,1633,,,,
Good Boy,https://www.palomitacas.com/pelicula/ficha/p1422096,1422096,,,,
Yi Yi,https://www.palomitacas.com/pelicula/ficha/p25538,25538,,,,
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,,,,
Vania en la calle 42,https://www.palomitacas.com/pelicula/ficha/p32636,32636,,,,
La trama fenicia,https://www.palomitacas.com/pelicula/ficha/p1137350,1137350,,,,
Blue Moon,https://www.palomitacas.com/pelicula/ficha/p1299655,1299655,,,,
Bugonia,https://www.palomitacas.com/pelicula/ficha/p701387,701387,,,,
Sin oxígeno,https://www.palomitacas.com/pelicula/ficha/p972533,972533,,,,
Lee mis labios,https://www.palomitacas.com/pelicula/ficha/p6173,6173,,,,
Memphis Belle,https://www.palomitacas.com/pelicula/ficha/p12651,12651,,,,
El último suspiro,https://www.palomitacas.com/pelicula/ficha/p1271981,1271981,,,,
El ojo de la aguja,https://www.palomitacas.com/pelicula/ficha/p10863,10863,,,,
F1 la película,https://www.palomitacas.com/pelicula/ficha/p911430,911430,,,,
Ponyo en el acantilado,https://www.palomitacas.com/pelicula/ficha/p12429,12429,,,,
Melancolía,https://www.palomitacas.com/pelicula/ficha/p62215,62215,,,,
El acto en cuestión,https://www.palomitacas.com/pelicula/ficha/p288151,288151,,,,
Los indeseables,https://www.palomitacas.com/pelicula/ficha/p978035,978035,,,,
The Monkey,https://www.palomitacas.com/pelicula/ficha/p1124620,1124620,,,,
Caza de brujas,https://www.palomitacas.com/pelicula/ficha/p1265063,1265063,,,,
Los cuentos de Hoffmann,https://www.palomitacas.com/pelicula/ficha/p44334,44334,,,,
"Gaby, una historia verdadera",https://www.palomitacas.com/pelicula/ficha/p191550,191550,,,,
