title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,7.5,7.5,01 de enero - 2026,2026-01-01
Los sudarios,https://www.palomitacas.com/pelicula/ficha/p970947,970947,5.0,5.0,01 de enero - 2026,2026-01-01
"13 días, 13 noches",https://www.palomitacas.com/pelicula/ficha/p1254135,1254135,6.5,6.5,14 de diciembre - 2025,2025-12-14
Madame Web,https://www.palomitacas.com/pelicula/ficha/p634492,634492,1.5,1.5,14 de diciembre - 2025,2025-12-14
Fast Charlie,https://www.palomitacas.com/pelicula/ficha/p945937,945937,,,,
El frío en los huesos,https://www.palomitacas.com/pelicula/ficha/p1075335,1075335,6.0,6.0,09 de diciembre - 2025,2025-12-21
Hanna,https://www.palomitacas.com/pelicula/ficha/p50456,50456,6.5,6.5,06 de diciembre - 2025,2025-12-06
El último mohicano,https://www.palomitacas.com/pelicula/ficha/p9361,9361,9.0,9.0,06 de diciembre - 2025,2025-12-06
Fuga de Prisión,https://www.palomitacas.com/pelicula/ficha/p872177,872177,3.5,3.5,06 de diciembre - 2025,2025-12-06
Lo desconocido: La máquina del tiempo cósmica,https://www.palomitacas.com/pelicula/ficha/p1128719,1128719,7.5,7.5,04 de diciembre - 2025,2025-12-22
Lo desconocido: La cueva de los huesos,https://www.palomitacas.com/pelicula/ficha/p1128720,1128720,,,,
Lo desconocido: Los robots asesinos,https://www.palomitacas.com/pelicula/ficha/p1128718,1128718,,,,
Lo desconocido: La pirámide perdida,https://www.palomitacas.com/pelicula/ficha/p1128717,1128717,,,,
El menú,https://www.palomitacas.com/pelicula/ficha/p593643,593643,6.5,6.5,04 de diciembre - 2025,2025-12-04
Sisu: Camino a la vengaza,https://www.palomitacas.com/pelicula/ficha/p1223601,1223601,,,,
Drácula,https://www.palomitacas.com/pelicula/ficha/p1246049,1246049,,,,
The Quiet Girl,https://www.palomitacas.com/pelicula/ficha/p916405,916405,6.5,6.5,21 de noviembre - 2025,2025-11-21
