title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
June & John,https://www.palomitacas.com/pelicula/ficha/p1216571,1216571,5.0,5.0,23 de octubre - 2025,2025-10-23
El último virrey de la India,https://www.palomitacas.com/pelicula/ficha/p429662,429662,8.0,8.0,16 de mayo - 2025,2025-05-16
Mickey 17,https://www.palomitacas.com/pelicula/ficha/p696506,696506,5.0,5.0,12 de mayo - 2025,2025-05-12
Los siete profesionales,https://www.palomitacas.com/pelicula/ficha/p102961,102961,4.0,4.0,03 de abril - 2025,2025-04-03
De isla en isla,https://www.palomitacas.com/pelicula/ficha/p40979,40979,5.5,5.5,03 de abril - 2025,2025-04-03
7 vírgenes,https://www.palomitacas.com/pelicula/ficha/p481,481,6.5,6.5,02 de abril - 2025,2025-03-11
Seven Sinners,https://www.palomitacas.com/pelicula/ficha/p70357,70357,6.5,6.5,31 de marzo - 2025,2025-03-30
Siete ocasiones,https://www.palomitacas.com/pelicula/ficha/p32600,32600,8.0,8.0,29 de marzo - 2025,2025-03-29
Siete ciudades de oro,https://www.palomitacas.com/pelicula/ficha/p149116,149116,4.0,4.0,28 de marzo - 2025,2025-03-28
Corazón de un Corredor,https://www.palomitacas.com/pelicula/ficha/p342472,342472,4.0,4.0,28 de marzo - 2025,2024-08-14
1 Buck,https://www.palomitacas.com/pelicula/ficha/p477201,477201,3.5,3.5,28 de marzo - 2025,2023-03-07
Siete almas,https://www.palomitacas.com/pelicula/ficha/p11321,11321,6.5,6.5,27 de marzo - 2025,2025-03-14
0.0MHz,https://www.palomitacas.com/pelicula/ficha/p584586,584586,3.5,3.5,27 de marzo - 2025,2020-06-17
El cuervo,https://www.palomitacas.com/pelicula/ficha/p957452,957452,5.5,5.5,27 de marzo - 2025,2025-03-26
7 mujeres y un misterio,https://www.palomitacas.com/pelicula/ficha/p890541,890541,3.5,3.5,26 de marzo - 2025,2025-03-26
7 prisioneros,https://www.palomitacas.com/pelicula/ficha/p785538,785538,7.5,7.5,25 de marzo - 2025,2025-03-13
7 Dias En Utopia,https://www.palomitacas.com/pelicula/ficha/p70876,70876,4.5,4.5,25 de marzo - 2025,2014-10-10
Siete orquídeas manchadas de rojo,https://www.palomitacas.com/pelicula/ficha/p3699,3699,5.0,5.0,24 de marzo - 2025,2025-03-24
原振俠與衛斯理,https://www.palomitacas.com/pelicula/ficha/p39900,39900,6.5,6.5,24 de marzo - 2025,2025-03-24
Séptima página,https://www.palomitacas.com/pelicula/ficha/p121489,121489,6.0,6.0,21 de marzo - 2025,2025-03-21
Guardianes de la tumba,https://www.palomitacas.com/pelicula/ficha/p409582,409582,2.5,2.5,20 de marzo - 2025,2025-03-12
Siete días de mayo,https://www.palomitacas.com/pelicula/ficha/p23518,23518,8.0,8.0,17 de marzo - 2025,2025-03-16
7 Mummies,https://www.palomitacas.com/pelicula/ficha/p7292,7292,2.5,2.5,17 de marzo - 2025,2025-03-15
