title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
La peor persona del mundo,https://www.palomitacas.com/pelicula/ficha/p660120,660120,8.0,8.0,31 de diciembre - 2025,2025-12-31
Dos chicas a la fuga,https://www.palomitacas.com/pelicula/ficha/p957304,957304,,,,
Honey Don't!,https://www.palomitacas.com/pelicula/ficha/p1149504,1149504,6.5,6.5,09 de diciembre - 2025,2025-12-09
Bienvenidos al fin del mundo,https://www.palomitacas.com/pelicula/ficha/p107985,107985,6.0,6.0,04 de diciembre - 2025,2025-12-04
El señor de los anillos: La guerra de los Rohirrim,https://www.palomitacas.com/pelicula/ficha/p839033,839033,6.5,6.5,30 de noviembre - 2025,2025-11-30
It (Eso),https://www.palomitacas.com/pelicula/ficha/p346364,346364,6.5,6.5,27 de noviembre - 2025,2025-11-27
La furia,https://www.palomitacas.com/pelicula/ficha/p1224668,1224668,7.5,7.5,20 de noviembre - 2025,2025-11-20
JUJUTSU KAISEN: Ejecución,https://www.palomitacas.com/pelicula/ficha/p1539104,1539104,7.0,7.0,20 de noviembre - 2025,2025-11-20
Los domingos,https://www.palomitacas.com/pelicula/ficha/p1443576,1443576,8.0,8.0,03 de noviembre - 2025,2025-11-03
La niña de la cabra,https://www.palomitacas.com/pelicula/ficha/p1053594,1053594,6.5,6.5,26 de octubre - 2025,2025-10-26
Ninjababy,https://www.palomitacas.com/pelicula/ficha/p654074,654074,8.0,8.0,26 de octubre - 2025,2025-10-26
Salvajes,https://www.palomitacas.com/pelicula/ficha/p589018,589018,7.0,7.0,15 de octubre - 2025,2025-10-15
Maspalomas,https://www.palomitacas.com/pelicula/ficha/p1400214,1400214,7.0,7.0,06 de octubre - 2025,2025-10-06
Las vírgenes suicidas,https://www.palomitacas.com/pelicula/ficha/p1443,1443,6.5,6.5,03 de octubre - 2025,2025-10-03
El cautivo,https://www.palomitacas.com/pelicula/ficha/p1238188,1238188,6.0,6.0,02 de octubre - 2025,2025-10-02
Elio,https://www.palomitacas.com/pelicula/ficha/p1022787,1022787,6.5,6.5,24 de septiembre - 2025,2025-09-24
Mi amiga Eva,https://www.palomitacas.com/pelicula/ficha/p1297953,1297953,6.5,6.5,24 de septiembre - 2025,2025-09-24
Los Tortuga,https://www.palomitacas.com/pelicula/ficha/p800090,800090,8.0,8.0,24 de septiembre - 2025,2025-09-24
Romería,https://www.palomitacas.com/pelicula/ficha/p1182861,1182861,6.5,6.5,09 de septiembre - 2025,2025-09-09
De azúcar,https://www.palomitacas.com/pelicula/ficha/p1282181,1282181,8.0,8.0,05 de septiembre - 2025,2025-09-05
Haz lo que debas,https://www.palomitacas.com/pelicula/ficha/p925,925,8.0,8.0,17 de agosto - 2025,2025-08-17
El club de las luchadoras,https://www.palomitacas.com/pelicula/ficha/p814776,814776,7.0,7.0,11 de agosto - 2025,2025-08-11
Arma fatal,https://www.palomitacas.com/pelicula/ficha/p4638,4638,7.5,7.5,08 de agosto - 2025,2025-08-08
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,7.0,7.0,24 de julio - 2025,2025-07-24
Las chicas del balcón,https://www.palomitacas.com/pelicula/ficha/p1112466,1112466,8.0,8.0,20 de julio - 2025,2025-07-20
Bodegón con fantasmas,https://www.palomitacas.com/pelicula/ficha/p1352706,1352706,8.5,8.5,20 de julio - 2025,2025-07-20
Girasoles silvestres,https://www.palomitacas.com/pelicula/ficha/p766804,766804,6.5,6.5,20 de julio - 2025,2025-07-20
En el nombre de...,https://www.palomitacas.com/pelicula/ficha/p1342227,1342227,6.5,6.5,19 de julio - 2025,2025-07-19
Make Me a Pizza,https://www.palomitacas.com/pelicula/ficha/p1242724,1242724,8.0,8.0,19 de julio - 2025,2025-07-19
Tulpa,https://www.palomitacas.com/pelicula/ficha/p1483751,1483751,7.0,7.0,19 de julio - 2025,2025-07-19
Parasomnia,https://www.palomitacas.com/pelicula/ficha/p1337999,1337999,6.5,6.5,19 de julio - 2025,2025-07-19
La gran cita de Conej,https://www.palomitacas.com/pelicula/ficha/p1139861,1139861,6.5,6.5,19 de julio - 2025,2025-07-19
Avant de rentrer...,https://www.palomitacas.com/pelicula/ficha/p1512139,1512139,6.5,6.5,19 de julio - 2025,2025-07-19
Minuit Frissons,https://www.palomitacas.com/pelicula/ficha/p1278807,1278807,8.0,8.0,19 de julio - 2025,2025-07-19
Ghosting,https://www.palomitacas.com/pelicula/ficha/p1469839,1469839,8.0,8.0,19 de julio - 2025,2025-07-19
Refugios,https://www.palomitacas.com/pelicula/ficha/p1477272,1477272,7.0,7.0,19 de julio - 2025,2025-07-19
S.S,https://www.palomitacas.com/pelicula/ficha/p1322715,1322715,9.0,9.0,19 de julio - 2025,2025-07-19
Tragedium,https://www.palomitacas.com/pelicula/ficha/p1354834,1354834,8.0,8.0,19 de julio - 2025,2025-07-19
Jour de vent,https://www.palomitacas.com/pelicula/ficha/p1461235,1461235,8.0,8.0,19 de julio - 2025,2025-07-19
Wormwood,https://www.palomitacas.com/pelicula/ficha/p1368483,1368483,6.5,6.5,19 de julio - 2025,2025-07-19
Lui,https://www.palomitacas.com/pelicula/ficha/p1366977,1366977,6.5,6.5,19 de julio - 2025,2025-07-19
Skeeter,https://www.palomitacas.com/pelicula/ficha/p1340142,1340142,7.0,7.0,19 de julio - 2025,2025-07-19
Ostras,https://www.palomitacas.com/pelicula/ficha/p1372364,1372364,8.0,8.0,19 de julio - 2025,2025-07-19
Filante,https://www.palomitacas.com/pelicula/ficha/p1254609,1254609,7.5,7.5,19 de julio - 2025,2025-07-19
Feliz Suicidio,https://www.palomitacas.com/pelicula/ficha/p1507620,1507620,7.5,7.5,19 de julio - 2025,2025-07-19
El atrapasueños,https://www.palomitacas.com/pelicula/ficha/p1368498,1368498,6.5,6.5,19 de julio - 2025,2025-07-19
Daniela Forever,https://www.palomitacas.com/pelicula/ficha/p1084440,1084440,7.0,7.0,13 de julio - 2025,2025-07-13
Hasta la eternidad,https://www.palomitacas.com/pelicula/ficha/p1214502,1214502,6.0,6.0,13 de julio - 2025,2025-07-13
La increíble y verdadera historia de 2 mujeres enamoradas,https://www.palomitacas.com/pelicula/ficha/p29371,29371,7.5,7.5,01 de julio - 2025,2025-07-01
Palíndromos,https://www.palomitacas.com/pelicula/ficha/p13073,13073,8.0,8.0,29 de junio - 2025,2025-06-29
Along with the Gods: Los dos mundos,https://www.palomitacas.com/pelicula/ficha/p397567,397567,6.0,6.0,29 de junio - 2025,2025-06-29
Atómica,https://www.palomitacas.com/pelicula/ficha/p341013,341013,6.5,6.5,25 de junio - 2025,2025-06-25
Ellas en la ciudad,https://www.palomitacas.com/pelicula/ficha/p1386048,1386048,8.0,8.0,24 de junio - 2025,2025-06-24
Summer Time Machine Blues,https://www.palomitacas.com/pelicula/ficha/p26130,26130,6.5,6.5,23 de junio - 2025,2025-06-23
Más allá de los dos minutos infinitos,https://www.palomitacas.com/pelicula/ficha/p805627,805627,7.0,7.0,23 de junio - 2025,2025-06-23
La mujer avispa,https://www.palomitacas.com/pelicula/ficha/p27545,27545,6.0,6.0,19 de junio - 2025,2025-06-19
Cónclave,https://www.palomitacas.com/pelicula/ficha/p974576,974576,6.0,6.0,11 de mayo - 2025,2025-05-11
Bridget Jones: Loca por él,https://www.palomitacas.com/pelicula/ficha/p1272149,1272149,5.0,5.0,25 de abril - 2025,2025-04-25
Sorda,https://www.palomitacas.com/pelicula/ficha/p1303613,1303613,6.5,6.5,21 de abril - 2025,2025-04-21
Por todo lo alto,https://www.palomitacas.com/pelicula/ficha/p1000866,1000866,6.0,6.0,31 de marzo - 2025,2025-03-31
El diario de Bridget Jones,https://www.palomitacas.com/pelicula/ficha/p634,634,8.0,8.0,05 de marzo - 2025,2025-03-05
The Brutalist,https://www.palomitacas.com/pelicula/ficha/p549509,549509,5.5,5.5,02 de marzo - 2025,2025-03-02
Mufasa: El rey león,https://www.palomitacas.com/pelicula/ficha/p762509,762509,6.0,6.0,22 de febrero - 2025,2025-02-22
Marco: la verdad inventada,https://www.palomitacas.com/pelicula/ficha/p1195100,1195100,7.0,7.0,18 de febrero - 2025,2025-02-18
"Crazy, Stupid, Love.",https://www.palomitacas.com/pelicula/ficha/p50646,50646,7.0,7.0,16 de febrero - 2025,2025-02-16
Las vidas de Sing Sing,https://www.palomitacas.com/pelicula/ficha/p1155828,1155828,6.5,6.5,13 de febrero - 2025,2025-02-13
Wallace y Gromit: La venganza se sirve con plumas,https://www.palomitacas.com/pelicula/ficha/p929204,929204,6.0,6.0,10 de febrero - 2025,2025-02-10
Salve María,https://www.palomitacas.com/pelicula/ficha/p1247597,1247597,8.0,8.0,09 de febrero - 2025,2025-02-09
Volveréis,https://www.palomitacas.com/pelicula/ficha/p1214118,1214118,6.5,6.5,09 de febrero - 2025,2025-02-09
Extraña forma de vida,https://www.palomitacas.com/pelicula/ficha/p963765,963765,7.5,7.5,08 de febrero - 2025,2025-02-08
"Flow, un mundo que salvar",https://www.palomitacas.com/pelicula/ficha/p823219,823219,7.0,7.0,03 de febrero - 2025,2025-02-03
El doctor Frankenstein,https://www.palomitacas.com/pelicula/ficha/p3035,3035,7.0,7.0,01 de febrero - 2025,2025-02-01
Nosferatu,https://www.palomitacas.com/pelicula/ficha/p426063,426063,7.5,7.5,28 de enero - 2025,2025-01-28
Emilia Pérez,https://www.palomitacas.com/pelicula/ficha/p974950,974950,3.0,3.0,28 de enero - 2025,2025-01-28
L'edat imminent,https://www.palomitacas.com/pelicula/ficha/p1320471,1320471,7.0,7.0,22 de enero - 2025,2025-01-22
Kneecap,https://www.palomitacas.com/pelicula/ficha/p1180629,1180629,7.0,7.0,17 de enero - 2025,2025-01-17
Vaiana 2,https://www.palomitacas.com/pelicula/ficha/p1241982,1241982,6.0,6.0,08 de enero - 2025,2025-01-08
Murderville: El misterio del asesinato de Papá Noel,https://www.palomitacas.com/pelicula/ficha/p1050266,1050266,6.5,6.5,05 de enero - 2025,2025-01-05
Blizzard: el reno mágico,https://www.palomitacas.com/pelicula/ficha/p22081,22081,3.0,3.0,02 de enero - 2025,2025-01-02
Nativity!,https://www.palomitacas.com/pelicula/ficha/p49522,49522,6.5,6.5,01 de enero - 2025,2025-01-01
Patema: Dos mundos inversos,https://www.palomitacas.com/pelicula/ficha/p212167,212167,6.5,6.5,01 de enero - 2025,2025-01-01
Aquella Navidad,https://www.palomitacas.com/pelicula/ficha/p645757,645757,6.0,6.0,01 de enero - 2025,2025-01-01
Robot salvaje,https://www.palomitacas.com/pelicula/ficha/p1184918,1184918,6.0,6.0,31 de diciembre - 2024,2024-12-31
Wicked,https://www.palomitacas.com/pelicula/ficha/p402431,402431,7.0,7.0,09 de diciembre - 2024,2024-12-09
No respires 2,https://www.palomitacas.com/pelicula/ficha/p482373,482373,6.0,6.0,08 de diciembre - 2024,2024-12-08
Hechizados,https://www.palomitacas.com/pelicula/ficha/p592983,592983,5.5,5.5,08 de diciembre - 2024,2024-12-08
Jurado Nº 2,https://www.palomitacas.com/pelicula/ficha/p1106739,1106739,6.0,6.0,06 de diciembre - 2024,2024-12-06
Nowhere,https://www.palomitacas.com/pelicula/ficha/p1151534,1151534,5.5,5.5,06 de diciembre - 2024,2024-12-06
Martyrs,https://www.palomitacas.com/pelicula/ficha/p9539,9539,7.0,7.0,06 de diciembre - 2024,2024-12-06
Ratónpolis,https://www.palomitacas.com/pelicula/ficha/p11619,11619,6.0,6.0,26 de noviembre - 2024,2024-11-26
Desconocidos,https://www.palomitacas.com/pelicula/ficha/p994108,994108,7.0,7.0,24 de noviembre - 2024,2024-12-01
Memorias de un caracol,https://www.palomitacas.com/pelicula/ficha/p1064486,1064486,8.5,8.5,17 de noviembre - 2024,2024-11-17
Venom: El último baile,https://www.palomitacas.com/pelicula/ficha/p912649,912649,4.0,4.0,05 de noviembre - 2024,2024-11-05
Mi mejor verano,https://www.palomitacas.com/pelicula/ficha/p501630,501630,7.0,7.0,03 de noviembre - 2024,2024-11-03
Shiva Baby,https://www.palomitacas.com/pelicula/ficha/p664300,664300,8.0,8.0,03 de noviembre - 2024,2024-11-03
Los pequeños amores,https://www.palomitacas.com/pelicula/ficha/p1088851,1088851,7.0,7.0,03 de noviembre - 2024,2024-11-03
The Apparition,https://www.palomitacas.com/pelicula/ficha/p79694,79694,3.0,3.0,01 de noviembre - 2024,2024-11-01
School-Live!,https://www.palomitacas.com/pelicula/ficha/p572609,572609,6.0,6.0,01 de noviembre - 2024,2024-11-01
We Need to Do Something,https://www.palomitacas.com/pelicula/ficha/p769364,769364,4.5,4.5,01 de noviembre - 2024,2024-11-01
