title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Critters ¡Al ataque!,https://www.palomitacas.com/pelicula/ficha/p597856,597856,6.0,6.0,01 de enero - 2026,2026-01-01
La hermana de nieve,https://www.palomitacas.com/pelicula/ficha/p1365044,1365044,6.5,6.5,31 de diciembre - 2025,2025-12-31
Viviendo sin límites,https://www.palomitacas.com/pelicula/ficha/p9430,9430,,,,
La soga,https://www.palomitacas.com/pelicula/ficha/p1580,1580,,,,
Agárralo como puedas,https://www.palomitacas.com/pelicula/ficha/p1035259,1035259,6.5,6.5,25 de diciembre - 2025,2025-12-25
Transsiberian,https://www.palomitacas.com/pelicula/ficha/p6687,6687,5.5,5.5,23 de diciembre - 2025,2025-12-23
La Navidad en sus manos 2,https://www.palomitacas.com/pelicula/ficha/p1196207,1196207,5.5,5.5,21 de diciembre - 2025,2025-12-21
El aprendiz de papá noel y el copo de nieve mágico,https://www.palomitacas.com/pelicula/ficha/p305387,305387,6.0,6.0,20 de diciembre - 2025,2025-12-20
Una mirada atenta,https://www.palomitacas.com/pelicula/ficha/p222715,222715,,,,
La novia cadáver,https://www.palomitacas.com/pelicula/ficha/p3933,3933,7.5,7.5,14 de diciembre - 2025,2025-12-14
La Navidad en sus manos,https://www.palomitacas.com/pelicula/ficha/p1100763,1100763,4.5,4.5,13 de diciembre - 2025,2025-12-13
"Espejo, espejo",https://www.palomitacas.com/pelicula/ficha/p929449,929449,4.0,4.0,08 de diciembre - 2025,2025-12-08
El Grinch: el cuento animado,https://www.palomitacas.com/pelicula/ficha/p13377,13377,,,,
El hombre que inventó la Navidad,https://www.palomitacas.com/pelicula/ficha/p450322,450322,6.5,6.5,07 de diciembre - 2025,2025-12-07
Atrapados en un bucle infinito,https://www.palomitacas.com/pelicula/ficha/p1138476,1138476,,,,
El aprendiz de Papá Noel,https://www.palomitacas.com/pelicula/ficha/p51450,51450,6.5,6.5,07 de diciembre - 2025,2025-12-07
