title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Los domingos,https://www.palomitacas.com/pelicula/ficha/p1443576,1443576,,,,
Solo en casa 4,https://www.palomitacas.com/pelicula/ficha/p12536,12536,,,,
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,7.5,7.5,14 de diciembre - 2025,2025-12-14
Dangerous Animals,https://www.palomitacas.com/pelicula/ficha/p1285965,1285965,,,,
Warfare: Tiempo de guerra,https://www.palomitacas.com/pelicula/ficha/p1241436,1241436,,,,
La larga marcha,https://www.palomitacas.com/pelicula/ficha/p604079,604079,6.5,6.5,03 de diciembre - 2025,2025-12-03
La muerte del unicornio,https://www.palomitacas.com/pelicula/ficha/p1153714,1153714,,,,
Bala perdida,https://www.palomitacas.com/pelicula/ficha/p1245993,1245993,,,,
Los siete samuráis,https://www.palomitacas.com/pelicula/ficha/p346,346,,,,
Heretic,https://www.palomitacas.com/pelicula/ficha/p1138194,1138194,,,,
捕风追影,https://www.palomitacas.com/pelicula/ficha/p1419406,1419406,,,,
Barbarian,https://www.palomitacas.com/pelicula/ficha/p913290,913290,7.0,7.0,02 de noviembre - 2025,2025-11-02
Más allá del tiempo,https://www.palomitacas.com/pelicula/ficha/p24420,24420,,,,
El día de la bestia,https://www.palomitacas.com/pelicula/ficha/p10722,10722,,,,
Avatar: Fuego y ceniza,https://www.palomitacas.com/pelicula/ficha/p83533,83533,,,,
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,7.0,7.0,18 de octubre - 2025,2025-12-23
"Flow, un mundo que salvar",https://www.palomitacas.com/pelicula/ficha/p823219,823219,,,,
Sin Tregua,https://www.palomitacas.com/pelicula/ficha/p77016,77016,,,,
Los que se quedan,https://www.palomitacas.com/pelicula/ficha/p840430,840430,,,,
Oppenheimer,https://www.palomitacas.com/pelicula/ficha/p872585,872585,7.0,7.0,30 de septiembre - 2025,2025-09-30
Ava,https://www.palomitacas.com/pelicula/ficha/p539885,539885,,,,
Spy Game (Juego de espías),https://www.palomitacas.com/pelicula/ficha/p1535,1535,7.0,7.0,23 de septiembre - 2025,2025-09-23
Nadie 2,https://www.palomitacas.com/pelicula/ficha/p1007734,1007734,7.0,7.0,21 de septiembre - 2025,2025-09-21
Un funeral de locos,https://www.palomitacas.com/pelicula/ficha/p1358013,1358013,,,,
La evaluación,https://www.palomitacas.com/pelicula/ficha/p1317088,1317088,,,,
