title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Five Nights at Freddy's 2,https://www.palomitacas.com/pelicula/ficha/p1228246,1228246,4.5,4.5,03 de enero - 2026,2026-01-03
El príncipe y yo,https://www.palomitacas.com/pelicula/ficha/p11137,11137,7.0,7.0,01 de enero - 2026,2026-01-01
Encanto,https://www.palomitacas.com/pelicula/ficha/p568124,568124,6.5,6.5,01 de enero - 2026,2026-01-01
Molly's Game,https://www.palomitacas.com/pelicula/ficha/p396371,396371,6.5,6.5,29 de diciembre - 2025,2025-12-29
Flow,https://www.palomitacas.com/pelicula/ficha/p1281775,1281775,9.5,9.5,27 de diciembre - 2025,2025-12-27
Good Boy,https://www.palomitacas.com/pelicula/ficha/p1422096,1422096,7.5,7.5,26 de diciembre - 2025,2025-12-26
"Sí, quiero... o no",https://www.palomitacas.com/pelicula/ficha/p972230,972230,7.0,7.0,25 de diciembre - 2025,2025-12-25
Los secretos de la Cosa Nostra,https://www.palomitacas.com/pelicula/ficha/p33357,33357,6.5,6.5,17 de diciembre - 2025,2025-12-17
Archive,https://www.palomitacas.com/pelicula/ficha/p606234,606234,6.5,6.5,14 de diciembre - 2025,2025-12-14
Curve (La curva de la muerte),https://www.palomitacas.com/pelicula/ficha/p347754,347754,6.0,6.0,13 de diciembre - 2025,2025-12-13
Zootrópolis 2,https://www.palomitacas.com/pelicula/ficha/p1084242,1084242,8.5,8.5,12 de diciembre - 2025,2025-12-15
Arrástrame al infierno,https://www.palomitacas.com/pelicula/ficha/p16871,16871,4.5,4.5,11 de diciembre - 2025,2025-12-11
Robot salvaje,https://www.palomitacas.com/pelicula/ficha/p1184918,1184918,10.0,10.0,10 de diciembre - 2025,2025-12-10
High Rollers,https://www.palomitacas.com/pelicula/ficha/p1149167,1149167,6.0,6.0,08 de diciembre - 2025,2025-12-08
Pena de muerte,https://www.palomitacas.com/pelicula/ficha/p687,687,7.0,7.0,07 de diciembre - 2025,2025-12-07
Freddie Agente F.R.O.7.,https://www.palomitacas.com/pelicula/ficha/p110395,110395,,,,
Agua para elefantes,https://www.palomitacas.com/pelicula/ficha/p55787,55787,7.5,7.5,30 de noviembre - 2025,2025-11-30
Birdy,https://www.palomitacas.com/pelicula/ficha/p11296,11296,7.0,7.0,30 de noviembre - 2025,2025-11-30
Bloodshot,https://www.palomitacas.com/pelicula/ficha/p338762,338762,5.0,5.0,28 de noviembre - 2025,2025-11-28
Sisu: Camino a la vengaza,https://www.palomitacas.com/pelicula/ficha/p1223601,1223601,7.5,7.5,24 de noviembre - 2025,2025-11-24
DC Liga de supermascotas,https://www.palomitacas.com/pelicula/ficha/p539681,539681,7.0,7.0,23 de noviembre - 2025,2025-11-23
"Dodge, ciudad sin ley",https://www.palomitacas.com/pelicula/ficha/p17660,17660,7.0,7.0,20 de noviembre - 2025,2025-11-20
Las seductoras,https://www.palomitacas.com/pelicula/ficha/p10833,10833,6.5,6.5,08 de noviembre - 2025,2025-11-08
Tres mujeres para un caradura (L.A. Story),https://www.palomitacas.com/pelicula/ficha/p2107,2107,7.5,7.5,12 de octubre - 2025,2025-10-12
Cuenta conmigo,https://www.palomitacas.com/pelicula/ficha/p235,235,8.0,8.0,12 de octubre - 2025,2025-10-12
La jungla 2: Alerta roja,https://www.palomitacas.com/pelicula/ficha/p1573,1573,8.0,8.0,11 de octubre - 2025,2025-10-11
Sin rodeos,https://www.palomitacas.com/pelicula/ficha/p505015,505015,7.0,7.0,10 de octubre - 2025,2025-10-10
El consejero,https://www.palomitacas.com/pelicula/ficha/p109091,109091,3.0,3.0,06 de octubre - 2025,2025-10-06
52 vive o muere,https://www.palomitacas.com/pelicula/ficha/p18588,18588,7.0,7.0,28 de septiembre - 2025,2025-09-28
Sisu,https://www.palomitacas.com/pelicula/ficha/p840326,840326,8.0,8.0,19 de septiembre - 2025,2025-09-19
Los otros,https://www.palomitacas.com/pelicula/ficha/p1933,1933,8.5,8.5,13 de septiembre - 2025,2025-09-13
The Equalizer 3,https://www.palomitacas.com/pelicula/ficha/p926393,926393,6.5,6.5,12 de septiembre - 2025,2025-09-12
Misión: Imposible - Sentencia final,https://www.palomitacas.com/pelicula/ficha/p575265,575265,5.0,5.0,08 de septiembre - 2025,2025-09-08
El enemigo público nº1... mi padre,https://www.palomitacas.com/pelicula/ficha/p65137,65137,7.0,7.0,07 de septiembre - 2025,2025-09-07
El chico ideal,https://www.palomitacas.com/pelicula/ficha/p11003,11003,7.0,7.0,07 de septiembre - 2025,2025-09-07
Daño colateral,https://www.palomitacas.com/pelicula/ficha/p9884,9884,7.0,7.0,06 de septiembre - 2025,2025-09-06
Hasta el cielo,https://www.palomitacas.com/pelicula/ficha/p651589,651589,3.0,3.0,05 de septiembre - 2025,2025-09-05
El correo,https://www.palomitacas.com/pelicula/ficha/p1148713,1148713,4.5,4.5,05 de septiembre - 2025,2025-09-05
Secaderos,https://www.palomitacas.com/pelicula/ficha/p1007696,1007696,3.0,3.0,03 de septiembre - 2025,2025-09-03
Héroes de barrio,https://www.palomitacas.com/pelicula/ficha/p810214,810214,4.0,4.0,03 de septiembre - 2025,2025-09-03
The Yacht: La pasajera,https://www.palomitacas.com/pelicula/ficha/p999205,999205,3.5,3.5,28 de agosto - 2025,2025-08-28
Con su propia justicia,https://www.palomitacas.com/pelicula/ficha/p624789,624789,6.0,6.0,28 de agosto - 2025,2025-08-28
Paradise City,https://www.palomitacas.com/pelicula/ficha/p829799,829799,5.5,5.5,28 de agosto - 2025,2025-08-28
Paradox,https://www.palomitacas.com/pelicula/ficha/p452558,452558,6.5,6.5,25 de agosto - 2025,2025-08-25
Supercell,https://www.palomitacas.com/pelicula/ficha/p842945,842945,6.5,6.5,24 de agosto - 2025,2025-08-24
Cualquiera menos tú,https://www.palomitacas.com/pelicula/ficha/p1072790,1072790,7.0,7.0,24 de agosto - 2025,2025-08-24
Blinded by the Light (Cegado por la luz),https://www.palomitacas.com/pelicula/ficha/p534259,534259,8.0,8.0,23 de agosto - 2025,2025-08-23
Dog - Un viaje salvaje,https://www.palomitacas.com/pelicula/ficha/p626735,626735,7.0,7.0,23 de agosto - 2025,2025-08-23
¡Menudo fenómeno!,https://www.palomitacas.com/pelicula/ficha/p146239,146239,7.0,7.0,20 de agosto - 2025,2025-08-20
Payback,https://www.palomitacas.com/pelicula/ficha/p2112,2112,6.5,6.5,19 de agosto - 2025,2025-08-19
Los descendientes,https://www.palomitacas.com/pelicula/ficha/p65057,65057,7.0,7.0,17 de agosto - 2025,2025-08-17
Indie Game: The Movie,https://www.palomitacas.com/pelicula/ficha/p80215,80215,8.0,8.0,16 de agosto - 2025,2025-08-16
Man vs. Snake,https://www.palomitacas.com/pelicula/ficha/p356335,356335,,,,
García y García,https://www.palomitacas.com/pelicula/ficha/p774456,774456,3.5,3.5,15 de agosto - 2025,2025-08-15
El hotel de los líos: García y García 2,https://www.palomitacas.com/pelicula/ficha/p1040861,1040861,2.0,2.0,15 de agosto - 2025,2025-08-15
Socios y sabuesos,https://www.palomitacas.com/pelicula/ficha/p6951,6951,7.0,7.0,13 de agosto - 2025,2025-08-13
Los tipos malos 2,https://www.palomitacas.com/pelicula/ficha/p1175942,1175942,,,,
5 es el número perfecto,https://www.palomitacas.com/pelicula/ficha/p571473,571473,5.0,5.0,10 de agosto - 2025,2025-08-10
H4Z4RD,https://www.palomitacas.com/pelicula/ficha/p869855,869855,7.0,7.0,09 de agosto - 2025,2025-08-09
American Yakuza,https://www.palomitacas.com/pelicula/ficha/p36909,36909,7.0,7.0,08 de agosto - 2025,2025-08-08
Guerra de novias,https://www.palomitacas.com/pelicula/ficha/p10521,10521,6.5,6.5,03 de agosto - 2025,2025-08-03
La hora de la venganza,https://www.palomitacas.com/pelicula/ficha/p397415,397415,6.5,6.5,03 de agosto - 2025,2025-08-03
El diablo tiene un nombre,https://www.palomitacas.com/pelicula/ficha/p507712,507712,6.0,6.0,02 de agosto - 2025,2025-08-02
Bajo el mismo techo,https://www.palomitacas.com/pelicula/ficha/p555657,555657,4.5,4.5,30 de julio - 2025,2025-07-30
"Legítima defensa, de John Grisham",https://www.palomitacas.com/pelicula/ficha/p11975,11975,8.0,8.0,28 de julio - 2025,2025-07-28
Sombrero de copa,https://www.palomitacas.com/pelicula/ficha/p3080,3080,7.0,7.0,25 de julio - 2025,2025-07-25
Tango y Cash,https://www.palomitacas.com/pelicula/ficha/p9618,9618,7.5,7.5,21 de julio - 2025,2025-07-21
Indiana Jones y el dial del destino,https://www.palomitacas.com/pelicula/ficha/p335977,335977,7.0,7.0,21 de julio - 2025,2025-07-21
Zombis nazis 2,https://www.palomitacas.com/pelicula/ficha/p241842,241842,9.0,9.0,19 de julio - 2025,2025-07-19
Descansa en paz,https://www.palomitacas.com/pelicula/ficha/p1020896,1020896,2.5,2.5,18 de julio - 2025,2025-07-18
El permiso,https://www.palomitacas.com/pelicula/ficha/p502426,502426,7.0,7.0,14 de julio - 2025,2025-07-14
Weird: La historia de Al Yankovic,https://www.palomitacas.com/pelicula/ficha/p928344,928344,7.0,7.0,14 de julio - 2025,2025-07-14
Voy a pasármelo bien,https://www.palomitacas.com/pelicula/ficha/p888311,888311,6.5,6.5,13 de julio - 2025,2025-07-13
Tiburón 4: La venganza,https://www.palomitacas.com/pelicula/ficha/p580,580,6.5,6.5,13 de julio - 2025,2025-07-13
Tiburón 3,https://www.palomitacas.com/pelicula/ficha/p17692,17692,5.5,5.5,13 de julio - 2025,2025-07-13
Ferrari,https://www.palomitacas.com/pelicula/ficha/p365620,365620,4.0,4.0,13 de julio - 2025,2025-07-13
Gatlopp,https://www.palomitacas.com/pelicula/ficha/p893338,893338,6.0,6.0,10 de julio - 2025,2025-07-10
