title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Harry Potter y el prisionero de Azkaban,https://www.palomitacas.com/pelicula/ficha/p673,673,,,,
Midsommar,https://www.palomitacas.com/pelicula/ficha/p530385,530385,4.0,4.0,11 de abril - 2022,2022-04-11
Flash Gordon,https://www.palomitacas.com/pelicula/ficha/p3604,3604,,,,
Mi pie izquierdo,https://www.palomitacas.com/pelicula/ficha/p10161,10161,7.0,7.0,08 de abril - 2022,2022-04-08
Serenity,https://www.palomitacas.com/pelicula/ficha/p452832,452832,4.0,4.0,04 de abril - 2022,2022-04-04
Toda la verdad,https://www.palomitacas.com/pelicula/ficha/p331583,331583,6.0,6.0,02 de abril - 2022,2022-04-02
Brothers (Hermanos),https://www.palomitacas.com/pelicula/ficha/p7445,7445,5.0,5.0,02 de abril - 2022,2022-04-02
Más fuerte que el destino,https://www.palomitacas.com/pelicula/ficha/p395993,395993,5.0,5.0,02 de abril - 2022,2022-04-02
¿Quién teme al lobo feroz? (Hunted),https://www.palomitacas.com/pelicula/ficha/p660335,660335,2.0,2.0,02 de abril - 2022,2022-04-02
Gunpowder Milkshake (Cóctel explosivo),https://www.palomitacas.com/pelicula/ficha/p574060,574060,5.0,5.0,02 de abril - 2022,2022-04-02
Red,https://www.palomitacas.com/pelicula/ficha/p508947,508947,6.0,6.0,31 de marzo - 2022,2022-03-31
Nadie,https://www.palomitacas.com/pelicula/ficha/p615457,615457,6.0,6.0,27 de marzo - 2022,2022-03-27
El robo del siglo,https://www.palomitacas.com/pelicula/ficha/p609242,609242,4.0,4.0,25 de marzo - 2022,2022-03-25
Ready Player One,https://www.palomitacas.com/pelicula/ficha/p333339,333339,7.0,7.0,12 de marzo - 2022,2022-03-12
La casa de las profundidades,https://www.palomitacas.com/pelicula/ficha/p672582,672582,5.0,5.0,11 de marzo - 2022,2022-03-11
Secuestro,https://www.palomitacas.com/pelicula/ficha/p10871,10871,6.0,6.0,11 de marzo - 2022,2022-03-11
Salvaje,https://www.palomitacas.com/pelicula/ficha/p625568,625568,6.0,6.0,11 de marzo - 2022,2022-03-11
Secretos de Estado,https://www.palomitacas.com/pelicula/ficha/p393624,393624,6.0,6.0,05 de marzo - 2022,2022-03-05
Rompiendo las normas,https://www.palomitacas.com/pelicula/ficha/p567965,567965,5.0,5.0,05 de marzo - 2022,2022-03-05
El rascacielos,https://www.palomitacas.com/pelicula/ficha/p447200,447200,5.0,5.0,05 de marzo - 2022,2022-03-05
Fantasy Island,https://www.palomitacas.com/pelicula/ficha/p539537,539537,5.0,5.0,04 de marzo - 2022,2022-03-04
Geostorm,https://www.palomitacas.com/pelicula/ficha/p274855,274855,4.0,4.0,04 de marzo - 2022,2022-03-04
The Silencing,https://www.palomitacas.com/pelicula/ficha/p603119,603119,6.0,6.0,03 de marzo - 2022,2022-03-03
Muertos y enterrados,https://www.palomitacas.com/pelicula/ficha/p24274,24274,6.0,6.0,02 de marzo - 2022,2022-03-02
Los Hollar,https://www.palomitacas.com/pelicula/ficha/p325346,325346,4.0,4.0,26 de febrero - 2022,2022-02-26
Ocean's 8,https://www.palomitacas.com/pelicula/ficha/p402900,402900,5.0,5.0,26 de febrero - 2022,2022-02-26
Tiempo,https://www.palomitacas.com/pelicula/ficha/p631843,631843,5.0,5.0,25 de febrero - 2022,2022-02-25
The Equalizer 2,https://www.palomitacas.com/pelicula/ficha/p345887,345887,6.0,6.0,20 de febrero - 2022,2022-02-20
Cuestión de sangre,https://www.palomitacas.com/pelicula/ficha/p616651,616651,5.0,5.0,18 de febrero - 2022,2022-02-18
¡Tú la llevas!,https://www.palomitacas.com/pelicula/ficha/p455980,455980,5.0,5.0,12 de febrero - 2022,2022-02-12
Wonder,https://www.palomitacas.com/pelicula/ficha/p406997,406997,7.0,7.0,12 de febrero - 2022,2022-02-12
