title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Avatar: Fuego y ceniza,https://www.palomitacas.com/pelicula/ficha/p83533,83533,8.0,8.0,30 de diciembre - 2025,2025-12-30
Together,https://www.palomitacas.com/pelicula/ficha/p1242011,1242011,7.0,7.0,29 de diciembre - 2025,2025-12-29
Flow,https://www.palomitacas.com/pelicula/ficha/p1281775,1281775,8.5,8.5,27 de diciembre - 2025,2025-12-27
La Patrulla Canina: En Navidad,https://www.palomitacas.com/pelicula/ficha/p1507275,1507275,1.0,1.0,23 de diciembre - 2025,2025-12-23
Memorias de un caracol,https://www.palomitacas.com/pelicula/ficha/p1064486,1064486,,,,
Un simple accidente,https://www.palomitacas.com/pelicula/ficha/p1456349,1456349,7.0,7.0,08 de diciembre - 2025,2025-12-16
Hamnet,https://www.palomitacas.com/pelicula/ficha/p858024,858024,,,,
El Grinch,https://www.palomitacas.com/pelicula/ficha/p360920,360920,5.0,5.0,06 de diciembre - 2025,2025-12-06
Arco,https://www.palomitacas.com/pelicula/ficha/p804370,804370,,,,
Atrapado en el pasado. Se acabó la buena vida,https://www.palomitacas.com/pelicula/ficha/p575828,575828,,,,
Blue Moon,https://www.palomitacas.com/pelicula/ficha/p1299655,1299655,7.0,7.0,30 de noviembre - 2025,2025-12-30
Zootrópolis 2,https://www.palomitacas.com/pelicula/ficha/p1084242,1084242,,,,
Wicked Parte II,https://www.palomitacas.com/pelicula/ficha/p967941,967941,5.0,5.0,24 de noviembre - 2025,2025-12-07
Train Dreams,https://www.palomitacas.com/pelicula/ficha/p1241983,1241983,8.0,8.0,24 de noviembre - 2025,2025-12-10
The Running Man,https://www.palomitacas.com/pelicula/ficha/p798645,798645,7.0,7.0,24 de noviembre - 2025,2025-12-12
El mejor,https://www.palomitacas.com/pelicula/ficha/p986097,986097,,,,
The Order (La hermandad silenciosa),https://www.palomitacas.com/pelicula/ficha/p1082195,1082195,,,,
狂野时代,https://www.palomitacas.com/pelicula/ficha/p878608,878608,,,,
Time,https://www.palomitacas.com/pelicula/ficha/p25648,25648,,,,
Confidencial (Black Bag),https://www.palomitacas.com/pelicula/ficha/p1233575,1233575,,,,
Amenaza en el aire,https://www.palomitacas.com/pelicula/ficha/p1126166,1126166,,,,
What Josiah Saw,https://www.palomitacas.com/pelicula/ficha/p696605,696605,,,,
Predator: Badlands,https://www.palomitacas.com/pelicula/ficha/p1242898,1242898,6.5,6.5,06 de noviembre - 2025,2025-11-28
Bugonia,https://www.palomitacas.com/pelicula/ficha/p701387,701387,,,,
Maldita suerte,https://www.palomitacas.com/pelicula/ficha/p1272166,1272166,,,,
Una casa llena de dinamita,https://www.palomitacas.com/pelicula/ficha/p1290159,1290159,6.0,6.0,06 de noviembre - 2025,2025-12-22
Nadie 2,https://www.palomitacas.com/pelicula/ficha/p1007734,1007734,,,,
Eddington,https://www.palomitacas.com/pelicula/ficha/p648878,648878,,,,
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,6.0,6.0,25 de octubre - 2025,2025-11-06
Riadas,https://www.palomitacas.com/pelicula/ficha/p1564209,1564209,6.0,6.0,25 de octubre - 2025,2025-10-25
Pequeños calvarios,https://www.palomitacas.com/pelicula/ficha/p1187298,1187298,4.5,4.5,25 de octubre - 2025,2025-10-25
La larga marcha,https://www.palomitacas.com/pelicula/ficha/p604079,604079,7.5,7.5,19 de octubre - 2025,2025-12-04
슬픈 열대,https://www.palomitacas.com/pelicula/ficha/p1317410,1317410,,,,
Redux Redux,https://www.palomitacas.com/pelicula/ficha/p1340110,1340110,,,,
Primate,https://www.palomitacas.com/pelicula/ficha/p1315303,1315303,,,,
Black Phone 2,https://www.palomitacas.com/pelicula/ficha/p1197137,1197137,5.0,5.0,19 de octubre - 2025,2025-11-06
어쩔수가없다,https://www.palomitacas.com/pelicula/ficha/p639988,639988,,,,
Sisu: Camino a la vengaza,https://www.palomitacas.com/pelicula/ficha/p1223601,1223601,,,,
Reflet dans un diamant mort,https://www.palomitacas.com/pelicula/ficha/p1013446,1013446,,,,
Lesbian Space Princess,https://www.palomitacas.com/pelicula/ficha/p1333141,1333141,,,,
Furia,https://www.palomitacas.com/pelicula/ficha/p1484050,1484050,,,,
Honey Bunch,https://www.palomitacas.com/pelicula/ficha/p1339173,1339173,,,,
Coração das Trevas,https://www.palomitacas.com/pelicula/ficha/p588801,588801,,,,
次元を超える,https://www.palomitacas.com/pelicula/ficha/p1213025,1213025,,,,
ผีใช้ได้ค่ะ,https://www.palomitacas.com/pelicula/ficha/p1364904,1364904,,,,
Obsession,https://www.palomitacas.com/pelicula/ficha/p1339713,1339713,,,,
La Patrulla Canina: La película,https://www.palomitacas.com/pelicula/ficha/p675445,675445,5.0,5.0,15 de octubre - 2025,2025-10-15
Sonrisas,https://www.palomitacas.com/pelicula/ficha/p728282,728282,7.5,7.5,15 de octubre - 2025,2025-10-15
The Night Comes for Us,https://www.palomitacas.com/pelicula/ficha/p449992,449992,,,,
The Quinta's Ghost,https://www.palomitacas.com/pelicula/ficha/p1484061,1484061,6.5,6.5,12 de octubre - 2025,2025-10-12
The Fling,https://www.palomitacas.com/pelicula/ficha/p1065952,1065952,3.5,3.5,12 de octubre - 2025,2025-10-12
Matin brun,https://www.palomitacas.com/pelicula/ficha/p1498339,1498339,4.0,4.0,12 de octubre - 2025,2025-10-12
Wish You Were Ear,https://www.palomitacas.com/pelicula/ficha/p1415860,1415860,5.0,5.0,12 de octubre - 2025,2025-10-12
Las Bestias,https://www.palomitacas.com/pelicula/ficha/p1289967,1289967,3.0,3.0,12 de octubre - 2025,2025-10-12
Η Συνθετική Εποχή,https://www.palomitacas.com/pelicula/ficha/p1543598,1543598,2.0,2.0,12 de octubre - 2025,2025-10-12
Petra y el sol,https://www.palomitacas.com/pelicula/ficha/p1484063,1484063,6.0,6.0,12 de octubre - 2025,2025-10-12
El aspirante,https://www.palomitacas.com/pelicula/ficha/p1559368,1559368,7.0,7.0,12 de octubre - 2025,2025-10-12
La vida de Chuck,https://www.palomitacas.com/pelicula/ficha/p842924,842924,7.0,7.0,12 de octubre - 2025,2025-10-12
Em & Selma Go Griffin Hunting,https://www.palomitacas.com/pelicula/ficha/p1403471,1403471,5.5,5.5,11 de octubre - 2025,2025-10-11
Watch Me Burn,https://www.palomitacas.com/pelicula/ficha/p1534519,1534519,3.0,3.0,11 de octubre - 2025,2025-10-11
All These Faces Are Starting to Look Bizarrely Familiar,https://www.palomitacas.com/pelicula/ficha/p1310961,1310961,2.5,2.5,11 de octubre - 2025,2025-10-11
Öldürdüğün Şeyler,https://www.palomitacas.com/pelicula/ficha/p1001270,1001270,6.0,6.0,11 de octubre - 2025,2025-10-11
The Furious,https://www.palomitacas.com/pelicula/ficha/p1280738,1280738,8.0,8.0,11 de octubre - 2025,2025-10-11
Good Boy,https://www.palomitacas.com/pelicula/ficha/p1422096,1422096,4.0,4.0,11 de octubre - 2025,2025-10-11
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,7.0,7.0,03 de octubre - 2025,2025-10-03
The Monkey,https://www.palomitacas.com/pelicula/ficha/p1124620,1124620,6.0,6.0,15 de septiembre - 2025,2025-09-15
Aladdin,https://www.palomitacas.com/pelicula/ficha/p357528,357528,,,,
Dangerous Animals,https://www.palomitacas.com/pelicula/ficha/p1285965,1285965,6.5,6.5,03 de septiembre - 2025,2025-09-03
Cuando Harry encontró a Sally,https://www.palomitacas.com/pelicula/ficha/p639,639,6.5,6.5,28 de agosto - 2025,2025-08-28
Misery,https://www.palomitacas.com/pelicula/ficha/p1700,1700,7.0,7.0,28 de agosto - 2025,2025-08-28
Las guerreras k-pop,https://www.palomitacas.com/pelicula/ficha/p803796,803796,7.0,7.0,27 de agosto - 2025,2025-08-27
Primeros Síntomas,https://www.palomitacas.com/pelicula/ficha/p522706,522706,6.0,6.0,24 de agosto - 2025,2025-08-24
17 Años Juntos,https://www.palomitacas.com/pelicula/ficha/p522686,522686,7.0,7.0,24 de agosto - 2025,2025-08-24
Kellys,https://www.palomitacas.com/pelicula/ficha/p984628,984628,5.0,5.0,24 de agosto - 2025,2025-08-24
Depredador,https://www.palomitacas.com/pelicula/ficha/p464324,464324,6.0,6.0,24 de agosto - 2025,2025-08-24
Devuélvemela,https://www.palomitacas.com/pelicula/ficha/p1151031,1151031,7.0,7.0,22 de agosto - 2025,2025-08-22
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,8.0,8.0,22 de agosto - 2025,2025-08-22
Other Side of the Box,https://www.palomitacas.com/pelicula/ficha/p595801,595801,6.0,6.0,19 de agosto - 2025,2025-08-19
Los tipos malos 2,https://www.palomitacas.com/pelicula/ficha/p1175942,1175942,7.0,7.0,17 de agosto - 2025,2025-08-17
Los tipos malos,https://www.palomitacas.com/pelicula/ficha/p629542,629542,6.5,6.5,13 de agosto - 2025,2025-08-13
The Strange Thing About the Johnsons,https://www.palomitacas.com/pelicula/ficha/p164052,164052,6.5,6.5,29 de julio - 2025,2025-07-29
