title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Tranceformer: A Portrait of Lars von Trier,https://www.palomitacas.com/pelicula/ficha/p69807,69807,,,,
Year of the Horse: Neil Young and Crazy Horse Live,https://www.palomitacas.com/pelicula/ficha/p62422,62422,,,,
Los demonios,https://www.palomitacas.com/pelicula/ficha/p361571,361571,,,,
Plac Zabaw,https://www.palomitacas.com/pelicula/ficha/p413764,413764,,,,
Le pornographe,https://www.palomitacas.com/pelicula/ficha/p15915,15915,,,,
American Grindhouse,https://www.palomitacas.com/pelicula/ficha/p70862,70862,,,,
Hostile,https://www.palomitacas.com/pelicula/ficha/p461992,461992,5.0,5.0,24 de junio - 2020,2020-06-24
Clear history,https://www.palomitacas.com/pelicula/ficha/p133790,133790,5.0,5.0,22 de junio - 2020,2020-06-28
¡Tú la llevas!,https://www.palomitacas.com/pelicula/ficha/p455980,455980,,,,
Shirley,https://www.palomitacas.com/pelicula/ficha/p547017,547017,,,,
Possessor,https://www.palomitacas.com/pelicula/ficha/p435615,435615,,,,
Más allá de la muerte,https://www.palomitacas.com/pelicula/ficha/p36419,36419,5.0,5.0,06 de junio - 2020,2020-06-06
La invasión de los ultracuerpos,https://www.palomitacas.com/pelicula/ficha/p11850,11850,,,,
All Cheerleaders Die,https://www.palomitacas.com/pelicula/ficha/p210908,210908,6.0,6.0,04 de junio - 2020,2020-06-04
Punisher 2: Zona de guerra,https://www.palomitacas.com/pelicula/ficha/p13056,13056,4.5,4.5,04 de junio - 2020,2020-06-04
Infiltrados en la universidad,https://www.palomitacas.com/pelicula/ficha/p187017,187017,,,,
El sexto día,https://www.palomitacas.com/pelicula/ficha/p8452,8452,,,,
Hércules,https://www.palomitacas.com/pelicula/ficha/p184315,184315,,,,
El fin de los días,https://www.palomitacas.com/pelicula/ficha/p9946,9946,,,,
Heavy Metal,https://www.palomitacas.com/pelicula/ficha/p11827,11827,,,,
Hesher,https://www.palomitacas.com/pelicula/ficha/p44835,44835,,,,
En los 90,https://www.palomitacas.com/pelicula/ficha/p437586,437586,,,,
Gretel y Hansel,https://www.palomitacas.com/pelicula/ficha/p542224,542224,5.0,5.0,04 de junio - 2020,2020-06-03
El graduado,https://www.palomitacas.com/pelicula/ficha/p37247,37247,,,,
The Field Guide to Evil,https://www.palomitacas.com/pelicula/ficha/p436549,436549,5.0,5.0,03 de junio - 2020,2020-06-03
Las Furias (The Furies),https://www.palomitacas.com/pelicula/ficha/p528091,528091,5.0,5.0,03 de junio - 2020,2020-06-03
Hideaways,https://www.palomitacas.com/pelicula/ficha/p99494,99494,,,,
Los sustitutos,https://www.palomitacas.com/pelicula/ficha/p19959,19959,6.0,6.0,27 de mayo - 2020,2020-05-28
Techo y comida,https://www.palomitacas.com/pelicula/ficha/p331641,331641,,,,
"No sos vos, soy yo",https://www.palomitacas.com/pelicula/ficha/p83266,83266,6.0,6.0,25 de mayo - 2020,2020-05-25
Lazzaro feliz,https://www.palomitacas.com/pelicula/ficha/p481432,481432,,,,
On My Skin,https://www.palomitacas.com/pelicula/ficha/p538362,538362,7.0,7.0,25 de mayo - 2020,2020-05-25
El concierto,https://www.palomitacas.com/pelicula/ficha/p25205,25205,5.5,5.5,25 de mayo - 2020,2020-05-25
Holiday,https://www.palomitacas.com/pelicula/ficha/p490033,490033,,,,
La trinchera infinita,https://www.palomitacas.com/pelicula/ficha/p542928,542928,,,,
Capone,https://www.palomitacas.com/pelicula/ficha/p429422,429422,5.0,5.0,21 de mayo - 2020,2020-05-21
QT8: The First Eight,https://www.palomitacas.com/pelicula/ficha/p631143,631143,,,,
El cazador de sueños,https://www.palomitacas.com/pelicula/ficha/p6171,6171,4.5,4.5,18 de mayo - 2020,2020-05-17
La momia,https://www.palomitacas.com/pelicula/ficha/p282035,282035,4.0,4.0,16 de mayo - 2020,2020-05-16
Ventajas de viajar en tren,https://www.palomitacas.com/pelicula/ficha/p587986,587986,,,,
Ven con papá,https://www.palomitacas.com/pelicula/ficha/p586592,586592,,,,
The Lodge,https://www.palomitacas.com/pelicula/ficha/p474764,474764,,,,
Yo soy Madre,https://www.palomitacas.com/pelicula/ficha/p505948,505948,6.0,6.0,06 de mayo - 2020,2020-05-06
Bienvenidos al Norte,https://www.palomitacas.com/pelicula/ficha/p85038,85038,4.5,4.5,04 de mayo - 2020,2020-05-09
Bienvenidos al sur,https://www.palomitacas.com/pelicula/ficha/p48415,48415,5.5,5.5,04 de mayo - 2020,2020-05-04
Ruby Sparks,https://www.palomitacas.com/pelicula/ficha/p103332,103332,,,,
