title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Ron da error,https://www.palomitacas.com/pelicula/ficha/p482321,482321,8.0,8.0,16 de julio - 2022,2022-07-16
Hipnótico,https://www.palomitacas.com/pelicula/ficha/p864873,864873,6.0,6.0,02 de mayo - 2022,2022-05-02
La casa de las profundidades,https://www.palomitacas.com/pelicula/ficha/p672582,672582,6.5,6.5,02 de mayo - 2022,2022-05-02
El Proyecto Adam,https://www.palomitacas.com/pelicula/ficha/p696806,696806,6.5,6.5,24 de abril - 2022,2022-04-24
Dune,https://www.palomitacas.com/pelicula/ficha/p438631,438631,7.0,7.0,17 de abril - 2022,2022-04-17
Culpable,https://www.palomitacas.com/pelicula/ficha/p567748,567748,6.0,6.0,28 de marzo - 2022,2022-03-28
Red,https://www.palomitacas.com/pelicula/ficha/p508947,508947,7.5,7.5,27 de marzo - 2022,2022-03-27
Cruella,https://www.palomitacas.com/pelicula/ficha/p337404,337404,7.0,7.0,13 de marzo - 2022,2022-03-13
Luca,https://www.palomitacas.com/pelicula/ficha/p508943,508943,7.0,7.0,13 de marzo - 2022,2022-03-13
Encanto,https://www.palomitacas.com/pelicula/ficha/p568124,568124,8.0,8.0,13 de marzo - 2022,2022-03-13
Candyman,https://www.palomitacas.com/pelicula/ficha/p565028,565028,5.5,5.5,13 de marzo - 2022,2022-03-13
Guardianes de la Noche: Tren infinito,https://www.palomitacas.com/pelicula/ficha/p635302,635302,7.5,7.5,28 de febrero - 2022,2022-02-28
Tolkien,https://www.palomitacas.com/pelicula/ficha/p468224,468224,7.0,7.0,28 de febrero - 2022,2022-02-28
Troop Zero,https://www.palomitacas.com/pelicula/ficha/p525946,525946,8.0,8.0,28 de febrero - 2022,2022-02-28
Salvaje,https://www.palomitacas.com/pelicula/ficha/p625568,625568,6.5,6.5,28 de febrero - 2022,2022-02-28
Her Blue Sky,https://www.palomitacas.com/pelicula/ficha/p615165,615165,7.0,7.0,11 de febrero - 2022,2022-02-11
Raya y el último dragón,https://www.palomitacas.com/pelicula/ficha/p527774,527774,8.0,8.0,11 de febrero - 2022,2022-02-11
The King,https://www.palomitacas.com/pelicula/ficha/p504949,504949,5.0,5.0,29 de enero - 2022,2022-01-29
The Aeronauts,https://www.palomitacas.com/pelicula/ficha/p514921,514921,6.5,6.5,14 de enero - 2022,2022-01-14
"Tan cerca, tan lejos",https://www.palomitacas.com/pelicula/ficha/p583268,583268,6.0,6.0,14 de enero - 2022,2022-01-14
Sorry We Missed You,https://www.palomitacas.com/pelicula/ficha/p522369,522369,6.0,6.0,08 de enero - 2022,2022-01-08
Safari por Navidad,https://www.palomitacas.com/pelicula/ficha/p531438,531438,7.0,7.0,08 de enero - 2022,2022-01-08
Navidades en California,https://www.palomitacas.com/pelicula/ficha/p768520,768520,6.0,6.0,08 de enero - 2022,2022-01-08
La visita,https://www.palomitacas.com/pelicula/ficha/p298312,298312,6.0,6.0,25 de diciembre - 2021,2021-12-25
Peter y el dragón,https://www.palomitacas.com/pelicula/ficha/p294272,294272,8.0,8.0,20 de diciembre - 2021,2021-12-20
La Nochebuena es mi condena,https://www.palomitacas.com/pelicula/ficha/p755339,755339,7.5,7.5,20 de diciembre - 2021,2021-12-20
Crónicas de Navidad 2,https://www.palomitacas.com/pelicula/ficha/p654028,654028,6.0,6.0,19 de diciembre - 2021,2021-12-19
Amor de calendario,https://www.palomitacas.com/pelicula/ficha/p615665,615665,7.5,7.5,19 de diciembre - 2021,2021-12-19
La estación de la felicidad,https://www.palomitacas.com/pelicula/ficha/p520172,520172,8.0,8.0,19 de diciembre - 2021,2021-12-19
Wonderstruck: El museo de las maravillas,https://www.palomitacas.com/pelicula/ficha/p383709,383709,7.5,7.5,11 de diciembre - 2021,2021-12-11
Voces ocultas,https://www.palomitacas.com/pelicula/ficha/p301372,301372,6.5,6.5,11 de diciembre - 2021,2021-12-11
Voces,https://www.palomitacas.com/pelicula/ficha/p726208,726208,6.5,6.5,11 de diciembre - 2021,2021-12-11
The Closet,https://www.palomitacas.com/pelicula/ficha/p571625,571625,6.5,6.5,11 de diciembre - 2021,2021-12-11
Siete hermanas,https://www.palomitacas.com/pelicula/ficha/p406990,406990,7.0,7.0,03 de diciembre - 2021,2021-12-03
Vicky el Vikingo y La Espada Mágica,https://www.palomitacas.com/pelicula/ficha/p648572,648572,4.0,4.0,28 de noviembre - 2021,2021-11-28
Cenicienta,https://www.palomitacas.com/pelicula/ficha/p593910,593910,7.0,7.0,28 de noviembre - 2021,2021-11-28
