title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Deep Impact,https://www.palomitacas.com/pelicula/ficha/p8656,8656,6.0,6.0,30 de diciembre - 2025,2025-12-30
F1 la película,https://www.palomitacas.com/pelicula/ficha/p911430,911430,6.0,6.0,27 de diciembre - 2025,2025-12-27
Santa Claus 2,https://www.palomitacas.com/pelicula/ficha/p9021,9021,6.0,6.0,25 de diciembre - 2025,2025-12-25
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,6.0,6.0,23 de diciembre - 2025,2025-12-23
La serpiente verde,https://www.palomitacas.com/pelicula/ficha/p795607,795607,6.0,6.0,21 de diciembre - 2025,2025-12-21
La primera profecía,https://www.palomitacas.com/pelicula/ficha/p437342,437342,6.0,6.0,18 de diciembre - 2025,2025-12-19
"Expiación, más allá de la pasión",https://www.palomitacas.com/pelicula/ficha/p4347,4347,,,,
El especialista,https://www.palomitacas.com/pelicula/ficha/p746036,746036,5.0,5.0,16 de diciembre - 2025,2025-12-16
La serpiente blanca,https://www.palomitacas.com/pelicula/ficha/p573699,573699,5.0,5.0,09 de diciembre - 2025,2025-12-09
Érase una vez en… Hollywood,https://www.palomitacas.com/pelicula/ficha/p466272,466272,6.0,6.0,09 de diciembre - 2025,2025-12-11
Los hombres lobo,https://www.palomitacas.com/pelicula/ficha/p1091181,1091181,4.0,4.0,02 de diciembre - 2025,2025-12-02
Algo de que hablar,https://www.palomitacas.com/pelicula/ficha/p18402,18402,6.0,6.0,25 de noviembre - 2025,2025-11-25
La mujer del camarote 10,https://www.palomitacas.com/pelicula/ficha/p1290879,1290879,4.0,4.0,23 de noviembre - 2025,2025-11-22
Ahora me ves 3,https://www.palomitacas.com/pelicula/ficha/p425274,425274,,,,
Orión y la oscuridad,https://www.palomitacas.com/pelicula/ficha/p1139829,1139829,4.0,4.0,20 de noviembre - 2025,2025-11-20
Bob Marley: One Love,https://www.palomitacas.com/pelicula/ficha/p802219,802219,5.0,5.0,18 de noviembre - 2025,2025-11-18
Zootrópolis 2,https://www.palomitacas.com/pelicula/ficha/p1084242,1084242,7.0,7.0,17 de noviembre - 2025,2025-12-13
X,https://www.palomitacas.com/pelicula/ficha/p760104,760104,,,,
Pearl,https://www.palomitacas.com/pelicula/ficha/p949423,949423,,,,
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,9.0,9.0,16 de noviembre - 2025,2025-11-16
