title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Núremberg,https://www.palomitacas.com/pelicula/ficha/p1214931,1214931,7.0,7.0,03 de enero - 2026,2026-01-03
La asistenta,https://www.palomitacas.com/pelicula/ficha/p1368166,1368166,6.5,6.5,03 de enero - 2026,2026-01-03
Robot salvaje,https://www.palomitacas.com/pelicula/ficha/p1184918,1184918,7.5,7.5,27 de diciembre - 2025,2025-12-27
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,7.5,7.5,15 de diciembre - 2025,2025-12-15
Navidades blancas,https://www.palomitacas.com/pelicula/ficha/p13368,13368,7.0,7.0,13 de diciembre - 2025,2025-12-13
Cuento de Navidad,https://www.palomitacas.com/pelicula/ficha/p17979,17979,6.0,6.0,13 de diciembre - 2025,2025-12-13
Una Navidad ex cepcional,https://www.palomitacas.com/pelicula/ficha/p1401318,1401318,4.0,4.0,13 de diciembre - 2025,2025-12-13
Annie Hall,https://www.palomitacas.com/pelicula/ficha/p703,703,9.0,9.0,30 de noviembre - 2025,2025-11-30
Ahora me ves 3,https://www.palomitacas.com/pelicula/ficha/p425274,425274,6.0,6.0,29 de noviembre - 2025,2025-11-29
Wicked Parte II,https://www.palomitacas.com/pelicula/ficha/p967941,967941,6.5,6.5,29 de noviembre - 2025,2025-11-29
Las guerreras k-pop,https://www.palomitacas.com/pelicula/ficha/p803796,803796,7.0,7.0,26 de octubre - 2025,2025-10-26
Elio,https://www.palomitacas.com/pelicula/ficha/p1022787,1022787,6.5,6.5,19 de octubre - 2025,2025-10-19
El club del crimen de los jueves,https://www.palomitacas.com/pelicula/ficha/p744653,744653,6.0,6.0,19 de octubre - 2025,2025-10-19
La mujer del camarote 10,https://www.palomitacas.com/pelicula/ficha/p1290879,1290879,5.0,5.0,19 de octubre - 2025,2025-10-19
Ed Wood,https://www.palomitacas.com/pelicula/ficha/p522,522,7.0,7.0,12 de octubre - 2025,2025-10-12
Pesadilla en Elm Street,https://www.palomitacas.com/pelicula/ficha/p377,377,6.5,6.5,12 de octubre - 2025,2025-10-12
Romería,https://www.palomitacas.com/pelicula/ficha/p1182861,1182861,6.0,6.0,29 de septiembre - 2025,2025-09-29
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,6.5,6.5,29 de septiembre - 2025,2025-09-29
Sirāt,https://www.palomitacas.com/pelicula/ficha/p1151272,1151272,7.0,7.0,20 de septiembre - 2025,2025-09-20
Los otros,https://www.palomitacas.com/pelicula/ficha/p1933,1933,7.5,7.5,09 de septiembre - 2025,2025-09-09
Expediente Warren: El último rito,https://www.palomitacas.com/pelicula/ficha/p1038392,1038392,6.0,6.0,09 de septiembre - 2025,2025-09-09
¿A quién ama Gilbert Grape?,https://www.palomitacas.com/pelicula/ficha/p1587,1587,7.5,7.5,19 de agosto - 2025,2025-08-19
Bailando la vida,https://www.palomitacas.com/pelicula/ficha/p426030,426030,6.0,6.0,07 de agosto - 2025,2025-08-07
Testamento de juventud,https://www.palomitacas.com/pelicula/ficha/p284689,284689,6.5,6.5,07 de agosto - 2025,2025-08-07
My Oxford Year,https://www.palomitacas.com/pelicula/ficha/p1307078,1307078,6.5,6.5,03 de agosto - 2025,2025-08-03
Langosta,https://www.palomitacas.com/pelicula/ficha/p254320,254320,7.0,7.0,27 de julio - 2025,2025-07-27
En este rincón del mundo,https://www.palomitacas.com/pelicula/ficha/p378108,378108,7.5,7.5,20 de julio - 2025,2025-07-20
El sacrificio de un ciervo sagrado,https://www.palomitacas.com/pelicula/ficha/p399057,399057,6.0,6.0,15 de julio - 2025,2025-07-15
El buen patrón,https://www.palomitacas.com/pelicula/ficha/p820722,820722,6.5,6.5,15 de julio - 2025,2025-07-15
