title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Romería,https://www.palomitacas.com/pelicula/ficha/p1182861,1182861,6.0,6.0,02 de enero - 2026,2026-01-02
La fianza,https://www.palomitacas.com/pelicula/ficha/p1386128,1386128,5.0,5.0,28 de diciembre - 2025,2025-12-28
Bala perdida,https://www.palomitacas.com/pelicula/ficha/p1245993,1245993,7.0,7.0,26 de diciembre - 2025,2025-12-26
Devuélvemela,https://www.palomitacas.com/pelicula/ficha/p1151031,1151031,1.0,1.0,23 de diciembre - 2025,2025-12-23
Confidencial (Black Bag),https://www.palomitacas.com/pelicula/ficha/p1233575,1233575,3.0,3.0,22 de diciembre - 2025,2025-12-22
Sisu: Camino a la venganza,https://www.palomitacas.com/pelicula/ficha/p1223601,1223601,7.0,7.0,21 de diciembre - 2025,2025-12-21
Bugonia,https://www.palomitacas.com/pelicula/ficha/p701387,701387,8.0,8.0,15 de diciembre - 2025,2025-12-15
Baja de paternidad,https://www.palomitacas.com/pelicula/ficha/p1243800,1243800,6.0,6.0,13 de diciembre - 2025,2025-12-13
Predator: Badlands,https://www.palomitacas.com/pelicula/ficha/p1242898,1242898,6.0,6.0,29 de noviembre - 2025,2025-11-29
Misterioso asesinato en la montaña,https://www.palomitacas.com/pelicula/ficha/p1210732,1210732,8.0,8.0,27 de noviembre - 2025,2025-11-27
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,10.0,10.0,17 de noviembre - 2025,2025-11-17
Eddington,https://www.palomitacas.com/pelicula/ficha/p648878,648878,7.0,7.0,30 de octubre - 2025,2025-10-30
Los Rose,https://www.palomitacas.com/pelicula/ficha/p1267905,1267905,8.0,8.0,26 de octubre - 2025,2025-10-26
Juliette en primavera,https://www.palomitacas.com/pelicula/ficha/p1000965,1000965,3.0,3.0,24 de octubre - 2025,2025-10-24
Expediente Warren: El último rito,https://www.palomitacas.com/pelicula/ficha/p1038392,1038392,7.0,7.0,09 de octubre - 2025,2025-10-09
La receta perfecta,https://www.palomitacas.com/pelicula/ficha/p1079310,1079310,7.0,7.0,07 de octubre - 2025,2025-10-07
Algo le pasa a mi yerno,https://www.palomitacas.com/pelicula/ficha/p1130402,1130402,3.0,3.0,05 de octubre - 2025,2025-10-05
Sirāt,https://www.palomitacas.com/pelicula/ficha/p1151272,1151272,9.0,9.0,23 de septiembre - 2025,2025-09-23
Érase una vez mi madre,https://www.palomitacas.com/pelicula/ficha/p1107215,1107215,7.0,7.0,22 de septiembre - 2025,2025-09-22
Nadie 2,https://www.palomitacas.com/pelicula/ficha/p1007734,1007734,5.0,5.0,17 de septiembre - 2025,2025-09-17
Rider,https://www.palomitacas.com/pelicula/ficha/p1276418,1276418,8.0,8.0,12 de septiembre - 2025,2025-09-12
La historia de Jim,https://www.palomitacas.com/pelicula/ficha/p1102938,1102938,8.0,8.0,02 de septiembre - 2025,2025-09-02
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,7.0,7.0,29 de agosto - 2025,2025-08-29
Bienvenido a la montaña,https://www.palomitacas.com/pelicula/ficha/p1109306,1109306,7.0,7.0,25 de agosto - 2025,2025-08-25
Bailarina,https://www.palomitacas.com/pelicula/ficha/p541671,541671,3.0,3.0,24 de agosto - 2025,2025-08-24
La historia de Souleymane,https://www.palomitacas.com/pelicula/ficha/p1158996,1158996,7.0,7.0,23 de agosto - 2025,2025-08-23
Septiembre dice,https://www.palomitacas.com/pelicula/ficha/p1212337,1212337,2.0,2.0,22 de agosto - 2025,2025-08-22
Votemos,https://www.palomitacas.com/pelicula/ficha/p1380651,1380651,7.0,7.0,16 de agosto - 2025,2025-08-16
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,8.0,8.0,06 de agosto - 2025,2025-08-06
M3GAN 2.0,https://www.palomitacas.com/pelicula/ficha/p1071585,1071585,5.0,5.0,01 de agosto - 2025,2025-08-01
Por todo lo alto,https://www.palomitacas.com/pelicula/ficha/p1000866,1000866,9.0,9.0,30 de julio - 2025,2025-07-30
28 años después,https://www.palomitacas.com/pelicula/ficha/p1100988,1100988,5.0,5.0,16 de julio - 2025,2025-07-16
Misión: Imposible - Sentencia final,https://www.palomitacas.com/pelicula/ficha/p575265,575265,10.0,10.0,08 de julio - 2025,2025-07-08
Misericordia,https://www.palomitacas.com/pelicula/ficha/p1063574,1063574,0.5,0.5,06 de julio - 2025,2025-07-06
El método Knox,https://www.palomitacas.com/pelicula/ficha/p972614,972614,7.0,7.0,28 de junio - 2025,2025-06-28
Padres,https://www.palomitacas.com/pelicula/ficha/p1436706,1436706,6.0,6.0,26 de junio - 2025,2025-06-26
El Mono,https://www.palomitacas.com/pelicula/ficha/p1124620,1124620,6.0,6.0,25 de junio - 2025,2025-06-25
La vida ante nosotros,https://www.palomitacas.com/pelicula/ficha/p1001435,1001435,6.0,6.0,21 de junio - 2025,2025-06-21
Destino final: Lazos de sangre,https://www.palomitacas.com/pelicula/ficha/p574475,574475,6.0,6.0,19 de junio - 2025,2025-06-19
Aún Estoy Aquí,https://www.palomitacas.com/pelicula/ficha/p1000837,1000837,10.0,10.0,17 de junio - 2025,2025-06-17
Wolfgang (Extraordinario),https://www.palomitacas.com/pelicula/ficha/p1306284,1306284,7.0,7.0,16 de junio - 2025,2025-06-16
Amateur,https://www.palomitacas.com/pelicula/ficha/p1087891,1087891,7.0,7.0,12 de junio - 2025,2025-06-12
Mikaela,https://www.palomitacas.com/pelicula/ficha/p1315988,1315988,4.0,4.0,11 de junio - 2025,2025-06-11
Presencia,https://www.palomitacas.com/pelicula/ficha/p1140535,1140535,5.0,5.0,09 de junio - 2025,2025-06-09
El contable 2,https://www.palomitacas.com/pelicula/ficha/p870028,870028,7.0,7.0,06 de junio - 2025,2025-06-06
Las chicas del balcón,https://www.palomitacas.com/pelicula/ficha/p1112466,1112466,7.0,7.0,04 de junio - 2025,2025-06-04
La fiebre de los ricos,https://www.palomitacas.com/pelicula/ficha/p934584,934584,5.0,5.0,02 de junio - 2025,2025-06-02
Fin de fiesta,https://www.palomitacas.com/pelicula/ficha/p1321017,1321017,9.0,9.0,30 de mayo - 2025,2025-05-30
Con el agua al cuello,https://www.palomitacas.com/pelicula/ficha/p1088096,1088096,4.0,4.0,29 de mayo - 2025,2025-05-29
Corazones rotos,https://www.palomitacas.com/pelicula/ficha/p959604,959604,6.0,6.0,25 de mayo - 2025,2025-05-25
Sin instrucciones,https://www.palomitacas.com/pelicula/ficha/p1238200,1238200,10.0,10.0,25 de abril - 2025,2025-04-25
Oddity,https://www.palomitacas.com/pelicula/ficha/p1216191,1216191,3.0,3.0,24 de abril - 2025,2025-04-24
Juego de Ladrones 2: Pantera,https://www.palomitacas.com/pelicula/ficha/p604685,604685,7.0,7.0,22 de abril - 2025,2025-04-22
Novocaine,https://www.palomitacas.com/pelicula/ficha/p1195506,1195506,6.0,6.0,18 de abril - 2025,2025-04-18
Mickey 17,https://www.palomitacas.com/pelicula/ficha/p696506,696506,6.0,6.0,17 de abril - 2025,2025-04-17
Hereje,https://www.palomitacas.com/pelicula/ficha/p1138194,1138194,3.0,3.0,16 de abril - 2025,2025-04-16
Absolución,https://www.palomitacas.com/pelicula/ficha/p974453,974453,4.0,4.0,13 de abril - 2025,2025-04-13
Al otro barrio,https://www.palomitacas.com/pelicula/ficha/p1151506,1151506,5.0,5.0,12 de abril - 2025,2025-04-12
Cuando cae el otoño,https://www.palomitacas.com/pelicula/ficha/p1171634,1171634,8.0,8.0,11 de abril - 2025,2025-04-11
Amanece en Samaná,https://www.palomitacas.com/pelicula/ficha/p1341012,1341012,3.0,3.0,08 de abril - 2025,2025-04-08
Raqa,https://www.palomitacas.com/pelicula/ficha/p1239481,1239481,7.0,7.0,25 de marzo - 2025,2025-03-25
La acompañante,https://www.palomitacas.com/pelicula/ficha/p1084199,1084199,7.0,7.0,05 de marzo - 2025,2025-03-05
Anora,https://www.palomitacas.com/pelicula/ficha/p1064213,1064213,10.0,10.0,26 de febrero - 2025,2025-02-26
