title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
La asistenta,https://www.palomitacas.com/pelicula/ficha/p1368166,1368166,8.0,8.0,04 de enero - 2026,2026-01-04
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,8.0,8.0,20 de diciembre - 2025,2025-12-20
Sidelined 2: Intercepted,https://www.palomitacas.com/pelicula/ficha/p1429520,1429520,7.5,7.5,29 de noviembre - 2025,2025-11-29
Culpa nuestra,https://www.palomitacas.com/pelicula/ficha/p1156594,1156594,5.5,5.5,01 de noviembre - 2025,2025-11-01
Todo a la vez en todas partes,https://www.palomitacas.com/pelicula/ficha/p545611,545611,8.5,8.5,18 de octubre - 2025,2025-10-18
Se requiere mantenimiento,https://www.palomitacas.com/pelicula/ficha/p1352755,1352755,8.0,8.0,12 de octubre - 2025,2025-10-12
El otro París,https://www.palomitacas.com/pelicula/ficha/p1321439,1321439,8.5,8.5,11 de octubre - 2025,2025-10-11
Ballerina,https://www.palomitacas.com/pelicula/ficha/p541671,541671,7.5,7.5,05 de septiembre - 2025,2025-09-05
Las guerreras k-pop,https://www.palomitacas.com/pelicula/ficha/p803796,803796,8.5,8.5,26 de agosto - 2025,2025-08-26
Imagínatelo,https://www.palomitacas.com/pelicula/ficha/p1204892,1204892,6.0,6.0,17 de junio - 2025,2025-06-17
Poker Face,https://www.palomitacas.com/pelicula/ficha/p842934,842934,6.0,6.0,16 de mayo - 2025,2025-05-17
Thunderbolts*,https://www.palomitacas.com/pelicula/ficha/p986056,986056,8.5,8.5,02 de mayo - 2025,2025-05-02
Cónclave,https://www.palomitacas.com/pelicula/ficha/p974576,974576,8.0,8.0,26 de abril - 2025,2025-04-26
"Cariño, cuánto te odio",https://www.palomitacas.com/pelicula/ficha/p603661,603661,7.5,7.5,21 de abril - 2025,2025-04-21
The Escort,https://www.palomitacas.com/pelicula/ficha/p351964,351964,5.5,5.5,18 de abril - 2025,2025-04-18
El mapa de las pequeñas cosas perfectas,https://www.palomitacas.com/pelicula/ficha/p672647,672647,8.0,8.0,17 de abril - 2025,2025-04-17
Culpa mía: Londres,https://www.palomitacas.com/pelicula/ficha/p1294203,1294203,7.5,7.5,13 de abril - 2025,2025-04-13
Wolfs,https://www.palomitacas.com/pelicula/ficha/p877817,877817,7.5,7.5,07 de marzo - 2025,2025-03-07
The Order (La hermandad silenciosa),https://www.palomitacas.com/pelicula/ficha/p1082195,1082195,8.0,8.0,28 de febrero - 2025,2025-02-28
Sidelined: The QB and Me,https://www.palomitacas.com/pelicula/ficha/p957119,957119,8.0,8.0,01 de febrero - 2025,2025-02-01
Culpa tuya,https://www.palomitacas.com/pelicula/ficha/p1156593,1156593,5.5,5.5,25 de enero - 2025,2025-01-25
Imperium,https://www.palomitacas.com/pelicula/ficha/p374617,374617,7.0,7.0,24 de enero - 2025,2025-01-24
Noche de bodas,https://www.palomitacas.com/pelicula/ficha/p567609,567609,7.0,7.0,11 de enero - 2025,2025-01-11
Upgrade: Primera clase,https://www.palomitacas.com/pelicula/ficha/p1014590,1014590,6.5,6.5,11 de enero - 2025,2025-01-11
Un desastre es para siempre,https://www.palomitacas.com/pelicula/ficha/p1096342,1096342,5.0,5.0,30 de diciembre - 2024,2024-12-30
Fast & Furious X,https://www.palomitacas.com/pelicula/ficha/p385687,385687,7.0,7.0,29 de diciembre - 2024,2024-12-29
Un deseo irlandés,https://www.palomitacas.com/pelicula/ficha/p1019420,1019420,5.5,5.5,07 de diciembre - 2024,2024-12-07
Nuestro secretito,https://www.palomitacas.com/pelicula/ficha/p1234811,1234811,7.0,7.0,06 de diciembre - 2024,2024-12-06
La vida de los otros,https://www.palomitacas.com/pelicula/ficha/p582,582,8.5,8.5,04 de diciembre - 2024,2024-12-04
Borderlands,https://www.palomitacas.com/pelicula/ficha/p365177,365177,6.5,6.5,10 de noviembre - 2024,2024-11-10
Sin tiempo para morir,https://www.palomitacas.com/pelicula/ficha/p370172,370172,7.5,7.5,01 de noviembre - 2024,2024-11-01
Venom: habrá matanza,https://www.palomitacas.com/pelicula/ficha/p580489,580489,7.0,7.0,26 de octubre - 2024,2024-10-26
Hit Man. Asesino por casualidad,https://www.palomitacas.com/pelicula/ficha/p974635,974635,8.0,8.0,13 de octubre - 2024,2024-10-13
Superlópez,https://www.palomitacas.com/pelicula/ficha/p457915,457915,6.0,6.0,05 de octubre - 2024,2024-10-05
Thor: Love and Thunder,https://www.palomitacas.com/pelicula/ficha/p616037,616037,6.5,6.5,06 de agosto - 2024,2024-08-06
The Marvels,https://www.palomitacas.com/pelicula/ficha/p609681,609681,6.5,6.5,06 de agosto - 2024,2024-08-06
Deadpool y Lobezno,https://www.palomitacas.com/pelicula/ficha/p533535,533535,9.0,9.0,02 de agosto - 2024,2024-08-02
Guerra Sin Reglas,https://www.palomitacas.com/pelicula/ficha/p799583,799583,7.0,7.0,27 de julio - 2024,2024-07-27
X-Men: Fénix oscura,https://www.palomitacas.com/pelicula/ficha/p320288,320288,6.5,6.5,14 de julio - 2024,2024-07-14
X-Men: Apocalipsis,https://www.palomitacas.com/pelicula/ficha/p246655,246655,7.0,7.0,14 de julio - 2024,2024-07-14
Jurassic World: El reino caído,https://www.palomitacas.com/pelicula/ficha/p351286,351286,7.0,7.0,30 de junio - 2024,2024-06-30
Chicas malas,https://www.palomitacas.com/pelicula/ficha/p673593,673593,6.0,6.0,28 de junio - 2024,2024-06-28
Del revés 2 (Inside Out 2),https://www.palomitacas.com/pelicula/ficha/p1022789,1022789,8.5,8.5,25 de junio - 2024,2024-06-25
Los dos amores de mi vida,https://www.palomitacas.com/pelicula/ficha/p846961,846961,7.0,7.0,02 de junio - 2024,2024-06-02
Plus One,https://www.palomitacas.com/pelicula/ficha/p508101,508101,8.0,8.0,02 de junio - 2024,2024-06-02
Mil veces hasta siempre,https://www.palomitacas.com/pelicula/ficha/p574451,574451,7.5,7.5,19 de mayo - 2024,2024-05-19
La idea de tenerte,https://www.palomitacas.com/pelicula/ficha/p843527,843527,7.5,7.5,05 de mayo - 2024,2024-05-05
The Greatest Hits,https://www.palomitacas.com/pelicula/ficha/p1011082,1011082,8.0,8.0,03 de mayo - 2024,2024-05-03
Los mercen4rios,https://www.palomitacas.com/pelicula/ficha/p299054,299054,5.5,5.5,21 de abril - 2024,2024-04-21
60 minutos,https://www.palomitacas.com/pelicula/ficha/p1212073,1212073,6.5,6.5,20 de abril - 2024,2024-04-20
El núcleo,https://www.palomitacas.com/pelicula/ficha/p9341,9341,6.0,6.0,20 de abril - 2024,2024-04-20
Música,https://www.palomitacas.com/pelicula/ficha/p968441,968441,7.0,7.0,13 de abril - 2024,2024-04-13
Cómo conquistar a Billy Walsh,https://www.palomitacas.com/pelicula/ficha/p1017633,1017633,6.5,6.5,07 de abril - 2024,2024-04-07
Blue Beetle,https://www.palomitacas.com/pelicula/ficha/p565770,565770,7.0,7.0,04 de abril - 2024,2024-04-04
Julieta,https://www.palomitacas.com/pelicula/ficha/p332872,332872,7.0,7.0,29 de marzo - 2024,2024-03-29
Dune: Parte dos,https://www.palomitacas.com/pelicula/ficha/p693134,693134,7.5,7.5,09 de marzo - 2024,2024-03-09
Misión: Imposible - Sentencia mortal parte uno,https://www.palomitacas.com/pelicula/ficha/p575264,575264,7.5,7.5,16 de febrero - 2024,2024-02-16
Los juegos del amor,https://www.palomitacas.com/pelicula/ficha/p843617,843617,7.0,7.0,16 de febrero - 2024,2024-02-16
Argylle,https://www.palomitacas.com/pelicula/ficha/p848538,848538,7.5,7.5,09 de febrero - 2024,2024-02-09
Pobres criaturas,https://www.palomitacas.com/pelicula/ficha/p792307,792307,8.5,8.5,02 de febrero - 2024,2024-02-02
Cualquiera menos tú,https://www.palomitacas.com/pelicula/ficha/p1072790,1072790,7.5,7.5,26 de enero - 2024,2024-01-26
After: Aquí acaba todo,https://www.palomitacas.com/pelicula/ficha/p820525,820525,4.5,4.5,20 de enero - 2024,2024-01-20
After: Amor infinito,https://www.palomitacas.com/pelicula/ficha/p744276,744276,4.0,4.0,20 de enero - 2024,2024-01-20
Maravilloso desastre,https://www.palomitacas.com/pelicula/ficha/p1016121,1016121,7.0,7.0,29 de diciembre - 2023,2023-12-29
Palm Springs,https://www.palomitacas.com/pelicula/ficha/p587792,587792,8.0,8.0,28 de diciembre - 2023,2023-12-28
La entrega,https://www.palomitacas.com/pelicula/ficha/p154400,154400,7.0,7.0,23 de diciembre - 2023,2023-12-23
El verano que vivimos,https://www.palomitacas.com/pelicula/ficha/p588656,588656,7.0,7.0,10 de diciembre - 2023,2023-12-10
