title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Flashback,https://www.palomitacas.com/pelicula/ficha/p522406,522406,7.0,7.0,05 de junio - 2021,2021-06-05
El Conjuro 3: El diablo me obligó a hacerlo,https://www.palomitacas.com/pelicula/ficha/p423108,423108,6.0,6.0,05 de junio - 2021,2021-06-05
Spiral: Saw,https://www.palomitacas.com/pelicula/ficha/p602734,602734,5.0,5.0,03 de junio - 2021,2021-06-03
Cruella,https://www.palomitacas.com/pelicula/ficha/p337404,337404,7.0,7.0,30 de mayo - 2021,2021-05-30
Drunk Bus,https://www.palomitacas.com/pelicula/ficha/p659360,659360,7.0,7.0,27 de mayo - 2021,2021-05-27
Despierta la furia,https://www.palomitacas.com/pelicula/ficha/p637649,637649,7.0,7.0,26 de mayo - 2021,2021-05-26
Boys from County Hell,https://www.palomitacas.com/pelicula/ficha/p680631,680631,6.0,6.0,22 de mayo - 2021,2021-05-22
Seance,https://www.palomitacas.com/pelicula/ficha/p641668,641668,5.0,5.0,22 de mayo - 2021,2021-05-22
Ejército de los muertos,https://www.palomitacas.com/pelicula/ficha/p503736,503736,7.0,7.0,21 de mayo - 2021,2021-05-21
La mujer en la ventana,https://www.palomitacas.com/pelicula/ficha/p520663,520663,6.0,6.0,17 de mayo - 2021,2021-05-17
Aquellos que desean mi muerte,https://www.palomitacas.com/pelicula/ficha/p578701,578701,6.0,6.0,16 de mayo - 2021,2021-05-16
The Djinn,https://www.palomitacas.com/pelicula/ficha/p797946,797946,6.0,6.0,16 de mayo - 2021,2021-05-16
La celda,https://www.palomitacas.com/pelicula/ficha/p8843,8843,7.0,7.0,10 de mayo - 2021,2021-05-10
Shock Wave 2,https://www.palomitacas.com/pelicula/ficha/p559974,559974,7.0,7.0,09 de mayo - 2021,2021-05-09
Noche en el paraíso,https://www.palomitacas.com/pelicula/ficha/p606523,606523,8.0,8.0,09 de mayo - 2021,2021-05-09
1922,https://www.palomitacas.com/pelicula/ficha/p452507,452507,7.0,7.0,09 de mayo - 2021,2021-05-09
Maniac,https://www.palomitacas.com/pelicula/ficha/p103620,103620,6.0,6.0,08 de mayo - 2021,2021-05-08
El hombre de las sombras,https://www.palomitacas.com/pelicula/ficha/p86597,86597,4.0,4.0,06 de mayo - 2021,2021-05-06
Green Room,https://www.palomitacas.com/pelicula/ficha/p313922,313922,6.0,6.0,06 de mayo - 2021,2021-05-06
La maldición (The Grudge),https://www.palomitacas.com/pelicula/ficha/p465086,465086,4.0,4.0,06 de mayo - 2021,2021-05-06
This Town,https://www.palomitacas.com/pelicula/ficha/p673640,673640,6.0,6.0,04 de mayo - 2021,2021-05-04
El virtuoso,https://www.palomitacas.com/pelicula/ficha/p808023,808023,6.0,6.0,02 de mayo - 2021,2021-05-02
La apariencia de las cosas,https://www.palomitacas.com/pelicula/ficha/p631060,631060,5.0,5.0,02 de mayo - 2021,2021-05-02
Sin remordimientos,https://www.palomitacas.com/pelicula/ficha/p567189,567189,5.0,5.0,01 de mayo - 2021,2021-05-01
El espía inglés,https://www.palomitacas.com/pelicula/ficha/p522241,522241,6.0,6.0,29 de abril - 2021,2021-04-29
Mortal Kombat,https://www.palomitacas.com/pelicula/ficha/p460465,460465,6.0,6.0,23 de abril - 2021,2021-04-23
La crucifixión,https://www.palomitacas.com/pelicula/ficha/p394830,394830,5.0,5.0,19 de abril - 2021,2021-04-19
Godzilla vs. Kong,https://www.palomitacas.com/pelicula/ficha/p399566,399566,6.0,6.0,18 de abril - 2021,2021-04-18
Chaos Walking,https://www.palomitacas.com/pelicula/ficha/p412656,412656,5.0,5.0,17 de abril - 2021,2021-04-17
Held,https://www.palomitacas.com/pelicula/ficha/p744750,744750,6.0,6.0,15 de abril - 2021,2021-04-15
Nadie,https://www.palomitacas.com/pelicula/ficha/p615457,615457,8.0,8.0,15 de abril - 2021,2021-04-15
The Toll,https://www.palomitacas.com/pelicula/ficha/p638045,638045,5.0,5.0,14 de abril - 2021,2021-04-14
