title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
El secreto de Papá Noel,https://www.palomitacas.com/pelicula/ficha/p1441563,1441563,6.5,6.5,20 de diciembre - 2025,2025-12-20
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,7.0,7.0,18 de diciembre - 2025,2025-12-21
Un robo muy navideño,https://www.palomitacas.com/pelicula/ficha/p1218762,1218762,5.0,5.0,07 de diciembre - 2025,2025-12-07
Plan en familia 2,https://www.palomitacas.com/pelicula/ficha/p1363123,1363123,,,,
Wicked Parte II,https://www.palomitacas.com/pelicula/ficha/p967941,967941,9.0,9.0,23 de noviembre - 2025,2025-12-11
Una Navidad ex-cepcional,https://www.palomitacas.com/pelicula/ficha/p1401318,1401318,,,,
Zootrópolis 2,https://www.palomitacas.com/pelicula/ficha/p1084242,1084242,,,,
En sueños,https://www.palomitacas.com/pelicula/ficha/p1117857,1117857,,,,
Roofman,https://www.palomitacas.com/pelicula/ficha/p1242419,1242419,,,,
Ahora me ves 3,https://www.palomitacas.com/pelicula/ficha/p425274,425274,,,,
Maspalomas,https://www.palomitacas.com/pelicula/ficha/p1400214,1400214,7.0,7.0,07 de noviembre - 2025,2025-11-07
Juego sucio,https://www.palomitacas.com/pelicula/ficha/p941109,941109,,,,
Lunáticos,https://www.palomitacas.com/pelicula/ficha/p809717,809717,4.0,4.0,11 de octubre - 2025,2025-10-11
¡Cásate conmigo! Por favor,https://www.palomitacas.com/pelicula/ficha/p432613,432613,4.0,4.0,26 de septiembre - 2025,2025-09-26
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,,,,
Expediente Warren: El último rito,https://www.palomitacas.com/pelicula/ficha/p1038392,1038392,,,,
Crímenes oscuros,https://www.palomitacas.com/pelicula/ficha/p340674,340674,4.0,4.0,14 de septiembre - 2025,2025-09-14
La corresponsal,https://www.palomitacas.com/pelicula/ficha/p475132,475132,6.5,6.5,14 de septiembre - 2025,2025-09-14
El club del crimen de los jueves,https://www.palomitacas.com/pelicula/ficha/p744653,744653,6.5,6.5,14 de septiembre - 2025,2025-09-14
Agárralo como puedas,https://www.palomitacas.com/pelicula/ficha/p1035259,1035259,,,,
Los Rose,https://www.palomitacas.com/pelicula/ficha/p1267905,1267905,8.0,8.0,14 de septiembre - 2025,2025-09-14
Mascarpone,https://www.palomitacas.com/pelicula/ficha/p826353,826353,,,,
Maschile plurale,https://www.palomitacas.com/pelicula/ficha/p1224447,1224447,,,,
Indomables,https://www.palomitacas.com/pelicula/ficha/p1092506,1092506,,,,
Anniversary,https://www.palomitacas.com/pelicula/ficha/p1126336,1126336,,,,
Bugonia,https://www.palomitacas.com/pelicula/ficha/p701387,701387,,,,
Ponte en mi lugar de nuevo,https://www.palomitacas.com/pelicula/ficha/p1125257,1125257,7.0,7.0,18 de agosto - 2025,2025-11-23
28 años después,https://www.palomitacas.com/pelicula/ficha/p1100988,1100988,,,,
