title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
TRON: Ares,https://www.palomitacas.com/pelicula/ficha/p533533,533533,,,,
Expediente Warren: El último rito,https://www.palomitacas.com/pelicula/ficha/p1038392,1038392,,,,
El gran diluvio,https://www.palomitacas.com/pelicula/ficha/p982843,982843,4.5,4.5,30 de diciembre - 2025,2025-12-30
Sisu: Camino a la venganza,https://www.palomitacas.com/pelicula/ficha/p1223601,1223601,7.5,7.5,29 de diciembre - 2025,2025-12-29
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,,,,
La casa al final de la curva,https://www.palomitacas.com/pelicula/ficha/p1244890,1244890,4.0,4.0,14 de diciembre - 2025,2025-12-14
Fight or Flight (Sicarios en el aire),https://www.palomitacas.com/pelicula/ficha/p1212855,1212855,5.5,5.5,14 de diciembre - 2025,2025-12-14
El buen vecino,https://www.palomitacas.com/pelicula/ficha/p893086,893086,6.0,6.0,29 de noviembre - 2025,2025-11-29
Until Dawn,https://www.palomitacas.com/pelicula/ficha/p1232546,1232546,3.0,3.0,29 de noviembre - 2025,2025-11-29
Synchronic: Los límites del tiempo,https://www.palomitacas.com/pelicula/ficha/p549294,549294,3.0,3.0,18 de noviembre - 2025,2025-11-18
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,7.5,7.5,16 de noviembre - 2025,2025-11-16
Hunter Killer: Caza en las profundidades,https://www.palomitacas.com/pelicula/ficha/p399402,399402,,,,
Jules,https://www.palomitacas.com/pelicula/ficha/p1072371,1072371,6.5,6.5,07 de noviembre - 2025,2025-11-07
El elixir de la inmortalidad,https://www.palomitacas.com/pelicula/ficha/p1306525,1306525,3.5,3.5,03 de noviembre - 2025,2025-11-03
The Dark and the Wicked,https://www.palomitacas.com/pelicula/ficha/p680593,680593,,,,
Miedo en las profundidades,https://www.palomitacas.com/pelicula/ficha/p1232933,1232933,2.5,2.5,01 de noviembre - 2025,2025-11-08
Maldita suerte,https://www.palomitacas.com/pelicula/ficha/p1272166,1272166,4.0,4.0,29 de octubre - 2025,2025-10-29
La vecina perfecta,https://www.palomitacas.com/pelicula/ficha/p1400782,1400782,5.5,5.5,29 de octubre - 2025,2025-10-29
Furioza,https://www.palomitacas.com/pelicula/ficha/p866678,866678,,,,
Una casa llena de dinamita,https://www.palomitacas.com/pelicula/ficha/p1290159,1290159,7.5,7.5,25 de octubre - 2025,2025-10-25
Grafted,https://www.palomitacas.com/pelicula/ficha/p1201262,1201262,7.5,7.5,16 de octubre - 2025,2025-10-16
Laberinto en llamas,https://www.palomitacas.com/pelicula/ficha/p1236470,1236470,7.0,7.0,12 de octubre - 2025,2025-10-12
Ice Road: Venganza,https://www.palomitacas.com/pelicula/ficha/p1119878,1119878,2.5,2.5,10 de octubre - 2025,2025-10-10
Delirium,https://www.palomitacas.com/pelicula/ficha/p340601,340601,3.0,3.0,10 de octubre - 2025,2025-10-10
M3GAN 2.0,https://www.palomitacas.com/pelicula/ficha/p1071585,1071585,4.0,4.0,29 de septiembre - 2025,2025-09-29
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,7.0,7.0,29 de septiembre - 2025,2025-09-29
Mudbrick,https://www.palomitacas.com/pelicula/ficha/p1180648,1180648,2.0,2.0,27 de septiembre - 2025,2025-09-27
Nadie 2,https://www.palomitacas.com/pelicula/ficha/p1007734,1007734,7.0,7.0,27 de septiembre - 2025,2025-09-27
New Life,https://www.palomitacas.com/pelicula/ficha/p1148027,1148027,3.0,3.0,27 de septiembre - 2025,2025-10-30
Humane,https://www.palomitacas.com/pelicula/ficha/p914215,914215,5.0,5.0,22 de septiembre - 2025,2025-09-22
Misión: Imposible - Sentencia final,https://www.palomitacas.com/pelicula/ficha/p575265,575265,7.5,7.5,21 de septiembre - 2025,2025-09-21
Shooting Stars,https://www.palomitacas.com/pelicula/ficha/p970284,970284,7.0,7.0,13 de septiembre - 2025,2025-09-13
Pánico en el tren bala,https://www.palomitacas.com/pelicula/ficha/p1276073,1276073,5.5,5.5,13 de septiembre - 2025,2025-09-13
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,8.5,8.5,13 de septiembre - 2025,2025-09-13
Blame!,https://www.palomitacas.com/pelicula/ficha/p409421,409421,,,,
Jonah Hex,https://www.palomitacas.com/pelicula/ficha/p20533,20533,3.5,3.5,10 de septiembre - 2025,2025-09-10
