title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Anatomía de una caída,https://www.palomitacas.com/pelicula/ficha/p915935,915935,,,,
La zona de interés,https://www.palomitacas.com/pelicula/ficha/p467244,467244,,,,
Pobres criaturas,https://www.palomitacas.com/pelicula/ficha/p792307,792307,,,,
Flora y su hijo Max,https://www.palomitacas.com/pelicula/ficha/p1059811,1059811,,,,
American Fiction,https://www.palomitacas.com/pelicula/ficha/p1056360,1056360,,,,
Dejar el mundo atrás,https://www.palomitacas.com/pelicula/ficha/p726209,726209,,,,
Wonka,https://www.palomitacas.com/pelicula/ficha/p787699,787699,,,,
Los asesinos de la luna,https://www.palomitacas.com/pelicula/ficha/p466420,466420,,,,
Misterio en Venecia,https://www.palomitacas.com/pelicula/ficha/p945729,945729,,,,
El asesino,https://www.palomitacas.com/pelicula/ficha/p800158,800158,,,,
The Creator,https://www.palomitacas.com/pelicula/ficha/p670292,670292,,,,
Oppenheimer,https://www.palomitacas.com/pelicula/ficha/p872585,872585,9.0,9.0,22 de julio - 2023,2023-07-22
Indiana Jones y el dial del destino,https://www.palomitacas.com/pelicula/ficha/p335977,335977,,,,
Misión: Imposible - Sentencia mortal parte uno,https://www.palomitacas.com/pelicula/ficha/p575264,575264,,,,
Spider-Man: Beyond the Spider-Verse,https://www.palomitacas.com/pelicula/ficha/p911916,911916,,,,
The Marvels,https://www.palomitacas.com/pelicula/ficha/p609681,609681,,,,
Algunos hombres buenos,https://www.palomitacas.com/pelicula/ficha/p881,881,,,,
John Wick 4,https://www.palomitacas.com/pelicula/ficha/p603692,603692,,,,
Embaucadores,https://www.palomitacas.com/pelicula/ficha/p717980,717980,,,,
El secreto del libro de Kells,https://www.palomitacas.com/pelicula/ficha/p26963,26963,7.0,7.0,27 de febrero - 2023,2023-02-27
El Gato con Botas: El último deseo,https://www.palomitacas.com/pelicula/ficha/p315162,315162,,,,
Sexo en Nueva York,https://www.palomitacas.com/pelicula/ficha/p4564,4564,6.0,6.0,31 de enero - 2023,2023-01-31
Sexo en Nueva York 2,https://www.palomitacas.com/pelicula/ficha/p37786,37786,5.5,5.5,31 de enero - 2023,2023-01-31
Sin novedad en el frente,https://www.palomitacas.com/pelicula/ficha/p49046,49046,,,,
Luther: The Fallen Sun,https://www.palomitacas.com/pelicula/ficha/p722149,722149,6.5,6.5,21 de enero - 2023,2023-03-22
"Confiesa, Fletch",https://www.palomitacas.com/pelicula/ficha/p724665,724665,,,,
Top Gun: Maverick,https://www.palomitacas.com/pelicula/ficha/p361743,361743,,,,
Todo a la vez en todas partes,https://www.palomitacas.com/pelicula/ficha/p545611,545611,,,,
Los Fabelman,https://www.palomitacas.com/pelicula/ficha/p804095,804095,,,,
Guardianes de la Galaxia: especial felices fiestas,https://www.palomitacas.com/pelicula/ficha/p774752,774752,7.5,7.5,25 de noviembre - 2022,2022-11-25
Pinocho de Guillermo del Toro,https://www.palomitacas.com/pelicula/ficha/p555604,555604,,,,
As bestas,https://www.palomitacas.com/pelicula/ficha/p848685,848685,,,,
Black Panther: Wakanda Forever,https://www.palomitacas.com/pelicula/ficha/p505642,505642,7.0,7.0,12 de noviembre - 2022,2022-11-12
Thor: Love and Thunder,https://www.palomitacas.com/pelicula/ficha/p616037,616037,6.0,6.0,24 de octubre - 2022,2022-10-24
Ant-Man y la Avispa: Quantumania,https://www.palomitacas.com/pelicula/ficha/p640146,640146,,,,
"Argentina, 1985",https://www.palomitacas.com/pelicula/ficha/p714888,714888,,,,
La maldición del hombre lobo,https://www.palomitacas.com/pelicula/ficha/p894205,894205,7.0,7.0,07 de octubre - 2022,2022-10-07
El hombre del norte,https://www.palomitacas.com/pelicula/ficha/p639933,639933,,,,
Nimona,https://www.palomitacas.com/pelicula/ficha/p961323,961323,,,,
Vivarium,https://www.palomitacas.com/pelicula/ficha/p458305,458305,,,,
Cyrano de Bergerac,https://www.palomitacas.com/pelicula/ficha/p11673,11673,,,,
El monstruo marino,https://www.palomitacas.com/pelicula/ficha/p560057,560057,,,,
Ray Donovan: The Movie,https://www.palomitacas.com/pelicula/ficha/p800425,800425,8.0,8.0,14 de enero - 2022,2022-01-14
I Care a Lot,https://www.palomitacas.com/pelicula/ficha/p601666,601666,,,,
El último duelo,https://www.palomitacas.com/pelicula/ficha/p617653,617653,,,,
100 días con la Tata,https://www.palomitacas.com/pelicula/ficha/p901851,901851,,,,
Belfast,https://www.palomitacas.com/pelicula/ficha/p777270,777270,,,,
La leyenda de 1900,https://www.palomitacas.com/pelicula/ficha/p10376,10376,,,,
No mires arriba,https://www.palomitacas.com/pelicula/ficha/p646380,646380,,,,
"Sonic, la película 2",https://www.palomitacas.com/pelicula/ficha/p675353,675353,,,,
De uskyldige,https://www.palomitacas.com/pelicula/ficha/p660942,660942,,,,
Cazafantasmas: Más allá,https://www.palomitacas.com/pelicula/ficha/p425909,425909,,,,
Última noche en el Soho,https://www.palomitacas.com/pelicula/ficha/p576845,576845,,,,
Grupo salvaje,https://www.palomitacas.com/pelicula/ficha/p576,576,,,,
Hilda and the Mountain King,https://www.palomitacas.com/pelicula/ficha/p789708,789708,8.5,8.5,03 de diciembre - 2021,2021-12-30
Encanto,https://www.palomitacas.com/pelicula/ficha/p568124,568124,7.0,7.0,29 de noviembre - 2021,2021-12-31
Santos Criminales,https://www.palomitacas.com/pelicula/ficha/p524369,524369,,,,
Injustice,https://www.palomitacas.com/pelicula/ficha/p831405,831405,,,,
Venom: Habrá Matanza,https://www.palomitacas.com/pelicula/ficha/p580489,580489,,,,
Sin tiempo para morir,https://www.palomitacas.com/pelicula/ficha/p370172,370172,,,,
Enemy,https://www.palomitacas.com/pelicula/ficha/p181886,181886,,,,
Cuestión de justicia,https://www.palomitacas.com/pelicula/ficha/p522212,522212,,,,
Fantastic Beasts 3,https://www.palomitacas.com/pelicula/ficha/p338953,338953,,,,
Dune: Part 2,https://www.palomitacas.com/pelicula/ficha/p693134,693134,,,,
El hombre que nunca estuvo allí,https://www.palomitacas.com/pelicula/ficha/p10778,10778,,,,
Los reyes magos,https://www.palomitacas.com/pelicula/ficha/p22503,22503,4.5,4.5,19 de septiembre - 2021,2021-09-19
Spider-Man: Un nuevo universo 2,https://www.palomitacas.com/pelicula/ficha/p569094,569094,,,,
La nueva corporación: la secuela (por desgracia) necesaria,https://www.palomitacas.com/pelicula/ficha/p728870,728870,,,,
Matrix Resurrections,https://www.palomitacas.com/pelicula/ficha/p624860,624860,,,,
Ammonite,https://www.palomitacas.com/pelicula/ficha/p568467,568467,,,,
Straight Outta Compton,https://www.palomitacas.com/pelicula/ficha/p277216,277216,,,,
Una casa de locos: La película,https://www.palomitacas.com/pelicula/ficha/p410113,410113,,,,
La decisión,https://www.palomitacas.com/pelicula/ficha/p536396,536396,,,,
Mad God,https://www.palomitacas.com/pelicula/ficha/p846867,846867,,,,
Calamity,https://www.palomitacas.com/pelicula/ficha/p587311,587311,,,,
Infinito,https://www.palomitacas.com/pelicula/ficha/p581726,581726,,,,
Free Guy Tomando el control,https://www.palomitacas.com/pelicula/ficha/p550988,550988,,,,
Snake Eyes El origen,https://www.palomitacas.com/pelicula/ficha/p568620,568620,,,,
Spider-Man: Sin camino a casa,https://www.palomitacas.com/pelicula/ficha/p634649,634649,8.0,8.0,24 de agosto - 2021,2021-12-17
Zombillénium,https://www.palomitacas.com/pelicula/ficha/p454549,454549,,,,
El Escuadrón Suicida,https://www.palomitacas.com/pelicula/ficha/p436969,436969,7.5,7.5,10 de agosto - 2021,2022-02-01
