title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,6.0,6.0,03 de enero - 2026,2026-01-02
F1 la película,https://www.palomitacas.com/pelicula/ficha/p911430,911430,6.5,6.5,31 de diciembre - 2025,2025-12-30
Jurado Nº 2,https://www.palomitacas.com/pelicula/ficha/p1106739,1106739,6.0,6.0,29 de diciembre - 2025,2025-12-28
El contable 2,https://www.palomitacas.com/pelicula/ficha/p870028,870028,6.0,6.0,28 de diciembre - 2025,2025-12-27
Thunderbolts*,https://www.palomitacas.com/pelicula/ficha/p986056,986056,5.5,5.5,27 de diciembre - 2025,2025-12-26
Jurassic World: El renacer,https://www.palomitacas.com/pelicula/ficha/p1234821,1234821,5.5,5.5,26 de diciembre - 2025,2025-12-25
Misión: Imposible - Sentencia final,https://www.palomitacas.com/pelicula/ficha/p575265,575265,6.0,6.0,25 de diciembre - 2025,2025-12-24
Ballerina,https://www.palomitacas.com/pelicula/ficha/p541671,541671,6.0,6.0,24 de diciembre - 2025,2025-12-23
Venom: El último baile,https://www.palomitacas.com/pelicula/ficha/p912649,912649,5.5,5.5,22 de diciembre - 2025,2025-12-21
Capitán América: Brave New World,https://www.palomitacas.com/pelicula/ficha/p822119,822119,5.5,5.5,20 de diciembre - 2025,2025-12-19
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,5.0,5.0,14 de diciembre - 2025,2025-12-13
La trampa del mal,https://www.palomitacas.com/pelicula/ficha/p44040,44040,6.0,6.0,08 de diciembre - 2025,2025-12-07
Escape,https://www.palomitacas.com/pelicula/ficha/p1078744,1078744,4.5,4.5,07 de diciembre - 2025,2025-12-06
The Great Amazon Heist,https://www.palomitacas.com/pelicula/ficha/p1193121,1193121,,,,
How I Made £1 Million in 90 Days,https://www.palomitacas.com/pelicula/ficha/p1563385,1563385,,,,
La sustancia,https://www.palomitacas.com/pelicula/ficha/p933260,933260,5.5,5.5,23 de noviembre - 2025,2025-11-22
La Noche Del Terror,https://www.palomitacas.com/pelicula/ficha/p1574882,1574882,,,,
Cocorico 2,https://www.palomitacas.com/pelicula/ficha/p1437939,1437939,,,,
Megalópolis,https://www.palomitacas.com/pelicula/ficha/p592831,592831,4.0,4.0,16 de noviembre - 2025,2025-11-15
Ven y mira,https://www.palomitacas.com/pelicula/ficha/p25237,25237,,,,
La cruz de hierro,https://www.palomitacas.com/pelicula/ficha/p10839,10839,,,,
La colina de los hombres perdidos,https://www.palomitacas.com/pelicula/ficha/p24395,24395,,,,
Tora! Tora! Tora!,https://www.palomitacas.com/pelicula/ficha/p11165,11165,,,,
Mad Max 3: Más allá de la cúpula del trueno,https://www.palomitacas.com/pelicula/ficha/p9355,9355,5.5,5.5,13 de octubre - 2025,2025-10-12
Un desastre es para siempre,https://www.palomitacas.com/pelicula/ficha/p1096342,1096342,4.5,4.5,12 de octubre - 2025,2025-10-11
La mujer del camarote 10,https://www.palomitacas.com/pelicula/ficha/p1290879,1290879,,,,
