title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Lo que le falta a esta estrella,https://www.palomitacas.com/pelicula/ficha/p1165642,1165642,7.0,7.0,15 de diciembre - 2025,2025-12-15
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,7.0,7.0,15 de diciembre - 2025,2025-12-15
Oni-Goroshi: Ciudad de los demonios,https://www.palomitacas.com/pelicula/ficha/p1405338,1405338,5.5,5.5,08 de diciembre - 2025,2025-12-08
La bestia,https://www.palomitacas.com/pelicula/ficha/p914206,914206,4.5,4.5,08 de diciembre - 2025,2025-12-08
Predator: Badlands,https://www.palomitacas.com/pelicula/ficha/p1242898,1242898,,,,
Tarot,https://www.palomitacas.com/pelicula/ficha/p719221,719221,5.0,5.0,01 de diciembre - 2025,2025-12-01
Ava,https://www.palomitacas.com/pelicula/ficha/p539885,539885,5.0,5.0,01 de diciembre - 2025,2025-12-01
Ocho apellidos marroquís,https://www.palomitacas.com/pelicula/ficha/p1074049,1074049,5.5,5.5,24 de noviembre - 2025,2025-11-24
Garfield: La película,https://www.palomitacas.com/pelicula/ficha/p748783,748783,5.5,5.5,22 de noviembre - 2025,2025-11-22
The Running Man,https://www.palomitacas.com/pelicula/ficha/p798645,798645,,,,
Zootrópolis 2,https://www.palomitacas.com/pelicula/ficha/p1084242,1084242,,,,
Wicked Parte II,https://www.palomitacas.com/pelicula/ficha/p967941,967941,,,,
Amigos imaginarios,https://www.palomitacas.com/pelicula/ficha/p639720,639720,5.5,5.5,17 de noviembre - 2025,2025-11-17
La profecía del guerrero,https://www.palomitacas.com/pelicula/ficha/p1312833,1312833,5.0,5.0,17 de noviembre - 2025,2025-11-17
Cualquiera menos tú,https://www.palomitacas.com/pelicula/ficha/p1072790,1072790,5.0,5.0,14 de noviembre - 2025,2025-11-14
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,8.0,8.0,13 de noviembre - 2025,2025-11-13
Bugonia,https://www.palomitacas.com/pelicula/ficha/p701387,701387,,,,
La larga marcha,https://www.palomitacas.com/pelicula/ficha/p604079,604079,,,,
Men,https://www.palomitacas.com/pelicula/ficha/p780609,780609,6.5,6.5,07 de noviembre - 2025,2025-11-07
Pearl,https://www.palomitacas.com/pelicula/ficha/p949423,949423,7.0,7.0,03 de noviembre - 2025,2025-11-03
Las ratas: una historia de The Witcher,https://www.palomitacas.com/pelicula/ficha/p1571470,1571470,5.5,5.5,03 de noviembre - 2025,2025-11-03
Fumar provoca tos,https://www.palomitacas.com/pelicula/ficha/p872709,872709,4.5,4.5,31 de octubre - 2025,2025-10-31
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,7.0,7.0,23 de octubre - 2025,2025-10-26
Expediente Warren: El último rito,https://www.palomitacas.com/pelicula/ficha/p1038392,1038392,6.0,6.0,23 de octubre - 2025,2025-11-21
Black Phone 2,https://www.palomitacas.com/pelicula/ficha/p1197137,1197137,,,,
Strange Darling,https://www.palomitacas.com/pelicula/ficha/p1029281,1029281,5.0,5.0,13 de octubre - 2025,2025-10-13
La mujer del camarote 10,https://www.palomitacas.com/pelicula/ficha/p1290879,1290879,5.0,5.0,10 de octubre - 2025,2025-10-10
Delirium,https://www.palomitacas.com/pelicula/ficha/p340601,340601,5.0,5.0,05 de octubre - 2025,2025-10-05
Mis 84 m²,https://www.palomitacas.com/pelicula/ficha/p1269208,1269208,4.5,4.5,27 de septiembre - 2025,2025-09-27
RoboCop 2,https://www.palomitacas.com/pelicula/ficha/p5549,5549,6.5,6.5,25 de septiembre - 2025,2025-09-25
Malevolent,https://www.palomitacas.com/pelicula/ficha/p481375,481375,5.0,5.0,14 de septiembre - 2025,2025-09-14
Hay alguien en tu casa,https://www.palomitacas.com/pelicula/ficha/p512025,512025,4.5,4.5,14 de septiembre - 2025,2025-09-14
Ballerina,https://www.palomitacas.com/pelicula/ficha/p541671,541671,6.5,6.5,08 de septiembre - 2025,2025-09-08
El Club del Crimen de los Jueves,https://www.palomitacas.com/pelicula/ficha/p744653,744653,6.5,6.5,01 de septiembre - 2025,2025-09-01
Besos de vampiro,https://www.palomitacas.com/pelicula/ficha/p7091,7091,4.5,4.5,25 de agosto - 2025,2025-08-25
Los tres mosqueteros: D'Artagnan,https://www.palomitacas.com/pelicula/ficha/p796185,796185,6.5,6.5,25 de agosto - 2025,2025-08-25
Camino de la Venganza (The Old Way),https://www.palomitacas.com/pelicula/ficha/p872954,872954,5.5,5.5,18 de agosto - 2025,2025-08-18
Tres mil años esperándote,https://www.palomitacas.com/pelicula/ficha/p556694,556694,7.0,7.0,18 de agosto - 2025,2025-08-18
Votemos,https://www.palomitacas.com/pelicula/ficha/p1380651,1380651,5.5,5.5,18 de agosto - 2025,2025-08-18
Vesper,https://www.palomitacas.com/pelicula/ficha/p976720,976720,5.5,5.5,11 de agosto - 2025,2025-08-11
Atrapados en un bucle infinito,https://www.palomitacas.com/pelicula/ficha/p1138476,1138476,5.0,5.0,11 de agosto - 2025,2025-08-11
Batman Ninja vs. Yakuza League,https://www.palomitacas.com/pelicula/ficha/p1297763,1297763,5.0,5.0,03 de agosto - 2025,2025-08-03
La huella del mal,https://www.palomitacas.com/pelicula/ficha/p1310871,1310871,4.0,4.0,02 de agosto - 2025,2025-08-02
Presence,https://www.palomitacas.com/pelicula/ficha/p1140535,1140535,5.5,5.5,30 de julio - 2025,2025-07-30
Los tipos malos 2,https://www.palomitacas.com/pelicula/ficha/p1175942,1175942,,,,
El tiempo contigo,https://www.palomitacas.com/pelicula/ficha/p568160,568160,5.5,5.5,29 de julio - 2025,2025-07-29
El cabo del miedo,https://www.palomitacas.com/pelicula/ficha/p1598,1598,6.5,6.5,17 de julio - 2025,2025-07-17
El muro negro,https://www.palomitacas.com/pelicula/ficha/p1425045,1425045,5.5,5.5,12 de julio - 2025,2025-07-12
GREAT PRETENDER razbliuto,https://www.palomitacas.com/pelicula/ficha/p1220441,1220441,,,,
Corazones en Atlántida,https://www.palomitacas.com/pelicula/ficha/p11313,11313,7.0,7.0,07 de julio - 2025,2025-07-07
Los pecadores,https://www.palomitacas.com/pelicula/ficha/p1233413,1233413,6.5,6.5,07 de julio - 2025,2025-07-07
La vieja guardia 2,https://www.palomitacas.com/pelicula/ficha/p846422,846422,5.5,5.5,04 de julio - 2025,2025-07-13
Elio,https://www.palomitacas.com/pelicula/ficha/p1022787,1022787,6.0,6.0,04 de julio - 2025,2025-09-25
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,6.0,6.0,04 de julio - 2025,2025-11-09
Jurassic World: El renacer,https://www.palomitacas.com/pelicula/ficha/p1234821,1234821,,,,
M3GAN 2.0,https://www.palomitacas.com/pelicula/ficha/p1071585,1071585,,,,
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,8.0,8.0,25 de junio - 2025,2025-07-17
