title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,6.5,6.5,04 de enero - 2026,2026-01-04
"Vale la pena, de Dani Rovira",https://www.palomitacas.com/pelicula/ficha/p1506130,1506130,6.0,6.0,16 de diciembre - 2025,2025-12-16
La mujer del camarote 10,https://www.palomitacas.com/pelicula/ficha/p1290879,1290879,5.5,5.5,05 de diciembre - 2025,2025-12-05
The Lost Chapter: Yuki's Revenge,https://www.palomitacas.com/pelicula/ficha/p1588237,1588237,,,,
Dangerous Animals,https://www.palomitacas.com/pelicula/ficha/p1285965,1285965,6.5,6.5,24 de noviembre - 2025,2025-11-24
Doñana,https://www.palomitacas.com/pelicula/ficha/p1441660,1441660,7.5,7.5,20 de noviembre - 2025,2025-11-20
Los tipos malos,https://www.palomitacas.com/pelicula/ficha/p629542,629542,6.5,6.5,18 de noviembre - 2025,2025-11-18
La vecina perfecta,https://www.palomitacas.com/pelicula/ficha/p1400782,1400782,5.0,5.0,12 de noviembre - 2025,2025-11-12
Fuera de la ley,https://www.palomitacas.com/pelicula/ficha/p974250,974250,,,,
Ahora me ves 3,https://www.palomitacas.com/pelicula/ficha/p425274,425274,,,,
La larga marcha,https://www.palomitacas.com/pelicula/ficha/p604079,604079,,,,
Chainsaw Man - La película: El arco de Reze,https://www.palomitacas.com/pelicula/ficha/p1218925,1218925,,,,
Bugonia,https://www.palomitacas.com/pelicula/ficha/p701387,701387,,,,
The Smashing Machine,https://www.palomitacas.com/pelicula/ficha/p760329,760329,,,,
Las Ratas: Una historia de 'The Witcher',https://www.palomitacas.com/pelicula/ficha/p1571470,1571470,,,,
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,7.0,7.0,12 de noviembre - 2025,2025-11-12
Predator: Badlands,https://www.palomitacas.com/pelicula/ficha/p1242898,1242898,,,,
Una casa llena de dinamita,https://www.palomitacas.com/pelicula/ficha/p1290159,1290159,6.5,6.5,10 de noviembre - 2025,2025-11-10
Despelote,https://www.palomitacas.com/pelicula/ficha/p537921,537921,5.0,5.0,10 de noviembre - 2025,2025-11-10
Un fantasma en la batalla,https://www.palomitacas.com/pelicula/ficha/p1275151,1275151,6.0,6.0,10 de noviembre - 2025,2025-11-10
Mikaela,https://www.palomitacas.com/pelicula/ficha/p1315988,1315988,5.0,5.0,08 de noviembre - 2025,2025-11-08
La conductora,https://www.palomitacas.com/pelicula/ficha/p1151334,1151334,6.0,6.0,07 de noviembre - 2025,2025-11-07
Confidencial (Black Bag),https://www.palomitacas.com/pelicula/ficha/p1233575,1233575,5.0,5.0,04 de noviembre - 2025,2025-11-04
Sissy,https://www.palomitacas.com/pelicula/ficha/p934207,934207,,,,
Alucinaciones,https://www.palomitacas.com/pelicula/ficha/p340601,340601,4.5,4.5,31 de octubre - 2025,2025-10-31
Las últimas supervivientes,https://www.palomitacas.com/pelicula/ficha/p293970,293970,6.5,6.5,29 de octubre - 2025,2025-10-29
The Midnight Man,https://www.palomitacas.com/pelicula/ficha/p492621,492621,6.0,6.0,29 de octubre - 2025,2025-10-29
Ghost Team,https://www.palomitacas.com/pelicula/ficha/p404073,404073,2.0,2.0,27 de octubre - 2025,2025-10-27
Nadie 2,https://www.palomitacas.com/pelicula/ficha/p1007734,1007734,6.5,6.5,27 de octubre - 2025,2025-11-12
