title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Fumiko's Confession,https://www.palomitacas.com/pelicula/ficha/p73786,73786,,,,
Madogiwa no Totto-chan,https://www.palomitacas.com/pelicula/ficha/p1106904,1106904,,,,
Cherry and Virgin,https://www.palomitacas.com/pelicula/ficha/p823271,823271,,,,
Chevelle: Live From the Norva,https://www.palomitacas.com/pelicula/ficha/p74280,74280,8.0,8.0,12 de febrero - 2025,2025-02-12
"Flow, un mundo que salvar",https://www.palomitacas.com/pelicula/ficha/p823219,823219,,,,
Breaking Benjamin - Live At The Stabler Arena USA 2007,https://www.palomitacas.com/pelicula/ficha/p813568,813568,8.0,8.0,10 de febrero - 2025,2025-02-10
ChaO,https://www.palomitacas.com/pelicula/ficha/p1419053,1419053,,,,
Elvis,https://www.palomitacas.com/pelicula/ficha/p614934,614934,,,,
Men,https://www.palomitacas.com/pelicula/ficha/p780609,780609,,,,
ドライブ・マイ・カー,https://www.palomitacas.com/pelicula/ficha/p758866,758866,,,,
Yomei 10-nen,https://www.palomitacas.com/pelicula/ficha/p876797,876797,,,,
Koisuru Kiseichuu,https://www.palomitacas.com/pelicula/ficha/p709589,709589,,,,
"Satoshi Kon, l'illusionniste",https://www.palomitacas.com/pelicula/ficha/p809488,809488,,,,
恋爱☆迁都,https://www.palomitacas.com/pelicula/ficha/p118026,118026,6.0,6.0,25 de junio - 2021,2021-06-25
Sound of Metal,https://www.palomitacas.com/pelicula/ficha/p502033,502033,7.0,7.0,03 de mayo - 2021,2021-05-03
Umibe no Onna no Ko,https://www.palomitacas.com/pelicula/ficha/p810674,810674,,,,
Souvenir,https://www.palomitacas.com/pelicula/ficha/p585381,585381,6.0,6.0,10 de abril - 2021,2021-04-26
Un asunto de familia,https://www.palomitacas.com/pelicula/ficha/p505192,505192,7.5,7.5,10 de marzo - 2021,2021-03-14
Una pastelería en Tokio,https://www.palomitacas.com/pelicula/ficha/p319373,319373,7.0,7.0,08 de marzo - 2021,2021-03-08
Gekijou,https://www.palomitacas.com/pelicula/ficha/p617397,617397,7.0,7.0,06 de marzo - 2021,2021-03-06
Tokyo Idols,https://www.palomitacas.com/pelicula/ficha/p433092,433092,6.5,6.5,22 de enero - 2021,2021-03-13
Pat Morita: Long Story Short,https://www.palomitacas.com/pelicula/ficha/p439213,439213,,,,
Slam Dunk Movie,https://www.palomitacas.com/pelicula/ficha/p783675,783675,,,,
El príncipe de Zamunda 2,https://www.palomitacas.com/pelicula/ficha/p484718,484718,,,,
El tiempo contigo,https://www.palomitacas.com/pelicula/ficha/p568160,568160,7.0,7.0,20 de diciembre - 2020,2020-12-20
Homunculus,https://www.palomitacas.com/pelicula/ficha/p741434,741434,,,,
Usagi Drop,https://www.palomitacas.com/pelicula/ficha/p95853,95853,5.0,5.0,04 de septiembre - 2020,2021-03-07
One Step,https://www.palomitacas.com/pelicula/ficha/p668379,668379,6.0,6.0,04 de septiembre - 2020,2021-03-13
Los Misterios de Enola Holmes,https://www.palomitacas.com/pelicula/ficha/p497582,497582,,,,
El diablo a todas horas,https://www.palomitacas.com/pelicula/ficha/p499932,499932,,,,
Luca,https://www.palomitacas.com/pelicula/ficha/p508943,508943,,,,
A Whisker Away,https://www.palomitacas.com/pelicula/ficha/p667520,667520,,,,
Kimi wa Tsukiyo ni Hikarikagayaku,https://www.palomitacas.com/pelicula/ficha/p554798,554798,,,,
The Old Guard,https://www.palomitacas.com/pelicula/ficha/p547016,547016,,,,
Waking Life,https://www.palomitacas.com/pelicula/ficha/p9081,9081,,,,
A Scanner Darkly (Una mirada en la oscuridad),https://www.palomitacas.com/pelicula/ficha/p3509,3509,,,,
Vals con Bashir,https://www.palomitacas.com/pelicula/ficha/p8885,8885,,,,
La búsqueda,https://www.palomitacas.com/pelicula/ficha/p14226,14226,,,,
La hija oscura,https://www.palomitacas.com/pelicula/ficha/p554230,554230,,,,
Shirley,https://www.palomitacas.com/pelicula/ficha/p547017,547017,,,,
Bailando con lobos,https://www.palomitacas.com/pelicula/ficha/p581,581,,,,
Mad Max: Furia en la carretera,https://www.palomitacas.com/pelicula/ficha/p76341,76341,,,,
Lo que arde,https://www.palomitacas.com/pelicula/ficha/p575561,575561,,,,
Acantilado rojo,https://www.palomitacas.com/pelicula/ficha/p12289,12289,,,,
Miracle in Cell No. 7,https://www.palomitacas.com/pelicula/ficha/p158445,158445,,,,
Tigertail,https://www.palomitacas.com/pelicula/ficha/p544415,544415,,,,
El exorcista,https://www.palomitacas.com/pelicula/ficha/p9552,9552,7.5,7.5,13 de marzo - 2020,2020-03-13
La Tierra es plana,https://www.palomitacas.com/pelicula/ficha/p520777,520777,,,,
Altered Carbon: Reenfundados,https://www.palomitacas.com/pelicula/ficha/p665251,665251,,,,
Made in Abyss: Wandering Twilight,https://www.palomitacas.com/pelicula/ficha/p526429,526429,7.0,7.0,02 de marzo - 2020,2020-03-23
Made in Abyss I: El amanecer del viaje,https://www.palomitacas.com/pelicula/ficha/p526426,526426,7.0,7.0,02 de marzo - 2020,2020-03-23
Never Rarely Sometimes Always,https://www.palomitacas.com/pelicula/ficha/p595671,595671,,,,
Los lobos,https://www.palomitacas.com/pelicula/ficha/p586351,586351,,,,
Monster Hunter,https://www.palomitacas.com/pelicula/ficha/p458576,458576,,,,
Wolfwalkers,https://www.palomitacas.com/pelicula/ficha/p441130,441130,,,,
Eizouken ni wa Te wo Dasu na!,https://www.palomitacas.com/pelicula/ficha/p671397,671397,,,,
Kung Fu Mulan,https://www.palomitacas.com/pelicula/ficha/p664345,664345,,,,
The French Dispatch,https://www.palomitacas.com/pelicula/ficha/p542178,542178,,,,
The Witcher: Nightmare of the Wolf,https://www.palomitacas.com/pelicula/ficha/p666243,666243,,,,
Mujercitas,https://www.palomitacas.com/pelicula/ficha/p331482,331482,,,,
Mortal Kombat Legends: Scorpion’s Revenge,https://www.palomitacas.com/pelicula/ficha/p664767,664767,,,,
Bloodshot,https://www.palomitacas.com/pelicula/ficha/p338762,338762,,,,
12 años de esclavitud,https://www.palomitacas.com/pelicula/ficha/p76203,76203,,,,
The Wind Guardians,https://www.palomitacas.com/pelicula/ficha/p541057,541057,,,,
Wish Dragon,https://www.palomitacas.com/pelicula/ficha/p550205,550205,,,,
Dragonkeeper,https://www.palomitacas.com/pelicula/ficha/p588648,588648,,,,
L.O.R.D: Legend of Ravaging Dynasties,https://www.palomitacas.com/pelicula/ficha/p369552,369552,,,,
Mai Mai Miracle,https://www.palomitacas.com/pelicula/ficha/p64809,64809,,,,
The Juniper Tree,https://www.palomitacas.com/pelicula/ficha/p29460,29460,,,,
Dragon Quest: Your Story,https://www.palomitacas.com/pelicula/ficha/p592867,592867,,,,
HAVE A NICE DAY,https://www.palomitacas.com/pelicula/ficha/p437220,437220,,,,
Gretel & Hansel,https://www.palomitacas.com/pelicula/ficha/p542224,542224,,,,
Mr. Miao,https://www.palomitacas.com/pelicula/ficha/p657893,657893,,,,
Nerawareta Gakuen,https://www.palomitacas.com/pelicula/ficha/p135915,135915,,,,
Los dos papas,https://www.palomitacas.com/pelicula/ficha/p551332,551332,,,,
Millennium Actress,https://www.palomitacas.com/pelicula/ficha/p33320,33320,,,,
Katasumi-tachi to Ikiru Kantoku Katabuchi Sunao,https://www.palomitacas.com/pelicula/ficha/p657622,657622,,,,
Walking Meat,https://www.palomitacas.com/pelicula/ficha/p535180,535180,,,,
Way Down,https://www.palomitacas.com/pelicula/ficha/p630004,630004,,,,
La favorita,https://www.palomitacas.com/pelicula/ficha/p375262,375262,,,,
Dolor y gloria,https://www.palomitacas.com/pelicula/ficha/p519010,519010,,,,
Historia de un matrimonio,https://www.palomitacas.com/pelicula/ficha/p492188,492188,,,,
Well Groomed,https://www.palomitacas.com/pelicula/ficha/p576564,576564,,,,
Togo,https://www.palomitacas.com/pelicula/ficha/p606856,606856,,,,
Dounika Naru Hibi,https://www.palomitacas.com/pelicula/ficha/p649523,649523,,,,
Josee to Tora to Sakana-tachi,https://www.palomitacas.com/pelicula/ficha/p652837,652837,,,,
"Okko, el hostal y sus fantasmas",https://www.palomitacas.com/pelicula/ficha/p521296,521296,,,,
El imperio del sol,https://www.palomitacas.com/pelicula/ficha/p10110,10110,,,,
The Fall,https://www.palomitacas.com/pelicula/ficha/p643065,643065,,,,
Rakuen Tsuihou - Expelled from Paradise,https://www.palomitacas.com/pelicula/ficha/p304023,304023,,,,
Pinocchio,https://www.palomitacas.com/pelicula/ficha/p413518,413518,,,,
Pinocchio,https://www.palomitacas.com/pelicula/ficha/p555604,555604,,,,
Legend of Deification,https://www.palomitacas.com/pelicula/ficha/p635389,635389,,,,
Ne Zha,https://www.palomitacas.com/pelicula/ficha/p615453,615453,,,,
The Call of the Wild,https://www.palomitacas.com/pelicula/ficha/p481848,481848,,,,
Klaus,https://www.palomitacas.com/pelicula/ficha/p508965,508965,,,,
Shutter Island,https://www.palomitacas.com/pelicula/ficha/p11324,11324,,,,
DEEMO THE MOVIE,https://www.palomitacas.com/pelicula/ficha/p648457,648457,,,,
La Antena,https://www.palomitacas.com/pelicula/ficha/p13317,13317,,,,
The Artist,https://www.palomitacas.com/pelicula/ficha/p74643,74643,,,,
Wendy,https://www.palomitacas.com/pelicula/ficha/p399363,399363,,,,
The Invisible Man,https://www.palomitacas.com/pelicula/ficha/p570670,570670,,,,
One Child Nation,https://www.palomitacas.com/pelicula/ficha/p566368,566368,,,,
Tito y los pájaros,https://www.palomitacas.com/pelicula/ficha/p528112,528112,,,,
Un día más con vida,https://www.palomitacas.com/pelicula/ficha/p378107,378107,,,,
The Banker,https://www.palomitacas.com/pelicula/ficha/p627725,627725,,,,
Campeones,https://www.palomitacas.com/pelicula/ficha/p456929,456929,,,,
Spider-Man: Un nuevo universo,https://www.palomitacas.com/pelicula/ficha/p324857,324857,,,,
HERO Inspired by the Extraordinary Life & Times of Mr. Ulric Cross,https://www.palomitacas.com/pelicula/ficha/p582661,582661,,,,
The Elephant Queen,https://www.palomitacas.com/pelicula/ficha/p541572,541572,,,,
Belladonna of Sadness,https://www.palomitacas.com/pelicula/ficha/p64847,64847,,,,
Aggretsuko: Feliz metal y próspero Año Nuevo,https://www.palomitacas.com/pelicula/ficha/p643058,643058,,,,
Parásitos,https://www.palomitacas.com/pelicula/ficha/p496243,496243,,,,
Inu-Oh,https://www.palomitacas.com/pelicula/ficha/p642538,642538,,,,
The Journey,https://www.palomitacas.com/pelicula/ficha/p641951,641951,,,,
Asagao to Kase-san.,https://www.palomitacas.com/pelicula/ficha/p511008,511008,,,,
Asagao to Kase-san.,https://www.palomitacas.com/pelicula/ficha/p515295,515295,,,,
Dunkerque,https://www.palomitacas.com/pelicula/ficha/p374720,374720,,,,
Joker,https://www.palomitacas.com/pelicula/ficha/p475557,475557,,,,
Kimetsu no Yaiba Movie: Mugen Ressha-hen,https://www.palomitacas.com/pelicula/ficha/p635302,635302,,,,
Metrópolis,https://www.palomitacas.com/pelicula/ficha/p9606,9606,,,,
Yakusoku no Neverland,https://www.palomitacas.com/pelicula/ficha/p634521,634521,,,,
Funan,https://www.palomitacas.com/pelicula/ficha/p515353,515353,,,,
La canción del mar,https://www.palomitacas.com/pelicula/ficha/p110416,110416,,,,
El silencio de la ciudad blanca,https://www.palomitacas.com/pelicula/ficha/p542917,542917,,,,
Rambo: Last Blood,https://www.palomitacas.com/pelicula/ficha/p522938,522938,,,,
センコロール,https://www.palomitacas.com/pelicula/ficha/p37928,37928,,,,
Cencoroll Connect,https://www.palomitacas.com/pelicula/ficha/p539140,539140,,,,
Re:Zero kara Hajimeru Isekai Seikatsu: Hyouketsu no Kizuna,https://www.palomitacas.com/pelicula/ficha/p566451,566451,,,,
Sturgill Simpson Presents Sound & Fury,https://www.palomitacas.com/pelicula/ficha/p624989,624989,,,,
Jojo Rabbit,https://www.palomitacas.com/pelicula/ficha/p515001,515001,,,,
"Yobi, el zorro de cinco colas",https://www.palomitacas.com/pelicula/ficha/p58700,58700,,,,
Origen: espíritus del pasado,https://www.palomitacas.com/pelicula/ficha/p14945,14945,,,,
フラグタイム,https://www.palomitacas.com/pelicula/ficha/p630027,630027,,,,
The Legend of Hei,https://www.palomitacas.com/pelicula/ficha/p620249,620249,,,,
Viento de libertad,https://www.palomitacas.com/pelicula/ficha/p483983,483983,,,,
Man on Wire,https://www.palomitacas.com/pelicula/ficha/p14048,14048,,,,
カクレンボ,https://www.palomitacas.com/pelicula/ficha/p27812,27812,,,,
Mars Express,https://www.palomitacas.com/pelicula/ficha/p586810,586810,,,,
Away,https://www.palomitacas.com/pelicula/ficha/p597398,597398,,,,
I Lost My Body,https://www.palomitacas.com/pelicula/ficha/p586940,586940,,,,
The Shower,https://www.palomitacas.com/pelicula/ficha/p478224,478224,,,,
"Buckwheat Flower, A Lucky Day and Spring",https://www.palomitacas.com/pelicula/ficha/p287336,287336,,,,
The House,https://www.palomitacas.com/pelicula/ficha/p134569,134569,,,,
Kamiari no Kodomo,https://www.palomitacas.com/pelicula/ficha/p628964,628964,,,,
刺痛我,https://www.palomitacas.com/pelicula/ficha/p154700,154700,,,,
The King,https://www.palomitacas.com/pelicula/ficha/p504949,504949,,,,
The Customized Play,https://www.palomitacas.com/pelicula/ficha/p266624,266624,,,,
Clearer than You Think,https://www.palomitacas.com/pelicula/ficha/p324357,324357,,,,
Kai,https://www.palomitacas.com/pelicula/ficha/p404007,404007,,,,
The Senior Class,https://www.palomitacas.com/pelicula/ficha/p432703,432703,,,,
En los 90,https://www.palomitacas.com/pelicula/ficha/p437586,437586,,,,
Da Hu Fa,https://www.palomitacas.com/pelicula/ficha/p466980,466980,,,,
CRYSTAL SKY OF YESTERDAY,https://www.palomitacas.com/pelicula/ficha/p512788,512788,,,,
On Happiness Road,https://www.palomitacas.com/pelicula/ficha/p490725,490725,,,,
Green Days: Dinosaur and I,https://www.palomitacas.com/pelicula/ficha/p127189,127189,,,,
Oseam,https://www.palomitacas.com/pelicula/ficha/p38562,38562,,,,
Mom,https://www.palomitacas.com/pelicula/ficha/p428433,428433,,,,
Valley of White Birds,https://www.palomitacas.com/pelicula/ficha/p521452,521452,,,,
El sótano de Ma,https://www.palomitacas.com/pelicula/ficha/p502416,502416,,,,
Ex_Machina,https://www.palomitacas.com/pelicula/ficha/p264660,264660,,,,
In the Shadow of the Towers: Stuyvesant High On 9/11,https://www.palomitacas.com/pelicula/ficha/p625331,625331,,,,
Seoul Station,https://www.palomitacas.com/pelicula/ficha/p389868,389868,,,,
The King of Pigs,https://www.palomitacas.com/pelicula/ficha/p91088,91088,,,,
Wonderful Days,https://www.palomitacas.com/pelicula/ficha/p14258,14258,,,,
"My Beautiful Girl, Mari",https://www.palomitacas.com/pelicula/ficha/p105280,105280,,,,
Aachi & Ssipak,https://www.palomitacas.com/pelicula/ficha/p22520,22520,,,,
The Fake,https://www.palomitacas.com/pelicula/ficha/p211247,211247,,,,
The Aeronauts,https://www.palomitacas.com/pelicula/ficha/p514921,514921,,,,
