title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Dune: Parte dos,https://www.palomitacas.com/pelicula/ficha/p693134,693134,9.0,9.0,14 de enero - 2025,2025-01-14
The Imitation Game (Descifrando Enigma),https://www.palomitacas.com/pelicula/ficha/p205596,205596,9.0,9.0,26 de junio - 2024,2024-06-26
El test,https://www.palomitacas.com/pelicula/ficha/p901944,901944,4.5,4.5,01 de mayo - 2024,2024-05-01
Lady Bird,https://www.palomitacas.com/pelicula/ficha/p391713,391713,8.0,8.0,01 de mayo - 2024,2024-05-01
Cruella,https://www.palomitacas.com/pelicula/ficha/p337404,337404,8.0,8.0,10 de enero - 2024,2024-01-10
Babylon,https://www.palomitacas.com/pelicula/ficha/p615777,615777,,,,
Downton Abbey: la película,https://www.palomitacas.com/pelicula/ficha/p535544,535544,,,,
Barbie,https://www.palomitacas.com/pelicula/ficha/p346698,346698,,,,
Elemental,https://www.palomitacas.com/pelicula/ficha/p976573,976573,,,,
Te estoy amando locamente,https://www.palomitacas.com/pelicula/ficha/p1045862,1045862,,,,
Extraña forma de vida,https://www.palomitacas.com/pelicula/ficha/p963765,963765,,,,
Sleepers,https://www.palomitacas.com/pelicula/ficha/p819,819,9.5,9.5,13 de noviembre - 2022,2022-11-13
Enola Holmes 2,https://www.palomitacas.com/pelicula/ficha/p829280,829280,6.0,6.0,08 de noviembre - 2022,2022-11-08
Amor de calendario,https://www.palomitacas.com/pelicula/ficha/p615665,615665,,,,
Cómo deshacerte de tu jefe,https://www.palomitacas.com/pelicula/ficha/p384677,384677,,,,
La habitación de Fermat,https://www.palomitacas.com/pelicula/ficha/p5595,5595,,,,
Ritmos del corazón,https://www.palomitacas.com/pelicula/ficha/p470333,470333,,,,
La (des)educación de Cameron Post,https://www.palomitacas.com/pelicula/ficha/p426613,426613,,,,
American Honey,https://www.palomitacas.com/pelicula/ficha/p340485,340485,,,,
Ibiza,https://www.palomitacas.com/pelicula/ficha/p463053,463053,,,,
Purasangre,https://www.palomitacas.com/pelicula/ficha/p397722,397722,,,,
Ricos y mimados,https://www.palomitacas.com/pelicula/ficha/p671043,671043,,,,
Perfectos desconocidos,https://www.palomitacas.com/pelicula/ficha/p435126,435126,8.5,8.5,16 de agosto - 2022,2022-08-16
La Peor Persona del Mundo,https://www.palomitacas.com/pelicula/ficha/p660120,660120,,,,
Uncharted,https://www.palomitacas.com/pelicula/ficha/p335787,335787,,,,
Más allá del tiempo,https://www.palomitacas.com/pelicula/ficha/p24420,24420,8.5,8.5,28 de enero - 2022,2022-01-28
Una cuestión de tiempo,https://www.palomitacas.com/pelicula/ficha/p122906,122906,,,,
Cuando te encuentre,https://www.palomitacas.com/pelicula/ficha/p77877,77877,5.0,5.0,25 de enero - 2022,2022-01-25
Free Guy,https://www.palomitacas.com/pelicula/ficha/p550988,550988,,,,
Luca,https://www.palomitacas.com/pelicula/ficha/p508943,508943,,,,
Spencer,https://www.palomitacas.com/pelicula/ficha/p716612,716612,,,,
"tick, tick… BOOM!",https://www.palomitacas.com/pelicula/ficha/p537116,537116,,,,
¡Canta! 2,https://www.palomitacas.com/pelicula/ficha/p438695,438695,,,,
El bebé jefazo: Negocios de familia,https://www.palomitacas.com/pelicula/ficha/p459151,459151,5.5,5.5,02 de enero - 2022,2022-01-02
El bebé jefazo,https://www.palomitacas.com/pelicula/ficha/p295693,295693,7.0,7.0,02 de enero - 2022,2022-01-02
Harry Potter 20 aniversario: Regreso a Hogwarts,https://www.palomitacas.com/pelicula/ficha/p899082,899082,,,,
No mires arriba,https://www.palomitacas.com/pelicula/ficha/p646380,646380,7.0,7.0,27 de diciembre - 2021,2021-12-27
Way Down,https://www.palomitacas.com/pelicula/ficha/p630004,630004,,,,
La Casa Gucci,https://www.palomitacas.com/pelicula/ficha/p644495,644495,,,,
La chica del valle,https://www.palomitacas.com/pelicula/ficha/p482273,482273,,,,
Azulado,https://www.palomitacas.com/pelicula/ficha/p200481,200481,,,,
Eternals,https://www.palomitacas.com/pelicula/ficha/p524434,524434,,,,
Dune,https://www.palomitacas.com/pelicula/ficha/p438631,438631,7.0,7.0,10 de octubre - 2021,2021-10-10
El contable,https://www.palomitacas.com/pelicula/ficha/p302946,302946,9.5,9.5,03 de octubre - 2021,2021-10-03
Belleza oculta,https://www.palomitacas.com/pelicula/ficha/p345920,345920,,,,
Un plan brillante,https://www.palomitacas.com/pelicula/ficha/p13195,13195,,,,
El talento de Mr. Ripley,https://www.palomitacas.com/pelicula/ficha/p1213,1213,,,,
Maixabel,https://www.palomitacas.com/pelicula/ficha/p814312,814312,9.0,9.0,25 de septiembre - 2021,2021-09-25
Profesor Lazhar,https://www.palomitacas.com/pelicula/ficha/p78480,78480,,,,
Pequeños detalles,https://www.palomitacas.com/pelicula/ficha/p602269,602269,,,,
Bo Burnham: Inside,https://www.palomitacas.com/pelicula/ficha/p823754,823754,,,,
I Care a Lot,https://www.palomitacas.com/pelicula/ficha/p601666,601666,,,,
Viuda negra,https://www.palomitacas.com/pelicula/ficha/p497698,497698,,,,
La chica danesa,https://www.palomitacas.com/pelicula/ficha/p306819,306819,,,,
La increíble historia de la Isla de las Rosas,https://www.palomitacas.com/pelicula/ficha/p636565,636565,,,,
El virtuoso,https://www.palomitacas.com/pelicula/ficha/p808023,808023,,,,
Nadie,https://www.palomitacas.com/pelicula/ficha/p615457,615457,,,,
El círculo,https://www.palomitacas.com/pelicula/ficha/p339988,339988,,,,
Los Mitchell contra las máquinas,https://www.palomitacas.com/pelicula/ficha/p501929,501929,,,,
Contratiempo,https://www.palomitacas.com/pelicula/ficha/p411088,411088,8.0,8.0,07 de mayo - 2021,2022-09-10
