title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Navidad en 8 bits,https://www.palomitacas.com/pelicula/ficha/p802217,802217,7.0,7.0,30 de diciembre - 2025,2025-12-30
Sisu: Camino a la venganza,https://www.palomitacas.com/pelicula/ficha/p1223601,1223601,6.5,6.5,26 de diciembre - 2025,2025-12-26
La Navidad de Charlie Brown,https://www.palomitacas.com/pelicula/ficha/p13187,13187,7.5,7.5,25 de diciembre - 2025,2025-12-25
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,7.5,7.5,21 de diciembre - 2025,2025-12-21
Destino final: Lazos de sangre,https://www.palomitacas.com/pelicula/ficha/p574475,574475,7.0,7.0,14 de diciembre - 2025,2025-12-14
Tierras perdidas,https://www.palomitacas.com/pelicula/ficha/p324544,324544,4.0,4.0,09 de diciembre - 2025,2025-12-09
Zootrópolis 2,https://www.palomitacas.com/pelicula/ficha/p1084242,1084242,8.5,8.5,29 de noviembre - 2025,2025-11-29
Zootrópolis,https://www.palomitacas.com/pelicula/ficha/p269149,269149,9.0,9.0,29 de noviembre - 2025,2025-11-29
As the Gods Will,https://www.palomitacas.com/pelicula/ficha/p241863,241863,6.0,6.0,26 de noviembre - 2025,2025-11-26
Prisioneros de Ghostland,https://www.palomitacas.com/pelicula/ficha/p523638,523638,5.0,5.0,26 de noviembre - 2025,2025-11-26
District 9,https://www.palomitacas.com/pelicula/ficha/p17654,17654,7.5,7.5,16 de noviembre - 2025,2025-11-16
Underworld: La rebelión de los licántropos,https://www.palomitacas.com/pelicula/ficha/p12437,12437,6.0,6.0,16 de noviembre - 2025,2025-11-16
Mis vecinos los Yamada,https://www.palomitacas.com/pelicula/ficha/p16198,16198,7.0,7.0,06 de noviembre - 2025,2025-11-06
El laberinto del fauno,https://www.palomitacas.com/pelicula/ficha/p1417,1417,7.5,7.5,05 de noviembre - 2025,2025-11-05
Chainsaw Man - La película: El arco de Reze,https://www.palomitacas.com/pelicula/ficha/p1218925,1218925,8.0,8.0,03 de noviembre - 2025,2025-11-03
Las guerreras k-pop,https://www.palomitacas.com/pelicula/ficha/p803796,803796,7.5,7.5,31 de octubre - 2025,2025-10-31
Posesión infernal (Evil Dead),https://www.palomitacas.com/pelicula/ficha/p109428,109428,7.0,7.0,26 de octubre - 2025,2025-10-26
Ballerina,https://www.palomitacas.com/pelicula/ficha/p541671,541671,7.0,7.0,17 de octubre - 2025,2025-10-17
Posesión infernal: El despertar,https://www.palomitacas.com/pelicula/ficha/p713704,713704,6.5,6.5,13 de octubre - 2025,2025-10-13
Elio,https://www.palomitacas.com/pelicula/ficha/p1022787,1022787,6.0,6.0,12 de octubre - 2025,2025-10-12
Guardianes de la noche: Kimetsu no Yaiba La fortaleza infinita,https://www.palomitacas.com/pelicula/ficha/p1311031,1311031,8.0,8.0,16 de septiembre - 2025,2025-09-16
