title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Flores para Antonio,https://www.palomitacas.com/pelicula/ficha/p1357349,1357349,,,,
El patriota,https://www.palomitacas.com/pelicula/ficha/p2024,2024,,,,
Los hongos,https://www.palomitacas.com/pelicula/ficha/p287529,287529,6.0,6.0,30 de diciembre - 2025,2025-12-30
No matarás,https://www.palomitacas.com/pelicula/ficha/p10754,10754,,,,
¡Viva María!,https://www.palomitacas.com/pelicula/ficha/p11799,11799,,,,
El festín de Babette,https://www.palomitacas.com/pelicula/ficha/p11832,11832,,,,
Sorda,https://www.palomitacas.com/pelicula/ficha/p1303613,1303613,8.0,8.0,26 de diciembre - 2025,2025-12-27
On the Go,https://www.palomitacas.com/pelicula/ficha/p1128916,1128916,6.5,6.5,26 de diciembre - 2025,2025-12-26
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,7.5,7.5,25 de diciembre - 2025,2025-12-26
The Grandmaster,https://www.palomitacas.com/pelicula/ficha/p44865,44865,,,,
Dream Scenario,https://www.palomitacas.com/pelicula/ficha/p823482,823482,7.0,7.0,22 de diciembre - 2025,2025-12-22
Harvest,https://www.palomitacas.com/pelicula/ficha/p936946,936946,,,,
Todas las habitaciones vacías,https://www.palomitacas.com/pelicula/ficha/p1525091,1525091,7.0,7.0,04 de diciembre - 2025,2025-12-04
Bugonia,https://www.palomitacas.com/pelicula/ficha/p701387,701387,8.5,8.5,02 de diciembre - 2025,2025-12-02
Malas calles,https://www.palomitacas.com/pelicula/ficha/p203,203,7.5,7.5,01 de diciembre - 2025,2025-12-18
On the Bowery,https://www.palomitacas.com/pelicula/ficha/p88051,88051,,,,
Lobo,https://www.palomitacas.com/pelicula/ficha/p1203109,1203109,4.0,4.0,27 de noviembre - 2025,2025-11-27
Mango,https://www.palomitacas.com/pelicula/ficha/p1426792,1426792,,,,
Train Dreams,https://www.palomitacas.com/pelicula/ficha/p1241983,1241983,,,,
Un simple accidente,https://www.palomitacas.com/pelicula/ficha/p1456349,1456349,6.0,6.0,21 de noviembre - 2025,2025-11-21
In My Room,https://www.palomitacas.com/pelicula/ficha/p488453,488453,,,,
Esa Cosa con Alas,https://www.palomitacas.com/pelicula/ficha/p1127628,1127628,,,,
