title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Los domingos,https://www.palomitacas.com/pelicula/ficha/p1443576,1443576,,,,
Mara,https://www.palomitacas.com/pelicula/ficha/p514277,514277,,,,
No tengas miedo,https://www.palomitacas.com/pelicula/ficha/p709631,709631,,,,
Andhadhun,https://www.palomitacas.com/pelicula/ficha/p534780,534780,,,,
Quadrophenia,https://www.palomitacas.com/pelicula/ficha/p10373,10373,,,,
El experto,https://www.palomitacas.com/pelicula/ficha/p16448,16448,,,,
Impacto,https://www.palomitacas.com/pelicula/ficha/p11644,11644,,,,
Cure,https://www.palomitacas.com/pelicula/ficha/p36095,36095,,,,
Acusado,https://www.palomitacas.com/pelicula/ficha/p912974,912974,,,,
Antebellum,https://www.palomitacas.com/pelicula/ficha/p627290,627290,,,,
Años de sequía,https://www.palomitacas.com/pelicula/ficha/p567797,567797,6.0,6.0,20 de diciembre - 2025,2025-12-21
Menudas piezas,https://www.palomitacas.com/pelicula/ficha/p1175075,1175075,7.0,7.0,19 de diciembre - 2025,2025-12-19
La fuente de la eterna juventud,https://www.palomitacas.com/pelicula/ficha/p1098006,1098006,7.0,7.0,18 de diciembre - 2025,2025-12-18
Arco,https://www.palomitacas.com/pelicula/ficha/p804370,804370,,,,
Los Cretinos,https://www.palomitacas.com/pelicula/ficha/p927254,927254,,,,
The Gallerist,https://www.palomitacas.com/pelicula/ficha/p1379537,1379537,,,,
"Adiós, June",https://www.palomitacas.com/pelicula/ficha/p1435092,1435092,,,,
Oh. What. Fun.,https://www.palomitacas.com/pelicula/ficha/p1261825,1261825,,,,
Calibre,https://www.palomitacas.com/pelicula/ficha/p474051,474051,8.5,8.5,14 de diciembre - 2025,2025-12-15
El buen vecino,https://www.palomitacas.com/pelicula/ficha/p893086,893086,6.0,6.0,14 de diciembre - 2025,2025-12-25
Navidad en Baltimore,https://www.palomitacas.com/pelicula/ficha/p1421990,1421990,6.0,6.0,14 de diciembre - 2025,2025-12-14
Nouvelle Vague,https://www.palomitacas.com/pelicula/ficha/p1254808,1254808,,,,
Blue Moon,https://www.palomitacas.com/pelicula/ficha/p1299655,1299655,,,,
Bugonia,https://www.palomitacas.com/pelicula/ficha/p701387,701387,,,,
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,,,,
Marty Supreme,https://www.palomitacas.com/pelicula/ficha/p1317288,1317288,,,,
Los pecadores,https://www.palomitacas.com/pelicula/ficha/p1233413,1233413,,,,
Valor sentimental,https://www.palomitacas.com/pelicula/ficha/p1124566,1124566,,,,
Un simple accidente,https://www.palomitacas.com/pelicula/ficha/p1456349,1456349,,,,
Hamnet,https://www.palomitacas.com/pelicula/ficha/p858024,858024,,,,
Ballerina,https://www.palomitacas.com/pelicula/ficha/p541671,541671,6.0,6.0,02 de diciembre - 2025,2025-12-02
El problema con Jessica,https://www.palomitacas.com/pelicula/ficha/p1056746,1056746,5.5,5.5,01 de diciembre - 2025,2025-12-01
La navidad mágica de los Jangle,https://www.palomitacas.com/pelicula/ficha/p622855,622855,,,,
Soltero hasta Navidad,https://www.palomitacas.com/pelicula/ficha/p810873,810873,,,,
Klaus,https://www.palomitacas.com/pelicula/ficha/p508965,508965,,,,
Un Castillo por Navidad,https://www.palomitacas.com/pelicula/ficha/p758879,758879,,,,
¡Qué duro es el amor!,https://www.palomitacas.com/pelicula/ficha/p734265,734265,,,,
Niñera a la fuerza,https://www.palomitacas.com/pelicula/ficha/p14926,14926,8.0,8.0,30 de noviembre - 2025,2025-11-30
Cuestión de confianza,https://www.palomitacas.com/pelicula/ficha/p1244953,1244953,6.0,6.0,30 de noviembre - 2025,2025-11-30
Adivina quién muere esta noche,https://www.palomitacas.com/pelicula/ficha/p1229262,1229262,6.0,6.0,28 de noviembre - 2025,2025-11-28
El mapa que me lleva a ti,https://www.palomitacas.com/pelicula/ficha/p1312946,1312946,,,,
Noche de fin de año,https://www.palomitacas.com/pelicula/ficha/p62838,62838,,,,
Mi lista de deseos,https://www.palomitacas.com/pelicula/ficha/p1254786,1254786,,,,
Gaua,https://www.palomitacas.com/pelicula/ficha/p1367125,1367125,,,,
Suzhou River,https://www.palomitacas.com/pelicula/ficha/p11599,11599,,,,
La vida de Chuck,https://www.palomitacas.com/pelicula/ficha/p842924,842924,,,,
어쩔수가없다,https://www.palomitacas.com/pelicula/ficha/p639988,639988,,,,
Lars y una chica de verdad,https://www.palomitacas.com/pelicula/ficha/p6615,6615,,,,
Los Voyeurs,https://www.palomitacas.com/pelicula/ficha/p645710,645710,6.0,6.0,18 de noviembre - 2025,2025-11-18
El escondite,https://www.palomitacas.com/pelicula/ficha/p11096,11096,,,,
Nausicaä del valle del viento,https://www.palomitacas.com/pelicula/ficha/p81,81,,,,
Escóndete y grita,https://www.palomitacas.com/pelicula/ficha/p68964,68964,,,,
Reversión,https://www.palomitacas.com/pelicula/ficha/p1526519,1526519,7.5,7.5,08 de noviembre - 2025,2025-11-08
Cacería Sangrienta,https://www.palomitacas.com/pelicula/ficha/p1165466,1165466,6.0,6.0,02 de noviembre - 2025,2025-11-02
Las últimas supervivientes,https://www.palomitacas.com/pelicula/ficha/p293970,293970,,,,
Strange Darling,https://www.palomitacas.com/pelicula/ficha/p1029281,1029281,,,,
El frío en los huesos,https://www.palomitacas.com/pelicula/ficha/p1075335,1075335,8.0,8.0,27 de octubre - 2025,2025-10-27
La deuda,https://www.palomitacas.com/pelicula/ficha/p1440144,1440144,,,,
La cena,https://www.palomitacas.com/pelicula/ficha/p1433680,1433680,,,,
Una casa llena de dinamita,https://www.palomitacas.com/pelicula/ficha/p1290159,1290159,,,,
Strangers: Capítulo 1,https://www.palomitacas.com/pelicula/ficha/p1010600,1010600,,,,
Tito Paleto,https://www.palomitacas.com/pelicula/ficha/p667154,667154,,,,
Despertar,https://www.palomitacas.com/pelicula/ficha/p1233269,1233269,5.5,5.5,20 de octubre - 2025,2025-10-20
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,,,,
Furioza,https://www.palomitacas.com/pelicula/ficha/p866678,866678,,,,
Regalo maldito,https://www.palomitacas.com/pelicula/ficha/p1251717,1251717,5.0,5.0,20 de octubre - 2025,2025-11-15
Un fantasma en la batalla,https://www.palomitacas.com/pelicula/ficha/p1275151,1275151,,,,
Sin instrucciones,https://www.palomitacas.com/pelicula/ficha/p1238200,1238200,7.0,7.0,18 de octubre - 2025,2025-10-18
Las cosas sencillas,https://www.palomitacas.com/pelicula/ficha/p1000572,1000572,7.0,7.0,18 de octubre - 2025,2025-10-18
La mujer del camarote 10,https://www.palomitacas.com/pelicula/ficha/p1290879,1290879,7.5,7.5,18 de octubre - 2025,2025-10-18
