title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Expediente Warren: El caso Enfield,https://www.palomitacas.com/pelicula/ficha/p259693,259693,7.0,7.0,04 de enero - 2026,2026-01-04
Matilda,https://www.palomitacas.com/pelicula/ficha/p10830,10830,9.0,9.0,28 de diciembre - 2025,2025-12-28
Un padre en apuros,https://www.palomitacas.com/pelicula/ficha/p9279,9279,6.0,6.0,24 de diciembre - 2025,2025-12-24
Cartas de Navidad,https://www.palomitacas.com/pelicula/ficha/p421629,421629,6.0,6.0,24 de diciembre - 2025,2025-12-24
Cónclave,https://www.palomitacas.com/pelicula/ficha/p974576,974576,6.5,6.5,19 de diciembre - 2025,2025-12-19
Dímelo bajito,https://www.palomitacas.com/pelicula/ficha/p1379963,1379963,3.5,3.5,18 de diciembre - 2025,2025-12-18
Largo domingo de noviazgo,https://www.palomitacas.com/pelicula/ficha/p2841,2841,7.0,7.0,16 de diciembre - 2025,2025-12-16
100 Days With Mr. Arrogant,https://www.palomitacas.com/pelicula/ficha/p16632,16632,6.0,6.0,16 de diciembre - 2025,2025-12-16
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,7.5,7.5,06 de diciembre - 2025,2025-12-06
Zootrópolis 2,https://www.palomitacas.com/pelicula/ficha/p1084242,1084242,9.0,9.0,03 de diciembre - 2025,2025-12-03
Wicked Parte II,https://www.palomitacas.com/pelicula/ficha/p967941,967941,6.5,6.5,03 de diciembre - 2025,2025-12-03
Un robo muy navideño,https://www.palomitacas.com/pelicula/ficha/p1218762,1218762,5.0,5.0,03 de diciembre - 2025,2025-12-03
Gru. Mi villano favorito,https://www.palomitacas.com/pelicula/ficha/p20352,20352,8.0,8.0,28 de noviembre - 2025,2025-11-28
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,7.0,7.0,22 de noviembre - 2025,2025-11-22
Ahora me ves 3,https://www.palomitacas.com/pelicula/ficha/p425274,425274,5.5,5.5,19 de noviembre - 2025,2025-11-19
Chainsaw Man - La película: El arco de Reze,https://www.palomitacas.com/pelicula/ficha/p1218925,1218925,6.5,6.5,06 de noviembre - 2025,2025-11-06
Estado eléctrico,https://www.palomitacas.com/pelicula/ficha/p777443,777443,6.0,6.0,06 de noviembre - 2025,2025-11-06
"Totto-chan, aventuras desde la ventana",https://www.palomitacas.com/pelicula/ficha/p1106904,1106904,9.0,9.0,31 de octubre - 2025,2025-10-31
Culpa nuestra,https://www.palomitacas.com/pelicula/ficha/p1156594,1156594,3.0,3.0,27 de octubre - 2025,2025-10-27
La mujer del camarote 10,https://www.palomitacas.com/pelicula/ficha/p1290879,1290879,5.5,5.5,27 de octubre - 2025,2025-10-27
Vicky Cristina Barcelona,https://www.palomitacas.com/pelicula/ficha/p5038,5038,6.5,6.5,27 de octubre - 2025,2025-10-27
로맨틱 아일랜드,https://www.palomitacas.com/pelicula/ficha/p76619,76619,5.0,5.0,16 de octubre - 2025,2025-10-16
Pained,https://www.palomitacas.com/pelicula/ficha/p86001,86001,6.5,6.5,16 de octubre - 2025,2025-10-16
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,7.0,7.0,06 de octubre - 2025,2025-10-06
Sirāt,https://www.palomitacas.com/pelicula/ficha/p1151272,1151272,6.0,6.0,06 de octubre - 2025,2025-10-06
Elio,https://www.palomitacas.com/pelicula/ficha/p1022787,1022787,6.0,6.0,06 de octubre - 2025,2025-10-06
Drácula,https://www.palomitacas.com/pelicula/ficha/p1246049,1246049,1.0,1.0,06 de octubre - 2025,2025-10-06
El mapa de las pequeñas cosas perfectas,https://www.palomitacas.com/pelicula/ficha/p672647,672647,7.0,7.0,01 de octubre - 2025,2025-10-01
El amor está en el aire,https://www.palomitacas.com/pelicula/ficha/p1167725,1167725,5.0,5.0,01 de octubre - 2025,2025-10-01
Los tipos malos 2,https://www.palomitacas.com/pelicula/ficha/p1175942,1175942,6.5,6.5,02 de septiembre - 2025,2025-09-02
Sé lo que hicisteis el último verano,https://www.palomitacas.com/pelicula/ficha/p1083433,1083433,4.0,4.0,02 de septiembre - 2025,2025-09-02
Predator: Asesino de asesinos,https://www.palomitacas.com/pelicula/ficha/p1376434,1376434,6.5,6.5,02 de septiembre - 2025,2025-09-02
El mapa que me lleva a ti,https://www.palomitacas.com/pelicula/ficha/p1312946,1312946,6.0,6.0,27 de agosto - 2025,2025-08-27
Caerás,https://www.palomitacas.com/pelicula/ficha/p1300116,1300116,4.0,4.0,27 de agosto - 2025,2025-08-27
Guardianes de la noche: Kimetsu no Yaiba La fortaleza infinita,https://www.palomitacas.com/pelicula/ficha/p1311031,1311031,8.5,8.5,27 de agosto - 2025,2025-08-27
Atrapados en un bucle infinito,https://www.palomitacas.com/pelicula/ficha/p1138476,1138476,7.0,7.0,05 de agosto - 2025,2025-08-05
Tamako Love Story,https://www.palomitacas.com/pelicula/ficha/p257475,257475,6.5,6.5,30 de julio - 2025,2025-07-30
Summer Ghost,https://www.palomitacas.com/pelicula/ficha/p798544,798544,6.5,6.5,30 de julio - 2025,2025-07-30
Deadpool y Lobezno,https://www.palomitacas.com/pelicula/ficha/p533535,533535,7.0,7.0,30 de julio - 2025,2025-07-30
Cabaret,https://www.palomitacas.com/pelicula/ficha/p10784,10784,7.0,7.0,30 de julio - 2025,2025-07-30
¿Tus navidades o las mías? 2,https://www.palomitacas.com/pelicula/ficha/p1176139,1176139,5.0,5.0,30 de julio - 2025,2025-07-30
麦子さんと,https://www.palomitacas.com/pelicula/ficha/p279180,279180,6.0,6.0,30 de julio - 2025,2025-07-30
Neko zamurai (Samurai Cat),https://www.palomitacas.com/pelicula/ficha/p279178,279178,5.0,5.0,30 de julio - 2025,2023-06-30
Las guerreras k-pop,https://www.palomitacas.com/pelicula/ficha/p803796,803796,7.5,7.5,22 de julio - 2025,2025-07-22
Expediente Warren: The Conjuring,https://www.palomitacas.com/pelicula/ficha/p138843,138843,8.0,8.0,22 de julio - 2025,2025-07-22
Solo en casa,https://www.palomitacas.com/pelicula/ficha/p771,771,7.5,7.5,19 de julio - 2025,2025-07-19
Azumi,https://www.palomitacas.com/pelicula/ficha/p5889,5889,6.0,6.0,17 de julio - 2025,2025-07-17
La casa de las dagas voladoras,https://www.palomitacas.com/pelicula/ficha/p9550,9550,7.5,7.5,17 de julio - 2025,2025-07-17
Bolt,https://www.palomitacas.com/pelicula/ficha/p13053,13053,6.0,6.0,15 de julio - 2025,2025-07-15
El orfanato,https://www.palomitacas.com/pelicula/ficha/p6537,6537,6.5,6.5,15 de julio - 2025,2025-07-15
Destino final: Lazos de sangre,https://www.palomitacas.com/pelicula/ficha/p574475,574475,7.0,7.0,03 de julio - 2025,2025-07-03
Retratos de familia,https://www.palomitacas.com/pelicula/ficha/p188598,188598,6.5,6.5,28 de junio - 2025,2025-06-28
Kids on the Slope,https://www.palomitacas.com/pelicula/ficha/p482121,482121,6.0,6.0,28 de junio - 2025,2025-06-28
댄서의 순정,https://www.palomitacas.com/pelicula/ficha/p50010,50010,5.5,5.5,28 de junio - 2025,2025-06-28
Más allá de los dos minutos infinitos,https://www.palomitacas.com/pelicula/ficha/p805627,805627,7.0,7.0,28 de junio - 2025,2024-05-05
¡Rompe Ralph!,https://www.palomitacas.com/pelicula/ficha/p82690,82690,8.0,8.0,22 de junio - 2025,2025-06-22
Cómo entrenar a tu dragón 2,https://www.palomitacas.com/pelicula/ficha/p82702,82702,7.5,7.5,22 de junio - 2025,2025-06-22
Cómo entrenar a tu dragón,https://www.palomitacas.com/pelicula/ficha/p1087192,1087192,8.0,8.0,14 de junio - 2025,2025-06-14
Kinds of Kindness,https://www.palomitacas.com/pelicula/ficha/p1029955,1029955,6.0,6.0,14 de junio - 2025,2025-06-14
Lilo y Stitch,https://www.palomitacas.com/pelicula/ficha/p552524,552524,7.0,7.0,08 de junio - 2025,2025-06-08
Dreams,https://www.palomitacas.com/pelicula/ficha/p1228682,1228682,7.0,7.0,08 de junio - 2025,2025-06-08
Death of a Unicorn,https://www.palomitacas.com/pelicula/ficha/p1153714,1153714,5.5,5.5,08 de junio - 2025,2025-06-08
Sweethearts,https://www.palomitacas.com/pelicula/ficha/p999890,999890,5.0,5.0,27 de mayo - 2025,2025-05-27
El búho y la niña: Casi una historia navideña,https://www.palomitacas.com/pelicula/ficha/p1355755,1355755,6.5,6.5,27 de mayo - 2025,2025-05-27
Write Before Christmas,https://www.palomitacas.com/pelicula/ficha/p626319,626319,6.5,6.5,27 de mayo - 2025,2025-05-27
Nuestro secretito,https://www.palomitacas.com/pelicula/ficha/p1234811,1234811,6.0,6.0,10 de mayo - 2025,2025-05-10
Overlord: El reino sagrado,https://www.palomitacas.com/pelicula/ficha/p1014505,1014505,6.0,6.0,10 de mayo - 2025,2025-05-10
Patema: Dos mundos inversos,https://www.palomitacas.com/pelicula/ficha/p212167,212167,6.5,6.5,02 de mayo - 2025,2025-05-02
Paddington 2,https://www.palomitacas.com/pelicula/ficha/p346648,346648,7.0,7.0,18 de abril - 2025,2025-04-06
A Secret Love,https://www.palomitacas.com/pelicula/ficha/p687156,687156,7.0,7.0,18 de abril - 2025,2025-04-18
Paddington: Aventura en la selva,https://www.palomitacas.com/pelicula/ficha/p516729,516729,6.0,6.0,18 de abril - 2025,2025-04-18
Verano del 85,https://www.palomitacas.com/pelicula/ficha/p659959,659959,7.0,7.0,08 de abril - 2025,2025-04-08
"Flow, un mundo que salvar",https://www.palomitacas.com/pelicula/ficha/p823219,823219,8.0,8.0,06 de abril - 2025,2025-04-06
Rompiendo las olas,https://www.palomitacas.com/pelicula/ficha/p145,145,6.5,6.5,31 de marzo - 2025,2025-03-31
Los abrazos rotos,https://www.palomitacas.com/pelicula/ficha/p8088,8088,6.0,6.0,31 de marzo - 2025,2025-03-31
El lugar que nos prometimos,https://www.palomitacas.com/pelicula/ficha/p12924,12924,6.5,6.5,31 de marzo - 2025,2025-03-31
Millenium mambo,https://www.palomitacas.com/pelicula/ficha/p11553,11553,6.5,6.5,18 de marzo - 2025,2025-03-18
Iblard Jikan,https://www.palomitacas.com/pelicula/ficha/p21534,21534,6.0,6.0,18 de marzo - 2025,2025-03-18
슬픔보다 더 슬픈 이야기,https://www.palomitacas.com/pelicula/ficha/p45098,45098,8.0,8.0,18 de marzo - 2025,2025-03-18
Memorias de un caracol,https://www.palomitacas.com/pelicula/ficha/p1064486,1064486,7.5,7.5,18 de marzo - 2025,2025-03-18
Sweet Home Alabama,https://www.palomitacas.com/pelicula/ficha/p11529,11529,6.0,6.0,16 de marzo - 2025,2025-03-16
Encantada: La historia de Giselle,https://www.palomitacas.com/pelicula/ficha/p4523,4523,7.0,7.0,16 de marzo - 2025,2025-03-16
Hechizada,https://www.palomitacas.com/pelicula/ficha/p14442,14442,6.0,6.0,16 de marzo - 2025,2025-03-16
Princesa por sorpresa 2,https://www.palomitacas.com/pelicula/ficha/p11130,11130,6.0,6.0,16 de marzo - 2025,2025-03-16
Una rubia muy legal,https://www.palomitacas.com/pelicula/ficha/p8835,8835,7.0,7.0,16 de marzo - 2025,2025-03-16
La acompañante,https://www.palomitacas.com/pelicula/ficha/p1084199,1084199,6.0,6.0,06 de marzo - 2025,2025-03-06
Anora,https://www.palomitacas.com/pelicula/ficha/p1064213,1064213,10.0,10.0,28 de febrero - 2025,2025-02-28
Bridget Jones: Loca por él,https://www.palomitacas.com/pelicula/ficha/p1272149,1272149,6.0,6.0,21 de febrero - 2025,2025-02-21
Nosferatu,https://www.palomitacas.com/pelicula/ficha/p426063,426063,7.0,7.0,21 de febrero - 2025,2025-02-21
El castillo a través del espejo: Antes y después,https://www.palomitacas.com/pelicula/ficha/p1245045,1245045,5.0,5.0,09 de febrero - 2025,2025-02-09
Fate/stay night: Heaven's Feel - II. Mariposa Perdida,https://www.palomitacas.com/pelicula/ficha/p390634,390634,7.5,7.5,09 de febrero - 2025,2025-02-09
Desencantada: Vuelve Giselle,https://www.palomitacas.com/pelicula/ficha/p338958,338958,6.0,6.0,09 de febrero - 2025,2025-02-09
Sonic 3: La película,https://www.palomitacas.com/pelicula/ficha/p939243,939243,6.0,6.0,09 de febrero - 2025,2025-02-09
Fate/stay night: Heaven's Feel - I. La flor del presagio,https://www.palomitacas.com/pelicula/ficha/p283984,283984,7.0,7.0,26 de enero - 2025,2025-01-26
Casa en llamas,https://www.palomitacas.com/pelicula/ficha/p1218193,1218193,6.0,6.0,26 de enero - 2025,2025-01-26
El castillo a través del espejo,https://www.palomitacas.com/pelicula/ficha/p942881,942881,6.5,6.5,26 de enero - 2025,2025-01-26
Vivir el momento,https://www.palomitacas.com/pelicula/ficha/p1100099,1100099,7.0,7.0,13 de enero - 2025,2025-01-13
El túnel de los deseos,https://www.palomitacas.com/pelicula/ficha/p916192,916192,7.0,7.0,30 de diciembre - 2024,2024-12-30
En tiempo de brujas,https://www.palomitacas.com/pelicula/ficha/p23047,23047,5.0,5.0,30 de diciembre - 2024,2024-12-30
Percy Jackson y el ladrón del rayo,https://www.palomitacas.com/pelicula/ficha/p32657,32657,6.0,6.0,30 de diciembre - 2024,2024-12-30
Mufasa: El rey león,https://www.palomitacas.com/pelicula/ficha/p762509,762509,7.5,7.5,23 de diciembre - 2024,2024-12-23
Arrugas,https://www.palomitacas.com/pelicula/ficha/p85444,85444,8.0,8.0,23 de diciembre - 2024,2024-12-23
Vaiana 2,https://www.palomitacas.com/pelicula/ficha/p1241982,1241982,7.0,7.0,15 de diciembre - 2024,2024-12-15
La virgen roja,https://www.palomitacas.com/pelicula/ficha/p1118028,1118028,7.0,7.0,15 de diciembre - 2024,2024-12-15
Aquella Navidad,https://www.palomitacas.com/pelicula/ficha/p645757,645757,6.0,6.0,14 de diciembre - 2024,2024-12-14
Dear Santa,https://www.palomitacas.com/pelicula/ficha/p1097870,1097870,6.0,6.0,14 de diciembre - 2024,2024-12-14
Hechizados,https://www.palomitacas.com/pelicula/ficha/p592983,592983,6.0,6.0,27 de noviembre - 2024,2024-11-27
Paddington,https://www.palomitacas.com/pelicula/ficha/p116149,116149,7.5,7.5,23 de noviembre - 2024,2024-11-23
