title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Anora,https://www.palomitacas.com/pelicula/ficha/p1064213,1064213,8.0,8.0,06 de marzo - 2025,2025-03-06
La virgen roja,https://www.palomitacas.com/pelicula/ficha/p1118028,1118028,6.0,6.0,06 de marzo - 2025,2025-03-06
Jurado Nº 2,https://www.palomitacas.com/pelicula/ficha/p1106739,1106739,6.0,6.0,06 de marzo - 2025,2025-03-06
파일럿,https://www.palomitacas.com/pelicula/ficha/p965094,965094,5.0,5.0,06 de marzo - 2025,2025-03-06
Por encima de la ley 2,https://www.palomitacas.com/pelicula/ficha/p995926,995926,6.0,6.0,06 de marzo - 2025,2025-03-06
Emilia Pérez,https://www.palomitacas.com/pelicula/ficha/p974950,974950,1.0,1.0,06 de marzo - 2025,2025-03-06
"Invasión, insurrección",https://www.palomitacas.com/pelicula/ficha/p1075676,1075676,7.0,7.0,06 de marzo - 2025,2025-03-06
Pat Garrett y Billy el Niño,https://www.palomitacas.com/pelicula/ficha/p11577,11577,5.0,5.0,06 de marzo - 2025,2025-03-06
Look Back,https://www.palomitacas.com/pelicula/ficha/p1244492,1244492,7.5,7.5,06 de marzo - 2025,2025-03-06
La semilla de la higuera sagrada,https://www.palomitacas.com/pelicula/ficha/p1278263,1278263,6.5,6.5,06 de marzo - 2025,2025-03-06
"Yo, 'El Vaquilla'",https://www.palomitacas.com/pelicula/ficha/p189312,189312,5.0,5.0,06 de marzo - 2025,2025-03-06
El Conde de Montecristo,https://www.palomitacas.com/pelicula/ficha/p1084736,1084736,7.0,7.0,06 de marzo - 2025,2025-03-06
Volando voy,https://www.palomitacas.com/pelicula/ficha/p74345,74345,5.0,5.0,06 de marzo - 2025,2025-03-06
Haikyu!! La batalla del basurero,https://www.palomitacas.com/pelicula/ficha/p1012201,1012201,6.0,6.0,06 de marzo - 2025,2025-03-06
Escape,https://www.palomitacas.com/pelicula/ficha/p921436,921436,5.5,5.5,06 de marzo - 2025,2025-03-06
Blade,https://www.palomitacas.com/pelicula/ficha/p36647,36647,6.0,6.0,06 de marzo - 2025,2025-03-06
Megalodón,https://www.palomitacas.com/pelicula/ficha/p345940,345940,4.0,4.0,06 de marzo - 2025,2025-03-06
La batalla de Argel,https://www.palomitacas.com/pelicula/ficha/p17295,17295,6.0,6.0,06 de marzo - 2025,2025-03-06
James Bond contra Goldfinger,https://www.palomitacas.com/pelicula/ficha/p658,658,6.0,6.0,06 de marzo - 2025,2025-03-06
Días de vino y rosas,https://www.palomitacas.com/pelicula/ficha/p32488,32488,7.0,7.0,06 de marzo - 2025,2025-03-06
Sola en la oscuridad,https://www.palomitacas.com/pelicula/ficha/p11206,11206,7.0,7.0,25 de octubre - 2024,2024-10-25
Megalodon,https://www.palomitacas.com/pelicula/ficha/p523931,523931,4.0,4.0,21 de octubre - 2024,2024-10-21
Longlegs,https://www.palomitacas.com/pelicula/ficha/p1226578,1226578,7.0,7.0,20 de octubre - 2024,2024-10-20
チャイム,https://www.palomitacas.com/pelicula/ficha/p1219556,1219556,4.0,4.0,20 de octubre - 2024,2024-10-20
狗阵,https://www.palomitacas.com/pelicula/ficha/p1249423,1249423,6.0,6.0,20 de octubre - 2024,2024-10-20
La estrella azul,https://www.palomitacas.com/pelicula/ficha/p1160878,1160878,6.0,6.0,20 de octubre - 2024,2024-10-20
Misshingu,https://www.palomitacas.com/pelicula/ficha/p1217328,1217328,7.5,7.5,20 de octubre - 2024,2024-10-20
Funeral Parade of Roses,https://www.palomitacas.com/pelicula/ficha/p1556,1556,4.0,4.0,20 de octubre - 2024,2024-10-20
Easy Rider (Buscando mi destino),https://www.palomitacas.com/pelicula/ficha/p624,624,5.0,5.0,20 de octubre - 2024,2024-10-20
La mansión encantada,https://www.palomitacas.com/pelicula/ficha/p11772,11772,6.0,6.0,20 de octubre - 2024,2024-10-20
Sonrisas y lágrimas,https://www.palomitacas.com/pelicula/ficha/p15121,15121,7.0,7.0,20 de octubre - 2024,2024-10-20
Bullitt,https://www.palomitacas.com/pelicula/ficha/p916,916,7.0,7.0,20 de octubre - 2024,2024-10-20
Django,https://www.palomitacas.com/pelicula/ficha/p10772,10772,7.0,7.0,20 de octubre - 2024,2024-10-20
La noche de los muertos vivientes,https://www.palomitacas.com/pelicula/ficha/p10331,10331,6.0,6.0,20 de octubre - 2024,2024-10-20
Hiroshima mon amour,https://www.palomitacas.com/pelicula/ficha/p5544,5544,3.0,3.0,20 de octubre - 2024,2024-10-20
El año pasado en Marienbad,https://www.palomitacas.com/pelicula/ficha/p4024,4024,0.5,0.5,20 de octubre - 2024,2024-10-20
Dos en la carretera,https://www.palomitacas.com/pelicula/ficha/p5767,5767,7.0,7.0,20 de octubre - 2024,2024-10-20
Un extraño en mi vida,https://www.palomitacas.com/pelicula/ficha/p85926,85926,8.0,8.0,20 de octubre - 2024,2024-10-20
Agente 007 contra el Dr. No,https://www.palomitacas.com/pelicula/ficha/p646,646,6.0,6.0,20 de octubre - 2024,2024-10-20
Colón ADN: su verdadero origen,https://www.palomitacas.com/pelicula/ficha/p1369494,1369494,6.0,6.0,20 de octubre - 2024,2024-10-20
The Shadow Strays,https://www.palomitacas.com/pelicula/ficha/p1151949,1151949,6.5,6.5,20 de octubre - 2024,2024-10-20
Robot salvaje,https://www.palomitacas.com/pelicula/ficha/p1184918,1184918,7.5,7.5,20 de octubre - 2024,2024-10-20
Alien: Romulus,https://www.palomitacas.com/pelicula/ficha/p945961,945961,7.0,7.0,20 de octubre - 2024,2024-10-20
La Sustancia,https://www.palomitacas.com/pelicula/ficha/p933260,933260,6.5,6.5,20 de octubre - 2024,2024-10-20
カラオケ行こ！,https://www.palomitacas.com/pelicula/ficha/p1070507,1070507,6.5,6.5,16 de julio - 2024,2024-07-16
Salto al vacío por cuenta propia,https://www.palomitacas.com/pelicula/ficha/p83013,83013,6.5,6.5,16 de julio - 2024,2024-07-16
市子,https://www.palomitacas.com/pelicula/ficha/p1171548,1171548,6.0,6.0,09 de julio - 2024,2024-07-09
Moonrise,https://www.palomitacas.com/pelicula/ficha/p28392,28392,6.0,6.0,07 de julio - 2024,2024-07-07
Medianoche,https://www.palomitacas.com/pelicula/ficha/p31993,31993,7.0,7.0,07 de julio - 2024,2024-07-07
Tormenta mortal,https://www.palomitacas.com/pelicula/ficha/p989,989,7.0,7.0,07 de julio - 2024,2024-07-07
Los desfiles,https://www.palomitacas.com/pelicula/ficha/p1238127,1238127,5.0,5.0,07 de julio - 2024,2024-07-07
リボルバー・リリー,https://www.palomitacas.com/pelicula/ficha/p1067406,1067406,5.0,5.0,07 de julio - 2024,2024-07-07
El mal no existe (Evil Does Not Exist),https://www.palomitacas.com/pelicula/ficha/p1156125,1156125,5.0,5.0,07 de julio - 2024,2024-07-07
파묘,https://www.palomitacas.com/pelicula/ficha/p838209,838209,7.0,7.0,07 de julio - 2024,2024-07-07
Dune: Parte dos,https://www.palomitacas.com/pelicula/ficha/p693134,693134,8.0,8.0,07 de julio - 2024,2024-07-07
マリと子犬の物語,https://www.palomitacas.com/pelicula/ficha/p125239,125239,5.5,5.5,07 de julio - 2024,2024-07-07
リバー、流れないでよ,https://www.palomitacas.com/pelicula/ficha/p1138476,1138476,7.0,7.0,03 de marzo - 2024,2024-03-03
서울의 봄,https://www.palomitacas.com/pelicula/ficha/p919207,919207,7.5,7.5,03 de marzo - 2024,2024-03-03
Pobres criaturas,https://www.palomitacas.com/pelicula/ficha/p792307,792307,6.5,6.5,02 de marzo - 2024,2024-03-02
La zona de interés,https://www.palomitacas.com/pelicula/ficha/p467244,467244,5.0,5.0,02 de marzo - 2024,2024-03-02
Cualquiera menos tú,https://www.palomitacas.com/pelicula/ficha/p1072790,1072790,4.0,4.0,19 de febrero - 2024,2024-02-19
"Natsu e no Tunnel, Sayonara no Deguchi",https://www.palomitacas.com/pelicula/ficha/p916192,916192,6.0,6.0,08 de enero - 2024,2024-01-08
Monstruo,https://www.palomitacas.com/pelicula/ficha/p1050035,1050035,8.0,8.0,08 de enero - 2024,2024-01-08
Jack Frost,https://www.palomitacas.com/pelicula/ficha/p9745,9745,6.0,6.0,07 de enero - 2024,2024-01-07
Koizora,https://www.palomitacas.com/pelicula/ficha/p40713,40713,5.0,5.0,07 de enero - 2024,2024-01-07
La sociedad de la nieve,https://www.palomitacas.com/pelicula/ficha/p906126,906126,7.0,7.0,06 de enero - 2024,2024-01-06
Diciembre,https://www.palomitacas.com/pelicula/ficha/p985517,985517,6.5,6.5,06 de enero - 2024,2024-01-06
In our day,https://www.palomitacas.com/pelicula/ficha/p1114775,1114775,6.5,6.5,02 de enero - 2024,2024-01-02
Kuolleet lehdet,https://www.palomitacas.com/pelicula/ficha/p986280,986280,7.0,7.0,29 de diciembre - 2023,2023-12-29
Cerrar los ojos,https://www.palomitacas.com/pelicula/ficha/p997294,997294,8.0,8.0,29 de diciembre - 2023,2023-12-29
Cobweb,https://www.palomitacas.com/pelicula/ficha/p901121,901121,7.0,7.0,29 de diciembre - 2023,2023-12-29
天然コケッコー,https://www.palomitacas.com/pelicula/ficha/p83214,83214,6.0,6.0,27 de diciembre - 2023,2023-12-27
味園ユニバース,https://www.palomitacas.com/pelicula/ficha/p318047,318047,6.5,6.5,27 de diciembre - 2023,2023-12-27
念念相忘,https://www.palomitacas.com/pelicula/ficha/p928333,928333,5.5,5.5,26 de diciembre - 2023,2023-12-26
わたしのグランパ,https://www.palomitacas.com/pelicula/ficha/p69697,69697,7.0,7.0,24 de diciembre - 2023,2023-12-24
Our Secret Diary,https://www.palomitacas.com/pelicula/ficha/p1124348,1124348,7.0,7.0,24 de diciembre - 2023,2023-12-24
La tierra prometida (The Bastard),https://www.palomitacas.com/pelicula/ficha/p980026,980026,7.5,7.5,23 de diciembre - 2023,2023-12-23
Godzilla Minus One,https://www.palomitacas.com/pelicula/ficha/p940721,940721,7.0,7.0,22 de diciembre - 2023,2023-12-22
Ore Monogatari!!,https://www.palomitacas.com/pelicula/ficha/p356156,356156,6.0,6.0,22 de diciembre - 2023,2023-12-22
仮面病棟,https://www.palomitacas.com/pelicula/ficha/p704933,704933,5.0,5.0,22 de diciembre - 2023,2023-12-22
30일,https://www.palomitacas.com/pelicula/ficha/p1052433,1052433,6.5,6.5,18 de diciembre - 2023,2023-12-18
미술관 옆 동물원,https://www.palomitacas.com/pelicula/ficha/p125183,125183,7.0,7.0,16 de diciembre - 2023,2023-12-16
Kimi wa Tsukiyo ni Hikarikagayaku,https://www.palomitacas.com/pelicula/ficha/p554798,554798,6.5,6.5,16 de diciembre - 2023,2023-12-16
あゝ、荒野 後篇,https://www.palomitacas.com/pelicula/ficha/p490916,490916,6.5,6.5,15 de diciembre - 2023,2023-12-15
あゝ、荒野 前篇,https://www.palomitacas.com/pelicula/ficha/p410227,410227,6.5,6.5,15 de diciembre - 2023,2023-12-15
地獄の花園,https://www.palomitacas.com/pelicula/ficha/p826007,826007,5.5,5.5,14 de diciembre - 2023,2023-12-14
"And, the Baton Was Passed",https://www.palomitacas.com/pelicula/ficha/p853731,853731,6.5,6.5,12 de diciembre - 2023,2023-12-12
鉄道員,https://www.palomitacas.com/pelicula/ficha/p68837,68837,7.0,7.0,09 de diciembre - 2023,2023-12-09
Kongekabale,https://www.palomitacas.com/pelicula/ficha/p15961,15961,7.0,7.0,05 de diciembre - 2023,2023-12-05
타겟,https://www.palomitacas.com/pelicula/ficha/p813079,813079,5.5,5.5,04 de diciembre - 2023,2023-12-04
Perfect Days,https://www.palomitacas.com/pelicula/ficha/p976893,976893,8.0,8.0,04 de diciembre - 2023,2023-12-04
잠,https://www.palomitacas.com/pelicula/ficha/p964592,964592,7.5,7.5,03 de diciembre - 2023,2023-12-03
City of the Rising Sun,https://www.palomitacas.com/pelicula/ficha/p267407,267407,7.0,7.0,01 de diciembre - 2023,2023-12-01
Asura: La Ciudad de la Locura,https://www.palomitacas.com/pelicula/ficha/p408620,408620,6.0,6.0,01 de diciembre - 2023,2023-12-01
Center Stage,https://www.palomitacas.com/pelicula/ficha/p68004,68004,6.0,6.0,30 de noviembre - 2023,2023-11-30
비트,https://www.palomitacas.com/pelicula/ficha/p67089,67089,5.0,5.0,30 de noviembre - 2023,2023-11-30
Roter Himmel,https://www.palomitacas.com/pelicula/ficha/p900379,900379,6.0,6.0,29 de noviembre - 2023,2023-11-29
El castillo a través del espejo,https://www.palomitacas.com/pelicula/ficha/p942881,942881,6.0,6.0,28 de noviembre - 2023,2023-11-28
Das Lehrerzimmer,https://www.palomitacas.com/pelicula/ficha/p998022,998022,7.0,7.0,28 de noviembre - 2023,2023-11-28
밀수,https://www.palomitacas.com/pelicula/ficha/p783110,783110,6.0,6.0,28 de noviembre - 2023,2023-11-28
BLUE GIANT,https://www.palomitacas.com/pelicula/ficha/p887870,887870,7.0,7.0,24 de noviembre - 2023,2023-11-24
Cuando acecha la maldad,https://www.palomitacas.com/pelicula/ficha/p744857,744857,6.5,6.5,20 de noviembre - 2023,2023-11-20
高海拔之戀 II,https://www.palomitacas.com/pelicula/ficha/p86409,86409,7.0,7.0,20 de noviembre - 2023,2023-11-20
El diablo viste de Prada,https://www.palomitacas.com/pelicula/ficha/p350,350,7.0,7.0,19 de noviembre - 2023,2023-11-19
Carros de fuego,https://www.palomitacas.com/pelicula/ficha/p9443,9443,6.0,6.0,18 de noviembre - 2023,2023-11-18
Ada Apa dengan Cinta?,https://www.palomitacas.com/pelicula/ficha/p39060,39060,7.0,7.0,18 de noviembre - 2023,2023-11-18
Cyclo,https://www.palomitacas.com/pelicula/ficha/p36266,36266,7.5,7.5,17 de noviembre - 2023,2023-11-17
Himalaya,https://www.palomitacas.com/pelicula/ficha/p26813,26813,8.0,8.0,17 de noviembre - 2023,2023-11-17
バースデーカード,https://www.palomitacas.com/pelicula/ficha/p431672,431672,6.5,6.5,16 de noviembre - 2023,2023-11-16
水は海に向かって流れる,https://www.palomitacas.com/pelicula/ficha/p1053101,1053101,6.0,6.0,15 de noviembre - 2023,2023-11-15
わたしの幸せな結婚,https://www.palomitacas.com/pelicula/ficha/p1037348,1037348,4.0,4.0,13 de noviembre - 2023,2023-11-13
猟銃,https://www.palomitacas.com/pelicula/ficha/p262630,262630,7.0,7.0,11 de noviembre - 2023,2023-11-11
El asesino,https://www.palomitacas.com/pelicula/ficha/p800158,800158,6.5,6.5,11 de noviembre - 2023,2023-11-11
Alas,https://www.palomitacas.com/pelicula/ficha/p28966,28966,8.0,8.0,10 de noviembre - 2023,2023-11-10
El chico y la garza,https://www.palomitacas.com/pelicula/ficha/p508883,508883,9.0,9.0,08 de noviembre - 2023,2023-11-08
El sirviente,https://www.palomitacas.com/pelicula/ficha/p42987,42987,7.5,7.5,02 de noviembre - 2023,2023-11-02
Suspense,https://www.palomitacas.com/pelicula/ficha/p16372,16372,8.0,8.0,02 de noviembre - 2023,2023-11-02
Pearl,https://www.palomitacas.com/pelicula/ficha/p949423,949423,6.0,6.0,31 de octubre - 2023,2023-10-31
X,https://www.palomitacas.com/pelicula/ficha/p760104,760104,7.0,7.0,31 de octubre - 2023,2023-10-31
El fotógrafo del pánico,https://www.palomitacas.com/pelicula/ficha/p11167,11167,7.0,7.0,30 de octubre - 2023,2023-10-30
Cielo amarillo,https://www.palomitacas.com/pelicula/ficha/p20638,20638,6.0,6.0,30 de octubre - 2023,2023-10-30
Un lugar en el sol,https://www.palomitacas.com/pelicula/ficha/p25673,25673,8.0,8.0,30 de octubre - 2023,2023-10-30
Los asesinos de la luna,https://www.palomitacas.com/pelicula/ficha/p466420,466420,7.0,7.0,26 de octubre - 2023,2023-10-26
PTU,https://www.palomitacas.com/pelicula/ficha/p25536,25536,6.0,6.0,26 de octubre - 2023,2023-10-26
"Goblin Slayer, la corona de Goblin",https://www.palomitacas.com/pelicula/ficha/p631132,631132,5.0,5.0,23 de octubre - 2023,2023-10-23
聽說,https://www.palomitacas.com/pelicula/ficha/p41531,41531,7.0,7.0,19 de octubre - 2023,2023-10-19
Rouge,https://www.palomitacas.com/pelicula/ficha/p68883,68883,6.0,6.0,18 de octubre - 2023,2023-10-18
Shen Hai,https://www.palomitacas.com/pelicula/ficha/p667717,667717,5.5,5.5,17 de octubre - 2023,2023-10-17
Anatomie d’une chute,https://www.palomitacas.com/pelicula/ficha/p915935,915935,8.0,8.0,15 de octubre - 2023,2023-10-15
20.000 especies de abejas,https://www.palomitacas.com/pelicula/ficha/p1053600,1053600,6.0,6.0,15 de octubre - 2023,2023-10-15
The Breaking Ice,https://www.palomitacas.com/pelicula/ficha/p923150,923150,6.0,6.0,12 de octubre - 2023,2023-10-12
Bebe conmigo,https://www.palomitacas.com/pelicula/ficha/p26259,26259,7.0,7.0,09 de octubre - 2023,2023-10-09
La leyenda de la montaña,https://www.palomitacas.com/pelicula/ficha/p191531,191531,8.0,8.0,07 de octubre - 2023,2023-10-07
Bailarina,https://www.palomitacas.com/pelicula/ficha/p961268,961268,6.0,6.0,07 de octubre - 2023,2023-10-07
Extraña forma de vida,https://www.palomitacas.com/pelicula/ficha/p963765,963765,6.0,6.0,04 de octubre - 2023,2023-10-04
A Touch of Zen,https://www.palomitacas.com/pelicula/ficha/p44154,44154,7.0,7.0,03 de octubre - 2023,2023-10-03
콘크리트 유토피아,https://www.palomitacas.com/pelicula/ficha/p729854,729854,6.0,6.0,30 de septiembre - 2023,2023-09-30
Postmen in the Mountains,https://www.palomitacas.com/pelicula/ficha/p108954,108954,7.0,7.0,24 de septiembre - 2023,2023-09-24
