title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Nadie te salvará,https://www.palomitacas.com/pelicula/ficha/p820609,820609,6.5,6.5,12 de febrero - 2024,2024-01-21
El secreto de sus ojos,https://www.palomitacas.com/pelicula/ficha/p25376,25376,6.5,6.5,12 de febrero - 2024,2024-02-11
La isla sin retorno,https://www.palomitacas.com/pelicula/ficha/p91618,91618,3.0,3.0,30 de enero - 2024,2024-01-30
Alerta roja,https://www.palomitacas.com/pelicula/ficha/p581387,581387,6.0,6.0,30 de enero - 2024,2024-01-30
Chicken Run: Amanecer de los nuggets,https://www.palomitacas.com/pelicula/ficha/p520758,520758,6.0,6.0,30 de enero - 2024,2024-01-30
Tintín y el Templo del Sol,https://www.palomitacas.com/pelicula/ficha/p241001,241001,6.5,6.5,30 de enero - 2024,2024-01-30
Tintín y el lago de los tiburones,https://www.palomitacas.com/pelicula/ficha/p241004,241004,6.0,6.0,03 de enero - 2024,2024-01-03
Shin Ultraman,https://www.palomitacas.com/pelicula/ficha/p634429,634429,5.5,5.5,02 de enero - 2024,2024-01-01
Mavka: Guardiana del bosque,https://www.palomitacas.com/pelicula/ficha/p459003,459003,3.5,3.5,02 de enero - 2024,2024-01-02
La navidad de Félix el Gato,https://www.palomitacas.com/pelicula/ficha/p105357,105357,6.0,6.0,28 de diciembre - 2023,2023-12-28
Creepshow - Especial de navidad,https://www.palomitacas.com/pelicula/ficha/p762921,762921,6.5,6.5,28 de diciembre - 2023,2023-12-28
ブラックナイトパレード,https://www.palomitacas.com/pelicula/ficha/p1034660,1034660,5.5,5.5,28 de diciembre - 2023,2023-12-28
Noche de paz,https://www.palomitacas.com/pelicula/ficha/p899112,899112,6.5,6.5,28 de diciembre - 2023,2023-12-28
La fiesta de Navidad,https://www.palomitacas.com/pelicula/ficha/p550032,550032,5.5,5.5,26 de diciembre - 2023,2023-12-16
Feliz Mini-Bat-Navidad,https://www.palomitacas.com/pelicula/ficha/p870358,870358,4.0,4.0,26 de diciembre - 2023,2023-12-26
Catástrofe helada,https://www.palomitacas.com/pelicula/ficha/p301816,301816,3.0,3.0,26 de diciembre - 2023,2023-12-15
Litchi Hikari Club,https://www.palomitacas.com/pelicula/ficha/p377662,377662,6.5,6.5,26 de diciembre - 2023,2023-12-26
Sangrientos dieciséis,https://www.palomitacas.com/pelicula/ficha/p974931,974931,6.5,6.5,22 de diciembre - 2023,2023-12-22
Liverleaf,https://www.palomitacas.com/pelicula/ficha/p498934,498934,6.0,6.0,20 de diciembre - 2023,2023-12-02
City Hunter y el perfume de Cupido,https://www.palomitacas.com/pelicula/ficha/p469274,469274,6.0,6.0,19 de diciembre - 2023,2023-12-09
Napoleón,https://www.palomitacas.com/pelicula/ficha/p753342,753342,6.0,6.0,19 de diciembre - 2023,2023-12-08
Navidad en Candy Cane Lane,https://www.palomitacas.com/pelicula/ficha/p1022964,1022964,6.0,6.0,19 de diciembre - 2023,2023-12-19
Los hermanos Venture: Radiante es la sangre del corazón del babuino,https://www.palomitacas.com/pelicula/ficha/p828898,828898,5.5,5.5,19 de diciembre - 2023,2023-12-19
Bailarina,https://www.palomitacas.com/pelicula/ficha/p961268,961268,6.0,6.0,19 de diciembre - 2023,2023-12-19
Baby Assassins,https://www.palomitacas.com/pelicula/ficha/p847143,847143,6.0,6.0,18 de diciembre - 2023,2023-12-18
ナックルガール,https://www.palomitacas.com/pelicula/ficha/p1178734,1178734,6.5,6.5,18 de diciembre - 2023,2023-12-18
El chico y la garza,https://www.palomitacas.com/pelicula/ficha/p508883,508883,7.0,7.0,18 de diciembre - 2023,2023-12-18
"Teo, cazador intergaláctico",https://www.palomitacas.com/pelicula/ficha/p103921,103921,5.5,5.5,03 de diciembre - 2023,2023-12-03
Fruta sexual del Caribe,https://www.palomitacas.com/pelicula/ficha/p94832,94832,6.0,6.0,03 de diciembre - 2023,2023-12-03
The Paloni Show! Especial Halloween,https://www.palomitacas.com/pelicula/ficha/p1019105,1019105,6.5,6.5,25 de noviembre - 2023,2023-10-25
Mansión encantada (Haunted Mansion),https://www.palomitacas.com/pelicula/ficha/p616747,616747,4.5,4.5,25 de noviembre - 2023,2023-11-25
Door Lock,https://www.palomitacas.com/pelicula/ficha/p563103,563103,7.0,7.0,25 de noviembre - 2023,2023-11-25
Re/Member,https://www.palomitacas.com/pelicula/ficha/p991814,991814,7.0,7.0,25 de noviembre - 2023,2023-11-25
El Halloween de Hubie,https://www.palomitacas.com/pelicula/ficha/p617505,617505,5.0,5.0,12 de noviembre - 2023,2023-11-12
Los rompecocos,https://www.palomitacas.com/pelicula/ficha/p25164,25164,5.5,5.5,09 de noviembre - 2023,2023-11-09
Jóvenes y brujas,https://www.palomitacas.com/pelicula/ficha/p590995,590995,2.0,2.0,09 de noviembre - 2023,2023-11-09
"Matar o no matar, éste es el problema",https://www.palomitacas.com/pelicula/ficha/p28498,28498,5.5,5.5,08 de noviembre - 2023,2023-11-08
No matarás... al vecino,https://www.palomitacas.com/pelicula/ficha/p11974,11974,6.0,6.0,08 de noviembre - 2023,2023-11-08
Escuela de jóvenes asesinos,https://www.palomitacas.com/pelicula/ficha/p2640,2640,6.0,6.0,08 de noviembre - 2023,2023-11-08
Monstrous,https://www.palomitacas.com/pelicula/ficha/p811656,811656,4.0,4.0,08 de noviembre - 2023,2023-11-08
The Creator,https://www.palomitacas.com/pelicula/ficha/p670292,670292,6.5,6.5,30 de octubre - 2023,2023-10-30
