title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Vaya par de polis,https://www.palomitacas.com/pelicula/ficha/p23742,23742,6.0,6.0,31 de diciembre - 2025,2025-12-31
Una terapia peligrosa,https://www.palomitacas.com/pelicula/ficha/p9535,9535,6.0,6.0,27 de diciembre - 2025,2025-12-27
A Real Pain,https://www.palomitacas.com/pelicula/ficha/p1013850,1013850,6.0,6.0,24 de diciembre - 2025,2025-12-24
Glimmer man,https://www.palomitacas.com/pelicula/ficha/p9625,9625,6.0,6.0,23 de diciembre - 2025,2025-12-23
Sisu: Camino a la venganza,https://www.palomitacas.com/pelicula/ficha/p1223601,1223601,7.0,7.0,23 de diciembre - 2025,2025-12-23
El protegido,https://www.palomitacas.com/pelicula/ficha/p9741,9741,6.5,6.5,22 de diciembre - 2025,2025-12-22
Paso de ti,https://www.palomitacas.com/pelicula/ficha/p9870,9870,6.0,6.0,22 de diciembre - 2025,2025-12-22
Dr. Dolittle,https://www.palomitacas.com/pelicula/ficha/p3050,3050,6.0,6.0,20 de diciembre - 2025,2025-12-20
Merv,https://www.palomitacas.com/pelicula/ficha/p1255775,1255775,,,,
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,7.0,7.0,13 de diciembre - 2025,2025-12-13
Good Boy,https://www.palomitacas.com/pelicula/ficha/p1422096,1422096,6.5,6.5,13 de diciembre - 2025,2025-12-21
Five Nights at Freddy's 2,https://www.palomitacas.com/pelicula/ficha/p1228246,1228246,,,,
Avatar: Fuego y ceniza,https://www.palomitacas.com/pelicula/ficha/p83533,83533,,,,
Drácula,https://www.palomitacas.com/pelicula/ficha/p1246049,1246049,,,,
Jay Kelly,https://www.palomitacas.com/pelicula/ficha/p1069905,1069905,,,,
Hans Zimmer & Friends: Diamond in the Desert,https://www.palomitacas.com/pelicula/ficha/p1425725,1425725,7.5,7.5,09 de diciembre - 2025,2025-12-09
Tierras perdidas,https://www.palomitacas.com/pelicula/ficha/p324544,324544,4.0,4.0,08 de diciembre - 2025,2025-12-08
Zootrópolis 2,https://www.palomitacas.com/pelicula/ficha/p1084242,1084242,,,,
The Running Man,https://www.palomitacas.com/pelicula/ficha/p798645,798645,,,,
Black Phone 2,https://www.palomitacas.com/pelicula/ficha/p1197137,1197137,,,,
Ahora me ves 3,https://www.palomitacas.com/pelicula/ficha/p425274,425274,,,,
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,,,,
Sueños de trenes,https://www.palomitacas.com/pelicula/ficha/p1241983,1241983,,,,
Plan en familia 2,https://www.palomitacas.com/pelicula/ficha/p1363123,1363123,6.0,6.0,28 de noviembre - 2025,2025-12-22
Blindado,https://www.palomitacas.com/pelicula/ficha/p1083968,1083968,6.0,6.0,22 de noviembre - 2025,2025-11-22
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,7.0,7.0,16 de noviembre - 2025,2025-11-16
Alimañas,https://www.palomitacas.com/pelicula/ficha/p816707,816707,5.0,5.0,30 de octubre - 2025,2025-10-30
Todo es Gila,https://www.palomitacas.com/pelicula/ficha/p960803,960803,4.0,4.0,29 de octubre - 2025,2025-10-29
Una casa llena de dinamita,https://www.palomitacas.com/pelicula/ficha/p1290159,1290159,7.0,7.0,28 de octubre - 2025,2025-10-28
Death Race: La carrera de la muerte,https://www.palomitacas.com/pelicula/ficha/p10483,10483,6.5,6.5,13 de octubre - 2025,2025-10-13
Danny the Dog,https://www.palomitacas.com/pelicula/ficha/p10027,10027,6.5,6.5,12 de octubre - 2025,2025-10-12
Bala perdida,https://www.palomitacas.com/pelicula/ficha/p1245993,1245993,,,,
Juego sucio,https://www.palomitacas.com/pelicula/ficha/p941109,941109,6.0,6.0,11 de octubre - 2025,2025-10-26
Batman Azteca: Choque de imperios,https://www.palomitacas.com/pelicula/ficha/p987400,987400,0.5,0.5,10 de octubre - 2025,2025-10-10
Los monstruos de Tim Burton,https://www.palomitacas.com/pelicula/ficha/p1528888,1528888,6.5,6.5,10 de octubre - 2025,2025-10-10
"El bueno, el feo y el malo",https://www.palomitacas.com/pelicula/ficha/p429,429,7.5,7.5,07 de octubre - 2025,2025-10-07
Fight or flight (sicarios en el aire),https://www.palomitacas.com/pelicula/ficha/p1212855,1212855,6.0,6.0,14 de septiembre - 2025,2025-09-14
Sisu,https://www.palomitacas.com/pelicula/ficha/p840326,840326,6.5,6.5,14 de septiembre - 2025,2025-09-14
xXx,https://www.palomitacas.com/pelicula/ficha/p7451,7451,,,,
Barbarian,https://www.palomitacas.com/pelicula/ficha/p913290,913290,6.5,6.5,11 de septiembre - 2025,2025-09-11
Expediente Warren: El último rito,https://www.palomitacas.com/pelicula/ficha/p1038392,1038392,6.5,6.5,05 de septiembre - 2025,2025-10-19
Wick Is Pain,https://www.palomitacas.com/pelicula/ficha/p1472668,1472668,7.0,7.0,05 de septiembre - 2025,2025-09-05
Ziam,https://www.palomitacas.com/pelicula/ficha/p1429744,1429744,6.0,6.0,05 de septiembre - 2025,2025-09-05
Megalópolis,https://www.palomitacas.com/pelicula/ficha/p592831,592831,4.0,4.0,03 de septiembre - 2025,2025-09-03
Mikaela,https://www.palomitacas.com/pelicula/ficha/p1315988,1315988,6.0,6.0,02 de septiembre - 2025,2025-09-02
Juego de espías: La ciudad eterna,https://www.palomitacas.com/pelicula/ficha/p1048241,1048241,6.0,6.0,28 de agosto - 2025,2025-08-28
