title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Avatar: Fuego y ceniza,https://www.palomitacas.com/pelicula/ficha/p83533,83533,,,,
Zootrópolis 2,https://www.palomitacas.com/pelicula/ficha/p1084242,1084242,,,,
Laberinto en llamas,https://www.palomitacas.com/pelicula/ficha/p1236470,1236470,7.0,7.0,18 de noviembre - 2025,2025-11-18
En sueños,https://www.palomitacas.com/pelicula/ficha/p1117857,1117857,,,,
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,7.0,7.0,18 de noviembre - 2025,2025-11-18
Migración. Un viaje patas arriba,https://www.palomitacas.com/pelicula/ficha/p940551,940551,6.0,6.0,29 de octubre - 2025,2025-10-29
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,6.0,6.0,27 de octubre - 2025,2025-10-27
Los domingos,https://www.palomitacas.com/pelicula/ficha/p1443576,1443576,,,,
La cena,https://www.palomitacas.com/pelicula/ficha/p1433680,1433680,,,,
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,7.0,7.0,30 de septiembre - 2025,2025-09-30
Nadie 2,https://www.palomitacas.com/pelicula/ficha/p1007734,1007734,6.5,6.5,30 de septiembre - 2025,2025-09-30
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,7.0,7.0,22 de septiembre - 2025,2025-09-22
Sin instrucciones,https://www.palomitacas.com/pelicula/ficha/p1238200,1238200,6.5,6.5,11 de septiembre - 2025,2025-09-11
Cómo entrenar a tu dragón,https://www.palomitacas.com/pelicula/ficha/p1087192,1087192,7.5,7.5,22 de agosto - 2025,2025-08-22
Jurassic World: El renacer,https://www.palomitacas.com/pelicula/ficha/p1234821,1234821,5.5,5.5,21 de agosto - 2025,2025-08-21
28 años después,https://www.palomitacas.com/pelicula/ficha/p1100988,1100988,7.0,7.0,08 de agosto - 2025,2025-08-08
Verano en diciembre,https://www.palomitacas.com/pelicula/ficha/p1360733,1360733,7.0,7.0,19 de julio - 2025,2025-07-19
Votemos,https://www.palomitacas.com/pelicula/ficha/p1380651,1380651,,,,
Devuélvemela,https://www.palomitacas.com/pelicula/ficha/p1151031,1151031,7.5,7.5,19 de julio - 2025,2025-08-09
Misión: Imposible - Sentencia final,https://www.palomitacas.com/pelicula/ficha/p575265,575265,7.0,7.0,19 de julio - 2025,2025-09-22
Una quinta portuguesa,https://www.palomitacas.com/pelicula/ficha/p1440171,1440171,,,,
Muy lejos,https://www.palomitacas.com/pelicula/ficha/p1409925,1409925,,,,
