title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Wicked Parte II,https://www.palomitacas.com/pelicula/ficha/p967941,967941,,,,
Sé lo que hicisteis el último verano,https://www.palomitacas.com/pelicula/ficha/p1083433,1083433,5.5,5.5,30 de diciembre - 2025,2025-12-30
La vieja guardia 2,https://www.palomitacas.com/pelicula/ficha/p846422,846422,6.0,6.0,29 de diciembre - 2025,2025-12-29
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,,,,
Predator: Badlands,https://www.palomitacas.com/pelicula/ficha/p1242898,1242898,,,,
Avatar: Fuego y ceniza,https://www.palomitacas.com/pelicula/ficha/p83533,83533,,,,
TRON: Ares,https://www.palomitacas.com/pelicula/ficha/p533533,533533,,,,
Plan en familia,https://www.palomitacas.com/pelicula/ficha/p1029575,1029575,5.0,5.0,14 de diciembre - 2025,2025-12-14
Plan en familia 2,https://www.palomitacas.com/pelicula/ficha/p1363123,1363123,5.0,5.0,14 de diciembre - 2025,2025-12-14
Ballerina,https://www.palomitacas.com/pelicula/ficha/p541671,541671,6.5,6.5,11 de diciembre - 2025,2025-12-11
Cómo entrenar a tu dragón,https://www.palomitacas.com/pelicula/ficha/p1087192,1087192,6.0,6.0,10 de diciembre - 2025,2025-12-10
Agente infiltrado,https://www.palomitacas.com/pelicula/ficha/p977294,977294,4.0,4.0,10 de diciembre - 2025,2025-12-10
Una casa llena de dinamita,https://www.palomitacas.com/pelicula/ficha/p1290159,1290159,6.5,6.5,03 de diciembre - 2025,2025-12-03
Las Ratas: Una historia de 'The Witcher',https://www.palomitacas.com/pelicula/ficha/p1571470,1571470,5.0,5.0,18 de noviembre - 2025,2025-11-18
Nadie 2,https://www.palomitacas.com/pelicula/ficha/p1007734,1007734,5.0,5.0,24 de septiembre - 2025,2025-09-24
Nadie,https://www.palomitacas.com/pelicula/ficha/p615457,615457,5.5,5.5,24 de septiembre - 2025,2025-09-24
Fight or flight (sicarios en el aire),https://www.palomitacas.com/pelicula/ficha/p1212855,1212855,4.5,4.5,24 de septiembre - 2025,2025-09-24
El casoplón,https://www.palomitacas.com/pelicula/ficha/p1336928,1336928,4.0,4.0,23 de septiembre - 2025,2025-09-23
Noryang: la batalla final,https://www.palomitacas.com/pelicula/ficha/p660360,660360,6.0,6.0,21 de agosto - 2025,2025-08-21
Operaciones Especiales: Europa,https://www.palomitacas.com/pelicula/ficha/p655302,655302,5.0,5.0,20 de agosto - 2025,2025-08-20
Pacto de sangre,https://www.palomitacas.com/pelicula/ficha/p1227816,1227816,6.0,6.0,20 de agosto - 2025,2025-08-20
Pánico en el tren bala,https://www.palomitacas.com/pelicula/ficha/p1276073,1276073,5.5,5.5,20 de agosto - 2025,2025-08-20
Project Silence,https://www.palomitacas.com/pelicula/ficha/p726139,726139,4.5,4.5,19 de agosto - 2025,2025-08-19
Black Lotus,https://www.palomitacas.com/pelicula/ficha/p996154,996154,4.5,4.5,18 de agosto - 2025,2025-08-18
The Killer,https://www.palomitacas.com/pelicula/ficha/p970347,970347,6.0,6.0,18 de agosto - 2025,2025-08-18
Rescate lunar,https://www.palomitacas.com/pelicula/ficha/p753091,753091,5.0,5.0,18 de agosto - 2025,2025-08-18
Jurassic World: El renacer,https://www.palomitacas.com/pelicula/ficha/p1234821,1234821,5.0,5.0,17 de agosto - 2025,2025-08-17
Venganza implacable,https://www.palomitacas.com/pelicula/ficha/p1382406,1382406,5.0,5.0,16 de agosto - 2025,2025-08-16
Amenaza en el aire,https://www.palomitacas.com/pelicula/ficha/p1126166,1126166,4.5,4.5,16 de agosto - 2025,2025-08-16
Golden Kamuy,https://www.palomitacas.com/pelicula/ficha/p1171462,1171462,,,,
Overlord: El reino sagrado,https://www.palomitacas.com/pelicula/ficha/p1014505,1014505,,,,
Predator: Asesino de asesinos,https://www.palomitacas.com/pelicula/ficha/p1376434,1376434,6.5,6.5,06 de agosto - 2025,2025-08-06
Red One,https://www.palomitacas.com/pelicula/ficha/p845781,845781,6.0,6.0,05 de agosto - 2025,2025-08-05
Red clasificada,https://www.palomitacas.com/pelicula/ficha/p1124641,1124641,,,,
Winnie the Pooh 2: El bosque sangriento,https://www.palomitacas.com/pelicula/ficha/p1079485,1079485,5.0,5.0,02 de agosto - 2025,2025-08-02
Los aitas,https://www.palomitacas.com/pelicula/ficha/p1187315,1187315,5.0,5.0,01 de agosto - 2025,2025-08-01
Destino: Titán,https://www.palomitacas.com/pelicula/ficha/p916728,916728,6.0,6.0,31 de julio - 2025,2025-07-31
Revolución blaugrana,https://www.palomitacas.com/pelicula/ficha/p1496805,1496805,5.0,5.0,25 de junio - 2025,2025-06-25
Rey de asesinos,https://www.palomitacas.com/pelicula/ficha/p1024127,1024127,4.0,4.0,04 de junio - 2025,2025-06-04
Rivales,https://www.palomitacas.com/pelicula/ficha/p937287,937287,5.5,5.5,04 de junio - 2025,2025-06-04
Sangre en los labios,https://www.palomitacas.com/pelicula/ficha/p948549,948549,5.5,5.5,04 de junio - 2025,2025-06-04
Infiltrada en la NASA,https://www.palomitacas.com/pelicula/ficha/p1019411,1019411,4.0,4.0,04 de junio - 2025,2025-06-04
THE FIRST SLAM DUNK,https://www.palomitacas.com/pelicula/ficha/p783675,783675,6.0,6.0,04 de junio - 2025,2025-06-04
Lilo y Stitch,https://www.palomitacas.com/pelicula/ficha/p552524,552524,,,,
El contable 2,https://www.palomitacas.com/pelicula/ficha/p870028,870028,6.5,6.5,21 de mayo - 2025,2025-06-28
Until Dawn,https://www.palomitacas.com/pelicula/ficha/p1232546,1232546,4.5,4.5,21 de mayo - 2025,2025-08-16
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,6.0,6.0,21 de mayo - 2025,2025-08-16
Destino final 5,https://www.palomitacas.com/pelicula/ficha/p55779,55779,,,,
Misión: Imposible - Sentencia final,https://www.palomitacas.com/pelicula/ficha/p575265,575265,,,,
Una película de Minecraft,https://www.palomitacas.com/pelicula/ficha/p950387,950387,3.5,3.5,21 de mayo - 2025,2025-06-21
Destino final: Lazos de sangre,https://www.palomitacas.com/pelicula/ficha/p574475,574475,,,,
Batman Ninja vs. Yakuza League,https://www.palomitacas.com/pelicula/ficha/p1297763,1297763,5.5,5.5,18 de mayo - 2025,2025-05-18
La Avispa,https://www.palomitacas.com/pelicula/ficha/p1019404,1019404,5.5,5.5,15 de mayo - 2025,2025-05-15
El abismo secreto,https://www.palomitacas.com/pelicula/ficha/p950396,950396,,,,
Novocaine,https://www.palomitacas.com/pelicula/ficha/p1195506,1195506,5.0,5.0,15 de mayo - 2025,2025-08-20
Mickey 17,https://www.palomitacas.com/pelicula/ficha/p696506,696506,,,,
Thunderbolts*,https://www.palomitacas.com/pelicula/ficha/p986056,986056,6.0,6.0,15 de mayo - 2025,2025-07-31
El último viaje del Demeter,https://www.palomitacas.com/pelicula/ficha/p635910,635910,6.0,6.0,14 de mayo - 2025,2025-05-14
Los Williams,https://www.palomitacas.com/pelicula/ficha/p1317572,1317572,6.0,6.0,07 de mayo - 2025,2025-05-07
Cónclave,https://www.palomitacas.com/pelicula/ficha/p974576,974576,6.0,6.0,01 de mayo - 2025,2025-05-01
Kung Fu Panda 4,https://www.palomitacas.com/pelicula/ficha/p1011985,1011985,5.5,5.5,29 de abril - 2025,2025-04-29
Kraven the Hunter,https://www.palomitacas.com/pelicula/ficha/p539972,539972,5.5,5.5,29 de abril - 2025,2025-04-29
Capitán América: Brave New World,https://www.palomitacas.com/pelicula/ficha/p822119,822119,5.5,5.5,29 de abril - 2025,2025-04-29
Star Trek: Sección 31,https://www.palomitacas.com/pelicula/ficha/p1114894,1114894,5.0,5.0,11 de abril - 2025,2025-04-11
La sustancia,https://www.palomitacas.com/pelicula/ficha/p933260,933260,6.5,6.5,26 de marzo - 2025,2025-12-30
"Duplicidad, de Tyler Perry",https://www.palomitacas.com/pelicula/ficha/p1145725,1145725,,,,
Anora,https://www.palomitacas.com/pelicula/ficha/p1064213,1064213,6.0,6.0,26 de marzo - 2025,2025-08-16
Cleaner,https://www.palomitacas.com/pelicula/ficha/p1125899,1125899,,,,
Blancanieves,https://www.palomitacas.com/pelicula/ficha/p447273,447273,,,,
Estado eléctrico,https://www.palomitacas.com/pelicula/ficha/p777443,777443,5.5,5.5,26 de marzo - 2025,2025-12-28
El soñador americano,https://www.palomitacas.com/pelicula/ficha/p931461,931461,5.5,5.5,12 de marzo - 2025,2025-03-12
Oni-Goroshi: Ciudad de los demonios,https://www.palomitacas.com/pelicula/ficha/p1405338,1405338,5.5,5.5,12 de marzo - 2025,2025-03-12
Mufasa: El rey león,https://www.palomitacas.com/pelicula/ficha/p762509,762509,7.5,7.5,08 de marzo - 2025,2025-03-08
Wicked,https://www.palomitacas.com/pelicula/ficha/p402431,402431,6.5,6.5,28 de febrero - 2025,2025-02-28
Tu madre o la mía: Guerra de suegras,https://www.palomitacas.com/pelicula/ficha/p1187311,1187311,4.0,4.0,28 de febrero - 2025,2025-02-28
Spy x Family Código: Blanco,https://www.palomitacas.com/pelicula/ficha/p1062807,1062807,6.0,6.0,28 de febrero - 2025,2025-02-28
La infiltrada,https://www.palomitacas.com/pelicula/ficha/p1215185,1215185,4.0,4.0,25 de febrero - 2025,2025-02-25
The Witcher: Sirenas de las profundidades,https://www.palomitacas.com/pelicula/ficha/p1203329,1203329,6.0,6.0,17 de febrero - 2025,2025-02-17
De vuelta a la acción,https://www.palomitacas.com/pelicula/ficha/p993710,993710,6.0,6.0,05 de febrero - 2025,2025-02-05
Corre o muere,https://www.palomitacas.com/pelicula/ficha/p879412,879412,4.5,4.5,05 de febrero - 2025,2025-02-05
Canina,https://www.palomitacas.com/pelicula/ficha/p728949,728949,5.0,5.0,05 de febrero - 2025,2025-02-05
Aftermath,https://www.palomitacas.com/pelicula/ficha/p1081012,1081012,5.0,5.0,04 de febrero - 2025,2025-02-04
El exorcista: Creyente,https://www.palomitacas.com/pelicula/ficha/p807172,807172,5.0,5.0,13 de enero - 2025,2025-01-13
El peor trabajo de mi vida 2,https://www.palomitacas.com/pelicula/ficha/p1083300,1083300,5.0,5.0,13 de enero - 2025,2025-01-13
El asesino del ritual,https://www.palomitacas.com/pelicula/ficha/p862552,862552,4.5,4.5,13 de enero - 2025,2025-01-13
Dogman,https://www.palomitacas.com/pelicula/ficha/p944401,944401,6.5,6.5,13 de enero - 2025,2025-01-13
Corrupción en Bangkok: Entre el cielo y el infierno,https://www.palomitacas.com/pelicula/ficha/p1337309,1337309,5.0,5.0,13 de enero - 2025,2025-01-13
Cazafantasmas: Imperio helado,https://www.palomitacas.com/pelicula/ficha/p967847,967847,5.0,5.0,13 de enero - 2025,2025-01-13
Concrete Utopia,https://www.palomitacas.com/pelicula/ficha/p729854,729854,5.5,5.5,13 de enero - 2025,2025-01-13
Canario Negro,https://www.palomitacas.com/pelicula/ficha/p976734,976734,6.0,6.0,08 de enero - 2025,2025-01-08
Biónicos,https://www.palomitacas.com/pelicula/ficha/p1025463,1025463,5.0,5.0,08 de enero - 2025,2025-01-08
Bandida: La número uno,https://www.palomitacas.com/pelicula/ficha/p1186947,1186947,4.5,4.5,08 de enero - 2025,2025-01-08
