title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Noche de fuego,https://www.palomitacas.com/pelicula/ficha/p670981,670981,9.5,9.5,24 de septiembre - 2022,2022-09-24
Sin Señas Particulares,https://www.palomitacas.com/pelicula/ficha/p653658,653658,9.5,9.5,24 de septiembre - 2022,2022-09-24
Cuando Sea Joven,https://www.palomitacas.com/pelicula/ficha/p772071,772071,9.5,9.5,24 de septiembre - 2022,2022-09-24
Samaritan,https://www.palomitacas.com/pelicula/ficha/p629176,629176,8.5,8.5,24 de septiembre - 2022,2022-09-24
Relatos salvajes,https://www.palomitacas.com/pelicula/ficha/p265195,265195,9.5,9.5,24 de septiembre - 2022,2022-09-24
Pinocho,https://www.palomitacas.com/pelicula/ficha/p532639,532639,8.5,8.5,24 de septiembre - 2022,2022-09-24
Thor: Love and Thunder,https://www.palomitacas.com/pelicula/ficha/p616037,616037,3.5,3.5,24 de septiembre - 2022,2022-09-24
Predator: La presa,https://www.palomitacas.com/pelicula/ficha/p766507,766507,9.5,9.5,24 de septiembre - 2022,2022-09-24
Imperdonable,https://www.palomitacas.com/pelicula/ficha/p645886,645886,10.0,10.0,28 de julio - 2022,2022-07-28
Resident Evil: Bienvenidos a Raccoon City,https://www.palomitacas.com/pelicula/ficha/p460458,460458,9.0,9.0,28 de julio - 2022,2022-07-28
No mires arriba,https://www.palomitacas.com/pelicula/ficha/p646380,646380,9.5,9.5,28 de julio - 2022,2022-07-28
Elvis,https://www.palomitacas.com/pelicula/ficha/p614934,614934,10.0,10.0,28 de julio - 2022,2022-07-28
Mank,https://www.palomitacas.com/pelicula/ficha/p614560,614560,9.0,9.0,28 de julio - 2022,2022-07-28
Grease,https://www.palomitacas.com/pelicula/ficha/p621,621,10.0,10.0,28 de julio - 2022,2022-07-28
El escuadrón suicida,https://www.palomitacas.com/pelicula/ficha/p436969,436969,7.0,7.0,28 de julio - 2022,2022-07-28
Aves de presa (y la fantabulosa emancipación de Harley Quinn),https://www.palomitacas.com/pelicula/ficha/p495764,495764,8.5,8.5,28 de julio - 2022,2022-07-28
