title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Lo dejo cuando quiera,https://www.palomitacas.com/pelicula/ficha/p574370,574370,5.0,5.0,25 de abril - 2021,2021-04-25
Te doy mis ojos,https://www.palomitacas.com/pelicula/ficha/p1418,1418,7.0,7.0,13 de abril - 2021,2021-04-13
El soldado de Dios,https://www.palomitacas.com/pelicula/ficha/p45610,45610,4.0,4.0,12 de abril - 2021,2021-04-12
The Contract,https://www.palomitacas.com/pelicula/ficha/p1441,1441,4.0,4.0,15 de marzo - 2021,2021-03-15
Toc Toc,https://www.palomitacas.com/pelicula/ficha/p263472,263472,4.0,4.0,13 de marzo - 2021,2021-03-13
Plan de fuga,https://www.palomitacas.com/pelicula/ficha/p436827,436827,4.0,4.0,12 de marzo - 2021,2021-03-12
La flaqueza del bolchevique,https://www.palomitacas.com/pelicula/ficha/p15948,15948,5.0,5.0,12 de marzo - 2021,2021-03-12
Hater,https://www.palomitacas.com/pelicula/ficha/p590854,590854,4.0,4.0,11 de marzo - 2021,2021-03-11
Guns Akimbo,https://www.palomitacas.com/pelicula/ficha/p457335,457335,6.0,6.0,01 de marzo - 2021,2021-03-01
Los muertos no mueren,https://www.palomitacas.com/pelicula/ficha/p535581,535581,2.0,2.0,20 de febrero - 2021,2021-02-20
La última casa a la izquierda,https://www.palomitacas.com/pelicula/ficha/p18405,18405,5.0,5.0,19 de febrero - 2021,2021-02-19
Planes de boda,https://www.palomitacas.com/pelicula/ficha/p2018,2018,4.0,4.0,18 de febrero - 2021,2021-02-18
Los Hamilton,https://www.palomitacas.com/pelicula/ficha/p15495,15495,4.0,4.0,14 de febrero - 2021,2021-02-14
El juicio de los 7 de Chicago,https://www.palomitacas.com/pelicula/ficha/p556984,556984,6.0,6.0,14 de febrero - 2021,2021-02-14
The Dead Girl,https://www.palomitacas.com/pelicula/ficha/p13551,13551,6.0,6.0,13 de febrero - 2021,2021-02-13
La fuerza de la naturaleza,https://www.palomitacas.com/pelicula/ficha/p619592,619592,4.0,4.0,13 de febrero - 2021,2021-02-13
Punto rojo,https://www.palomitacas.com/pelicula/ficha/p649087,649087,5.0,5.0,12 de febrero - 2021,2021-02-12
Greenland: El último refugio,https://www.palomitacas.com/pelicula/ficha/p524047,524047,5.0,5.0,10 de febrero - 2021,2021-02-10
Código 46,https://www.palomitacas.com/pelicula/ficha/p2577,2577,4.0,4.0,10 de febrero - 2021,2021-02-10
Barrenderos espaciales,https://www.palomitacas.com/pelicula/ficha/p581389,581389,6.0,6.0,10 de febrero - 2021,2021-02-10
Animales nocturnos,https://www.palomitacas.com/pelicula/ficha/p340666,340666,5.0,5.0,09 de febrero - 2021,2021-02-09
City of Angels,https://www.palomitacas.com/pelicula/ficha/p795,795,6.0,6.0,06 de febrero - 2021,2021-02-06
La posesión de Mary,https://www.palomitacas.com/pelicula/ficha/p419706,419706,4.0,4.0,05 de febrero - 2021,2021-02-05
Días de fútbol,https://www.palomitacas.com/pelicula/ficha/p54148,54148,4.0,4.0,05 de febrero - 2021,2021-02-05
El sótano de Ma,https://www.palomitacas.com/pelicula/ficha/p502416,502416,5.0,5.0,05 de febrero - 2021,2021-02-05
Jaque al Asesino,https://www.palomitacas.com/pelicula/ficha/p5765,5765,5.0,5.0,04 de febrero - 2021,2021-02-04
The vast of night,https://www.palomitacas.com/pelicula/ficha/p565743,565743,5.0,5.0,03 de febrero - 2021,2021-02-03
Rastro oculto,https://www.palomitacas.com/pelicula/ficha/p8090,8090,5.0,5.0,03 de febrero - 2021,2021-02-03
El engaño,https://www.palomitacas.com/pelicula/ficha/p539649,539649,6.0,6.0,31 de enero - 2021,2021-01-31
Troll hunter,https://www.palomitacas.com/pelicula/ficha/p46146,46146,5.0,5.0,31 de enero - 2021,2021-01-31
El Autor,https://www.palomitacas.com/pelicula/ficha/p437036,437036,5.0,5.0,30 de enero - 2021,2021-01-30
Bajocero,https://www.palomitacas.com/pelicula/ficha/p587996,587996,7.0,7.0,29 de enero - 2021,2021-01-29
Cam,https://www.palomitacas.com/pelicula/ficha/p521935,521935,4.0,4.0,29 de enero - 2021,2021-01-29
Identidad borrada,https://www.palomitacas.com/pelicula/ficha/p472451,472451,5.0,5.0,26 de enero - 2021,2021-01-26
