title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Escuela de jóvenes asesinos,https://www.palomitacas.com/pelicula/ficha/p2640,2640,,,,
Heathers: el musical,https://www.palomitacas.com/pelicula/ficha/p941605,941605,7.5,7.5,04 de enero - 2026,2026-01-04
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,,,,
La acompañante,https://www.palomitacas.com/pelicula/ficha/p1084199,1084199,8.0,8.0,15 de diciembre - 2025,2025-12-15
Five Nights at Freddy's 2,https://www.palomitacas.com/pelicula/ficha/p1228246,1228246,,,,
Bugonia,https://www.palomitacas.com/pelicula/ficha/p701387,701387,,,,
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,,,,
Kinds of Kindness,https://www.palomitacas.com/pelicula/ficha/p1029955,1029955,,,,
French Lover,https://www.palomitacas.com/pelicula/ficha/p1289888,1289888,6.0,6.0,02 de octubre - 2025,2025-09-27
Matrix Resurrections,https://www.palomitacas.com/pelicula/ficha/p624860,624860,8.0,8.0,25 de septiembre - 2025,2025-10-09
Fallen angels (Ángeles caídos),https://www.palomitacas.com/pelicula/ficha/p11220,11220,,,,
Wicked Parte II,https://www.palomitacas.com/pelicula/ficha/p967941,967941,,,,
Llamada a medianoche,https://www.palomitacas.com/pelicula/ficha/p1205656,1205656,,,,
Sirāt,https://www.palomitacas.com/pelicula/ficha/p1151272,1151272,8.0,8.0,19 de septiembre - 2025,2025-09-19
Guardianes de la noche: Kimetsu no Yaiba La fortaleza infinita,https://www.palomitacas.com/pelicula/ficha/p1311031,1311031,,,,
La huella del mal,https://www.palomitacas.com/pelicula/ficha/p1310871,1310871,5.0,5.0,16 de septiembre - 2025,2025-09-16
La posesión de Deborah Logan,https://www.palomitacas.com/pelicula/ficha/p297608,297608,,,,
Número desconocido: Falsa identidad en el instituto,https://www.palomitacas.com/pelicula/ficha/p1517772,1517772,7.5,7.5,03 de septiembre - 2025,2025-09-03
