title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
El Juego del Camelar,https://www.palomitacas.com/pelicula/ficha/p1600254,1600254,6.0,6.0,31 de diciembre - 2025,2025-12-31
Beauty from Pain,https://www.palomitacas.com/pelicula/ficha/p1495694,1495694,6.5,6.5,29 de diciembre - 2025,2025-12-29
El Intermediario,https://www.palomitacas.com/pelicula/ficha/p1088166,1088166,6.0,6.0,26 de diciembre - 2025,2025-12-26
Bump: A Christmas Film,https://www.palomitacas.com/pelicula/ficha/p1566512,1566512,5.5,5.5,25 de diciembre - 2025,2025-12-25
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,5.5,5.5,24 de diciembre - 2025,2026-01-02
Avatar: Fuego y ceniza,https://www.palomitacas.com/pelicula/ficha/p83533,83533,,,,
Eternity,https://www.palomitacas.com/pelicula/ficha/p1259102,1259102,6.5,6.5,23 de diciembre - 2025,2025-12-30
Zootrópolis 2,https://www.palomitacas.com/pelicula/ficha/p1084242,1084242,6.0,6.0,23 de diciembre - 2025,2025-12-23
Animales fantásticos: Los secretos de Dumbledore,https://www.palomitacas.com/pelicula/ficha/p338953,338953,6.5,6.5,15 de diciembre - 2025,2025-12-15
Animales fantásticos: Los crímenes de Grindelwald,https://www.palomitacas.com/pelicula/ficha/p338952,338952,6.0,6.0,15 de diciembre - 2025,2025-12-15
Animales fantásticos y dónde encontrarlos,https://www.palomitacas.com/pelicula/ficha/p259316,259316,6.5,6.5,14 de diciembre - 2025,2025-12-14
El último regalo,https://www.palomitacas.com/pelicula/ficha/p14624,14624,6.0,6.0,11 de diciembre - 2025,2025-12-11
A pesar de ti,https://www.palomitacas.com/pelicula/ficha/p1327862,1327862,6.0,6.0,27 de noviembre - 2025,2025-12-08
Plan en familia 2,https://www.palomitacas.com/pelicula/ficha/p1363123,1363123,6.5,6.5,27 de noviembre - 2025,2025-11-27
The Running Man,https://www.palomitacas.com/pelicula/ficha/p798645,798645,6.0,6.0,21 de noviembre - 2025,2025-12-17
Ahora me ves 3,https://www.palomitacas.com/pelicula/ficha/p425274,425274,,,,
Predator: Badlands,https://www.palomitacas.com/pelicula/ficha/p1242898,1242898,,,,
TRON: Ares,https://www.palomitacas.com/pelicula/ficha/p533533,533533,5.5,5.5,21 de noviembre - 2025,2025-12-06
Rüzgara Bırak,https://www.palomitacas.com/pelicula/ficha/p1318917,1318917,6.0,6.0,15 de noviembre - 2025,2025-11-15
El maestro jardinero,https://www.palomitacas.com/pelicula/ficha/p869612,869612,5.5,5.5,13 de noviembre - 2025,2025-11-13
La Herencia,https://www.palomitacas.com/pelicula/ficha/p1563254,1563254,5.0,5.0,09 de noviembre - 2025,2025-11-09
Ejército de los muertos,https://www.palomitacas.com/pelicula/ficha/p503736,503736,6.0,6.0,09 de noviembre - 2025,2025-11-09
Un gran viaje atrevido y maravilloso,https://www.palomitacas.com/pelicula/ficha/p1241921,1241921,6.0,6.0,20 de octubre - 2025,2025-11-02
Sound of Freedom,https://www.palomitacas.com/pelicula/ficha/p678512,678512,7.0,7.0,11 de octubre - 2025,2025-10-11
Juego sucio,https://www.palomitacas.com/pelicula/ficha/p941109,941109,,,,
La buena suerte,https://www.palomitacas.com/pelicula/ficha/p1432635,1432635,5.0,5.0,06 de octubre - 2025,2025-10-06
El piloto,https://www.palomitacas.com/pelicula/ficha/p1100800,1100800,6.5,6.5,05 de octubre - 2025,2025-10-05
La sospecha de Sofía,https://www.palomitacas.com/pelicula/ficha/p1520850,1520850,6.5,6.5,03 de octubre - 2025,2025-12-19
Fight or flight (sicarios en el aire),https://www.palomitacas.com/pelicula/ficha/p1212855,1212855,6.5,6.5,16 de septiembre - 2025,2025-09-16
Nadie,https://www.palomitacas.com/pelicula/ficha/p615457,615457,6.0,6.0,13 de septiembre - 2025,2025-09-13
Nadie 2,https://www.palomitacas.com/pelicula/ficha/p1007734,1007734,6.0,6.0,13 de septiembre - 2025,2025-10-04
Agárralo como puedas,https://www.palomitacas.com/pelicula/ficha/p1035259,1035259,6.0,6.0,13 de septiembre - 2025,2025-10-30
No es otra estúpida película americana,https://www.palomitacas.com/pelicula/ficha/p11397,11397,6.0,6.0,08 de septiembre - 2025,2025-09-08
Ice Road: Venganza,https://www.palomitacas.com/pelicula/ficha/p1119878,1119878,4.0,4.0,05 de septiembre - 2025,2025-09-05
El mapa que me lleva a ti,https://www.palomitacas.com/pelicula/ficha/p1312946,1312946,6.0,6.0,22 de agosto - 2025,2025-08-31
