title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
El asesino de los caprichos,https://www.palomitacas.com/pelicula/ficha/p573150,573150,,999.0,26 de diciembre - 2025,2025-12-24
Solo en casa 2: Perdido en Nueva York,https://www.palomitacas.com/pelicula/ficha/p772,772,,999.0,26 de diciembre - 2025,2025-12-20
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,,999.0,26 de diciembre - 2025,2025-12-14
La larga marcha,https://www.palomitacas.com/pelicula/ficha/p604079,604079,,999.0,26 de diciembre - 2025,2025-12-08
Ahora me ves 3,https://www.palomitacas.com/pelicula/ficha/p425274,425274,,999.0,26 de diciembre - 2025,2025-12-08
Five Nights at Freddy's 2,https://www.palomitacas.com/pelicula/ficha/p1228246,1228246,,999.0,26 de diciembre - 2025,2025-12-08
The Running Man,https://www.palomitacas.com/pelicula/ficha/p798645,798645,,999.0,26 de diciembre - 2025,2025-11-30
Wicked Parte II,https://www.palomitacas.com/pelicula/ficha/p967941,967941,,999.0,26 de diciembre - 2025,2025-11-21
Chainsaw Man - La película: El arco de Reze,https://www.palomitacas.com/pelicula/ficha/p1218925,1218925,,,,
Ghislaine Maxwell: Asquerosamente rica,https://www.palomitacas.com/pelicula/ficha/p1040599,1040599,,999.0,17 de noviembre - 2025,2025-11-17
Bugonia,https://www.palomitacas.com/pelicula/ficha/p701387,701387,,999.0,14 de noviembre - 2025,2025-11-09
La mujer del camarote 10,https://www.palomitacas.com/pelicula/ficha/p1290879,1290879,,999.0,27 de octubre - 2025,2025-10-26
Lo que hay dentro,https://www.palomitacas.com/pelicula/ficha/p1052280,1052280,,999.0,27 de octubre - 2025,2025-10-18
Maleficio (La regla de Osha),https://www.palomitacas.com/pelicula/ficha/p1503648,1503648,,999.0,27 de octubre - 2025,2025-10-03
The Rule of Jenny Pen,https://www.palomitacas.com/pelicula/ficha/p1212742,1212742,,999.0,27 de octubre - 2025,2025-09-12
La vieja guardia 2,https://www.palomitacas.com/pelicula/ficha/p846422,846422,,999.0,27 de octubre - 2025,2025-08-30
Los horrores de Caddo Lake,https://www.palomitacas.com/pelicula/ficha/p863873,863873,,,,
Jurado Nº 2,https://www.palomitacas.com/pelicula/ficha/p1106739,1106739,,,,
Better Man: La Historia de Robbie Williams,https://www.palomitacas.com/pelicula/ficha/p799766,799766,,,,
El 47,https://www.palomitacas.com/pelicula/ficha/p1174481,1174481,,,,
La infiltrada,https://www.palomitacas.com/pelicula/ficha/p1215185,1215185,,,,
El muro negro,https://www.palomitacas.com/pelicula/ficha/p1425045,1425045,,,,
Confidencial (Black Bag),https://www.palomitacas.com/pelicula/ficha/p1233575,1233575,,,,
Extraterritorial,https://www.palomitacas.com/pelicula/ficha/p1233069,1233069,,,,
Amateur,https://www.palomitacas.com/pelicula/ficha/p1087891,1087891,,,,
El abismo secreto,https://www.palomitacas.com/pelicula/ficha/p950396,950396,,,,
Harta,https://www.palomitacas.com/pelicula/ficha/p1426776,1426776,,,,
La evaluación,https://www.palomitacas.com/pelicula/ficha/p1317088,1317088,,,,
Honey Don't!,https://www.palomitacas.com/pelicula/ficha/p1149504,1149504,,,,
Sirāt,https://www.palomitacas.com/pelicula/ficha/p1151272,1151272,,,,
Materialistas,https://www.palomitacas.com/pelicula/ficha/p1136867,1136867,,,,
Nadie 2,https://www.palomitacas.com/pelicula/ficha/p1007734,1007734,,999.0,21 de agosto - 2025,2025-08-23
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,,,,
