title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Avatar: Fuego y ceniza,https://www.palomitacas.com/pelicula/ficha/p83533,83533,5.0,5.0,21 de diciembre - 2025,2025-12-21
Mars Express,https://www.palomitacas.com/pelicula/ficha/p586810,586810,7.0,7.0,19 de diciembre - 2025,2025-12-19
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,7.0,7.0,18 de diciembre - 2025,2025-12-18
The Running Man,https://www.palomitacas.com/pelicula/ficha/p798645,798645,6.0,6.0,14 de diciembre - 2025,2025-12-14
La casa de las dagas voladoras,https://www.palomitacas.com/pelicula/ficha/p9550,9550,7.0,7.0,14 de diciembre - 2025,2025-12-14
Núremberg,https://www.palomitacas.com/pelicula/ficha/p1214931,1214931,7.5,7.5,06 de diciembre - 2025,2025-12-06
Ahora me ves,https://www.palomitacas.com/pelicula/ficha/p75656,75656,7.0,7.0,29 de noviembre - 2025,2025-11-29
TRON: Ares,https://www.palomitacas.com/pelicula/ficha/p533533,533533,6.0,6.0,24 de noviembre - 2025,2025-11-24
Cómo ser John Malkovich,https://www.palomitacas.com/pelicula/ficha/p492,492,7.5,7.5,24 de noviembre - 2025,2025-11-24
El maquinista,https://www.palomitacas.com/pelicula/ficha/p4553,4553,7.0,7.0,20 de noviembre - 2025,2025-11-20
Driven,https://www.palomitacas.com/pelicula/ficha/p10477,10477,5.0,5.0,20 de noviembre - 2025,2025-11-20
Predator: Badlands,https://www.palomitacas.com/pelicula/ficha/p1242898,1242898,5.0,5.0,08 de noviembre - 2025,2025-11-08
Resident Evil: Bienvenidos a Raccoon City,https://www.palomitacas.com/pelicula/ficha/p460458,460458,4.0,4.0,29 de octubre - 2025,2025-10-29
Eddington,https://www.palomitacas.com/pelicula/ficha/p648878,648878,7.0,7.0,18 de octubre - 2025,2025-10-18
La sustancia,https://www.palomitacas.com/pelicula/ficha/p933260,933260,8.0,8.0,18 de octubre - 2025,2025-10-18
Sirāt,https://www.palomitacas.com/pelicula/ficha/p1151272,1151272,5.0,5.0,14 de octubre - 2025,2025-10-14
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,8.0,8.0,04 de octubre - 2025,2025-10-04
Primitive War,https://www.palomitacas.com/pelicula/ficha/p1257009,1257009,6.0,6.0,04 de octubre - 2025,2025-10-04
Mad God,https://www.palomitacas.com/pelicula/ficha/p846867,846867,6.0,6.0,04 de octubre - 2025,2025-10-04
La jungla 2: Alerta roja,https://www.palomitacas.com/pelicula/ficha/p1573,1573,6.0,6.0,28 de septiembre - 2025,2025-09-28
Los intrusos,https://www.palomitacas.com/pelicula/ficha/p279968,279968,3.0,3.0,20 de septiembre - 2025,2025-09-20
Sin Escape (Ganar o morir),https://www.palomitacas.com/pelicula/ficha/p10413,10413,5.0,5.0,20 de septiembre - 2025,2025-09-20
Nadie 2,https://www.palomitacas.com/pelicula/ficha/p1007734,1007734,6.0,6.0,20 de septiembre - 2025,2025-09-20
Creed III,https://www.palomitacas.com/pelicula/ficha/p677179,677179,6.0,6.0,10 de septiembre - 2025,2025-09-10
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,7.0,7.0,28 de agosto - 2025,2025-08-28
Sin edulcorar,https://www.palomitacas.com/pelicula/ficha/p844185,844185,5.0,5.0,22 de agosto - 2025,2025-08-22
Flamin'Hot: La historia de los Cheetos picantes,https://www.palomitacas.com/pelicula/ficha/p626332,626332,6.0,6.0,22 de agosto - 2025,2025-08-22
Con Air (Convictos en el aire),https://www.palomitacas.com/pelicula/ficha/p1701,1701,7.0,7.0,19 de agosto - 2025,2025-08-19
