title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Del revés 2 (Inside Out 2),https://www.palomitacas.com/pelicula/ficha/p1022789,1022789,7.5,7.5,01 de enero - 2026,2026-01-01
Civil War,https://www.palomitacas.com/pelicula/ficha/p929590,929590,6.5,6.5,28 de diciembre - 2025,2025-12-28
Saben aquell,https://www.palomitacas.com/pelicula/ficha/p1138248,1138248,7.5,7.5,28 de diciembre - 2025,2025-12-28
Fargo,https://www.palomitacas.com/pelicula/ficha/p275,275,7.5,7.5,27 de diciembre - 2025,2025-12-27
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,7.5,7.5,22 de diciembre - 2025,2025-12-22
Wicked Parte II,https://www.palomitacas.com/pelicula/ficha/p967941,967941,6.0,6.0,18 de diciembre - 2025,2025-12-18
Los pecadores,https://www.palomitacas.com/pelicula/ficha/p1233413,1233413,7.0,7.0,10 de diciembre - 2025,2025-12-10
Ahora me ves 3,https://www.palomitacas.com/pelicula/ficha/p425274,425274,5.5,5.5,06 de diciembre - 2025,2025-12-06
Las guerreras k-pop,https://www.palomitacas.com/pelicula/ficha/p803796,803796,7.0,7.0,15 de noviembre - 2025,2025-11-15
Black Phone 2,https://www.palomitacas.com/pelicula/ficha/p1197137,1197137,5.0,5.0,15 de noviembre - 2025,2025-11-15
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,7.5,7.5,15 de noviembre - 2025,2025-11-15
Bugonia,https://www.palomitacas.com/pelicula/ficha/p701387,701387,7.0,7.0,08 de noviembre - 2025,2025-11-08
Expediente Warren: El caso Enfield,https://www.palomitacas.com/pelicula/ficha/p259693,259693,8.0,8.0,24 de octubre - 2025,2025-10-24
"Totto-chan, aventuras desde la ventana",https://www.palomitacas.com/pelicula/ficha/p1106904,1106904,9.0,9.0,14 de octubre - 2025,2025-10-14
Estoy pensando en dejarlo,https://www.palomitacas.com/pelicula/ficha/p500840,500840,6.5,6.5,12 de octubre - 2025,2025-10-12
Romería,https://www.palomitacas.com/pelicula/ficha/p1182861,1182861,6.0,6.0,30 de septiembre - 2025,2025-09-30
Eddington,https://www.palomitacas.com/pelicula/ficha/p648878,648878,6.0,6.0,30 de septiembre - 2025,2025-09-30
El niño con el pijama de rayas,https://www.palomitacas.com/pelicula/ficha/p14574,14574,6.5,6.5,21 de septiembre - 2025,2025-09-21
El club del crimen de los jueves,https://www.palomitacas.com/pelicula/ficha/p744653,744653,6.0,6.0,21 de septiembre - 2025,2025-09-21
Número desconocido: Falsa identidad en el instituto,https://www.palomitacas.com/pelicula/ficha/p1517772,1517772,6.5,6.5,15 de septiembre - 2025,2025-09-15
Vivarium,https://www.palomitacas.com/pelicula/ficha/p458305,458305,5.0,5.0,14 de septiembre - 2025,2025-09-14
Sisu,https://www.palomitacas.com/pelicula/ficha/p840326,840326,6.0,6.0,13 de septiembre - 2025,2025-09-13
Expediente Warren: El último rito,https://www.palomitacas.com/pelicula/ficha/p1038392,1038392,6.5,6.5,11 de septiembre - 2025,2025-09-11
Gru. Mi villano favorito,https://www.palomitacas.com/pelicula/ficha/p20352,20352,8.0,8.0,11 de septiembre - 2025,2025-09-11
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,7.5,7.5,28 de agosto - 2025,2025-08-28
Mi año en Oxford,https://www.palomitacas.com/pelicula/ficha/p1307078,1307078,5.0,5.0,28 de agosto - 2025,2025-08-28
Lilo y Stitch,https://www.palomitacas.com/pelicula/ficha/p552524,552524,5.0,5.0,28 de agosto - 2025,2025-08-28
El pisito,https://www.palomitacas.com/pelicula/ficha/p110924,110924,7.0,7.0,28 de agosto - 2025,2025-08-28
El cochecito,https://www.palomitacas.com/pelicula/ficha/p99883,99883,7.0,7.0,28 de agosto - 2025,2025-08-28
Muy lejos,https://www.palomitacas.com/pelicula/ficha/p1409925,1409925,6.0,6.0,20 de agosto - 2025,2025-08-20
Muerte entre las flores,https://www.palomitacas.com/pelicula/ficha/p379,379,7.0,7.0,30 de julio - 2025,2025-07-30
Bailarina,https://www.palomitacas.com/pelicula/ficha/p541671,541671,6.0,6.0,27 de julio - 2025,2025-07-27
Cómo entrenar a tu dragón,https://www.palomitacas.com/pelicula/ficha/p1087192,1087192,8.0,8.0,23 de julio - 2025,2025-07-23
Más allá de los dos minutos infinitos,https://www.palomitacas.com/pelicula/ficha/p805627,805627,7.0,7.0,23 de julio - 2025,2025-07-23
A través de mi ventana,https://www.palomitacas.com/pelicula/ficha/p818647,818647,4.0,4.0,14 de julio - 2025,2025-07-14
Megalópolis,https://www.palomitacas.com/pelicula/ficha/p592831,592831,3.0,3.0,30 de junio - 2025,2025-06-30
La habitación de al lado,https://www.palomitacas.com/pelicula/ficha/p1088514,1088514,5.0,5.0,26 de junio - 2025,2025-06-26
Big Bad Wolves,https://www.palomitacas.com/pelicula/ficha/p171540,171540,6.5,6.5,24 de junio - 2025,2025-06-24
El verano de Kikujiro,https://www.palomitacas.com/pelicula/ficha/p4291,4291,8.0,8.0,24 de junio - 2025,2025-06-24
Parthenope,https://www.palomitacas.com/pelicula/ficha/p1109255,1109255,5.0,5.0,17 de junio - 2025,2025-06-17
La calle del terror: La reina del baile,https://www.palomitacas.com/pelicula/ficha/p1001414,1001414,4.0,4.0,29 de mayo - 2025,2025-05-29
Memorias de un caracol,https://www.palomitacas.com/pelicula/ficha/p1064486,1064486,7.5,7.5,29 de mayo - 2025,2025-05-29
Death of a Unicorn,https://www.palomitacas.com/pelicula/ficha/p1153714,1153714,4.0,4.0,28 de mayo - 2025,2025-05-28
Descubriendo Nunca Jamás,https://www.palomitacas.com/pelicula/ficha/p866,866,7.0,7.0,27 de mayo - 2025,2025-05-27
"¿Estás ahí, Dios? Soy yo, Margaret",https://www.palomitacas.com/pelicula/ficha/p555285,555285,7.0,7.0,27 de mayo - 2025,2025-05-27
Destino final: Lazos de sangre,https://www.palomitacas.com/pelicula/ficha/p574475,574475,7.0,7.0,17 de mayo - 2025,2025-05-17
Destino final 5,https://www.palomitacas.com/pelicula/ficha/p55779,55779,5.0,5.0,17 de mayo - 2025,2025-05-17
Destino final 4,https://www.palomitacas.com/pelicula/ficha/p19912,19912,4.0,4.0,17 de mayo - 2025,2025-05-17
Australia,https://www.palomitacas.com/pelicula/ficha/p6972,6972,5.0,5.0,11 de mayo - 2025,2025-05-11
Emma,https://www.palomitacas.com/pelicula/ficha/p3573,3573,6.5,6.5,11 de mayo - 2025,2025-05-11
Aún Estoy Aquí,https://www.palomitacas.com/pelicula/ficha/p1000837,1000837,8.0,8.0,09 de mayo - 2025,2025-05-09
El astronauta,https://www.palomitacas.com/pelicula/ficha/p636706,636706,4.0,4.0,09 de mayo - 2025,2025-05-09
Cónclave,https://www.palomitacas.com/pelicula/ficha/p974576,974576,8.0,8.0,30 de abril - 2025,2025-04-30
El castillo ambulante,https://www.palomitacas.com/pelicula/ficha/p4935,4935,7.5,7.5,30 de abril - 2025,2025-04-30
Canino,https://www.palomitacas.com/pelicula/ficha/p38810,38810,6.5,6.5,20 de abril - 2025,2025-04-20
Hollywood Hong Kong,https://www.palomitacas.com/pelicula/ficha/p60278,60278,6.0,6.0,15 de abril - 2025,2025-04-15
Largo domingo de noviazgo,https://www.palomitacas.com/pelicula/ficha/p2841,2841,7.0,7.0,12 de abril - 2025,2025-04-12
La vida en rosa,https://www.palomitacas.com/pelicula/ficha/p1407,1407,7.0,7.0,12 de abril - 2025,2025-04-12
Hereje,https://www.palomitacas.com/pelicula/ficha/p1138194,1138194,6.0,6.0,12 de abril - 2025,2025-04-12
Look Back,https://www.palomitacas.com/pelicula/ficha/p1244492,1244492,8.0,8.0,12 de abril - 2025,2025-04-12
Underworld,https://www.palomitacas.com/pelicula/ficha/p277,277,6.5,6.5,06 de abril - 2025,2025-04-06
Zootrópolis,https://www.palomitacas.com/pelicula/ficha/p269149,269149,8.0,8.0,04 de abril - 2025,2025-04-04
Anora,https://www.palomitacas.com/pelicula/ficha/p1064213,1064213,8.5,8.5,30 de marzo - 2025,2025-03-30
Blancanieves,https://www.palomitacas.com/pelicula/ficha/p447273,447273,2.0,2.0,26 de marzo - 2025,2025-03-26
El abismo secreto,https://www.palomitacas.com/pelicula/ficha/p950396,950396,5.0,5.0,09 de marzo - 2025,2025-03-09
La mesita del comedor,https://www.palomitacas.com/pelicula/ficha/p1056380,1056380,6.5,6.5,15 de febrero - 2025,2025-02-15
La acompañante,https://www.palomitacas.com/pelicula/ficha/p1084199,1084199,6.0,6.0,08 de febrero - 2025,2025-02-08
Mulholland Drive,https://www.palomitacas.com/pelicula/ficha/p1018,1018,7.5,7.5,08 de febrero - 2025,2025-02-08
El 47,https://www.palomitacas.com/pelicula/ficha/p1174481,1174481,7.0,7.0,28 de enero - 2025,2025-01-28
Jurado Nº 2,https://www.palomitacas.com/pelicula/ficha/p1106739,1106739,7.0,7.0,28 de enero - 2025,2025-01-28
Nosferatu,https://www.palomitacas.com/pelicula/ficha/p426063,426063,7.0,7.0,07 de enero - 2025,2025-01-07
Robot salvaje,https://www.palomitacas.com/pelicula/ficha/p1184918,1184918,7.5,7.5,04 de enero - 2025,2025-01-04
Solo en casa,https://www.palomitacas.com/pelicula/ficha/p771,771,7.0,7.0,27 de diciembre - 2024,2024-12-27
Irrational Man,https://www.palomitacas.com/pelicula/ficha/p282984,282984,6.0,6.0,25 de diciembre - 2024,2024-12-25
Quiéreme si te atreves,https://www.palomitacas.com/pelicula/ficha/p8424,8424,8.0,8.0,25 de diciembre - 2024,2024-12-25
La virgen roja,https://www.palomitacas.com/pelicula/ficha/p1118028,1118028,6.0,6.0,23 de diciembre - 2024,2024-12-23
Mufasa: El rey león,https://www.palomitacas.com/pelicula/ficha/p762509,762509,6.5,6.5,23 de diciembre - 2024,2024-12-23
Frozen: El reino del hielo,https://www.palomitacas.com/pelicula/ficha/p109445,109445,9.0,9.0,11 de diciembre - 2024,2024-12-11
Enredados,https://www.palomitacas.com/pelicula/ficha/p38757,38757,9.0,9.0,11 de diciembre - 2024,2024-12-11
Adiós a mi concubina,https://www.palomitacas.com/pelicula/ficha/p10997,10997,7.5,7.5,01 de diciembre - 2024,2024-12-01
La bicicleta de Pekín,https://www.palomitacas.com/pelicula/ficha/p12659,12659,7.0,7.0,01 de diciembre - 2024,2024-12-01
Recuerdos del ayer,https://www.palomitacas.com/pelicula/ficha/p15080,15080,8.0,8.0,30 de noviembre - 2024,2024-11-30
Wicked,https://www.palomitacas.com/pelicula/ficha/p402431,402431,7.0,7.0,27 de noviembre - 2024,2024-11-27
冬冬的假期,https://www.palomitacas.com/pelicula/ficha/p92989,92989,7.0,7.0,27 de noviembre - 2024,2024-11-27
