title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Una película de Minecraft,https://www.palomitacas.com/pelicula/ficha/p950387,950387,4.0,4.0,04 de enero - 2026,2026-01-04
Gremlins,https://www.palomitacas.com/pelicula/ficha/p927,927,7.0,7.0,01 de enero - 2026,2026-01-01
Cómo entrenar a tu dragón,https://www.palomitacas.com/pelicula/ficha/p1087192,1087192,8.0,8.0,26 de diciembre - 2025,2025-12-26
De ilusión también se vive,https://www.palomitacas.com/pelicula/ficha/p11881,11881,7.5,7.5,25 de diciembre - 2025,2025-12-27
WHAM!: Last Christmas,https://www.palomitacas.com/pelicula/ficha/p1398264,1398264,6.0,6.0,25 de diciembre - 2025,2025-12-25
The Holiday (Vacaciones),https://www.palomitacas.com/pelicula/ficha/p1581,1581,7.5,7.5,24 de diciembre - 2025,2025-12-24
Un robo muy navideño,https://www.palomitacas.com/pelicula/ficha/p1218762,1218762,5.5,5.5,23 de diciembre - 2025,2025-12-23
David Bisbal en concierto - 20 Aniversario,https://www.palomitacas.com/pelicula/ficha/p1052593,1052593,7.0,7.0,20 de diciembre - 2025,2025-12-20
Rivales,https://www.palomitacas.com/pelicula/ficha/p937287,937287,7.0,7.0,17 de diciembre - 2025,2025-12-17
Navidad en Baltimore,https://www.palomitacas.com/pelicula/ficha/p1421990,1421990,4.0,4.0,16 de diciembre - 2025,2025-12-21
Las vírgenes suicidas,https://www.palomitacas.com/pelicula/ficha/p1443,1443,7.0,7.0,14 de diciembre - 2025,2025-12-14
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,6.5,6.5,14 de diciembre - 2025,2025-12-31
La joya de la familia,https://www.palomitacas.com/pelicula/ficha/p9043,9043,6.5,6.5,08 de diciembre - 2025,2025-12-08
"¿Estás ahí, Dios? Soy yo, Margaret",https://www.palomitacas.com/pelicula/ficha/p555285,555285,7.0,7.0,08 de diciembre - 2025,2025-12-16
Confidencial (Black Bag),https://www.palomitacas.com/pelicula/ficha/p1233575,1233575,7.0,7.0,07 de diciembre - 2025,2025-12-07
The Alto Knights,https://www.palomitacas.com/pelicula/ficha/p1013601,1013601,5.5,5.5,06 de diciembre - 2025,2025-12-06
Sueños de trenes,https://www.palomitacas.com/pelicula/ficha/p1241983,1241983,7.5,7.5,03 de diciembre - 2025,2025-12-28
Novocaine,https://www.palomitacas.com/pelicula/ficha/p1195506,1195506,6.0,6.0,03 de diciembre - 2025,2025-12-03
