title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Escondidos en Brujas,https://www.palomitacas.com/pelicula/ficha/p8321,8321,6.5,6.5,28 de diciembre - 2025,2025-12-28
Christy,https://www.palomitacas.com/pelicula/ficha/p1287322,1287322,7.0,7.0,19 de diciembre - 2025,2025-12-19
The Running Man,https://www.palomitacas.com/pelicula/ficha/p798645,798645,6.5,6.5,13 de diciembre - 2025,2025-12-13
Dossier 137,https://www.palomitacas.com/pelicula/ficha/p1294698,1294698,6.0,6.0,06 de diciembre - 2025,2025-12-06
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,6.0,6.0,23 de noviembre - 2025,2025-11-23
Mula,https://www.palomitacas.com/pelicula/ficha/p504172,504172,,,,
La gata sobre el tejado de zinc,https://www.palomitacas.com/pelicula/ficha/p261,261,,,,
La favorita,https://www.palomitacas.com/pelicula/ficha/p375262,375262,,,,
The Smashing Machine,https://www.palomitacas.com/pelicula/ficha/p760329,760329,4.5,4.5,09 de noviembre - 2025,2025-11-09
Black Phone 2,https://www.palomitacas.com/pelicula/ficha/p1197137,1197137,7.0,7.0,07 de noviembre - 2025,2025-11-07
Cuerpos locos,https://www.palomitacas.com/pelicula/ficha/p1460448,1460448,4.0,4.0,05 de noviembre - 2025,2025-11-05
La entrevista,https://www.palomitacas.com/pelicula/ficha/p747370,747370,4.0,4.0,05 de noviembre - 2025,2025-11-05
Caza de brujas,https://www.palomitacas.com/pelicula/ficha/p1265063,1265063,,,,
Bedevilled,https://www.palomitacas.com/pelicula/ficha/p59421,59421,6.0,6.0,01 de noviembre - 2025,2025-11-01
Black Phone,https://www.palomitacas.com/pelicula/ficha/p756999,756999,6.5,6.5,31 de octubre - 2025,2025-10-31
Bala perdida,https://www.palomitacas.com/pelicula/ficha/p1245993,1245993,7.0,7.0,26 de octubre - 2025,2025-10-26
Shutter: El fotógrafo,https://www.palomitacas.com/pelicula/ficha/p17111,17111,,,,
Cleopatra: el misterio final,https://www.palomitacas.com/pelicula/ficha/p1538573,1538573,6.5,6.5,25 de octubre - 2025,2025-10-25
Denzel Washington: Falling Forward,https://www.palomitacas.com/pelicula/ficha/p1566841,1566841,6.0,6.0,24 de octubre - 2025,2025-10-24
Derek DelGaudio's In & of Itself,https://www.palomitacas.com/pelicula/ficha/p681459,681459,6.5,6.5,24 de octubre - 2025,2025-10-24
Sorda,https://www.palomitacas.com/pelicula/ficha/p1303613,1303613,,,,
La evasión,https://www.palomitacas.com/pelicula/ficha/p29259,29259,7.5,7.5,18 de octubre - 2025,2025-10-18
Together,https://www.palomitacas.com/pelicula/ficha/p1242011,1242011,,,,
Heldin,https://www.palomitacas.com/pelicula/ficha/p1356670,1356670,7.5,7.5,15 de octubre - 2025,2025-10-15
La mansión encantada,https://www.palomitacas.com/pelicula/ficha/p10756,10756,,,,
ある男,https://www.palomitacas.com/pelicula/ficha/p869886,869886,,,,
Expediente Warren: El último rito,https://www.palomitacas.com/pelicula/ficha/p1038392,1038392,6.5,6.5,12 de octubre - 2025,2025-10-10
Lo que el pulpo me enseñó,https://www.palomitacas.com/pelicula/ficha/p682110,682110,6.0,6.0,11 de octubre - 2025,2025-10-07
Top Gun: Maverick,https://www.palomitacas.com/pelicula/ficha/p361743,361743,6.5,6.5,03 de octubre - 2025,2025-09-28
Dragonheart (Corazón de dragón),https://www.palomitacas.com/pelicula/ficha/p8840,8840,,,,
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,6.5,6.5,26 de septiembre - 2025,2025-09-26
Top Gun: Ídolos del aire,https://www.palomitacas.com/pelicula/ficha/p744,744,7.0,7.0,14 de septiembre - 2025,2025-09-14
El sastre de la mafia,https://www.palomitacas.com/pelicula/ficha/p799876,799876,7.0,7.0,13 de septiembre - 2025,2025-09-13
Memorias de un asesino,https://www.palomitacas.com/pelicula/ficha/p432836,432836,,,,
Luz que agoniza,https://www.palomitacas.com/pelicula/ficha/p13528,13528,,,,
El juego de la sospecha,https://www.palomitacas.com/pelicula/ficha/p15196,15196,,,,
Un momento para recordar,https://www.palomitacas.com/pelicula/ficha/p15859,15859,7.5,7.5,10 de septiembre - 2025,2025-09-10
Encadenados,https://www.palomitacas.com/pelicula/ficha/p303,303,,,,
