title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Una casa llena de dinamita,https://www.palomitacas.com/pelicula/ficha/p1290159,1290159,6.0,6.0,29 de diciembre - 2025,2025-12-29
Mountainhead,https://www.palomitacas.com/pelicula/ficha/p1417059,1417059,6.0,6.0,28 de diciembre - 2025,2025-12-28
Better Man: La Historia de Robbie Williams,https://www.palomitacas.com/pelicula/ficha/p799766,799766,7.0,7.0,27 de diciembre - 2025,2025-12-27
La vieja guardia 2,https://www.palomitacas.com/pelicula/ficha/p846422,846422,5.0,5.0,26 de diciembre - 2025,2025-12-26
FLOW,https://www.palomitacas.com/pelicula/ficha/p1281775,1281775,8.0,8.0,25 de diciembre - 2025,2025-12-25
Sopa de ganso,https://www.palomitacas.com/pelicula/ficha/p3063,3063,6.0,6.0,17 de diciembre - 2025,2025-12-17
Misery,https://www.palomitacas.com/pelicula/ficha/p1700,1700,6.0,6.0,17 de diciembre - 2025,2025-12-17
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,7.0,7.0,15 de diciembre - 2025,2025-12-15
Corto Marvel: Agente Carter,https://www.palomitacas.com/pelicula/ficha/p211387,211387,5.0,5.0,25 de noviembre - 2025,2025-11-25
Corto Marvel: Todos aclaman al Rey,https://www.palomitacas.com/pelicula/ficha/p253980,253980,5.0,5.0,25 de noviembre - 2025,2025-11-25
Marvel extendido: Artículo 47,https://www.palomitacas.com/pelicula/ficha/p119569,119569,5.0,5.0,25 de noviembre - 2025,2025-11-25
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,7.0,7.0,16 de noviembre - 2025,2025-11-16
Los Rose,https://www.palomitacas.com/pelicula/ficha/p1267905,1267905,6.5,6.5,02 de noviembre - 2025,2025-11-02
El caso único de Marvel: Algo divertido sucedió de camino al Martillo de Thor,https://www.palomitacas.com/pelicula/ficha/p76535,76535,5.0,5.0,28 de octubre - 2025,2025-10-28
Un fantasma en la batalla,https://www.palomitacas.com/pelicula/ficha/p1275151,1275151,7.0,7.0,19 de octubre - 2025,2025-10-19
TRON,https://www.palomitacas.com/pelicula/ficha/p97,97,6.0,6.0,16 de octubre - 2025,2025-10-16
Elio,https://www.palomitacas.com/pelicula/ficha/p1022787,1022787,5.5,5.5,13 de octubre - 2025,2025-10-13
Nimona,https://www.palomitacas.com/pelicula/ficha/p961323,961323,5.5,5.5,13 de octubre - 2025,2025-10-13
Marvel de un vistazo: El consultor,https://www.palomitacas.com/pelicula/ficha/p76122,76122,5.0,5.0,13 de octubre - 2025,2025-10-13
Jurassic World: El renacer,https://www.palomitacas.com/pelicula/ficha/p1234821,1234821,4.0,4.0,28 de septiembre - 2025,2025-09-28
Ballerina,https://www.palomitacas.com/pelicula/ficha/p541671,541671,5.0,5.0,16 de septiembre - 2025,2025-09-16
Agárralo como puedas,https://www.palomitacas.com/pelicula/ficha/p1035259,1035259,4.0,4.0,15 de septiembre - 2025,2025-09-15
Tribute,https://www.palomitacas.com/pelicula/ficha/p1489607,1489607,,,,
Mi querida señorita,https://www.palomitacas.com/pelicula/ficha/p185417,185417,6.5,6.5,04 de septiembre - 2025,2025-09-04
Operación Ogro,https://www.palomitacas.com/pelicula/ficha/p64834,64834,7.0,7.0,03 de septiembre - 2025,2025-09-03
El Club del Crimen de los Jueves,https://www.palomitacas.com/pelicula/ficha/p744653,744653,6.0,6.0,31 de agosto - 2025,2025-08-31
Sigo siendo la misma,https://www.palomitacas.com/pelicula/ficha/p1508562,1508562,5.5,5.5,30 de julio - 2025,2025-07-30
xXx,https://www.palomitacas.com/pelicula/ficha/p7451,7451,6.5,6.5,28 de julio - 2025,2025-07-28
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,7.5,7.5,28 de julio - 2025,2025-07-28
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,7.0,7.0,12 de julio - 2025,2025-07-12
Cuando el destino nos alcance,https://www.palomitacas.com/pelicula/ficha/p12101,12101,3.0,3.0,27 de junio - 2025,2025-06-27
"Airbender, el último guerrero",https://www.palomitacas.com/pelicula/ficha/p10196,10196,5.0,5.0,17 de junio - 2025,2025-06-17
Señales,https://www.palomitacas.com/pelicula/ficha/p2675,2675,5.0,5.0,17 de junio - 2025,2025-06-17
El bosque,https://www.palomitacas.com/pelicula/ficha/p6947,6947,6.0,6.0,17 de junio - 2025,2025-06-17
Llaman a la puerta,https://www.palomitacas.com/pelicula/ficha/p631842,631842,4.0,4.0,17 de junio - 2025,2025-06-17
The Gentlemen: Los señores de la mafia,https://www.palomitacas.com/pelicula/ficha/p522627,522627,7.0,7.0,16 de junio - 2025,2025-06-16
Million Dollar Baby,https://www.palomitacas.com/pelicula/ficha/p70,70,7.0,7.0,15 de junio - 2025,2025-06-15
Seven,https://www.palomitacas.com/pelicula/ficha/p807,807,7.0,7.0,14 de junio - 2025,2025-06-14
Death Proof,https://www.palomitacas.com/pelicula/ficha/p1991,1991,4.0,4.0,14 de junio - 2025,2025-06-14
La red social,https://www.palomitacas.com/pelicula/ficha/p37799,37799,4.0,4.0,14 de junio - 2025,2025-06-14
El otro guardaespaldas,https://www.palomitacas.com/pelicula/ficha/p390043,390043,4.0,4.0,14 de junio - 2025,2025-06-14
Barry Seal: el traficante,https://www.palomitacas.com/pelicula/ficha/p337170,337170,3.0,3.0,14 de junio - 2025,2025-06-14
La Torre Oscura,https://www.palomitacas.com/pelicula/ficha/p353491,353491,3.0,3.0,14 de junio - 2025,2025-06-14
Baby Driver,https://www.palomitacas.com/pelicula/ficha/p339403,339403,7.0,7.0,14 de junio - 2025,2025-06-14
Dunkerque,https://www.palomitacas.com/pelicula/ficha/p374720,374720,7.5,7.5,14 de junio - 2025,2025-06-14
Rey Arturo: la leyenda de Excalibur,https://www.palomitacas.com/pelicula/ficha/p274857,274857,5.0,5.0,14 de junio - 2025,2025-06-14
Contact,https://www.palomitacas.com/pelicula/ficha/p686,686,6.0,6.0,14 de junio - 2025,2025-06-14
Mikaela,https://www.palomitacas.com/pelicula/ficha/p1315988,1315988,3.5,3.5,13 de junio - 2025,2025-06-13
Carros de fuego,https://www.palomitacas.com/pelicula/ficha/p9443,9443,5.5,5.5,13 de junio - 2025,2025-06-13
Titán: La tragedia de OceanGate,https://www.palomitacas.com/pelicula/ficha/p1426306,1426306,5.0,5.0,11 de junio - 2025,2025-06-11
