title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
La hermana de nieve,https://www.palomitacas.com/pelicula/ficha/p1365044,1365044,,,,
Una Navidad ex cepcional,https://www.palomitacas.com/pelicula/ficha/p1401318,1401318,5.5,5.5,04 de enero - 2026,2026-01-03
Las cuatro fantásticas,https://www.palomitacas.com/pelicula/ficha/p974613,974613,5.0,5.0,04 de enero - 2026,2026-01-03
Super agente Hitpig,https://www.palomitacas.com/pelicula/ficha/p756397,756397,5.5,5.5,03 de enero - 2026,2026-01-03
Fight or Flight (Sicarios en el aire),https://www.palomitacas.com/pelicula/ficha/p1212855,1212855,6.5,6.5,03 de enero - 2026,2026-01-02
El león en invierno,https://www.palomitacas.com/pelicula/ficha/p18988,18988,6.5,6.5,02 de enero - 2026,2026-01-02
Boda letal,https://www.palomitacas.com/pelicula/ficha/p1124619,1124619,6.5,6.5,31 de diciembre - 2025,2025-12-31
El día que la Tierra explotó: Una película de los Looney Tunes,https://www.palomitacas.com/pelicula/ficha/p870360,870360,7.0,7.0,31 de diciembre - 2025,2025-12-31
Amanece en Samaná,https://www.palomitacas.com/pelicula/ficha/p1341012,1341012,5.5,5.5,31 de diciembre - 2025,2025-12-31
Guillermo Tell,https://www.palomitacas.com/pelicula/ficha/p1195631,1195631,6.0,6.0,31 de diciembre - 2025,2025-12-30
El secreto de Papá Noel,https://www.palomitacas.com/pelicula/ficha/p1441563,1441563,6.5,6.5,31 de diciembre - 2025,2025-12-30
Al otro barrio,https://www.palomitacas.com/pelicula/ficha/p1151506,1151506,6.5,6.5,30 de diciembre - 2025,2025-12-30
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,,,,
"Alien, el octavo pasajero",https://www.palomitacas.com/pelicula/ficha/p348,348,,,,
Prometheus,https://www.palomitacas.com/pelicula/ficha/p70981,70981,7.0,7.0,30 de diciembre - 2025,2025-12-30
El caballero verde,https://www.palomitacas.com/pelicula/ficha/p559907,559907,5.0,5.0,30 de diciembre - 2025,2025-12-30
The Apprentice (La historia de Trump),https://www.palomitacas.com/pelicula/ficha/p1182047,1182047,6.0,6.0,30 de diciembre - 2025,2025-12-29
Los Muértimer,https://www.palomitacas.com/pelicula/ficha/p1318691,1318691,5.0,5.0,29 de diciembre - 2025,2025-12-28
La Navidad en sus manos 2,https://www.palomitacas.com/pelicula/ficha/p1196207,1196207,6.0,6.0,29 de diciembre - 2025,2025-12-26
Hay que echar a Victoria,https://www.palomitacas.com/pelicula/ficha/p1120383,1120383,5.5,5.5,27 de diciembre - 2025,2025-12-18
Viviendo sin límites,https://www.palomitacas.com/pelicula/ficha/p9430,9430,,,,
La Navidad en sus manos,https://www.palomitacas.com/pelicula/ficha/p1100763,1100763,6.0,6.0,26 de diciembre - 2025,2025-12-25
Indomables,https://www.palomitacas.com/pelicula/ficha/p1092506,1092506,5.5,5.5,24 de diciembre - 2025,2025-12-24
Una Navidad diferente,https://www.palomitacas.com/pelicula/ficha/p1430593,1430593,6.0,6.0,24 de diciembre - 2025,2025-12-24
Viva la vida,https://www.palomitacas.com/pelicula/ficha/p602863,602863,5.0,5.0,23 de diciembre - 2025,2025-12-19
El favor,https://www.palomitacas.com/pelicula/ficha/p1089979,1089979,5.0,5.0,23 de diciembre - 2025,2025-12-19
Genie,https://www.palomitacas.com/pelicula/ficha/p1189198,1189198,6.0,6.0,20 de diciembre - 2025,2025-12-18
Chispa navideña,https://www.palomitacas.com/pelicula/ficha/p737795,737795,5.5,5.5,18 de diciembre - 2025,2025-12-18
Menudas piezas,https://www.palomitacas.com/pelicula/ficha/p1175075,1175075,8.0,8.0,17 de diciembre - 2025,2025-12-16
Un lío de millones,https://www.palomitacas.com/pelicula/ficha/p1296500,1296500,6.5,6.5,10 de diciembre - 2025,2025-12-09
Una nueva historia de Navidad,https://www.palomitacas.com/pelicula/ficha/p929340,929340,5.0,5.0,27 de noviembre - 2025,2025-11-27
Un pueblo de Navidad mágico,https://www.palomitacas.com/pelicula/ficha/p1026605,1026605,5.5,5.5,21 de noviembre - 2025,2025-11-21
Zootrópolis 2,https://www.palomitacas.com/pelicula/ficha/p1084242,1084242,,,,
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,,,,
Ahora me ves 3,https://www.palomitacas.com/pelicula/ficha/p425274,425274,,,,
Las guerreras k-pop,https://www.palomitacas.com/pelicula/ficha/p803796,803796,7.0,7.0,17 de noviembre - 2025,2025-11-15
La puerta mágica,https://www.palomitacas.com/pelicula/ficha/p830896,830896,6.5,6.5,08 de noviembre - 2025,2025-11-08
Una muy Feliz Navidad,https://www.palomitacas.com/pelicula/ficha/p974213,974213,6.0,6.0,08 de noviembre - 2025,2025-11-07
Empire Queen: The Golden Age of Magic,https://www.palomitacas.com/pelicula/ficha/p1086855,1086855,4.0,4.0,07 de noviembre - 2025,2025-11-07
