title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Avatar: Fuego y ceniza,https://www.palomitacas.com/pelicula/ficha/p83533,83533,8.0,8.0,04 de enero - 2026,2026-01-04
Mickey 17,https://www.palomitacas.com/pelicula/ficha/p696506,696506,,,,
La muerte del unicornio,https://www.palomitacas.com/pelicula/ficha/p1153714,1153714,,,,
El beso de la mujer araña,https://www.palomitacas.com/pelicula/ficha/p1214684,1214684,,,,
El guerrero nº 13,https://www.palomitacas.com/pelicula/ficha/p1911,1911,6.5,6.5,21 de diciembre - 2025,2025-12-21
Mi boda con un fantasma,https://www.palomitacas.com/pelicula/ficha/p983883,983883,7.5,7.5,07 de diciembre - 2025,2025-12-07
LUZ,https://www.palomitacas.com/pelicula/ficha/p732498,732498,,,,
Ponte en mi lugar de nuevo,https://www.palomitacas.com/pelicula/ficha/p1125257,1125257,7.5,7.5,16 de noviembre - 2025,2025-11-16
Ponte en mi lugar,https://www.palomitacas.com/pelicula/ficha/p10330,10330,8.0,8.0,16 de noviembre - 2025,2025-11-16
Battleship,https://www.palomitacas.com/pelicula/ficha/p44833,44833,6.5,6.5,18 de octubre - 2025,2025-10-18
Elio,https://www.palomitacas.com/pelicula/ficha/p1022787,1022787,8.5,8.5,12 de octubre - 2025,2025-10-12
El cautivo,https://www.palomitacas.com/pelicula/ficha/p1238188,1238188,7.5,7.5,18 de septiembre - 2025,2025-09-18
Mi vecino Totoro,https://www.palomitacas.com/pelicula/ficha/p8392,8392,7.5,7.5,31 de agosto - 2025,2025-08-31
Indomables,https://www.palomitacas.com/pelicula/ficha/p1092506,1092506,,,,
Misión: Imposible - Fallout,https://www.palomitacas.com/pelicula/ficha/p353081,353081,,,,
Misión imposible: Nación secreta,https://www.palomitacas.com/pelicula/ficha/p177677,177677,7.5,7.5,24 de agosto - 2025,2025-08-24
Naruto: Guardianes del Reino de la Luna Creciente,https://www.palomitacas.com/pelicula/ficha/p18861,18861,7.5,7.5,14 de agosto - 2025,2025-08-14
Altamira,https://www.palomitacas.com/pelicula/ficha/p329718,329718,5.0,5.0,10 de agosto - 2025,2025-08-10
La virgen roja,https://www.palomitacas.com/pelicula/ficha/p1118028,1118028,8.0,8.0,09 de agosto - 2025,2025-08-09
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,8.0,8.0,24 de julio - 2025,2025-07-24
El muro negro,https://www.palomitacas.com/pelicula/ficha/p1425045,1425045,7.0,7.0,21 de julio - 2025,2025-07-21
Naruto: La Leyenda de la Piedra De Gelel,https://www.palomitacas.com/pelicula/ficha/p16910,16910,7.5,7.5,16 de julio - 2025,2025-07-16
Jurassic World: El renacer,https://www.palomitacas.com/pelicula/ficha/p1234821,1234821,7.0,7.0,09 de julio - 2025,2025-07-09
Cómo entrenar a tu dragón,https://www.palomitacas.com/pelicula/ficha/p1087192,1087192,9.0,9.0,22 de junio - 2025,2025-06-22
Una película de Minecraft,https://www.palomitacas.com/pelicula/ficha/p950387,950387,5.0,5.0,22 de junio - 2025,2025-06-22
Misión imposible 3,https://www.palomitacas.com/pelicula/ficha/p956,956,7.5,7.5,22 de junio - 2025,2025-06-22
"Naruto: ¡¡Naruto, el Genio, y los Tres Deseos 'ttebayo!! OVA",https://www.palomitacas.com/pelicula/ficha/p609197,609197,6.0,6.0,20 de junio - 2025,2025-06-20
Naruto: Caminos Cruzados OVA,https://www.palomitacas.com/pelicula/ficha/p699249,699249,6.0,6.0,20 de junio - 2025,2025-06-20
NARUTO ナルティメットヒーロー3 ついに激突! 上忍VS下忍!! 無差別大乱戦大会開催!!,https://www.palomitacas.com/pelicula/ficha/p1361889,1361889,3.0,3.0,19 de junio - 2025,2025-06-19
Naruto: El Festival Deportivo de Konoha - OVA,https://www.palomitacas.com/pelicula/ficha/p619432,619432,5.0,5.0,19 de junio - 2025,2025-06-19
Naruto: ¡Batalla ninja en la tierra de la nieve!,https://www.palomitacas.com/pelicula/ficha/p16907,16907,6.0,6.0,19 de junio - 2025,2025-06-19
Misión imposible 2,https://www.palomitacas.com/pelicula/ficha/p955,955,5.0,5.0,15 de junio - 2025,2025-06-15
Misión imposible,https://www.palomitacas.com/pelicula/ficha/p954,954,7.0,7.0,14 de junio - 2025,2025-06-14
Constantine,https://www.palomitacas.com/pelicula/ficha/p561,561,7.5,7.5,08 de junio - 2025,2025-06-08
Naruto: Batalla en la cascada oculta: ¡yo soy el héroe! OVA,https://www.palomitacas.com/pelicula/ficha/p410685,410685,5.5,5.5,07 de junio - 2025,2025-06-07
"Ballerina, del universo de John Wick",https://www.palomitacas.com/pelicula/ficha/p541671,541671,8.5,8.5,05 de junio - 2025,2025-06-05
Misión: Imposible - Sentencia final,https://www.palomitacas.com/pelicula/ficha/p575265,575265,8.5,8.5,04 de junio - 2025,2025-06-04
Los cuatro Fantásticos: Primeros Pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,9.5,9.5,28 de mayo - 2025,2025-08-04
Los horrores de Caddo Lake,https://www.palomitacas.com/pelicula/ficha/p863873,863873,8.5,8.5,25 de mayo - 2025,2025-05-25
Dirty Dancing,https://www.palomitacas.com/pelicula/ficha/p444902,444902,,,,
G20,https://www.palomitacas.com/pelicula/ficha/p1045938,1045938,7.5,7.5,10 de mayo - 2025,2025-05-10
Mufasa: El rey león,https://www.palomitacas.com/pelicula/ficha/p762509,762509,8.0,8.0,04 de mayo - 2025,2025-05-04
Ghost (Más allá del amor),https://www.palomitacas.com/pelicula/ficha/p251,251,8.5,8.5,03 de mayo - 2025,2025-06-01
Dirty Dancing,https://www.palomitacas.com/pelicula/ficha/p88,88,9.0,9.0,03 de mayo - 2025,2025-05-18
Thunderbolts*,https://www.palomitacas.com/pelicula/ficha/p986056,986056,9.0,9.0,03 de mayo - 2025,2025-05-03
Leroy y Stitch,https://www.palomitacas.com/pelicula/ficha/p21316,21316,6.0,6.0,29 de abril - 2025,2025-04-29
Lilo y Stitch,https://www.palomitacas.com/pelicula/ficha/p552524,552524,9.0,9.0,27 de abril - 2025,2025-05-26
Pretty Woman,https://www.palomitacas.com/pelicula/ficha/p114,114,8.0,8.0,27 de abril - 2025,2025-04-27
Los pecadores,https://www.palomitacas.com/pelicula/ficha/p1233413,1233413,7.5,7.5,23 de abril - 2025,2025-04-23
Twisters,https://www.palomitacas.com/pelicula/ficha/p718821,718821,8.0,8.0,20 de abril - 2025,2025-04-20
Los hombres lobo,https://www.palomitacas.com/pelicula/ficha/p1091181,1091181,7.0,7.0,12 de abril - 2025,2025-04-12
La huella del mal,https://www.palomitacas.com/pelicula/ficha/p1310871,1310871,6.5,6.5,09 de abril - 2025,2025-04-09
The Witcher: Sirenas de las profundidades,https://www.palomitacas.com/pelicula/ficha/p1203329,1203329,7.5,7.5,06 de abril - 2025,2025-04-06
Guillermo Tell,https://www.palomitacas.com/pelicula/ficha/p1195631,1195631,5.5,5.5,05 de abril - 2025,2025-04-05
Blancanieves,https://www.palomitacas.com/pelicula/ficha/p447273,447273,7.5,7.5,22 de marzo - 2025,2025-03-22
Estado eléctrico,https://www.palomitacas.com/pelicula/ficha/p777443,777443,7.0,7.0,21 de marzo - 2025,2025-06-01
Elektra,https://www.palomitacas.com/pelicula/ficha/p9947,9947,6.5,6.5,02 de marzo - 2025,2025-03-09
Daredevil,https://www.palomitacas.com/pelicula/ficha/p9480,9480,6.5,6.5,02 de marzo - 2025,2025-03-02
Ad Vitam,https://www.palomitacas.com/pelicula/ficha/p1261501,1261501,7.5,7.5,09 de febrero - 2025,2025-02-16
Blade Trinity,https://www.palomitacas.com/pelicula/ficha/p36648,36648,,,,
Blade II,https://www.palomitacas.com/pelicula/ficha/p36586,36586,,,,
Blade,https://www.palomitacas.com/pelicula/ficha/p36647,36647,7.5,7.5,09 de febrero - 2025,2025-02-09
Vaiana 2,https://www.palomitacas.com/pelicula/ficha/p1241982,1241982,8.0,8.0,08 de febrero - 2025,2025-03-23
Wicked,https://www.palomitacas.com/pelicula/ficha/p402431,402431,,,,
The Holiday Exchange,https://www.palomitacas.com/pelicula/ficha/p1111794,1111794,,,,
Quédate a mi lado,https://www.palomitacas.com/pelicula/ficha/p507903,507903,,,,
The Holiday Sitter,https://www.palomitacas.com/pelicula/ficha/p1027324,1027324,,,,
The Christmas Setup,https://www.palomitacas.com/pelicula/ficha/p744952,744952,,,,
Notes of Autumn,https://www.palomitacas.com/pelicula/ficha/p1166713,1166713,,,,
El especialista,https://www.palomitacas.com/pelicula/ficha/p746036,746036,,,,
Pacific Rim: Insurrección,https://www.palomitacas.com/pelicula/ficha/p268896,268896,7.5,7.5,01 de diciembre - 2024,2024-12-07
Pacific Rim,https://www.palomitacas.com/pelicula/ficha/p68726,68726,8.5,8.5,01 de diciembre - 2024,2024-12-01
The Thing About Harry,https://www.palomitacas.com/pelicula/ficha/p647325,647325,,,,
My Fake Boyfriend,https://www.palomitacas.com/pelicula/ficha/p908762,908762,,,,
Gladiator II,https://www.palomitacas.com/pelicula/ficha/p558449,558449,8.5,8.5,20 de noviembre - 2024,2024-11-20
La infiltrada,https://www.palomitacas.com/pelicula/ficha/p1215185,1215185,8.5,8.5,14 de noviembre - 2024,2024-11-14
Expediente Warren: el caso Enfield,https://www.palomitacas.com/pelicula/ficha/p259693,259693,7.0,7.0,10 de noviembre - 2024,2024-11-10
Expediente Warren: The Conjuring,https://www.palomitacas.com/pelicula/ficha/p138843,138843,7.0,7.0,10 de noviembre - 2024,2024-11-10
Insidious: La última llave,https://www.palomitacas.com/pelicula/ficha/p406563,406563,6.0,6.0,10 de noviembre - 2024,2024-11-10
Red One,https://www.palomitacas.com/pelicula/ficha/p845781,845781,6.0,6.0,08 de noviembre - 2024,2024-11-08
Jurado Nº 2,https://www.palomitacas.com/pelicula/ficha/p1106739,1106739,8.5,8.5,06 de noviembre - 2024,2024-11-06
No hables con extraños,https://www.palomitacas.com/pelicula/ficha/p1114513,1114513,7.5,7.5,28 de septiembre - 2024,2024-09-28
"Alien, el octavo pasajero",https://www.palomitacas.com/pelicula/ficha/p348,348,7.0,7.0,21 de septiembre - 2024,2024-09-21
Digimon Adventure 02 - Hurricane Touchdown! The Golden Digimentals,https://www.palomitacas.com/pelicula/ficha/p98299,98299,,,,
Digimon Adventure 02: El Comienzo,https://www.palomitacas.com/pelicula/ficha/p872976,872976,8.0,8.0,20 de septiembre - 2024,2024-09-20
Padre no hay más que uno 4: Campanas de boda,https://www.palomitacas.com/pelicula/ficha/p1030076,1030076,5.5,5.5,21 de agosto - 2024,2024-08-21
El último baile de Magic Mike,https://www.palomitacas.com/pelicula/ficha/p906221,906221,,,,
Magic Mike XXL,https://www.palomitacas.com/pelicula/ficha/p264999,264999,,,,
Magic Mike,https://www.palomitacas.com/pelicula/ficha/p77930,77930,7.5,7.5,17 de agosto - 2024,2024-08-17
¡Scooby!,https://www.palomitacas.com/pelicula/ficha/p385103,385103,7.5,7.5,11 de agosto - 2024,2024-08-11
Sueños de una escritora en Nueva York,https://www.palomitacas.com/pelicula/ficha/p619594,619594,7.5,7.5,25 de julio - 2024,2024-07-25
La brigada de la cocina,https://www.palomitacas.com/pelicula/ficha/p845140,845140,,,,
Gru 4. Mi villano favorito,https://www.palomitacas.com/pelicula/ficha/p519182,519182,7.0,7.0,11 de julio - 2024,2024-07-11
Dune: Part Three,https://www.palomitacas.com/pelicula/ficha/p1170608,1170608,,,,
Furiosa: de la saga Mad Max,https://www.palomitacas.com/pelicula/ficha/p786892,786892,8.0,8.0,10 de junio - 2024,2024-06-10
The King's Man: La primera misión,https://www.palomitacas.com/pelicula/ficha/p476669,476669,,,,
