title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Pan de limón con semillas de amapola,https://www.palomitacas.com/pelicula/ficha/p793157,793157,,,,
F1 la película,https://www.palomitacas.com/pelicula/ficha/p911430,911430,,,,
Materialistas,https://www.palomitacas.com/pelicula/ficha/p1136867,1136867,6.0,6.0,19 de agosto - 2025,2025-08-19
Volver a empezar,https://www.palomitacas.com/pelicula/ficha/p653708,653708,7.0,7.0,08 de agosto - 2025,2025-08-08
My Oxford Year,https://www.palomitacas.com/pelicula/ficha/p1307078,1307078,,,,
El mapa que me lleva a ti,https://www.palomitacas.com/pelicula/ficha/p1312946,1312946,,,,
Lilo y Stitch,https://www.palomitacas.com/pelicula/ficha/p552524,552524,7.0,7.0,24 de mayo - 2025,2025-05-24
Otro pequeño favor,https://www.palomitacas.com/pelicula/ficha/p974573,974573,,,,
Paddington: Aventura en la selva,https://www.palomitacas.com/pelicula/ficha/p516729,516729,,,,
Bridget Jones: Loca por él,https://www.palomitacas.com/pelicula/ficha/p1272149,1272149,5.5,5.5,15 de febrero - 2025,2025-02-15
Vaiana 2,https://www.palomitacas.com/pelicula/ficha/p1241982,1241982,,,,
Mufasa: El rey león,https://www.palomitacas.com/pelicula/ficha/p762509,762509,,,,
Conclave,https://www.palomitacas.com/pelicula/ficha/p974576,974576,7.0,7.0,26 de diciembre - 2024,2024-12-26
Wicked,https://www.palomitacas.com/pelicula/ficha/p402431,402431,,,,
Cinema Paradiso,https://www.palomitacas.com/pelicula/ficha/p11216,11216,,,,
Tenor,https://www.palomitacas.com/pelicula/ficha/p936074,936074,6.5,6.5,27 de septiembre - 2024,2024-09-27
Un desastre es para siempre,https://www.palomitacas.com/pelicula/ficha/p1096342,1096342,,,,
Joy Ride,https://www.palomitacas.com/pelicula/ficha/p864168,864168,,,,
Romper el círculo,https://www.palomitacas.com/pelicula/ficha/p1079091,1079091,7.0,7.0,18 de agosto - 2024,2024-08-18
Padre no hay más que uno 4: Campanas de boda,https://www.palomitacas.com/pelicula/ficha/p1030076,1030076,,,,
Casa en llamas,https://www.palomitacas.com/pelicula/ficha/p1218193,1218193,7.0,7.0,14 de agosto - 2024,2024-09-11
Del revés 2 (Inside Out 2),https://www.palomitacas.com/pelicula/ficha/p1022789,1022789,,,,
El Último Baile De Magic Mike,https://www.palomitacas.com/pelicula/ficha/p906221,906221,6.0,6.0,20 de mayo - 2024,2024-05-20
La idea de tenerte,https://www.palomitacas.com/pelicula/ficha/p843527,843527,,,,
Pared con pared,https://www.palomitacas.com/pelicula/ficha/p1005681,1005681,,,,
Un Hipster En La España Vacía,https://www.palomitacas.com/pelicula/ficha/p1118035,1118035,5.5,5.5,15 de abril - 2024,2024-04-15
Amigos imaginarios,https://www.palomitacas.com/pelicula/ficha/p639720,639720,,,,
Viaje de fin de curso,https://www.palomitacas.com/pelicula/ficha/p1245165,1245165,,,,
Cualquiera menos tú,https://www.palomitacas.com/pelicula/ficha/p1072790,1072790,,,,
La Navidad está servida,https://www.palomitacas.com/pelicula/ficha/p961769,961769,6.0,6.0,16 de diciembre - 2023,2023-12-16
Chicken Run: Evasión en la granja,https://www.palomitacas.com/pelicula/ficha/p7443,7443,5.0,5.0,07 de diciembre - 2023,2023-12-07
Wish: El poder de los deseos,https://www.palomitacas.com/pelicula/ficha/p1022796,1022796,,,,
Familia Revuelta,https://www.palomitacas.com/pelicula/ficha/p798021,798021,,,,
Oppenheimer,https://www.palomitacas.com/pelicula/ficha/p872585,872585,,,,
Los Juegos del Hambre: Balada de pájaros cantores y serpientes,https://www.palomitacas.com/pelicula/ficha/p695721,695721,7.5,7.5,29 de noviembre - 2023,2023-12-01
La reina de los concursos,https://www.palomitacas.com/pelicula/ficha/p787781,787781,,,,
Red,https://www.palomitacas.com/pelicula/ficha/p508947,508947,,,,
No te preocupes querida,https://www.palomitacas.com/pelicula/ficha/p619730,619730,,,,
After: Aquí acaba todo,https://www.palomitacas.com/pelicula/ficha/p820525,820525,,,,
Gran Turismo,https://www.palomitacas.com/pelicula/ficha/p980489,980489,,,,
"Rojo, blanco y sangre azul",https://www.palomitacas.com/pelicula/ficha/p930094,930094,,,,
Sin malos rollos,https://www.palomitacas.com/pelicula/ficha/p884605,884605,,,,
Interstellar,https://www.palomitacas.com/pelicula/ficha/p157336,157336,,,,
Unos suegros de armas tomar,https://www.palomitacas.com/pelicula/ficha/p921636,921636,,,,
Zoey 102,https://www.palomitacas.com/pelicula/ficha/p1073170,1073170,,,,
