title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Los pecadores,https://www.palomitacas.com/pelicula/ficha/p1233413,1233413,,,,
Birdman o (la inesperada virtud de la ignorancia),https://www.palomitacas.com/pelicula/ficha/p194662,194662,4.0,4.0,03 de enero - 2026,2026-01-03
Antes de ti,https://www.palomitacas.com/pelicula/ficha/p296096,296096,,,,
Ha llegado un ángel,https://www.palomitacas.com/pelicula/ficha/p77843,77843,8.0,8.0,02 de enero - 2026,2026-01-02
La asistenta,https://www.palomitacas.com/pelicula/ficha/p1368166,1368166,,,,
F1 la película,https://www.palomitacas.com/pelicula/ficha/p911430,911430,6.0,6.0,28 de diciembre - 2025,2025-12-28
Los fantasmas atacan al jefe,https://www.palomitacas.com/pelicula/ficha/p9647,9647,5.5,5.5,20 de diciembre - 2025,2025-12-21
Serendipity,https://www.palomitacas.com/pelicula/ficha/p9778,9778,,,,
"Navidades, ¿bien o en familia?",https://www.palomitacas.com/pelicula/ficha/p333348,333348,,,,
Beethoven: Uno más de la familia,https://www.palomitacas.com/pelicula/ficha/p11806,11806,,,,
Un padre en apuros,https://www.palomitacas.com/pelicula/ficha/p9279,9279,,,,
El Grinch,https://www.palomitacas.com/pelicula/ficha/p8871,8871,6.5,6.5,20 de diciembre - 2025,2025-12-20
Bleeding Love,https://www.palomitacas.com/pelicula/ficha/p1000780,1000780,,,,
Jóvenes y brujas,https://www.palomitacas.com/pelicula/ficha/p9100,9100,,,,
Speed: Máxima potencia,https://www.palomitacas.com/pelicula/ficha/p1637,1637,8.5,8.5,08 de diciembre - 2025,2025-12-08
Minari - Historia de mi familia,https://www.palomitacas.com/pelicula/ficha/p615643,615643,6.0,6.0,23 de noviembre - 2025,2025-11-23
Marty Supreme,https://www.palomitacas.com/pelicula/ficha/p1317288,1317288,,,,
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,,,,
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,,,,
Catwoman,https://www.palomitacas.com/pelicula/ficha/p314,314,2.5,2.5,16 de noviembre - 2025,2025-11-16
Mank,https://www.palomitacas.com/pelicula/ficha/p614560,614560,4.0,4.0,09 de noviembre - 2025,2025-11-09
Hereditary,https://www.palomitacas.com/pelicula/ficha/p493922,493922,8.0,8.0,25 de octubre - 2025,2025-10-25
Bugonia,https://www.palomitacas.com/pelicula/ficha/p701387,701387,,,,
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,5.0,5.0,18 de octubre - 2025,2025-12-13
Sirenas,https://www.palomitacas.com/pelicula/ficha/p4587,4587,,,,
Steve,https://www.palomitacas.com/pelicula/ficha/p1242404,1242404,6.0,6.0,11 de octubre - 2025,2025-10-12
Laberinto en llamas,https://www.palomitacas.com/pelicula/ficha/p1236470,1236470,6.5,6.5,05 de octubre - 2025,2025-10-05
La entrega,https://www.palomitacas.com/pelicula/ficha/p154400,154400,,,,
Barry Lyndon,https://www.palomitacas.com/pelicula/ficha/p3175,3175,,,,
Niñera a la fuerza,https://www.palomitacas.com/pelicula/ficha/p14926,14926,,,,
Número desconocido: Falsa identidad en el instituto,https://www.palomitacas.com/pelicula/ficha/p1517772,1517772,,,,
Cumbres Borrascosas,https://www.palomitacas.com/pelicula/ficha/p1316092,1316092,,,,
El padre,https://www.palomitacas.com/pelicula/ficha/p600354,600354,7.0,7.0,06 de septiembre - 2025,2025-09-06
Kerouac's Road: The Beat of a Nation,https://www.palomitacas.com/pelicula/ficha/p1465788,1465788,,,,
Begin Again,https://www.palomitacas.com/pelicula/ficha/p198277,198277,5.0,5.0,31 de agosto - 2025,2025-08-31
Caza de brujas,https://www.palomitacas.com/pelicula/ficha/p1265063,1265063,,,,
Materialistas,https://www.palomitacas.com/pelicula/ficha/p1136867,1136867,,,,
El último encargo,https://www.palomitacas.com/pelicula/ficha/p1106289,1106289,5.0,5.0,17 de agosto - 2025,2025-08-17
West Side Story,https://www.palomitacas.com/pelicula/ficha/p511809,511809,7.5,7.5,11 de agosto - 2025,2025-08-11
Los mercenarios 2,https://www.palomitacas.com/pelicula/ficha/p76163,76163,5.0,5.0,10 de agosto - 2025,2025-08-10
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,,,,
Manhattan,https://www.palomitacas.com/pelicula/ficha/p696,696,5.0,5.0,20 de julio - 2025,2025-07-20
Bono: Historias de Surrender,https://www.palomitacas.com/pelicula/ficha/p1440718,1440718,,,,
El callejón de las almas perdidas,https://www.palomitacas.com/pelicula/ficha/p597208,597208,6.5,6.5,29 de junio - 2025,2025-06-29
Springsteen: Deliver Me from Nowhere,https://www.palomitacas.com/pelicula/ficha/p1230368,1230368,,,,
Roofman,https://www.palomitacas.com/pelicula/ficha/p1242419,1242419,,,,
Licorice Pizza,https://www.palomitacas.com/pelicula/ficha/p718032,718032,5.0,5.0,01 de junio - 2025,2025-06-01
Good Fortune,https://www.palomitacas.com/pelicula/ficha/p1114967,1114967,,,,
Indiana Jones y el templo maldito,https://www.palomitacas.com/pelicula/ficha/p87,87,4.0,4.0,25 de mayo - 2025,2025-05-25
Destino final: Lazos de sangre,https://www.palomitacas.com/pelicula/ficha/p574475,574475,,,,
El deseo de Robin,https://www.palomitacas.com/pelicula/ficha/p729798,729798,,,,
Los Rose,https://www.palomitacas.com/pelicula/ficha/p1267905,1267905,,,,
Caught Stealing,https://www.palomitacas.com/pelicula/ficha/p1245993,1245993,,,,
Mountainhead,https://www.palomitacas.com/pelicula/ficha/p1417059,1417059,,,,
Drive my car,https://www.palomitacas.com/pelicula/ficha/p758866,758866,3.5,3.5,07 de abril - 2025,2025-04-07
En busca del arca perdida,https://www.palomitacas.com/pelicula/ficha/p85,85,6.5,6.5,29 de marzo - 2025,2025-03-29
El poder del perro,https://www.palomitacas.com/pelicula/ficha/p600583,600583,5.0,5.0,16 de marzo - 2025,2025-03-16
7291,https://www.palomitacas.com/pelicula/ficha/p1391954,1391954,,,,
Skyfall,https://www.palomitacas.com/pelicula/ficha/p37724,37724,5.0,5.0,08 de marzo - 2025,2025-03-08
CODA: Los sonidos del silencio,https://www.palomitacas.com/pelicula/ficha/p776503,776503,7.0,7.0,16 de febrero - 2025,2025-02-16
Amigas para siempre,https://www.palomitacas.com/pelicula/ficha/p9263,9263,,,,
Ellas hablan,https://www.palomitacas.com/pelicula/ficha/p777245,777245,5.0,5.0,19 de enero - 2025,2025-01-19
The Brutalist,https://www.palomitacas.com/pelicula/ficha/p549509,549509,,,,
Anora,https://www.palomitacas.com/pelicula/ficha/p1064213,1064213,,,,
