title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Serendipity,https://www.palomitacas.com/pelicula/ficha/p9778,9778,6.0,6.0,04 de enero - 2026,2026-01-04
"U2:UV Live from Vegas, 2023/11/01",https://www.palomitacas.com/pelicula/ficha/p1267009,1267009,,,,
"U2:UV Live from Vegas, 2023/11/03",https://www.palomitacas.com/pelicula/ficha/p1393618,1393618,,,,
El patriota,https://www.palomitacas.com/pelicula/ficha/p2024,2024,6.5,6.5,30 de diciembre - 2025,2026-01-02
Rocky IV,https://www.palomitacas.com/pelicula/ficha/p1374,1374,5.0,5.0,29 de diciembre - 2025,2025-12-29
La hermana de nieve,https://www.palomitacas.com/pelicula/ficha/p1365044,1365044,5.5,5.5,28 de diciembre - 2025,2025-12-29
Viviendo sin límites,https://www.palomitacas.com/pelicula/ficha/p9430,9430,5.0,5.0,27 de diciembre - 2025,2025-12-28
El caballero verde,https://www.palomitacas.com/pelicula/ficha/p559907,559907,4.0,4.0,26 de diciembre - 2025,2025-12-26
Prometheus,https://www.palomitacas.com/pelicula/ficha/p70981,70981,7.0,7.0,26 de diciembre - 2025,2025-12-27
Alien: Covenant,https://www.palomitacas.com/pelicula/ficha/p126889,126889,,,,
El hombre de la cámara,https://www.palomitacas.com/pelicula/ficha/p26317,26317,7.5,7.5,22 de diciembre - 2025,2025-12-22
Downton Abbey: El gran final,https://www.palomitacas.com/pelicula/ficha/p1289936,1289936,7.0,7.0,19 de diciembre - 2025,2025-12-19
El curandero,https://www.palomitacas.com/pelicula/ficha/p1081676,1081676,7.0,7.0,19 de diciembre - 2025,2025-12-19
Traffic,https://www.palomitacas.com/pelicula/ficha/p1900,1900,7.0,7.0,17 de diciembre - 2025,2025-12-17
12 hombres sin piedad,https://www.palomitacas.com/pelicula/ficha/p389,389,8.0,8.0,13 de diciembre - 2025,2025-12-13
La vida de Emile Zola,https://www.palomitacas.com/pelicula/ficha/p43278,43278,7.0,7.0,07 de diciembre - 2025,2025-12-07
Robot salvaje,https://www.palomitacas.com/pelicula/ficha/p1184918,1184918,,999.0,03 de diciembre - 2025,2025-02-10
El 47,https://www.palomitacas.com/pelicula/ficha/p1174481,1174481,,,,
Aladdin,https://www.palomitacas.com/pelicula/ficha/p812,812,,,,
Origen,https://www.palomitacas.com/pelicula/ficha/p27205,27205,,,,
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,,,,
Zootrópolis 2,https://www.palomitacas.com/pelicula/ficha/p1084242,1084242,,,,
Avatar: Fuego y ceniza,https://www.palomitacas.com/pelicula/ficha/p83533,83533,,,,
Apolo 13,https://www.palomitacas.com/pelicula/ficha/p568,568,7.0,7.0,21 de noviembre - 2025,1996-11-21
Wicked Parte II,https://www.palomitacas.com/pelicula/ficha/p967941,967941,,,,
Predator: Badlands,https://www.palomitacas.com/pelicula/ficha/p1242898,1242898,,,,
