title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Ballerina,https://www.palomitacas.com/pelicula/ficha/p541671,541671,6.5,6.5,08 de septiembre - 2025,2025-09-08
Stargate: Puerta a las estrellas,https://www.palomitacas.com/pelicula/ficha/p2164,2164,8.0,8.0,10 de abril - 2025,2025-04-10
La infiltrada,https://www.palomitacas.com/pelicula/ficha/p1215185,1215185,8.0,8.0,21 de febrero - 2025,2025-02-21
De vuelta a la acción,https://www.palomitacas.com/pelicula/ficha/p993710,993710,6.0,6.0,01 de febrero - 2025,2025-02-01
The Karate Kid,https://www.palomitacas.com/pelicula/ficha/p38575,38575,6.5,6.5,04 de enero - 2025,2025-01-04
El emperador y sus locuras,https://www.palomitacas.com/pelicula/ficha/p11688,11688,7.0,7.0,04 de enero - 2025,2025-01-04
Culpa mía,https://www.palomitacas.com/pelicula/ficha/p1010581,1010581,6.0,6.0,04 de enero - 2025,2025-01-04
Red One,https://www.palomitacas.com/pelicula/ficha/p845781,845781,7.0,7.0,26 de diciembre - 2024,2024-12-26
Dune: Parte dos,https://www.palomitacas.com/pelicula/ficha/p693134,693134,8.5,8.5,23 de diciembre - 2024,2024-12-23
Argylle,https://www.palomitacas.com/pelicula/ficha/p848538,848538,6.0,6.0,20 de diciembre - 2024,2024-12-20
Gladiator II,https://www.palomitacas.com/pelicula/ficha/p558449,558449,8.0,8.0,18 de diciembre - 2024,2024-12-18
El sindicato,https://www.palomitacas.com/pelicula/ficha/p704239,704239,6.5,6.5,12 de septiembre - 2024,2024-09-12
Un asunto familiar,https://www.palomitacas.com/pelicula/ficha/p987686,987686,6.0,6.0,02 de julio - 2024,2024-07-02
Detonantes,https://www.palomitacas.com/pelicula/ficha/p704673,704673,5.5,5.5,25 de junio - 2024,2024-06-25
Road House (De profesión: duro),https://www.palomitacas.com/pelicula/ficha/p359410,359410,7.0,7.0,26 de abril - 2024,2024-04-26
Rebel Moon (Parte uno): La niña del fuego,https://www.palomitacas.com/pelicula/ficha/p848326,848326,6.0,6.0,24 de abril - 2024,2024-04-24
Rebel Moon (Parte dos): La guerrera que deja marcas,https://www.palomitacas.com/pelicula/ficha/p934632,934632,6.0,6.0,24 de abril - 2024,2024-04-24
Familia revuelta,https://www.palomitacas.com/pelicula/ficha/p798021,798021,6.0,6.0,08 de diciembre - 2023,2023-12-08
Blue Beetle,https://www.palomitacas.com/pelicula/ficha/p565770,565770,6.0,6.0,25 de noviembre - 2023,2023-11-25
Missing,https://www.palomitacas.com/pelicula/ficha/p768362,768362,8.0,8.0,14 de noviembre - 2023,2023-11-14
La noche de Halloween,https://www.palomitacas.com/pelicula/ficha/p424139,424139,6.0,6.0,01 de noviembre - 2023,2023-11-01
El exorcista del papa,https://www.palomitacas.com/pelicula/ficha/p758323,758323,7.0,7.0,28 de octubre - 2023,2023-10-28
Fast & Furious X,https://www.palomitacas.com/pelicula/ficha/p385687,385687,8.5,8.5,22 de octubre - 2023,2023-10-22
Megalodón 2: La fosa,https://www.palomitacas.com/pelicula/ficha/p615656,615656,7.5,7.5,13 de octubre - 2023,2023-10-13
El piloto,https://www.palomitacas.com/pelicula/ficha/p646389,646389,6.0,6.0,13 de octubre - 2023,2023-10-13
The Creator,https://www.palomitacas.com/pelicula/ficha/p670292,670292,9.0,9.0,02 de octubre - 2023,2023-10-02
Flash,https://www.palomitacas.com/pelicula/ficha/p298618,298618,6.0,6.0,07 de septiembre - 2023,2023-09-07
Indiana Jones y el dial del destino,https://www.palomitacas.com/pelicula/ficha/p335977,335977,8.0,8.0,11 de julio - 2023,2023-07-11
Operación Fortune: El gran engaño,https://www.palomitacas.com/pelicula/ficha/p739405,739405,7.0,7.0,22 de abril - 2023,2023-04-22
Criminales a la vista,https://www.palomitacas.com/pelicula/ficha/p638974,638974,5.5,5.5,17 de abril - 2023,2023-04-17
Una boda explosiva,https://www.palomitacas.com/pelicula/ficha/p758009,758009,6.0,6.0,18 de marzo - 2023,2023-03-18
"Argentina, 1985",https://www.palomitacas.com/pelicula/ficha/p714888,714888,8.0,8.0,02 de marzo - 2023,2023-03-02
Todo a la vez en todas partes,https://www.palomitacas.com/pelicula/ficha/p545611,545611,6.0,6.0,27 de febrero - 2023,2023-02-27
Black Panther: Wakanda Forever,https://www.palomitacas.com/pelicula/ficha/p505642,505642,9.0,9.0,05 de febrero - 2023,2023-02-05
Black Adam,https://www.palomitacas.com/pelicula/ficha/p436270,436270,6.5,6.5,20 de enero - 2023,2023-01-20
