title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Fargo,https://www.palomitacas.com/pelicula/ficha/p275,275,7.5,7.5,03 de enero - 2026,2026-01-03
La niebla,https://www.palomitacas.com/pelicula/ficha/p5876,5876,6.0,6.0,01 de enero - 2026,2026-01-01
La niebla,https://www.palomitacas.com/pelicula/ficha/p790,790,6.5,6.5,31 de diciembre - 2025,2025-12-31
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,7.5,7.5,28 de diciembre - 2025,2025-12-28
Predator: Badlands,https://www.palomitacas.com/pelicula/ficha/p1242898,1242898,,,,
Noche de miedo,https://www.palomitacas.com/pelicula/ficha/p11797,11797,7.5,7.5,07 de diciembre - 2025,2025-12-07
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,,,,
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,7.5,7.5,20 de noviembre - 2025,2025-11-20
El dilema,https://www.palomitacas.com/pelicula/ficha/p9008,9008,6.5,6.5,08 de noviembre - 2025,2025-11-08
El cliente,https://www.palomitacas.com/pelicula/ficha/p10731,10731,7.5,7.5,01 de noviembre - 2025,2025-11-01
Cónclave,https://www.palomitacas.com/pelicula/ficha/p974576,974576,7.5,7.5,13 de octubre - 2025,2025-10-13
Karate Kid: Legends,https://www.palomitacas.com/pelicula/ficha/p1011477,1011477,6.0,6.0,11 de octubre - 2025,2025-10-11
F1 la película,https://www.palomitacas.com/pelicula/ficha/p911430,911430,,,,
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,6.5,6.5,10 de octubre - 2025,2025-10-10
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,6.5,6.5,03 de octubre - 2025,2025-10-10
Nadie 2,https://www.palomitacas.com/pelicula/ficha/p1007734,1007734,,,,
Las 36 cámaras de Shaolin,https://www.palomitacas.com/pelicula/ficha/p11841,11841,7.5,7.5,26 de septiembre - 2025,2025-09-26
A Working Man,https://www.palomitacas.com/pelicula/ficha/p1197306,1197306,6.5,6.5,08 de junio - 2025,2025-06-08
"Titanes, hicieron historia",https://www.palomitacas.com/pelicula/ficha/p10637,10637,7.5,7.5,11 de marzo - 2025,2025-03-11
El fuego de la venganza,https://www.palomitacas.com/pelicula/ficha/p9509,9509,7.0,7.0,07 de marzo - 2025,2025-03-07
Tyler Rake 2,https://www.palomitacas.com/pelicula/ficha/p697843,697843,6.0,6.0,03 de marzo - 2025,2025-03-03
Sisu,https://www.palomitacas.com/pelicula/ficha/p840326,840326,6.5,6.5,02 de marzo - 2025,2025-03-02
Train to Busan,https://www.palomitacas.com/pelicula/ficha/p396535,396535,7.0,7.0,02 de marzo - 2025,2025-03-02
