title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Greenland: El último refugio,https://www.palomitacas.com/pelicula/ficha/p524047,524047,,,,
Transformers: El despertar de las bestias,https://www.palomitacas.com/pelicula/ficha/p667538,667538,,,,
El contable 2,https://www.palomitacas.com/pelicula/ficha/p870028,870028,6.0,6.0,21 de septiembre - 2025,2025-09-21
Ice Road: Venganza,https://www.palomitacas.com/pelicula/ficha/p1119878,1119878,5.5,5.5,14 de septiembre - 2025,2025-09-14
Arcadian,https://www.palomitacas.com/pelicula/ficha/p1051896,1051896,4.5,4.5,03 de septiembre - 2025,2025-09-03
The Lovely Bones,https://www.palomitacas.com/pelicula/ficha/p7980,7980,6.5,6.5,23 de agosto - 2025,2025-08-23
Alice (Subservience),https://www.palomitacas.com/pelicula/ficha/p1064028,1064028,,,,
Proyecto Gemini,https://www.palomitacas.com/pelicula/ficha/p575322,575322,5.0,5.0,21 de agosto - 2025,2025-08-22
Mickey 17,https://www.palomitacas.com/pelicula/ficha/p696506,696506,8.0,8.0,20 de agosto - 2025,2025-08-20
Furiosa: De la saga Mad Max,https://www.palomitacas.com/pelicula/ficha/p786892,786892,,,,
El reino del planeta de los simios,https://www.palomitacas.com/pelicula/ficha/p653346,653346,,,,
Spider-Man: un nuevo universo,https://www.palomitacas.com/pelicula/ficha/p324857,324857,,,,
Dune: Parte dos,https://www.palomitacas.com/pelicula/ficha/p693134,693134,7.0,7.0,17 de agosto - 2025,2025-09-11
Spider-Man: Cruzando el Multiverso,https://www.palomitacas.com/pelicula/ficha/p569094,569094,,,,
Spider-Man: Homecoming,https://www.palomitacas.com/pelicula/ficha/p315635,315635,,,,
La acompañante,https://www.palomitacas.com/pelicula/ficha/p1084199,1084199,,,,
Uncharted,https://www.palomitacas.com/pelicula/ficha/p335787,335787,7.0,7.0,15 de agosto - 2025,2025-08-15
Los Juegos del Hambre: Balada de pájaros cantores y serpientes,https://www.palomitacas.com/pelicula/ficha/p695721,695721,7.5,7.5,14 de agosto - 2025,2025-08-14
Gaga Chromatica Ball,https://www.palomitacas.com/pelicula/ficha/p1063549,1063549,9.0,9.0,03 de julio - 2025,2025-07-03
El 47,https://www.palomitacas.com/pelicula/ficha/p1174481,1174481,,,,
Blood de Brad Anderson,https://www.palomitacas.com/pelicula/ficha/p746524,746524,6.0,6.0,08 de junio - 2025,2025-06-08
Beekeeper: El protector,https://www.palomitacas.com/pelicula/ficha/p866398,866398,7.0,7.0,11 de mayo - 2025,2025-05-11
Hypnotic,https://www.palomitacas.com/pelicula/ficha/p536437,536437,5.5,5.5,26 de abril - 2025,2025-04-26
El cobrador,https://www.palomitacas.com/pelicula/ficha/p852981,852981,5.0,5.0,26 de enero - 2025,2025-01-26
Ad Vitam,https://www.palomitacas.com/pelicula/ficha/p1261501,1261501,,,,
La mujer del momento,https://www.palomitacas.com/pelicula/ficha/p835113,835113,5.5,5.5,23 de enero - 2025,2025-08-21
El peor vecino del mundo,https://www.palomitacas.com/pelicula/ficha/p937278,937278,,,,
Aprender a soltar,https://www.palomitacas.com/pelicula/ficha/p1214484,1214484,6.0,6.0,08 de noviembre - 2024,2024-11-17
Aquaman y el reino perdido,https://www.palomitacas.com/pelicula/ficha/p572802,572802,4.5,4.5,29 de septiembre - 2024,2024-09-29
Los vigilantes,https://www.palomitacas.com/pelicula/ficha/p1086747,1086747,6.5,6.5,09 de septiembre - 2024,2024-09-09
El abismo de Kiruna,https://www.palomitacas.com/pelicula/ficha/p1053544,1053544,7.0,7.0,01 de abril - 2024,2024-04-01
The Silencing,https://www.palomitacas.com/pelicula/ficha/p603119,603119,7.0,7.0,25 de febrero - 2024,2024-02-25
Cazadores en tierra inhóspita,https://www.palomitacas.com/pelicula/ficha/p933131,933131,6.0,6.0,17 de febrero - 2024,2024-02-17
Lift: Un robo de primera clase,https://www.palomitacas.com/pelicula/ficha/p955916,955916,7.0,7.0,17 de febrero - 2024,2024-02-17
Polizón,https://www.palomitacas.com/pelicula/ficha/p559581,559581,6.0,6.0,27 de enero - 2024,2024-01-27
Mi soledad tiene alas,https://www.palomitacas.com/pelicula/ficha/p1119355,1119355,5.0,5.0,21 de enero - 2024,2024-01-21
Palmer,https://www.palomitacas.com/pelicula/ficha/p458220,458220,7.0,7.0,14 de enero - 2024,2024-01-14
Madre/Androide,https://www.palomitacas.com/pelicula/ficha/p739413,739413,5.0,5.0,04 de enero - 2024,2024-01-04
The Worthy,https://www.palomitacas.com/pelicula/ficha/p413780,413780,,,,
Código Emperador,https://www.palomitacas.com/pelicula/ficha/p769636,769636,7.0,7.0,02 de enero - 2024,2024-01-02
Chappie,https://www.palomitacas.com/pelicula/ficha/p198184,198184,6.0,6.0,01 de enero - 2024,2024-01-01
Paradise,https://www.palomitacas.com/pelicula/ficha/p1140066,1140066,7.5,7.5,31 de diciembre - 2023,2023-12-31
Dejar el mundo atrás,https://www.palomitacas.com/pelicula/ficha/p726209,726209,,,,
La Torre,https://www.palomitacas.com/pelicula/ficha/p154030,154030,,,,
MR 73,https://www.palomitacas.com/pelicula/ficha/p14765,14765,,,,
22 balas,https://www.palomitacas.com/pelicula/ficha/p37645,37645,,,,
Nowhere,https://www.palomitacas.com/pelicula/ficha/p1151534,1151534,7.0,7.0,24 de diciembre - 2023,2023-12-24
El asesino,https://www.palomitacas.com/pelicula/ficha/p800158,800158,6.0,6.0,26 de noviembre - 2023,2023-11-26
El entresuelo,https://www.palomitacas.com/pelicula/ficha/p879538,879538,4.5,4.5,20 de noviembre - 2023,2023-11-20
Ladronas,https://www.palomitacas.com/pelicula/ficha/p1010928,1010928,3.5,3.5,12 de noviembre - 2023,2023-11-12
La Llorona,https://www.palomitacas.com/pelicula/ficha/p480414,480414,6.0,6.0,12 de noviembre - 2023,2023-11-12
Reptiles,https://www.palomitacas.com/pelicula/ficha/p866463,866463,7.0,7.0,12 de noviembre - 2023,2023-11-12
