title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Expediente Warren: El último rito,https://www.palomitacas.com/pelicula/ficha/p1038392,1038392,5.5,5.5,26 de diciembre - 2025,2025-12-26
Misión: Imposible - Sentencia final,https://www.palomitacas.com/pelicula/ficha/p575265,575265,7.5,7.5,25 de diciembre - 2025,2025-12-25
Black Phone 2,https://www.palomitacas.com/pelicula/ficha/p1197137,1197137,6.0,6.0,25 de diciembre - 2025,2025-12-25
The Running Man,https://www.palomitacas.com/pelicula/ficha/p798645,798645,7.0,7.0,21 de diciembre - 2025,2025-12-21
La larga marcha,https://www.palomitacas.com/pelicula/ficha/p604079,604079,6.5,6.5,23 de noviembre - 2025,2025-11-23
어쩔수가없다,https://www.palomitacas.com/pelicula/ficha/p639988,639988,7.5,7.5,23 de noviembre - 2025,2025-11-23
Fuerza bruta,https://www.palomitacas.com/pelicula/ficha/p619803,619803,6.5,6.5,22 de noviembre - 2025,2025-11-22
Ciudad sin ley,https://www.palomitacas.com/pelicula/ficha/p479718,479718,7.0,7.0,16 de noviembre - 2025,2025-11-16
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,9.0,9.0,09 de noviembre - 2025,2025-11-08
V/H/S/HALLOWEEN,https://www.palomitacas.com/pelicula/ficha/p1373445,1373445,7.0,7.0,02 de noviembre - 2025,2025-11-02
La profecía,https://www.palomitacas.com/pelicula/ficha/p794,794,6.5,6.5,26 de octubre - 2025,2025-10-25
キャラクター,https://www.palomitacas.com/pelicula/ficha/p808667,808667,6.5,6.5,09 de octubre - 2025,2025-11-16
The Terror Live,https://www.palomitacas.com/pelicula/ficha/p209764,209764,6.5,6.5,05 de octubre - 2025,2025-10-05
A Hard Day,https://www.palomitacas.com/pelicula/ficha/p269494,269494,6.0,6.0,05 de octubre - 2025,2025-10-05
Sleep,https://www.palomitacas.com/pelicula/ficha/p964592,964592,7.5,7.5,05 de octubre - 2025,2025-10-05
Las ruinas,https://www.palomitacas.com/pelicula/ficha/p11152,11152,5.5,5.5,28 de septiembre - 2025,2025-09-28
Shutter: El fotógrafo,https://www.palomitacas.com/pelicula/ficha/p17111,17111,7.5,7.5,27 de septiembre - 2025,2025-09-27
Seúl 12.12,https://www.palomitacas.com/pelicula/ficha/p919207,919207,7.0,7.0,21 de septiembre - 2025,2025-09-21
1987: When the Day Comes,https://www.palomitacas.com/pelicula/ficha/p437103,437103,7.0,7.0,21 de septiembre - 2025,2025-09-21
