title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,7.0,7.0,31 de diciembre - 2025,2025-12-31
Maldita suerte,https://www.palomitacas.com/pelicula/ficha/p1272166,1272166,6.0,6.0,30 de diciembre - 2025,2025-12-30
The Monkey,https://www.palomitacas.com/pelicula/ficha/p1124620,1124620,6.0,6.0,30 de diciembre - 2025,2025-12-30
El método Knox,https://www.palomitacas.com/pelicula/ficha/p972614,972614,6.5,6.5,30 de diciembre - 2025,2025-12-30
Las guerreras k-pop,https://www.palomitacas.com/pelicula/ficha/p803796,803796,7.0,7.0,30 de diciembre - 2025,2025-12-30
"Apunta, dispara y corre",https://www.palomitacas.com/pelicula/ficha/p15698,15698,7.0,7.0,30 de diciembre - 2025,2025-12-30
The Running Man,https://www.palomitacas.com/pelicula/ficha/p798645,798645,7.0,7.0,25 de diciembre - 2025,2025-12-25
Bugonia,https://www.palomitacas.com/pelicula/ficha/p701387,701387,7.5,7.5,23 de diciembre - 2025,2025-12-23
Sueños de trenes,https://www.palomitacas.com/pelicula/ficha/p1241983,1241983,6.5,6.5,23 de diciembre - 2025,2025-12-23
La muerte del unicornio,https://www.palomitacas.com/pelicula/ficha/p1153714,1153714,6.0,6.0,23 de diciembre - 2025,2025-12-23
Chainsaw Man - La película: El arco de Reze,https://www.palomitacas.com/pelicula/ficha/p1218925,1218925,6.5,6.5,19 de diciembre - 2025,2025-12-19
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,6.5,6.5,19 de diciembre - 2025,2025-12-19
Los tipos malos 2,https://www.palomitacas.com/pelicula/ficha/p1175942,1175942,6.0,6.0,19 de diciembre - 2025,2025-12-19
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,6.5,6.5,12 de diciembre - 2025,2025-12-12
Héroes,https://www.palomitacas.com/pelicula/ficha/p83481,83481,6.0,6.0,01 de diciembre - 2025,2025-12-01
El segundo nombre,https://www.palomitacas.com/pelicula/ficha/p59851,59851,6.0,6.0,11 de noviembre - 2025,2025-11-11
TRON: Ares,https://www.palomitacas.com/pelicula/ficha/p533533,533533,6.5,6.5,11 de noviembre - 2025,2025-11-11
La próxima piel,https://www.palomitacas.com/pelicula/ficha/p348555,348555,6.0,6.0,08 de noviembre - 2025,2025-11-08
La vecina perfecta,https://www.palomitacas.com/pelicula/ficha/p1400782,1400782,6.5,6.5,02 de noviembre - 2025,2025-11-02
Mystery Men (Hombres misteriosos),https://www.palomitacas.com/pelicula/ficha/p9824,9824,6.5,6.5,01 de noviembre - 2025,2025-11-01
Enemigos,https://www.palomitacas.com/pelicula/ficha/p1285406,1285406,6.5,6.5,26 de octubre - 2025,2025-10-26
Monster Summer,https://www.palomitacas.com/pelicula/ficha/p928480,928480,6.5,6.5,25 de octubre - 2025,2025-10-25
La larga marcha,https://www.palomitacas.com/pelicula/ficha/p604079,604079,7.0,7.0,23 de octubre - 2025,2025-10-23
Wicker Man,https://www.palomitacas.com/pelicula/ficha/p9708,9708,6.0,6.0,21 de octubre - 2025,2025-10-21
Bala perdida,https://www.palomitacas.com/pelicula/ficha/p1245993,1245993,7.0,7.0,21 de octubre - 2025,2025-10-21
Oddity,https://www.palomitacas.com/pelicula/ficha/p1216191,1216191,6.0,6.0,21 de octubre - 2025,2025-10-21
El asesino con ojos de corazón,https://www.palomitacas.com/pelicula/ficha/p1302916,1302916,6.5,6.5,21 de octubre - 2025,2025-10-21
Tierras perdidas,https://www.palomitacas.com/pelicula/ficha/p324544,324544,5.5,5.5,12 de octubre - 2025,2025-10-12
Escape Room: La película,https://www.palomitacas.com/pelicula/ficha/p855433,855433,6.0,6.0,11 de octubre - 2025,2025-10-11
Mundo extraño,https://www.palomitacas.com/pelicula/ficha/p877269,877269,6.5,6.5,10 de octubre - 2025,2025-10-10
Juego sucio,https://www.palomitacas.com/pelicula/ficha/p941109,941109,5.0,5.0,05 de octubre - 2025,2025-10-05
Lady Dragon,https://www.palomitacas.com/pelicula/ficha/p80343,80343,5.0,5.0,03 de octubre - 2025,2025-10-03
El alimento de los dioses,https://www.palomitacas.com/pelicula/ficha/p42245,42245,5.5,5.5,03 de octubre - 2025,2025-10-03
28 años después,https://www.palomitacas.com/pelicula/ficha/p1100988,1100988,6.5,6.5,02 de octubre - 2025,2025-10-02
Agárralo como puedas,https://www.palomitacas.com/pelicula/ficha/p1035259,1035259,3.0,3.0,30 de septiembre - 2025,2025-09-30
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,6.0,6.0,30 de septiembre - 2025,2025-09-30
Misión: Imposible - Sentencia final,https://www.palomitacas.com/pelicula/ficha/p575265,575265,7.0,7.0,22 de septiembre - 2025,2025-09-22
Nadie 2,https://www.palomitacas.com/pelicula/ficha/p1007734,1007734,6.5,6.5,16 de septiembre - 2025,2025-09-16
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,7.5,7.5,16 de septiembre - 2025,2025-09-16
Encuentros paranormales,https://www.palomitacas.com/pelicula/ficha/p50698,50698,6.5,6.5,15 de septiembre - 2025,2025-09-15
Votemos,https://www.palomitacas.com/pelicula/ficha/p1380651,1380651,6.0,6.0,10 de septiembre - 2025,2025-09-10
Ballerina,https://www.palomitacas.com/pelicula/ficha/p541671,541671,6.0,6.0,07 de septiembre - 2025,2025-09-07
Fama,https://www.palomitacas.com/pelicula/ficha/p3537,3537,6.5,6.5,04 de septiembre - 2025,2025-09-04
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,7.0,7.0,04 de septiembre - 2025,2025-09-04
Red Sonja,https://www.palomitacas.com/pelicula/ficha/p13494,13494,5.5,5.5,04 de septiembre - 2025,2025-09-04
Los aitas,https://www.palomitacas.com/pelicula/ficha/p1187315,1187315,5.5,5.5,25 de agosto - 2025,2025-08-25
Un funeral de locos,https://www.palomitacas.com/pelicula/ficha/p1358013,1358013,5.5,5.5,25 de agosto - 2025,2025-08-25
Venganza implacable,https://www.palomitacas.com/pelicula/ficha/p1382406,1382406,6.0,6.0,25 de agosto - 2025,2025-08-25
"Por favor, no destruyas: el tesoro de Foggy Mountain",https://www.palomitacas.com/pelicula/ficha/p1002315,1002315,6.5,6.5,18 de agosto - 2025,2025-08-18
M3GAN 2.0,https://www.palomitacas.com/pelicula/ficha/p1071585,1071585,6.0,6.0,17 de agosto - 2025,2025-08-18
M3GAN,https://www.palomitacas.com/pelicula/ficha/p536554,536554,6.5,6.5,16 de agosto - 2025,2025-08-16
Candyman,https://www.palomitacas.com/pelicula/ficha/p565028,565028,6.5,6.5,13 de agosto - 2025,2025-08-13
Devuélvemela,https://www.palomitacas.com/pelicula/ficha/p1151031,1151031,7.0,7.0,10 de agosto - 2025,2025-08-10
Watchmen: Capítulo 2,https://www.palomitacas.com/pelicula/ficha/p1299652,1299652,7.0,7.0,08 de agosto - 2025,2025-08-08
Guía del autoestopista galáctico,https://www.palomitacas.com/pelicula/ficha/p7453,7453,5.0,5.0,29 de julio - 2025,2025-07-29
Lilo y Stitch,https://www.palomitacas.com/pelicula/ficha/p552524,552524,6.0,6.0,26 de julio - 2025,2025-07-26
Cómo entrenar a tu dragón,https://www.palomitacas.com/pelicula/ficha/p1087192,1087192,7.0,7.0,26 de julio - 2025,2025-07-26
Fuego en el cielo,https://www.palomitacas.com/pelicula/ficha/p15613,15613,6.5,6.5,21 de julio - 2025,2025-07-21
Fight or flight (sicarios en el aire),https://www.palomitacas.com/pelicula/ficha/p1212855,1212855,6.5,6.5,20 de julio - 2025,2025-07-20
Karate Kid: Legends,https://www.palomitacas.com/pelicula/ficha/p1011477,1011477,6.5,6.5,11 de julio - 2025,2025-07-11
Destino final: Lazos de sangre,https://www.palomitacas.com/pelicula/ficha/p574475,574475,6.0,6.0,08 de julio - 2025,2025-07-08
Historia de Ricky,https://www.palomitacas.com/pelicula/ficha/p17467,17467,7.0,7.0,07 de julio - 2025,2025-07-07
Thunderbolts*,https://www.palomitacas.com/pelicula/ficha/p986056,986056,6.0,6.0,04 de julio - 2025,2025-09-04
A Working Man,https://www.palomitacas.com/pelicula/ficha/p1197306,1197306,6.0,6.0,03 de julio - 2025,2025-07-03
Jin-Roh: La brigada del lobo,https://www.palomitacas.com/pelicula/ficha/p823,823,7.5,7.5,02 de julio - 2025,2025-07-02
Wolfgang (Extraordinario),https://www.palomitacas.com/pelicula/ficha/p1306284,1306284,7.0,7.0,27 de junio - 2025,2025-06-27
Planet Hulk,https://www.palomitacas.com/pelicula/ficha/p30675,30675,6.5,6.5,23 de junio - 2025,2025-06-23
Nirvana - Unplugged in New York,https://www.palomitacas.com/pelicula/ficha/p18942,18942,,,,
Revenge,https://www.palomitacas.com/pelicula/ficha/p467938,467938,6.0,6.0,21 de junio - 2025,2025-06-21
Apartamento 7A,https://www.palomitacas.com/pelicula/ficha/p807339,807339,6.5,6.5,19 de junio - 2025,2025-06-19
Bodegón con fantasmas,https://www.palomitacas.com/pelicula/ficha/p1352706,1352706,6.5,6.5,19 de junio - 2025,2025-06-19
El contable 2,https://www.palomitacas.com/pelicula/ficha/p870028,870028,6.0,6.0,16 de junio - 2025,2025-06-16
Los pecadores,https://www.palomitacas.com/pelicula/ficha/p1233413,1233413,7.0,7.0,16 de junio - 2025,2025-06-16
Escape,https://www.palomitacas.com/pelicula/ficha/p1078744,1078744,6.0,6.0,13 de junio - 2025,2025-06-13
Roujin Z,https://www.palomitacas.com/pelicula/ficha/p35648,35648,7.0,7.0,12 de junio - 2025,2025-06-12
Los Inmortales. En busca de la venganza,https://www.palomitacas.com/pelicula/ficha/p13194,13194,,,,
DC Showcase Original Shorts Collection,https://www.palomitacas.com/pelicula/ficha/p640810,640810,7.0,7.0,09 de junio - 2025,2025-06-09
Predator: Asesino de asesinos,https://www.palomitacas.com/pelicula/ficha/p1376434,1376434,7.0,7.0,08 de junio - 2025,2025-06-08
Braindead: tu madre se ha comido a mi perro,https://www.palomitacas.com/pelicula/ficha/p763,763,6.0,6.0,07 de junio - 2025,2025-06-07
La calle del terror: La reina del baile,https://www.palomitacas.com/pelicula/ficha/p1001414,1001414,5.5,5.5,30 de mayo - 2025,2025-05-30
