title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Solo en casa,https://www.palomitacas.com/pelicula/ficha/p771,771,7.0,7.0,28 de diciembre - 2025,2025-12-28
Troya,https://www.palomitacas.com/pelicula/ficha/p652,652,8.0,8.0,25 de diciembre - 2025,2025-12-25
Maverick,https://www.palomitacas.com/pelicula/ficha/p9359,9359,6.0,6.0,25 de diciembre - 2025,2025-12-25
Gladiator,https://www.palomitacas.com/pelicula/ficha/p98,98,8.0,8.0,25 de diciembre - 2025,2025-12-25
Men in Black,https://www.palomitacas.com/pelicula/ficha/p607,607,7.0,7.0,25 de diciembre - 2025,2025-12-25
El patriota,https://www.palomitacas.com/pelicula/ficha/p2024,2024,7.0,7.0,25 de diciembre - 2025,2025-12-25
Sisu: Camino a la venganza,https://www.palomitacas.com/pelicula/ficha/p1223601,1223601,7.0,7.0,20 de diciembre - 2025,2025-12-20
Primitive War,https://www.palomitacas.com/pelicula/ficha/p1257009,1257009,6.0,6.0,30 de noviembre - 2025,2025-11-30
La niebla,https://www.palomitacas.com/pelicula/ficha/p790,790,7.0,7.0,01 de noviembre - 2025,2025-11-01
El fin del mundo en 35mm,https://www.palomitacas.com/pelicula/ficha/p327389,327389,7.0,7.0,01 de noviembre - 2025,2025-11-01
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,7.0,7.0,29 de octubre - 2025,2025-10-29
Aterriza como puedas,https://www.palomitacas.com/pelicula/ficha/p813,813,7.5,7.5,22 de octubre - 2025,2025-10-22
Nadie 2,https://www.palomitacas.com/pelicula/ficha/p1007734,1007734,6.0,6.0,22 de octubre - 2025,2025-10-22
Las guerreras k-pop,https://www.palomitacas.com/pelicula/ficha/p803796,803796,5.0,5.0,12 de octubre - 2025,2025-10-12
Agárralo como puedas,https://www.palomitacas.com/pelicula/ficha/p1035259,1035259,6.5,6.5,20 de septiembre - 2025,2025-09-20
Hombres de hierro,https://www.palomitacas.com/pelicula/ficha/p67530,67530,6.0,6.0,14 de septiembre - 2025,2025-09-14
Dos mulas y una mujer,https://www.palomitacas.com/pelicula/ficha/p11916,11916,8.0,8.0,14 de septiembre - 2025,2025-09-14
La caza del Octubre Rojo,https://www.palomitacas.com/pelicula/ficha/p1669,1669,7.0,7.0,08 de septiembre - 2025,2025-09-08
Dragonheart (Corazón de dragón),https://www.palomitacas.com/pelicula/ficha/p8840,8840,5.0,5.0,08 de septiembre - 2025,2025-09-08
Jurassic World: El renacer,https://www.palomitacas.com/pelicula/ficha/p1234821,1234821,5.0,5.0,17 de agosto - 2025,2025-08-17
La gran aventura de Pee-Wee,https://www.palomitacas.com/pelicula/ficha/p5683,5683,6.0,6.0,11 de agosto - 2025,2025-08-11
La roca,https://www.palomitacas.com/pelicula/ficha/p9802,9802,7.0,7.0,11 de agosto - 2025,2025-08-11
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,7.0,7.0,11 de agosto - 2025,2025-08-11
Mars Attacks!,https://www.palomitacas.com/pelicula/ficha/p75,75,6.0,6.0,29 de julio - 2025,2025-07-29
Invasión a la Tierra,https://www.palomitacas.com/pelicula/ficha/p44943,44943,5.0,5.0,29 de julio - 2025,2025-07-29
Super 8,https://www.palomitacas.com/pelicula/ficha/p37686,37686,6.0,6.0,29 de julio - 2025,2025-07-29
Sucker Punch,https://www.palomitacas.com/pelicula/ficha/p23629,23629,7.0,7.0,29 de julio - 2025,2025-07-20
