title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
La bestia,https://www.palomitacas.com/pelicula/ficha/p914206,914206,2.0,2.0,25 de diciembre - 2025,2025-12-25
La sociedad americana de negros mágicos,https://www.palomitacas.com/pelicula/ficha/p1039773,1039773,6.0,6.0,22 de diciembre - 2025,2025-12-22
Keeper,https://www.palomitacas.com/pelicula/ficha/p1288072,1288072,,,,
Bugonia,https://www.palomitacas.com/pelicula/ficha/p701387,701387,,,,
Hysteria,https://www.palomitacas.com/pelicula/ficha/p75802,75802,7.0,7.0,15 de diciembre - 2025,2025-12-15
Avatar: Fuego y ceniza,https://www.palomitacas.com/pelicula/ficha/p83533,83533,,,,
Puñales por la espalda 3,https://www.palomitacas.com/pelicula/ficha/p812583,812583,8.0,8.0,02 de diciembre - 2025,2025-12-20
La vida de Chuck,https://www.palomitacas.com/pelicula/ficha/p842924,842924,,,,
Siete novias para siete hermanos,https://www.palomitacas.com/pelicula/ficha/p16563,16563,7.0,7.0,14 de noviembre - 2025,2025-11-14
Con la muerte en los talones,https://www.palomitacas.com/pelicula/ficha/p213,213,9.0,9.0,09 de noviembre - 2025,2025-11-09
Charada,https://www.palomitacas.com/pelicula/ficha/p4808,4808,9.0,9.0,09 de noviembre - 2025,2025-11-09
Arsénico por compasión,https://www.palomitacas.com/pelicula/ficha/p212,212,9.0,9.0,09 de noviembre - 2025,2025-11-09
La novia cadáver,https://www.palomitacas.com/pelicula/ficha/p3933,3933,8.0,8.0,09 de noviembre - 2025,2025-11-09
Wicked Parte II,https://www.palomitacas.com/pelicula/ficha/p967941,967941,,,,
JUJUTSU KAISEN: Ejecución,https://www.palomitacas.com/pelicula/ficha/p1539104,1539104,,,,
Predator: Badlands,https://www.palomitacas.com/pelicula/ficha/p1242898,1242898,,,,
Una chica vuelve a casa sola de noche,https://www.palomitacas.com/pelicula/ficha/p252171,252171,,,,
La larga marcha,https://www.palomitacas.com/pelicula/ficha/p604079,604079,,,,
Killing Faith,https://www.palomitacas.com/pelicula/ficha/p1200320,1200320,,,,
El elixir de la inmortalidad,https://www.palomitacas.com/pelicula/ficha/p1306525,1306525,4.0,4.0,29 de octubre - 2025,2025-12-26
Maldita suerte,https://www.palomitacas.com/pelicula/ficha/p1272166,1272166,,,,
Una casa llena de dinamita,https://www.palomitacas.com/pelicula/ficha/p1290159,1290159,7.0,7.0,29 de octubre - 2025,2025-10-30
Rebel Ridge,https://www.palomitacas.com/pelicula/ficha/p646097,646097,,,,
Un mundo normal,https://www.palomitacas.com/pelicula/ficha/p679891,679891,6.0,6.0,20 de octubre - 2025,2025-10-20
Sirāt,https://www.palomitacas.com/pelicula/ficha/p1151272,1151272,,,,
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,7.0,7.0,10 de octubre - 2025,2025-11-15
Black Phone 2,https://www.palomitacas.com/pelicula/ficha/p1197137,1197137,,,,
La chica de la aguja,https://www.palomitacas.com/pelicula/ficha/p1232827,1232827,8.0,8.0,30 de septiembre - 2025,2025-10-05
Dos hombres y un destino,https://www.palomitacas.com/pelicula/ficha/p642,642,10.0,10.0,22 de septiembre - 2025,2025-09-22
El cautivo,https://www.palomitacas.com/pelicula/ficha/p1238188,1238188,,,,
On Falling,https://www.palomitacas.com/pelicula/ficha/p1225624,1225624,,,,
Guardianes de la noche: Kimetsu no Yaiba - Rumbo al Entrenamiento de los Pilares,https://www.palomitacas.com/pelicula/ficha/p1216221,1216221,,,,
Matrix Revolutions,https://www.palomitacas.com/pelicula/ficha/p605,605,2.0,2.0,07 de septiembre - 2025,2025-09-07
Matrix Reloaded,https://www.palomitacas.com/pelicula/ficha/p604,604,3.0,3.0,07 de septiembre - 2025,2025-09-07
El regreso de Ulises,https://www.palomitacas.com/pelicula/ficha/p975511,975511,,,,
Guardianes de la noche: Kimetsu no Yaiba La fortaleza infinita,https://www.palomitacas.com/pelicula/ficha/p1311031,1311031,,,,
Expediente Warren: El último rito,https://www.palomitacas.com/pelicula/ficha/p1038392,1038392,7.0,7.0,03 de septiembre - 2025,2025-11-23
30 años de oscuridad,https://www.palomitacas.com/pelicula/ficha/p119609,119609,,,,
Jujutsu Kaisen 0,https://www.palomitacas.com/pelicula/ficha/p810693,810693,7.0,7.0,17 de agosto - 2025,2025-08-17
Dallas Buyers Club,https://www.palomitacas.com/pelicula/ficha/p152532,152532,9.0,9.0,08 de agosto - 2025,2025-08-08
Anatema,https://www.palomitacas.com/pelicula/ficha/p1104390,1104390,3.0,3.0,06 de agosto - 2025,2025-08-06
The Toxic Avenger,https://www.palomitacas.com/pelicula/ficha/p338969,338969,,,,
Los colores del mal: Rojo,https://www.palomitacas.com/pelicula/ficha/p1115395,1115395,8.0,8.0,31 de julio - 2025,2025-07-31
The Mandalorian and Grogu,https://www.palomitacas.com/pelicula/ficha/p1228710,1228710,,,,
Vengadores: Secret Wars,https://www.palomitacas.com/pelicula/ficha/p1003598,1003598,,,,
Vengadores: Doomsday,https://www.palomitacas.com/pelicula/ficha/p1003596,1003596,,,,
Dracula,https://www.palomitacas.com/pelicula/ficha/p1246049,1246049,,,,
Red Sonja,https://www.palomitacas.com/pelicula/ficha/p13494,13494,,,,
Háblame,https://www.palomitacas.com/pelicula/ficha/p1008042,1008042,9.0,9.0,28 de julio - 2025,2025-07-30
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,8.0,8.0,28 de julio - 2025,2025-10-31
