title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Shrek,https://www.palomitacas.com/pelicula/ficha/p808,808,8.0,8.0,04 de enero - 2026,2026-01-04
Lilo y Stitch,https://www.palomitacas.com/pelicula/ficha/p552524,552524,8.0,8.0,03 de enero - 2026,2026-01-03
Invasión extraterrestre,https://www.palomitacas.com/pelicula/ficha/p3107,3107,6.0,6.0,03 de enero - 2026,2026-01-03
El lobo de Snow Hollow,https://www.palomitacas.com/pelicula/ficha/p652004,652004,5.0,5.0,02 de enero - 2026,2026-01-02
Good Boy,https://www.palomitacas.com/pelicula/ficha/p1422096,1422096,5.0,5.0,02 de enero - 2026,2026-01-02
El vigilante nocturno. Demonios heredados,https://www.palomitacas.com/pelicula/ficha/p1029880,1029880,6.0,6.0,02 de enero - 2026,2026-01-02
Vicios diabólicos,https://www.palomitacas.com/pelicula/ficha/p27274,27274,5.0,5.0,01 de enero - 2026,2026-01-01
Vengadores: Infinity War,https://www.palomitacas.com/pelicula/ficha/p299536,299536,8.0,8.0,01 de enero - 2026,2026-01-01
Plumas de caballo,https://www.palomitacas.com/pelicula/ficha/p13912,13912,6.0,6.0,30 de diciembre - 2025,2025-12-30
Wishmaster,https://www.palomitacas.com/pelicula/ficha/p10351,10351,5.0,5.0,30 de diciembre - 2025,2025-12-30
Juego prohibido (The Forbidden Play),https://www.palomitacas.com/pelicula/ficha/p1145291,1145291,6.0,6.0,30 de diciembre - 2025,2025-12-30
Estragos,https://www.palomitacas.com/pelicula/ficha/p668489,668489,6.0,6.0,30 de diciembre - 2025,2025-12-30
La muerte del unicornio,https://www.palomitacas.com/pelicula/ficha/p1153714,1153714,7.0,7.0,29 de diciembre - 2025,2025-12-29
La Maldición de David,https://www.palomitacas.com/pelicula/ficha/p609768,609768,6.0,6.0,29 de diciembre - 2025,2025-12-29
Ant-Man y la Avispa,https://www.palomitacas.com/pelicula/ficha/p363088,363088,8.0,8.0,29 de diciembre - 2025,2025-12-29
El casoplón,https://www.palomitacas.com/pelicula/ficha/p1336928,1336928,6.0,6.0,28 de diciembre - 2025,2025-12-28
Holland,https://www.palomitacas.com/pelicula/ficha/p257094,257094,5.0,5.0,28 de diciembre - 2025,2025-12-28
La Navidad en sus manos 2,https://www.palomitacas.com/pelicula/ficha/p1196207,1196207,6.0,6.0,28 de diciembre - 2025,2025-12-28
Donnie Darko,https://www.palomitacas.com/pelicula/ficha/p141,141,4.0,4.0,27 de diciembre - 2025,2025-12-27
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,8.0,8.0,27 de diciembre - 2025,2025-12-27
Destino final,https://www.palomitacas.com/pelicula/ficha/p9532,9532,7.0,7.0,26 de diciembre - 2025,2025-12-26
Bad Boys: Ride or Die,https://www.palomitacas.com/pelicula/ficha/p573435,573435,8.0,8.0,26 de diciembre - 2025,2025-12-26
Misión: Imposible - Sentencia final,https://www.palomitacas.com/pelicula/ficha/p575265,575265,8.0,8.0,26 de diciembre - 2025,2025-12-26
De naturaleza violenta,https://www.palomitacas.com/pelicula/ficha/p1214509,1214509,4.0,4.0,26 de diciembre - 2025,2025-12-26
Oddity,https://www.palomitacas.com/pelicula/ficha/p1216191,1216191,7.0,7.0,25 de diciembre - 2025,2025-12-25
Mortdecai,https://www.palomitacas.com/pelicula/ficha/p210860,210860,7.0,7.0,25 de diciembre - 2025,2025-12-25
Guardianes de la Noche: Tren infinito,https://www.palomitacas.com/pelicula/ficha/p635302,635302,7.0,7.0,23 de diciembre - 2025,2025-12-23
Viras ataca la Tierra,https://www.palomitacas.com/pelicula/ficha/p34131,34131,5.0,5.0,22 de diciembre - 2025,2025-12-22
Carrie,https://www.palomitacas.com/pelicula/ficha/p133805,133805,6.0,6.0,22 de diciembre - 2025,2025-12-22
MaXXXine,https://www.palomitacas.com/pelicula/ficha/p1023922,1023922,7.0,7.0,22 de diciembre - 2025,2025-12-22
The Witcher: Sirenas de las profundidades,https://www.palomitacas.com/pelicula/ficha/p1203329,1203329,7.0,7.0,22 de diciembre - 2025,2025-12-22
La venganza de Ira Vamp,https://www.palomitacas.com/pelicula/ficha/p140835,140835,5.0,5.0,20 de diciembre - 2025,2025-12-20
Notting Hill,https://www.palomitacas.com/pelicula/ficha/p509,509,8.0,8.0,20 de diciembre - 2025,2025-12-20
Until Dawn,https://www.palomitacas.com/pelicula/ficha/p1232546,1232546,6.0,6.0,19 de diciembre - 2025,2025-12-19
Psycho-Pass: Sinners of the System - Caso.3 Mas Allá del Bien y del Mal,https://www.palomitacas.com/pelicula/ficha/p559566,559566,7.0,7.0,18 de diciembre - 2025,2025-12-18
Psycho-Pass: Sinners of the System - Caso.2 Primer Guardián,https://www.palomitacas.com/pelicula/ficha/p559562,559562,7.0,7.0,17 de diciembre - 2025,2025-12-17
Sherlock Holmes desafía a la muerte,https://www.palomitacas.com/pelicula/ficha/p50553,50553,7.0,7.0,16 de diciembre - 2025,2025-12-16
Toro salvaje,https://www.palomitacas.com/pelicula/ficha/p1578,1578,7.0,7.0,16 de diciembre - 2025,2025-12-16
El exorcismo de Eastfield,https://www.palomitacas.com/pelicula/ficha/p1088157,1088157,6.0,6.0,13 de diciembre - 2025,2025-12-13
Everest,https://www.palomitacas.com/pelicula/ficha/p253412,253412,8.0,8.0,13 de diciembre - 2025,2025-12-13
La sociedad de la nieve,https://www.palomitacas.com/pelicula/ficha/p906126,906126,8.0,8.0,13 de diciembre - 2025,2025-12-13
El Barón Rojo,https://www.palomitacas.com/pelicula/ficha/p84285,84285,7.0,7.0,12 de diciembre - 2025,2025-12-12
Top Gun: Maverick,https://www.palomitacas.com/pelicula/ficha/p361743,361743,8.0,8.0,12 de diciembre - 2025,2025-12-12
F1 la película,https://www.palomitacas.com/pelicula/ficha/p911430,911430,8.0,8.0,12 de diciembre - 2025,2025-12-12
La maldición de la pantera rosa,https://www.palomitacas.com/pelicula/ficha/p36576,36576,6.0,6.0,08 de diciembre - 2025,2025-12-08
Trol 2,https://www.palomitacas.com/pelicula/ficha/p1180831,1180831,7.0,7.0,08 de diciembre - 2025,2025-12-08
Dragonheart 2: Un nuevo comienzo,https://www.palomitacas.com/pelicula/ficha/p10473,10473,7.0,7.0,07 de diciembre - 2025,2025-12-07
Monkey Man,https://www.palomitacas.com/pelicula/ficha/p560016,560016,7.0,7.0,07 de diciembre - 2025,2025-12-07
Drácula,https://www.palomitacas.com/pelicula/ficha/p138,138,6.0,6.0,06 de diciembre - 2025,2025-12-06
Respira,https://www.palomitacas.com/pelicula/ficha/p720321,720321,6.0,6.0,06 de diciembre - 2025,2025-12-06
La maldición de la mosca,https://www.palomitacas.com/pelicula/ficha/p38125,38125,5.0,5.0,05 de diciembre - 2025,2025-12-05
Los Rose,https://www.palomitacas.com/pelicula/ficha/p1267905,1267905,7.0,7.0,05 de diciembre - 2025,2025-12-05
Fight or Flight (Sicarios en el aire),https://www.palomitacas.com/pelicula/ficha/p1212855,1212855,7.0,7.0,05 de diciembre - 2025,2025-12-05
Juegos de niños,https://www.palomitacas.com/pelicula/ficha/p1248226,1248226,7.0,7.0,30 de noviembre - 2025,2025-11-30
Campamento de verano,https://www.palomitacas.com/pelicula/ficha/p1094009,1094009,4.0,4.0,30 de noviembre - 2025,2025-11-30
Sherlock Holmes en Washington,https://www.palomitacas.com/pelicula/ficha/p44383,44383,7.0,7.0,29 de noviembre - 2025,2025-11-29
Alucinaciones,https://www.palomitacas.com/pelicula/ficha/p340601,340601,6.0,6.0,29 de noviembre - 2025,2025-11-29
Carrie,https://www.palomitacas.com/pelicula/ficha/p7340,7340,6.0,6.0,28 de noviembre - 2025,2025-11-28
Mamá te quiere,https://www.palomitacas.com/pelicula/ficha/p546121,546121,7.0,7.0,28 de noviembre - 2025,2025-11-28
Expediente Warren: El último rito,https://www.palomitacas.com/pelicula/ficha/p1038392,1038392,8.0,8.0,28 de noviembre - 2025,2025-11-28
Casino Royale,https://www.palomitacas.com/pelicula/ficha/p12208,12208,5.0,5.0,27 de noviembre - 2025,2025-11-27
Misery,https://www.palomitacas.com/pelicula/ficha/p1700,1700,7.0,7.0,23 de noviembre - 2025,2025-11-23
Guillermo Tell,https://www.palomitacas.com/pelicula/ficha/p1195631,1195631,6.0,6.0,23 de noviembre - 2025,2025-11-23
La furia del Hombre Lobo,https://www.palomitacas.com/pelicula/ficha/p28406,28406,6.0,6.0,23 de noviembre - 2025,2025-11-23
Canina,https://www.palomitacas.com/pelicula/ficha/p728949,728949,7.0,7.0,22 de noviembre - 2025,2025-11-22
Estoy con los hipopótamos,https://www.palomitacas.com/pelicula/ficha/p9031,9031,6.0,6.0,22 de noviembre - 2025,2025-11-22
El conflicto de los Hermanos Marx,https://www.palomitacas.com/pelicula/ficha/p13913,13913,6.0,6.0,21 de noviembre - 2025,2025-11-21
Temblores 7: Shrieker Island,https://www.palomitacas.com/pelicula/ficha/p670266,670266,5.0,5.0,21 de noviembre - 2025,2025-11-21
Host,https://www.palomitacas.com/pelicula/ficha/p723072,723072,6.0,6.0,21 de noviembre - 2025,2025-11-21
Juego sucio,https://www.palomitacas.com/pelicula/ficha/p941109,941109,7.0,7.0,21 de noviembre - 2025,2025-11-21
El hijo de la Pantera Rosa,https://www.palomitacas.com/pelicula/ficha/p46828,46828,6.0,6.0,20 de noviembre - 2025,2025-11-20
¡Alto! o mi madre dispara,https://www.palomitacas.com/pelicula/ficha/p9876,9876,6.0,6.0,15 de noviembre - 2025,2025-11-15
El pan debajo del brazo,https://www.palomitacas.com/pelicula/ficha/p332513,332513,6.0,6.0,14 de noviembre - 2025,2025-11-14
El club del crimen de los jueves,https://www.palomitacas.com/pelicula/ficha/p744653,744653,7.0,7.0,14 de noviembre - 2025,2025-11-14
Ballerina,https://www.palomitacas.com/pelicula/ficha/p541671,541671,7.0,7.0,14 de noviembre - 2025,2025-11-14
Psycho-Pass: Sinners of the System - Caso.1 Crimen y Castigo,https://www.palomitacas.com/pelicula/ficha/p510242,510242,7.0,7.0,14 de noviembre - 2025,2025-11-14
2001: una odisea del espacio,https://www.palomitacas.com/pelicula/ficha/p62,62,7.0,7.0,14 de noviembre - 2025,2025-11-14
Rebelde sin causa,https://www.palomitacas.com/pelicula/ficha/p221,221,6.0,6.0,14 de noviembre - 2025,2025-11-14
Tras la pista de la pantera rosa,https://www.palomitacas.com/pelicula/ficha/p9699,9699,6.0,6.0,13 de noviembre - 2025,2025-11-13
Better Man: La Historia de Robbie Williams,https://www.palomitacas.com/pelicula/ficha/p799766,799766,8.0,8.0,13 de noviembre - 2025,2025-11-13
Blood: El último vampiro,https://www.palomitacas.com/pelicula/ficha/p919,919,6.0,6.0,13 de noviembre - 2025,2025-11-13
El círculo,https://www.palomitacas.com/pelicula/ficha/p2671,2671,6.0,6.0,13 de noviembre - 2025,2025-11-13
Equipo a la fuerza,https://www.palomitacas.com/pelicula/ficha/p10393,10393,8.0,8.0,13 de noviembre - 2025,2025-11-13
Maleficio (Thinner),https://www.palomitacas.com/pelicula/ficha/p10280,10280,5.0,5.0,13 de noviembre - 2025,2025-11-13
La pantera rosa ataca de nuevo,https://www.palomitacas.com/pelicula/ficha/p12268,12268,7.0,7.0,12 de noviembre - 2025,2025-11-12
Infiltrada en la NASA,https://www.palomitacas.com/pelicula/ficha/p1019411,1019411,6.0,6.0,12 de noviembre - 2025,2025-11-12
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,8.0,8.0,12 de noviembre - 2025,2025-11-12
Sherlock Holmes contra Moriarty,https://www.palomitacas.com/pelicula/ficha/p17481,17481,6.0,6.0,12 de noviembre - 2025,2025-11-12
El regreso de la pantera rosa,https://www.palomitacas.com/pelicula/ficha/p11843,11843,7.0,7.0,11 de noviembre - 2025,2025-11-11
Código 3,https://www.palomitacas.com/pelicula/ficha/p1161617,1161617,7.0,7.0,11 de noviembre - 2025,2025-11-11
El guerrero americano,https://www.palomitacas.com/pelicula/ficha/p12500,12500,6.0,6.0,11 de noviembre - 2025,2025-11-11
Padre no hay más que uno 5: Nido repleto,https://www.palomitacas.com/pelicula/ficha/p1328913,1328913,6.0,6.0,09 de noviembre - 2025,2025-11-09
La venganza de la pantera rosa,https://www.palomitacas.com/pelicula/ficha/p6081,6081,7.0,7.0,08 de noviembre - 2025,2025-11-08
Paranormal Activity 3,https://www.palomitacas.com/pelicula/ficha/p72571,72571,6.0,6.0,08 de noviembre - 2025,2025-11-08
Un hipster en la España vacía,https://www.palomitacas.com/pelicula/ficha/p1118035,1118035,6.0,6.0,08 de noviembre - 2025,2025-11-08
Sherlock Holmes y el arma secreta,https://www.palomitacas.com/pelicula/ficha/p18706,18706,7.0,7.0,08 de noviembre - 2025,2025-11-08
Vestida para un asesinato,https://www.palomitacas.com/pelicula/ficha/p20417,20417,7.0,7.0,08 de noviembre - 2025,2025-11-08
El nuevo caso del inspector Clouseau,https://www.palomitacas.com/pelicula/ficha/p1594,1594,7.0,7.0,07 de noviembre - 2025,2025-11-07
La mujer del camarote 10,https://www.palomitacas.com/pelicula/ficha/p1290879,1290879,6.0,6.0,07 de noviembre - 2025,2025-11-07
La pantera rosa,https://www.palomitacas.com/pelicula/ficha/p936,936,7.0,7.0,03 de noviembre - 2025,2025-11-03
Patch Adams,https://www.palomitacas.com/pelicula/ficha/p10312,10312,8.0,8.0,02 de noviembre - 2025,2025-11-02
Este amor sí que duele,https://www.palomitacas.com/pelicula/ficha/p1226406,1226406,6.0,6.0,02 de noviembre - 2025,2025-11-02
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,7.0,7.0,02 de noviembre - 2025,2025-11-02
La decente,https://www.palomitacas.com/pelicula/ficha/p185401,185401,6.0,6.0,31 de octubre - 2025,2025-10-31
Los dioses deben estar locos,https://www.palomitacas.com/pelicula/ficha/p8393,8393,7.0,7.0,31 de octubre - 2025,2025-10-31
Smile 2,https://www.palomitacas.com/pelicula/ficha/p1100782,1100782,6.0,6.0,31 de octubre - 2025,2025-10-31
The Monkey,https://www.palomitacas.com/pelicula/ficha/p1124620,1124620,7.0,7.0,31 de octubre - 2025,2025-10-31
Sherlock Holmes,https://www.palomitacas.com/pelicula/ficha/p342831,342831,6.0,6.0,30 de octubre - 2025,2025-10-30
Species IV: El despertar,https://www.palomitacas.com/pelicula/ficha/p15212,15212,5.0,5.0,30 de octubre - 2025,2025-10-30
Buffalo Soldiers,https://www.palomitacas.com/pelicula/ficha/p9104,9104,6.0,6.0,30 de octubre - 2025,2025-10-30
Sopa de ganso,https://www.palomitacas.com/pelicula/ficha/p3063,3063,6.0,6.0,26 de octubre - 2025,2025-10-26
El esqueleto prehistórico,https://www.palomitacas.com/pelicula/ficha/p42469,42469,6.0,6.0,25 de octubre - 2025,2025-10-25
El perro de los Baskerville,https://www.palomitacas.com/pelicula/ficha/p27118,27118,7.0,7.0,25 de octubre - 2025,2025-10-25
Species III (Especie mortal III),https://www.palomitacas.com/pelicula/ficha/p9711,9711,5.0,5.0,25 de octubre - 2025,2025-10-25
Dog - Un viaje salvaje,https://www.palomitacas.com/pelicula/ficha/p626735,626735,7.0,7.0,24 de octubre - 2025,2025-10-24
Paranormal Activity 2,https://www.palomitacas.com/pelicula/ficha/p41436,41436,8.0,8.0,19 de octubre - 2025,2025-10-19
Teen Wolf II (De pelo en pecho 2),https://www.palomitacas.com/pelicula/ficha/p15582,15582,6.0,6.0,17 de octubre - 2025,2025-10-17
El número 23,https://www.palomitacas.com/pelicula/ficha/p3594,3594,7.0,7.0,17 de octubre - 2025,2025-10-17
Paranormal Activity,https://www.palomitacas.com/pelicula/ficha/p23827,23827,8.0,8.0,12 de octubre - 2025,2025-10-12
Cujo,https://www.palomitacas.com/pelicula/ficha/p10489,10489,6.0,6.0,12 de octubre - 2025,2025-10-12
Species II (Especie mortal II),https://www.palomitacas.com/pelicula/ficha/p10216,10216,7.0,7.0,12 de octubre - 2025,2025-10-12
Deep Cover: Actores encubiertos,https://www.palomitacas.com/pelicula/ficha/p1239193,1239193,7.0,7.0,12 de octubre - 2025,2025-10-12
MacGruber,https://www.palomitacas.com/pelicula/ficha/p37931,37931,6.0,6.0,10 de octubre - 2025,2025-10-10
Historia macabra,https://www.palomitacas.com/pelicula/ficha/p24634,24634,6.0,6.0,05 de octubre - 2025,2025-10-05
El pueblo de los malditos,https://www.palomitacas.com/pelicula/ficha/p12122,12122,6.0,6.0,05 de octubre - 2025,2025-10-05
Ghost in the Shell: The Rising,https://www.palomitacas.com/pelicula/ficha/p334376,334376,7.0,7.0,03 de octubre - 2025,2025-10-03
Species (Especie mortal),https://www.palomitacas.com/pelicula/ficha/p9348,9348,7.0,7.0,03 de octubre - 2025,2025-10-03
Ash,https://www.palomitacas.com/pelicula/ficha/p931349,931349,5.0,5.0,03 de octubre - 2025,2025-10-03
Mickey 17,https://www.palomitacas.com/pelicula/ficha/p696506,696506,7.0,7.0,28 de septiembre - 2025,2025-09-28
El juego del asesino,https://www.palomitacas.com/pelicula/ficha/p507241,507241,7.0,7.0,27 de septiembre - 2025,2025-09-27
Megalópolis,https://www.palomitacas.com/pelicula/ficha/p592831,592831,7.0,7.0,26 de septiembre - 2025,2025-09-26
Novocaine,https://www.palomitacas.com/pelicula/ficha/p1195506,1195506,8.0,8.0,26 de septiembre - 2025,2025-09-26
La mujer y el monstruo,https://www.palomitacas.com/pelicula/ficha/p10973,10973,6.0,6.0,21 de septiembre - 2025,2025-09-21
El pueblo de los malditos,https://www.palomitacas.com/pelicula/ficha/p11773,11773,7.0,7.0,21 de septiembre - 2025,2025-09-21
El resplandor,https://www.palomitacas.com/pelicula/ficha/p694,694,7.0,7.0,19 de septiembre - 2025,2025-09-19
Harry Brown,https://www.palomitacas.com/pelicula/ficha/p25941,25941,7.0,7.0,19 de septiembre - 2025,2025-09-19
Smile,https://www.palomitacas.com/pelicula/ficha/p882598,882598,6.0,6.0,19 de septiembre - 2025,2025-09-19
Howl (Aullido),https://www.palomitacas.com/pelicula/ficha/p301846,301846,7.0,7.0,14 de septiembre - 2025,2025-09-14
Hombre lobo,https://www.palomitacas.com/pelicula/ficha/p710295,710295,6.0,6.0,14 de septiembre - 2025,2025-09-14
Juego de espías: La ciudad eterna,https://www.palomitacas.com/pelicula/ficha/p1048241,1048241,7.0,7.0,13 de septiembre - 2025,2025-09-13
Bone Tomahawk,https://www.palomitacas.com/pelicula/ficha/p294963,294963,7.0,7.0,12 de septiembre - 2025,2025-09-12
Vértigo,https://www.palomitacas.com/pelicula/ficha/p426,426,7.0,7.0,06 de septiembre - 2025,2025-09-06
La vieja guardia 2,https://www.palomitacas.com/pelicula/ficha/p846422,846422,7.0,7.0,06 de septiembre - 2025,2025-09-06
Bright,https://www.palomitacas.com/pelicula/ficha/p400106,400106,7.0,7.0,05 de septiembre - 2025,2025-09-05
Arthur,https://www.palomitacas.com/pelicula/ficha/p618588,618588,8.0,8.0,05 de septiembre - 2025,2025-09-05
Black Panther,https://www.palomitacas.com/pelicula/ficha/p284054,284054,8.0,8.0,04 de septiembre - 2025,2025-09-04
La tutora,https://www.palomitacas.com/pelicula/ficha/p32043,32043,3.0,3.0,04 de septiembre - 2025,2025-09-04
Monsters,https://www.palomitacas.com/pelicula/ficha/p43933,43933,4.0,4.0,31 de agosto - 2025,2025-08-31
Dragonheart (Corazón de dragón),https://www.palomitacas.com/pelicula/ficha/p8840,8840,8.0,8.0,31 de agosto - 2025,2025-08-31
6 en la sombra,https://www.palomitacas.com/pelicula/ficha/p509967,509967,7.0,7.0,31 de agosto - 2025,2025-08-31
Poltergeist III,https://www.palomitacas.com/pelicula/ficha/p10306,10306,6.0,6.0,30 de agosto - 2025,2025-08-30
El caso de los dedos cortados,https://www.palomitacas.com/pelicula/ficha/p34327,34327,7.0,7.0,29 de agosto - 2025,2025-08-29
Terminagolf 2,https://www.palomitacas.com/pelicula/ficha/p1263256,1263256,7.0,7.0,29 de agosto - 2025,2025-08-29
Thor: Ragnarok,https://www.palomitacas.com/pelicula/ficha/p284053,284053,9.0,9.0,24 de agosto - 2025,2025-08-24
Laura y el misterio del asesino inesperado,https://www.palomitacas.com/pelicula/ficha/p1254809,1254809,6.0,6.0,23 de agosto - 2025,2025-08-23
Los pecadores,https://www.palomitacas.com/pelicula/ficha/p1233413,1233413,7.0,7.0,23 de agosto - 2025,2025-08-23
Terminagolf,https://www.palomitacas.com/pelicula/ficha/p9614,9614,7.0,7.0,22 de agosto - 2025,2025-08-22
The Arctic Convoy,https://www.palomitacas.com/pelicula/ficha/p983044,983044,5.0,5.0,17 de agosto - 2025,2025-08-17
Deberias Haberte Ido,https://www.palomitacas.com/pelicula/ficha/p514593,514593,6.0,6.0,17 de agosto - 2025,2025-08-17
El último encargo,https://www.palomitacas.com/pelicula/ficha/p1106289,1106289,7.0,7.0,17 de agosto - 2025,2025-08-16
El proyecto de la bruja de Blair,https://www.palomitacas.com/pelicula/ficha/p2667,2667,6.0,6.0,16 de agosto - 2025,2025-08-15
Jefes de Estado,https://www.palomitacas.com/pelicula/ficha/p749170,749170,7.0,7.0,16 de agosto - 2025,2025-08-16
La huella del mal,https://www.palomitacas.com/pelicula/ficha/p1310871,1310871,7.0,7.0,09 de agosto - 2025,2025-08-09
La rebelión de las máquinas,https://www.palomitacas.com/pelicula/ficha/p9980,9980,6.0,6.0,09 de agosto - 2025,2025-08-09
El regreso,https://www.palomitacas.com/pelicula/ficha/p10093,10093,6.0,6.0,09 de agosto - 2025,2025-08-09
Estoy hecho un chaval,https://www.palomitacas.com/pelicula/ficha/p81174,81174,6.0,6.0,02 de agosto - 2025,2025-08-02
Proyecto Power,https://www.palomitacas.com/pelicula/ficha/p605116,605116,7.0,7.0,02 de agosto - 2025,2025-08-02
El Jardinero,https://www.palomitacas.com/pelicula/ficha/p1255788,1255788,7.0,7.0,01 de agosto - 2025,2025-08-01
Los Huéspedes,https://www.palomitacas.com/pelicula/ficha/p429467,429467,4.0,4.0,26 de julio - 2025,2025-07-26
Un funeral de locos,https://www.palomitacas.com/pelicula/ficha/p1358013,1358013,6.0,6.0,26 de julio - 2025,2025-07-26
Ninja Turtles: Caos mutante,https://www.palomitacas.com/pelicula/ficha/p614930,614930,7.0,7.0,20 de julio - 2025,2025-07-20
Strangers: Capítulo 1,https://www.palomitacas.com/pelicula/ficha/p1010600,1010600,5.0,5.0,18 de julio - 2025,2025-07-18
Brooklyn 45,https://www.palomitacas.com/pelicula/ficha/p916433,916433,4.0,4.0,14 de julio - 2025,2025-07-14
Poltergeist II: El otro lado,https://www.palomitacas.com/pelicula/ficha/p11133,11133,5.0,5.0,13 de julio - 2025,2025-07-13
Una película de Minecraft,https://www.palomitacas.com/pelicula/ficha/p950387,950387,6.0,6.0,13 de julio - 2025,2025-07-13
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,10.0,10.0,12 de julio - 2025,2025-07-12
¡Qué ruina de función!,https://www.palomitacas.com/pelicula/ficha/p26670,26670,6.0,6.0,06 de julio - 2025,2025-07-06
Jurassic World: El renacer,https://www.palomitacas.com/pelicula/ficha/p1234821,1234821,7.0,7.0,05 de julio - 2025,2025-07-05
La hora de la araña,https://www.palomitacas.com/pelicula/ficha/p2043,2043,7.0,7.0,04 de julio - 2025,2025-07-04
Cónclave,https://www.palomitacas.com/pelicula/ficha/p974576,974576,7.0,7.0,02 de julio - 2025,2025-07-02
Doctor Strange,https://www.palomitacas.com/pelicula/ficha/p284052,284052,9.0,9.0,01 de julio - 2025,2025-07-01
Agatha y los asesinatos de medianoche,https://www.palomitacas.com/pelicula/ficha/p749395,749395,5.0,5.0,28 de junio - 2025,2025-06-28
Spider-Man: Homecoming,https://www.palomitacas.com/pelicula/ficha/p315635,315635,9.0,9.0,24 de junio - 2025,2025-06-24
Capitán América: Civil War,https://www.palomitacas.com/pelicula/ficha/p271110,271110,9.0,9.0,22 de junio - 2025,2025-06-22
Ghost in the Shell 2: Innocence,https://www.palomitacas.com/pelicula/ficha/p12140,12140,7.0,7.0,21 de junio - 2025,2025-06-21
Sonic 3: La película,https://www.palomitacas.com/pelicula/ficha/p939243,939243,8.0,8.0,21 de junio - 2025,2025-06-21
La vieja guardia,https://www.palomitacas.com/pelicula/ficha/p547016,547016,7.0,7.0,21 de junio - 2025,2025-06-21
Anticristo,https://www.palomitacas.com/pelicula/ficha/p17609,17609,3.0,3.0,21 de junio - 2025,2025-06-21
Diez negritos,https://www.palomitacas.com/pelicula/ficha/p4883,4883,5.0,5.0,20 de junio - 2025,2025-06-20
Taxi 4,https://www.palomitacas.com/pelicula/ficha/p2335,2335,7.0,7.0,20 de junio - 2025,2025-06-20
A Working Man,https://www.palomitacas.com/pelicula/ficha/p1197306,1197306,7.0,7.0,20 de junio - 2025,2025-06-20
Mikaela,https://www.palomitacas.com/pelicula/ficha/p1315988,1315988,6.0,6.0,15 de junio - 2025,2025-06-15
Robot salvaje,https://www.palomitacas.com/pelicula/ficha/p1184918,1184918,7.0,7.0,14 de junio - 2025,2025-06-14
Sombras del pasado,https://www.palomitacas.com/pelicula/ficha/p978592,978592,6.0,6.0,10 de junio - 2025,2025-06-10
Muerte bajo el sol,https://www.palomitacas.com/pelicula/ficha/p4193,4193,7.0,7.0,09 de junio - 2025,2025-06-09
Titanic: La resurrección digital,https://www.palomitacas.com/pelicula/ficha/p1457124,1457124,7.0,7.0,07 de junio - 2025,2025-06-07
Taxi 3,https://www.palomitacas.com/pelicula/ficha/p2334,2334,8.0,8.0,06 de junio - 2025,2025-06-06
El regreso de la mosca,https://www.palomitacas.com/pelicula/ficha/p38126,38126,5.0,5.0,06 de junio - 2025,2025-06-06
Agatha y la maldición de Ishtar,https://www.palomitacas.com/pelicula/ficha/p655730,655730,6.0,6.0,05 de junio - 2025,2025-06-05
La maldición del colgante,https://www.palomitacas.com/pelicula/ficha/p1293263,1293263,6.0,6.0,05 de junio - 2025,2025-06-05
Taxi 2,https://www.palomitacas.com/pelicula/ficha/p2332,2332,8.0,8.0,03 de junio - 2025,2025-06-03
El baño del diablo,https://www.palomitacas.com/pelicula/ficha/p931944,931944,4.0,4.0,03 de junio - 2025,2025-06-03
Al otro barrio,https://www.palomitacas.com/pelicula/ficha/p1151506,1151506,7.0,7.0,31 de mayo - 2025,2025-05-31
