title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,,,,
El Grinch,https://www.palomitacas.com/pelicula/ficha/p8871,8871,6.5,6.5,16 de diciembre - 2025,2025-12-16
Drácula,https://www.palomitacas.com/pelicula/ficha/p1246049,1246049,,,,
Avatar: Fuego y ceniza,https://www.palomitacas.com/pelicula/ficha/p83533,83533,,,,
Wicked Parte II,https://www.palomitacas.com/pelicula/ficha/p967941,967941,7.5,7.5,21 de noviembre - 2025,2025-11-27
Zootrópolis 2,https://www.palomitacas.com/pelicula/ficha/p1084242,1084242,,,,
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,,,,
Wicked: One Wonderful Night,https://www.palomitacas.com/pelicula/ficha/p1479945,1479945,7.5,7.5,15 de noviembre - 2025,2025-11-15
Gaua,https://www.palomitacas.com/pelicula/ficha/p1367125,1367125,,,,
Black Phone 2,https://www.palomitacas.com/pelicula/ficha/p1197137,1197137,,,,
Un lugar tranquilo 2,https://www.palomitacas.com/pelicula/ficha/p520763,520763,,,,
Un lugar tranquilo,https://www.palomitacas.com/pelicula/ficha/p447332,447332,,,,
TRON: Ares,https://www.palomitacas.com/pelicula/ficha/p533533,533533,,,,
Black Phone,https://www.palomitacas.com/pelicula/ficha/p756999,756999,,,,
El juego de la sospecha (Cluedo),https://www.palomitacas.com/pelicula/ficha/p15196,15196,,,,
¿¡Y tú qué sabes!?: Dentro de la madriguera,https://www.palomitacas.com/pelicula/ficha/p24654,24654,,,,
Downton Abbey: El gran final,https://www.palomitacas.com/pelicula/ficha/p1289936,1289936,6.5,6.5,15 de octubre - 2025,2025-10-15
John Wick 4,https://www.palomitacas.com/pelicula/ficha/p603692,603692,,,,
John Wick: Capítulo 3 - Parabellum,https://www.palomitacas.com/pelicula/ficha/p458156,458156,,,,
John Wick: Pacto de sangre,https://www.palomitacas.com/pelicula/ficha/p324552,324552,,,,
John Wick (Otro día para matar),https://www.palomitacas.com/pelicula/ficha/p245891,245891,,,,
Agárralo como puedas,https://www.palomitacas.com/pelicula/ficha/p1035259,1035259,,,,
Expediente Warren: El último rito,https://www.palomitacas.com/pelicula/ficha/p1038392,1038392,6.0,6.0,25 de septiembre - 2025,2025-09-25
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,6.0,6.0,26 de agosto - 2025,2025-08-26
Cómo entrenar a tu dragón,https://www.palomitacas.com/pelicula/ficha/p1087192,1087192,8.5,8.5,22 de julio - 2025,2025-07-27
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,8.0,8.0,03 de julio - 2025,2025-07-30
Elio,https://www.palomitacas.com/pelicula/ficha/p1022787,1022787,,,,
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,7.5,7.5,03 de julio - 2025,2025-07-27
"Fievel, el misterio del monstruo nocturno",https://www.palomitacas.com/pelicula/ficha/p27653,27653,,,,
Fievel en Manhattan,https://www.palomitacas.com/pelicula/ficha/p31473,31473,,,,
Fievel va al Oeste,https://www.palomitacas.com/pelicula/ficha/p10380,10380,,,,
28 años después,https://www.palomitacas.com/pelicula/ficha/p1100988,1100988,,,,
28 semanas después,https://www.palomitacas.com/pelicula/ficha/p1562,1562,,,,
28 días después,https://www.palomitacas.com/pelicula/ficha/p170,170,,,,
Jurassic World: El renacer,https://www.palomitacas.com/pelicula/ficha/p1234821,1234821,4.5,4.5,03 de julio - 2025,2025-07-03
Los pecadores,https://www.palomitacas.com/pelicula/ficha/p1233413,1233413,,,,
Destino final,https://www.palomitacas.com/pelicula/ficha/p9532,9532,,,,
Lilo y Stitch,https://www.palomitacas.com/pelicula/ficha/p552524,552524,7.5,7.5,28 de mayo - 2025,2025-06-03
Las tres hijas,https://www.palomitacas.com/pelicula/ficha/p1154762,1154762,,,,
Thunderbolts*,https://www.palomitacas.com/pelicula/ficha/p986056,986056,6.0,6.0,14 de mayo - 2025,2025-05-16
Amateur,https://www.palomitacas.com/pelicula/ficha/p1087891,1087891,7.0,7.0,20 de abril - 2025,2025-04-20
Mickey 17,https://www.palomitacas.com/pelicula/ficha/p696506,696506,,,,
"Bambi, una vida en el bosque",https://www.palomitacas.com/pelicula/ficha/p1094473,1094473,,,,
O'Dessa,https://www.palomitacas.com/pelicula/ficha/p1075456,1075456,,,,
Blancanieves,https://www.palomitacas.com/pelicula/ficha/p447273,447273,6.0,6.0,28 de marzo - 2025,2025-06-13
Imagínatelo,https://www.palomitacas.com/pelicula/ficha/p1204892,1204892,,,,
Here (Aquí),https://www.palomitacas.com/pelicula/ficha/p940139,940139,,,,
Soñadores,https://www.palomitacas.com/pelicula/ficha/p1278,1278,,,,
Memento,https://www.palomitacas.com/pelicula/ficha/p77,77,,,,
Código fuente,https://www.palomitacas.com/pelicula/ficha/p45612,45612,,,,
El increíble finde menguante,https://www.palomitacas.com/pelicula/ficha/p588004,588004,,,,
Atrapados en un bucle infinito,https://www.palomitacas.com/pelicula/ficha/p1138476,1138476,,,,
Emilia Pérez,https://www.palomitacas.com/pelicula/ficha/p974950,974950,,,,
The Brutalist,https://www.palomitacas.com/pelicula/ficha/p549509,549509,,,,
Anora,https://www.palomitacas.com/pelicula/ficha/p1064213,1064213,,,,
