title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Mi lista de deseos,https://www.palomitacas.com/pelicula/ficha/p1254786,1254786,7.5,7.5,27 de noviembre - 2025,2025-11-27
Zoey's Extraordinary Christmas,https://www.palomitacas.com/pelicula/ficha/p872130,872130,6.5,6.5,25 de noviembre - 2025,2025-11-25
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,8.5,8.5,23 de noviembre - 2025,2025-11-23
28 días después,https://www.palomitacas.com/pelicula/ficha/p170,170,6.5,6.5,17 de noviembre - 2025,2025-11-17
Materialistas,https://www.palomitacas.com/pelicula/ficha/p1136867,1136867,4.5,4.5,12 de agosto - 2025,2025-08-12
Mi año en Oxford,https://www.palomitacas.com/pelicula/ficha/p1307078,1307078,6.0,6.0,11 de agosto - 2025,2025-08-11
Jurassic World: El renacer,https://www.palomitacas.com/pelicula/ficha/p1234821,1234821,6.0,6.0,11 de agosto - 2025,2025-08-11
Cómo entrenar a tu dragón,https://www.palomitacas.com/pelicula/ficha/p1087192,1087192,8.0,8.0,14 de junio - 2025,2025-06-14
Tiempo,https://www.palomitacas.com/pelicula/ficha/p631843,631843,5.5,5.5,10 de junio - 2025,2025-06-10
Anora,https://www.palomitacas.com/pelicula/ficha/p1064213,1064213,7.0,7.0,08 de mayo - 2025,2025-05-08
No te preocupes querida,https://www.palomitacas.com/pelicula/ficha/p619730,619730,6.5,6.5,10 de abril - 2025,2025-04-10
Hereditary,https://www.palomitacas.com/pelicula/ficha/p493922,493922,7.5,7.5,03 de abril - 2025,2025-04-03
Mufasa: El rey león,https://www.palomitacas.com/pelicula/ficha/p762509,762509,6.0,6.0,01 de abril - 2025,2025-04-01
Here (Aquí),https://www.palomitacas.com/pelicula/ficha/p940139,940139,8.0,8.0,25 de marzo - 2025,2025-03-25
"Cariño, cuánto te odio",https://www.palomitacas.com/pelicula/ficha/p603661,603661,4.5,4.5,25 de marzo - 2025,2025-03-25
Un lugar tranquilo: Día uno,https://www.palomitacas.com/pelicula/ficha/p762441,762441,4.5,4.5,23 de marzo - 2025,2025-03-23
La sustancia,https://www.palomitacas.com/pelicula/ficha/p933260,933260,7.5,7.5,23 de marzo - 2025,2025-03-23
La bruja,https://www.palomitacas.com/pelicula/ficha/p310131,310131,7.0,7.0,21 de marzo - 2025,2025-03-21
Nosferatu,https://www.palomitacas.com/pelicula/ficha/p426063,426063,6.0,6.0,18 de marzo - 2025,2025-03-18
Emilia Pérez,https://www.palomitacas.com/pelicula/ficha/p974950,974950,5.0,5.0,18 de marzo - 2025,2025-03-18
Heretic,https://www.palomitacas.com/pelicula/ficha/p1138194,1138194,5.0,5.0,14 de marzo - 2025,2025-03-21
La acompañante,https://www.palomitacas.com/pelicula/ficha/p1084199,1084199,7.5,7.5,14 de marzo - 2025,2025-03-14
El abismo secreto,https://www.palomitacas.com/pelicula/ficha/p950396,950396,5.0,5.0,10 de marzo - 2025,2025-03-10
Gladiator II,https://www.palomitacas.com/pelicula/ficha/p558449,558449,6.5,6.5,08 de marzo - 2025,2025-03-08
