title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
El caballero verde,https://www.palomitacas.com/pelicula/ficha/p559907,559907,5.0,5.0,25 de diciembre - 2025,2025-12-25
Aileen: Queen of the Serial Killers,https://www.palomitacas.com/pelicula/ficha/p1550569,1550569,5.0,5.0,03 de noviembre - 2025,2025-11-03
Ouija,https://www.palomitacas.com/pelicula/ficha/p242512,242512,7.0,7.0,31 de octubre - 2025,2025-10-31
Noche de miedo,https://www.palomitacas.com/pelicula/ficha/p11797,11797,5.0,5.0,31 de octubre - 2025,2025-10-31
Los otros,https://www.palomitacas.com/pelicula/ficha/p1933,1933,7.5,7.5,29 de octubre - 2025,2025-10-29
La nueva pesadilla de Wes Craven,https://www.palomitacas.com/pelicula/ficha/p11596,11596,,,,
1408,https://www.palomitacas.com/pelicula/ficha/p3021,3021,8.0,8.0,23 de octubre - 2025,2025-12-16
Terror en Amityville,https://www.palomitacas.com/pelicula/ficha/p11449,11449,5.0,5.0,22 de octubre - 2025,2025-10-22
El club del crimen de los jueves,https://www.palomitacas.com/pelicula/ficha/p744653,744653,,,,
Número desconocido: Falsa identidad en el instituto,https://www.palomitacas.com/pelicula/ficha/p1517772,1517772,7.0,7.0,06 de septiembre - 2025,2025-09-13
F1 la película,https://www.palomitacas.com/pelicula/ficha/p911430,911430,7.0,7.0,26 de agosto - 2025,2025-08-26
Better Man: La Historia de Robbie Williams,https://www.palomitacas.com/pelicula/ficha/p799766,799766,9.5,9.5,26 de agosto - 2025,2025-08-26
Los Tenenbaums. Una familia de genios,https://www.palomitacas.com/pelicula/ficha/p9428,9428,,,,
Sé lo que hicisteis el último verano,https://www.palomitacas.com/pelicula/ficha/p3597,3597,6.0,6.0,24 de julio - 2025,2025-07-24
28 semanas después,https://www.palomitacas.com/pelicula/ficha/p1562,1562,7.5,7.5,02 de julio - 2025,2025-07-02
Until Dawn,https://www.palomitacas.com/pelicula/ficha/p1232546,1232546,5.5,5.5,27 de junio - 2025,2025-06-27
A Complete Unknown,https://www.palomitacas.com/pelicula/ficha/p661539,661539,6.5,6.5,15 de junio - 2025,2025-06-15
Destino final: Lazos de sangre,https://www.palomitacas.com/pelicula/ficha/p574475,574475,7.0,7.0,14 de junio - 2025,2025-06-29
Step Up 3 - 3D,https://www.palomitacas.com/pelicula/ficha/p41233,41233,5.0,5.0,12 de junio - 2025,2025-06-12
Street dance (Step Up 2),https://www.palomitacas.com/pelicula/ficha/p8328,8328,5.5,5.5,12 de junio - 2025,2025-06-12
El destino de Júpiter,https://www.palomitacas.com/pelicula/ficha/p76757,76757,,,,
Monsternado,https://www.palomitacas.com/pelicula/ficha/p1052158,1052158,0.5,0.5,14 de abril - 2025,2025-04-14
Hit Man. Asesino por casualidad,https://www.palomitacas.com/pelicula/ficha/p974635,974635,,,,
Predestination,https://www.palomitacas.com/pelicula/ficha/p206487,206487,,,,
"El Gángster, El Policía y El Diablo",https://www.palomitacas.com/pelicula/ficha/p581528,581528,6.5,6.5,18 de septiembre - 2024,2024-09-18
Twisters,https://www.palomitacas.com/pelicula/ficha/p718821,718821,7.0,7.0,17 de agosto - 2024,2024-08-17
Piratas del Caribe: La maldición de la Perla Negra,https://www.palomitacas.com/pelicula/ficha/p22,22,8.5,8.5,03 de agosto - 2024,2024-08-03
High School Musical 2,https://www.palomitacas.com/pelicula/ficha/p13649,13649,5.0,5.0,02 de agosto - 2024,2024-08-02
Malos tiempos en El Royale,https://www.palomitacas.com/pelicula/ficha/p446021,446021,,,,
Casi inofensivo,https://www.palomitacas.com/pelicula/ficha/p1105868,1105868,6.5,6.5,28 de febrero - 2024,2024-02-28
Oppenheimer,https://www.palomitacas.com/pelicula/ficha/p872585,872585,8.5,8.5,20 de febrero - 2024,2024-08-15
Napoleón,https://www.palomitacas.com/pelicula/ficha/p753342,753342,,,,
Llamaradas,https://www.palomitacas.com/pelicula/ficha/p2924,2924,7.0,7.0,19 de enero - 2024,2024-01-19
Point Break (Sin límites),https://www.palomitacas.com/pelicula/ficha/p257088,257088,5.5,5.5,08 de enero - 2024,2024-01-08
Polar Express,https://www.palomitacas.com/pelicula/ficha/p5255,5255,5.0,5.0,06 de enero - 2024,2024-01-06
Nuestro último verano en Escocia,https://www.palomitacas.com/pelicula/ficha/p276843,276843,7.5,7.5,06 de enero - 2024,2024-01-06
No controles,https://www.palomitacas.com/pelicula/ficha/p61905,61905,5.5,5.5,06 de enero - 2024,2024-01-06
La ciudad de los niños perdidos,https://www.palomitacas.com/pelicula/ficha/p902,902,1.0,1.0,02 de enero - 2024,2024-01-02
El diario de Bridget Jones,https://www.palomitacas.com/pelicula/ficha/p634,634,5.5,5.5,02 de enero - 2024,2024-01-02
Indiana Jones y el dial del destino,https://www.palomitacas.com/pelicula/ficha/p335977,335977,,,,
Madame Curie,https://www.palomitacas.com/pelicula/ficha/p480857,480857,6.0,6.0,30 de diciembre - 2023,2023-12-30
The Marsh King's Daughter,https://www.palomitacas.com/pelicula/ficha/p798362,798362,5.5,5.5,29 de diciembre - 2023,2023-12-29
A Timeless Christmas,https://www.palomitacas.com/pelicula/ficha/p746039,746039,5.0,5.0,28 de diciembre - 2023,2023-12-28
La mujer del obispo,https://www.palomitacas.com/pelicula/ficha/p19490,19490,5.0,5.0,25 de diciembre - 2023,2023-12-25
