title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
F1 la película,https://www.palomitacas.com/pelicula/ficha/p911430,911430,7.5,7.5,03 de enero - 2026,2026-01-03
어쩔수가없다,https://www.palomitacas.com/pelicula/ficha/p639988,639988,,,,
El extranjero,https://www.palomitacas.com/pelicula/ficha/p379149,379149,7.0,7.0,30 de diciembre - 2025,2025-12-30
TRON: Ares,https://www.palomitacas.com/pelicula/ficha/p533533,533533,5.0,5.0,28 de diciembre - 2025,2025-12-28
Ases calientes,https://www.palomitacas.com/pelicula/ficha/p7516,7516,6.5,6.5,27 de diciembre - 2025,2025-12-27
Sisu: Camino a la venganza,https://www.palomitacas.com/pelicula/ficha/p1223601,1223601,5.0,5.0,25 de diciembre - 2025,2025-12-25
The Shadow's Edge,https://www.palomitacas.com/pelicula/ficha/p1419406,1419406,7.5,7.5,24 de diciembre - 2025,2025-12-24
Maldita suerte,https://www.palomitacas.com/pelicula/ficha/p1272166,1272166,,,,
Dead of Winter,https://www.palomitacas.com/pelicula/ficha/p1235746,1235746,6.0,6.0,19 de diciembre - 2025,2025-12-19
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,7.5,7.5,19 de diciembre - 2025,2025-12-19
The Running Man,https://www.palomitacas.com/pelicula/ficha/p798645,798645,5.5,5.5,17 de diciembre - 2025,2025-12-17
The Killer,https://www.palomitacas.com/pelicula/ficha/p938008,938008,6.5,6.5,06 de diciembre - 2025,2025-12-06
Una casa llena de dinamita,https://www.palomitacas.com/pelicula/ficha/p1290159,1290159,7.0,7.0,01 de diciembre - 2025,2025-12-01
Mindscape,https://www.palomitacas.com/pelicula/ficha/p227700,227700,5.5,5.5,29 de noviembre - 2025,2025-11-29
Los niños de Winton,https://www.palomitacas.com/pelicula/ficha/p760774,760774,8.0,8.0,24 de noviembre - 2025,2025-11-24
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,6.0,6.0,23 de noviembre - 2025,2025-11-23
Daddio,https://www.palomitacas.com/pelicula/ficha/p843416,843416,6.0,6.0,20 de noviembre - 2025,2025-11-20
Re:Born,https://www.palomitacas.com/pelicula/ficha/p408866,408866,5.0,5.0,19 de noviembre - 2025,2025-11-19
Ninja Assassin,https://www.palomitacas.com/pelicula/ficha/p22832,22832,6.0,6.0,14 de noviembre - 2025,2025-11-14
Moon,https://www.palomitacas.com/pelicula/ficha/p1172244,1172244,5.0,5.0,11 de noviembre - 2025,2025-11-11
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,6.0,6.0,10 de noviembre - 2025,2025-11-10
La Duda,https://www.palomitacas.com/pelicula/ficha/p14359,14359,8.0,8.0,30 de octubre - 2025,2025-10-30
