title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Cartas a Iris,https://www.palomitacas.com/pelicula/ficha/p36094,36094,,,,
No le digas que soy yo,https://www.palomitacas.com/pelicula/ficha/p21433,21433,,,,
El ático,https://www.palomitacas.com/pelicula/ficha/p56705,56705,4.5,4.5,02 de enero - 2026,2026-01-02
Abandonada,https://www.palomitacas.com/pelicula/ficha/p874355,874355,4.5,4.5,02 de enero - 2026,2026-01-02
Doble impacto mortal,https://www.palomitacas.com/pelicula/ficha/p13950,13950,5.0,5.0,01 de enero - 2026,2026-01-02
Seducción,https://www.palomitacas.com/pelicula/ficha/p1109406,1109406,,,,
A Murder in Oakland: Beauty is Deadly,https://www.palomitacas.com/pelicula/ficha/p1442417,1442417,,,,
角頭－鬥陣欸,https://www.palomitacas.com/pelicula/ficha/p1468057,1468057,,,,
角頭－大橋頭,https://www.palomitacas.com/pelicula/ficha/p1303236,1303236,,,,
角頭–浪流連,https://www.palomitacas.com/pelicula/ficha/p779221,779221,,,,
Gatao 2: Rise of the King,https://www.palomitacas.com/pelicula/ficha/p506053,506053,,,,
角頭,https://www.palomitacas.com/pelicula/ficha/p377579,377579,,,,
Secretos criminales,https://www.palomitacas.com/pelicula/ficha/p992638,992638,3.5,3.5,30 de diciembre - 2025,2025-12-30
La hermana del novio,https://www.palomitacas.com/pelicula/ficha/p738642,738642,,,,
Eat Locals,https://www.palomitacas.com/pelicula/ficha/p412758,412758,4.0,4.0,29 de diciembre - 2025,2025-12-29
Sing Street,https://www.palomitacas.com/pelicula/ficha/p369557,369557,,,,
Once (Una vez),https://www.palomitacas.com/pelicula/ficha/p5723,5723,,,,
Stone Pillow,https://www.palomitacas.com/pelicula/ficha/p83139,83139,,,,
Speedy Rescue,https://www.palomitacas.com/pelicula/ficha/p809267,809267,3.5,3.5,26 de diciembre - 2025,2025-12-26
Una mujer sin escrúpulos,https://www.palomitacas.com/pelicula/ficha/p64084,64084,,,,
Amigos y vecinos,https://www.palomitacas.com/pelicula/ficha/p77469,77469,,,,
Sisu: Camino a la venganza,https://www.palomitacas.com/pelicula/ficha/p1223601,1223601,,,,
La asistenta,https://www.palomitacas.com/pelicula/ficha/p1368166,1368166,,,,
대홍수,https://www.palomitacas.com/pelicula/ficha/p982843,982843,,,,
El verano que vivimos,https://www.palomitacas.com/pelicula/ficha/p588656,588656,,,,
Keeper,https://www.palomitacas.com/pelicula/ficha/p1288072,1288072,,,,
Hunting Season,https://www.palomitacas.com/pelicula/ficha/p1387382,1387382,,,,
Merv,https://www.palomitacas.com/pelicula/ficha/p1255775,1255775,,,,
La informante (All Souls),https://www.palomitacas.com/pelicula/ficha/p940143,940143,5.0,5.0,20 de diciembre - 2025,2025-12-20
Cómo triunfar en publicidad,https://www.palomitacas.com/pelicula/ficha/p14776,14776,,,,
Dos en la carretera,https://www.palomitacas.com/pelicula/ficha/p5767,5767,,,,
Ir a perderlo y perderse,https://www.palomitacas.com/pelicula/ficha/p33676,33676,,,,
The Blackout (Oculto en la memoria),https://www.palomitacas.com/pelicula/ficha/p25690,25690,2.5,2.5,14 de diciembre - 2025,2025-12-14
Street Fighter,https://www.palomitacas.com/pelicula/ficha/p1153576,1153576,,,,
Saturday Night's Main Event - John Cena's Final Match,https://www.palomitacas.com/pelicula/ficha/p1555253,1555253,5.5,5.5,14 de diciembre - 2025,2025-12-14
