title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Red One,https://www.palomitacas.com/pelicula/ficha/p845781,845781,6.0,6.0,29 de diciembre - 2025,2025-12-29
Lara Croft: Tomb Raider - La cuna de la vida,https://www.palomitacas.com/pelicula/ficha/p1996,1996,3.0,3.0,17 de diciembre - 2025,2025-12-17
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,7.5,7.5,17 de diciembre - 2025,2025-12-17
Eddington,https://www.palomitacas.com/pelicula/ficha/p648878,648878,6.0,6.0,16 de diciembre - 2025,2025-12-16
Lara Croft: Tomb Raider,https://www.palomitacas.com/pelicula/ficha/p1995,1995,4.0,4.0,15 de diciembre - 2025,2025-12-15
Leaving Las Vegas,https://www.palomitacas.com/pelicula/ficha/p451,451,7.0,7.0,03 de diciembre - 2025,2025-12-03
Toy Story 4,https://www.palomitacas.com/pelicula/ficha/p301528,301528,7.0,7.0,03 de diciembre - 2025,2025-12-03
Toy Story 3,https://www.palomitacas.com/pelicula/ficha/p10193,10193,10.0,10.0,03 de diciembre - 2025,2025-12-03
Todo a la vez en todas partes,https://www.palomitacas.com/pelicula/ficha/p545611,545611,6.0,6.0,27 de noviembre - 2025,2025-11-27
Puñales por la espalda,https://www.palomitacas.com/pelicula/ficha/p546554,546554,8.0,8.0,23 de noviembre - 2025,2025-11-23
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,7.0,7.0,19 de noviembre - 2025,2025-11-19
Saw,https://www.palomitacas.com/pelicula/ficha/p176,176,8.0,8.0,13 de noviembre - 2025,2025-11-13
Zathura: Una aventura espacial,https://www.palomitacas.com/pelicula/ficha/p6795,6795,5.0,5.0,28 de octubre - 2025,2025-10-28
Poltergeist (Fenómenos extraños),https://www.palomitacas.com/pelicula/ficha/p609,609,6.5,6.5,27 de octubre - 2025,2025-10-27
"Cobra, el brazo fuerte de la ley",https://www.palomitacas.com/pelicula/ficha/p9874,9874,5.0,5.0,09 de octubre - 2025,2025-10-09
Mad Max 2: El guerrero de la carretera,https://www.palomitacas.com/pelicula/ficha/p8810,8810,8.0,8.0,05 de octubre - 2025,2025-10-05
Babylon,https://www.palomitacas.com/pelicula/ficha/p615777,615777,6.5,6.5,02 de octubre - 2025,2025-10-02
Alcarràs,https://www.palomitacas.com/pelicula/ficha/p804251,804251,5.0,5.0,29 de septiembre - 2025,2025-09-29
Crepúsculo,https://www.palomitacas.com/pelicula/ficha/p8966,8966,3.0,3.0,28 de septiembre - 2025,2025-09-28
Mortal Kombat,https://www.palomitacas.com/pelicula/ficha/p9312,9312,5.5,5.5,23 de septiembre - 2025,2025-09-23
Doom,https://www.palomitacas.com/pelicula/ficha/p8814,8814,3.0,3.0,23 de septiembre - 2025,2025-09-23
Rounders,https://www.palomitacas.com/pelicula/ficha/p10220,10220,8.0,8.0,13 de septiembre - 2025,2025-09-13
Aeon Flux,https://www.palomitacas.com/pelicula/ficha/p8202,8202,5.0,5.0,13 de septiembre - 2025,2025-09-13
F1 la película,https://www.palomitacas.com/pelicula/ficha/p911430,911430,7.0,7.0,31 de agosto - 2025,2025-08-31
Agárralo como puedas,https://www.palomitacas.com/pelicula/ficha/p1035259,1035259,6.5,6.5,31 de agosto - 2025,2025-08-31
Jurassic Park III (Parque Jurásico III),https://www.palomitacas.com/pelicula/ficha/p331,331,6.0,6.0,26 de agosto - 2025,2025-08-26
El mundo perdido: Jurassic Park,https://www.palomitacas.com/pelicula/ficha/p330,330,7.0,7.0,26 de agosto - 2025,2025-08-26
Aún sé lo que hicisteis el último verano,https://www.palomitacas.com/pelicula/ficha/p3600,3600,2.5,2.5,17 de agosto - 2025,2025-08-17
Enredados,https://www.palomitacas.com/pelicula/ficha/p38757,38757,7.5,7.5,17 de agosto - 2025,2025-08-17
